concept_u_id,concept_v_id,source_support_year,target_first_year,hybrid_first_year,concept_u,concept_v,eligible_at_origin,event_type,duration_years,source_support_threshold
C08389FD6C6,CEA97D4EE60,2025,,,moisture-gradient ion transport,oriented ion-transport channels,True,right_censored,0,1
C0AD9C93101,C46747A02A1,2025,,,crown-ether cation complexation,ion-pairing and complexation,True,right_censored,0,1
C0AD9C93101,C872881EC3C,2025,,,crown-ether cation complexation,gel-confined redox transport,True,right_censored,0,1
C0AD9C93101,CAEE03ADAC5,2025,,,crown-ether cation complexation,bidirectional cationic anchoring thermodiffusion,True,right_censored,0,1
C0AD9C93101,CE4B0E242E7,2025,,,crown-ether cation complexation,interfacial charge transfer,True,right_censored,0,1
C0AD9C93101,CE6FC512ED2,2025,,,crown-ether cation complexation,dynamic crosslinked gel network,True,right_censored,0,1
C10C4FF4B6C,C188B56F6F1,2025,,,hydrogen bonding,ion-selectivity membrane transport,True,right_censored,0,1
C10C4FF4B6C,C539540C36B,2025,,,hydrogen bonding,nanochannel-confined ion transport,True,right_censored,0,1
C10C4FF4B6C,C96681C9193,2025,,,hydrogen bonding,ion channels,True,right_censored,0,1
C10C4FF4B6C,CBFAB31D6E6,2025,,,hydrogen bonding,electrostatic interaction,True,right_censored,0,1
C10D3798CF7,C46747A02A1,2025,,,selective solvation,ion-pairing and complexation,True,right_censored,0,1
C182567E63B,C3002C089A5,2025,,,ion concentration-gradient formation,ionic thermodiffusion (Soret effect),True,right_censored,0,1
C188B56F6F1,C5CE88E5AD7,2025,,,ion-selectivity membrane transport,thermal migration,True,right_censored,0,1
C188B56F6F1,C7932B1CE8C,2025,,,ion-selectivity membrane transport,chaotropic polymer-water disruption,True,right_censored,0,1
C188B56F6F1,C872881EC3C,2025,,,ion-selectivity membrane transport,gel-confined redox transport,True,right_censored,0,1
C188B56F6F1,CE10EBC642C,2025,,,ion-selectivity membrane transport,Manning counterion condensation,True,right_censored,0,1
C23B9BED21A,C3002C089A5,2025,,,ionic conduction,ionic thermodiffusion (Soret effect),True,right_censored,0,1
C23B9BED21A,C46A965349B,2025,,,ionic conduction,anion transport,True,right_censored,0,1
C23B9BED21A,C539540C36B,2025,,,ionic conduction,nanochannel-confined ion transport,True,right_censored,0,1
C3002C089A5,C46A965349B,2025,,,ionic thermodiffusion (Soret effect),anion transport,True,right_censored,0,1
C3002C089A5,C5CE88E5AD7,2025,,,ionic thermodiffusion (Soret effect),thermal migration,True,right_censored,0,1
C3002C089A5,C6153FCE2C1,2025,,,ionic thermodiffusion (Soret effect),pi-pi stacking,True,right_censored,0,1
C3002C089A5,C9516FFBFC5,2025,,,ionic thermodiffusion (Soret effect),volume phase transition,True,right_censored,0,1
C3002C089A5,C96681C9193,2025,,,ionic thermodiffusion (Soret effect),ion channels,True,right_censored,0,1
C3002C089A5,CAEE03ADAC5,2025,,,ionic thermodiffusion (Soret effect),bidirectional cationic anchoring thermodiffusion,True,right_censored,0,1
C3002C089A5,CE10EBC642C,2025,,,ionic thermodiffusion (Soret effect),Manning counterion condensation,True,right_censored,0,1
C3002C089A5,CEA97D4EE60,2025,,,ionic thermodiffusion (Soret effect),oriented ion-transport channels,True,right_censored,0,1
C46747A02A1,C5CE88E5AD7,2025,,,ion-pairing and complexation,thermal migration,True,right_censored,0,1
C46747A02A1,C6153FCE2C1,2025,,,ion-pairing and complexation,pi-pi stacking,True,right_censored,0,1
C46747A02A1,C8AD5B453CC,2025,,,ion-pairing and complexation,ion diffusion,True,right_censored,0,1
C46747A02A1,CBFAB31D6E6,2025,,,ion-pairing and complexation,electrostatic interaction,True,right_censored,0,1
C46A965349B,C539540C36B,2025,,,anion transport,nanochannel-confined ion transport,True,right_censored,0,1
C46A965349B,C845F498233,2025,,,anion transport,ion-dipole interaction,True,right_censored,0,1
C46A965349B,C872881EC3C,2025,,,anion transport,gel-confined redox transport,True,right_censored,0,1
C46A965349B,C96681C9193,2025,,,anion transport,ion channels,True,right_censored,0,1
C46A965349B,CB25BC3FC14,2025,,,anion transport,double/interpenetrating network,True,right_censored,0,1
C46A965349B,CBFAB31D6E6,2025,,,anion transport,electrostatic interaction,True,right_censored,0,1
C46A965349B,CC028ABF9C6,2025,,,anion transport,anti-freezing organohydrogel design,True,right_censored,0,1
C46A965349B,CFBB5A400A1,2025,,,anion transport,cation-anion thermodiffusion asymmetry,True,right_censored,0,1
C539540C36B,CC028ABF9C6,2025,,,nanochannel-confined ion transport,anti-freezing organohydrogel design,True,right_censored,0,1
C539540C36B,CEA97D4EE60,2025,,,nanochannel-confined ion transport,oriented ion-transport channels,True,right_censored,0,1
C539540C36B,CFBB5A400A1,2025,,,nanochannel-confined ion transport,cation-anion thermodiffusion asymmetry,True,right_censored,0,1
C5CE88E5AD7,C8AD5B453CC,2025,,,thermal migration,ion diffusion,True,right_censored,0,1
C5CE88E5AD7,CE10EBC642C,2025,,,thermal migration,Manning counterion condensation,True,right_censored,0,1
C5E47CC0A62,C96681C9193,2025,,,Hofmeister/chaotropic effect,ion channels,True,right_censored,0,1
C6153FCE2C1,CFBB5A400A1,2025,,,pi-pi stacking,cation-anion thermodiffusion asymmetry,True,right_censored,0,1
C845F498233,CB25BC3FC14,2025,,,ion-dipole interaction,double/interpenetrating network,True,right_censored,0,1
C845F498233,CE6FC512ED2,2025,,,ion-dipole interaction,dynamic crosslinked gel network,True,right_censored,0,1
C845F498233,CFBB5A400A1,2025,,,ion-dipole interaction,cation-anion thermodiffusion asymmetry,True,right_censored,0,1
C872881EC3C,CE4B0E242E7,2025,,,gel-confined redox transport,interfacial charge transfer,True,right_censored,0,1
C872881EC3C,CEA97D4EE60,2025,,,gel-confined redox transport,oriented ion-transport channels,True,right_censored,0,1
C9516FFBFC5,CFBB5A400A1,2025,,,volume phase transition,cation-anion thermodiffusion asymmetry,True,right_censored,0,1
C96681C9193,CC028ABF9C6,2025,,,ion channels,anti-freezing organohydrogel design,True,right_censored,0,1
C96681C9193,CFBB5A400A1,2025,,,ion channels,cation-anion thermodiffusion asymmetry,True,right_censored,0,1
CAEE03ADAC5,CE4B0E242E7,2025,,,bidirectional cationic anchoring thermodiffusion,interfacial charge transfer,True,right_censored,0,1
CAEE03ADAC5,CE6FC512ED2,2025,,,bidirectional cationic anchoring thermodiffusion,dynamic crosslinked gel network,True,right_censored,0,1
CAEE03ADAC5,CFBB5A400A1,2025,,,bidirectional cationic anchoring thermodiffusion,cation-anion thermodiffusion asymmetry,True,right_censored,0,1
CB25BC3FC14,CBFAB31D6E6,2025,,,double/interpenetrating network,electrostatic interaction,True,right_censored,0,1
CB25BC3FC14,CF4A6A0344F,2025,,,double/interpenetrating network,ion migration,True,right_censored,0,1
CB25BC3FC14,CF69DD93A68,2025,,,double/interpenetrating network,selective ion transport,True,right_censored,0,1
CB314592CFB,CF4A6A0344F,2025,,,precipitation and species redistribution,ion migration,True,right_censored,0,1
CE10EBC642C,CF4A6A0344F,2025,,,Manning counterion condensation,ion migration,True,right_censored,0,1
CE10EBC642C,CF69DD93A68,2025,,,Manning counterion condensation,selective ion transport,True,right_censored,0,1
CE4B0E242E7,CE6FC512ED2,2025,,,interfacial charge transfer,dynamic crosslinked gel network,True,right_censored,0,1
CE4B0E242E7,CFBB5A400A1,2025,,,interfacial charge transfer,cation-anion thermodiffusion asymmetry,True,right_censored,0,1
CEA97D4EE60,CF4A6A0344F,2025,,,oriented ion-transport channels,ion migration,True,right_censored,0,1
CF69DD93A68,CFBB5A400A1,2025,,,selective ion transport,cation-anion thermodiffusion asymmetry,True,right_censored,0,1
C08389FD6C6,C10C4FF4B6C,2023,2024.0,,moisture-gradient ion transport,hydrogen bonding,True,exclusive_TG_cooccurrence,1,1
C08389FD6C6,CA8C62A4868,2023,2024.0,,moisture-gradient ion transport,redox reaction entropy,True,exclusive_TG_cooccurrence,1,1
C10C4FF4B6C,C78D65254F9,2022,2023.0,,hydrogen bonding,phase transition,True,exclusive_TG_cooccurrence,1,1
C46747A02A1,CB25BC3FC14,2023,2024.0,,ion-pairing and complexation,double/interpenetrating network,True,exclusive_TG_cooccurrence,1,1
C46747A02A1,CC028ABF9C6,2023,2024.0,2025.0,ion-pairing and complexation,anti-freezing organohydrogel design,True,exclusive_TG_cooccurrence,1,1
C78D65254F9,CB25BC3FC14,2023,2024.0,,phase transition,double/interpenetrating network,True,exclusive_TG_cooccurrence,1,1
C3002C089A5,CE6FC512ED2,2022,,2023.0,ionic thermodiffusion (Soret effect),dynamic crosslinked gel network,True,hybrid_bridge_cooccurrence,1,1
C46747A02A1,CF4A6A0344F,2024,,2025.0,ion-pairing and complexation,ion migration,True,hybrid_bridge_cooccurrence,1,1
C46747A02A1,CFBB5A400A1,2023,,2024.0,ion-pairing and complexation,cation-anion thermodiffusion asymmetry,True,hybrid_bridge_cooccurrence,1,1
C78D65254F9,CAA2101509C,2024,,2025.0,phase transition,solid-liquid phase transition,True,hybrid_bridge_cooccurrence,1,1
C08389FD6C6,C845F498233,2024,,,moisture-gradient ion transport,ion-dipole interaction,True,right_censored,1,1
C08389FD6C6,C90F2267A45,2024,,,moisture-gradient ion transport,zwitterionic hydrogel ion regulation,True,right_censored,1,1
C0E0D20D156,C539540C36B,2024,,,polarized-membrane ionic thermal potential,nanochannel-confined ion transport,True,right_censored,1,1
C0E0D20D156,C845F498233,2024,,,polarized-membrane ionic thermal potential,ion-dipole interaction,True,right_censored,1,1
C0E0D20D156,C96681C9193,2024,,,polarized-membrane ionic thermal potential,ion channels,True,right_censored,1,1
C10C4FF4B6C,C45C8AAD12E,2024,,,hydrogen bonding,charge-transfer resistance engineering,True,right_censored,1,1
C10C4FF4B6C,C8AD5B453CC,2024,,,hydrogen bonding,ion diffusion,True,right_censored,1,1
C10C4FF4B6C,CE4B0E242E7,2024,,,hydrogen bonding,interfacial charge transfer,True,right_censored,1,1
C17A556FB4A,C90F2267A45,2024,,,double-network hydrogel mechanics,zwitterionic hydrogel ion regulation,True,right_censored,1,1
C188B56F6F1,C845F498233,2024,,,ion-selectivity membrane transport,ion-dipole interaction,True,right_censored,1,1
C3002C089A5,C98C1040415,2024,,,ionic thermodiffusion (Soret effect),cation transport,True,right_censored,1,1
C3002C089A5,CC028ABF9C6,2024,,,ionic thermodiffusion (Soret effect),anti-freezing organohydrogel design,True,right_censored,1,1
C3002C089A5,CF69DD93A68,2024,,,ionic thermodiffusion (Soret effect),selective ion transport,True,right_censored,1,1
C45C8AAD12E,C98C1040415,2024,,,charge-transfer resistance engineering,cation transport,True,right_censored,1,1
C46747A02A1,C5E47CC0A62,2024,,,ion-pairing and complexation,Hofmeister/chaotropic effect,True,right_censored,1,1
C46747A02A1,CF69DD93A68,2024,,,ion-pairing and complexation,selective ion transport,True,right_censored,1,1
C539540C36B,C5CE88E5AD7,2024,,,nanochannel-confined ion transport,thermal migration,True,right_censored,1,1
C539540C36B,C845F498233,2024,,,nanochannel-confined ion transport,ion-dipole interaction,True,right_censored,1,1
C78D65254F9,CB56BB4DDB0,2024,,,phase transition,carbon-electrode redox interface,True,right_censored,1,1
C7932B1CE8C,C8AD5B453CC,2024,,,chaotropic polymer-water disruption,ion diffusion,True,right_censored,1,1
C845F498233,C96681C9193,2024,,,ion-dipole interaction,ion channels,True,right_censored,1,1
C872881EC3C,C98C1040415,2024,,,gel-confined redox transport,cation transport,True,right_censored,1,1
C8AD5B453CC,CB25BC3FC14,2024,,,ion diffusion,double/interpenetrating network,True,right_censored,1,1
C8AD5B453CC,CE2D00B183C,2024,,,ion diffusion,redox-kinetics enhancement,True,right_censored,1,1
C90F2267A45,CB25BC3FC14,2024,,,zwitterionic hydrogel ion regulation,double/interpenetrating network,True,right_censored,1,1
C90F2267A45,CE6FC512ED2,2024,,,zwitterionic hydrogel ion regulation,dynamic crosslinked gel network,True,right_censored,1,1
C98C1040415,CC028ABF9C6,2024,,,cation transport,anti-freezing organohydrogel design,True,right_censored,1,1
C98C1040415,CE4B0E242E7,2024,,,cation transport,interfacial charge transfer,True,right_censored,1,1
C98C1040415,CE6FC512ED2,2024,,,cation transport,dynamic crosslinked gel network,True,right_censored,1,1
CC3BA67827F,CE6FC512ED2,2024,,,ionic-electronic coupling,dynamic crosslinked gel network,True,right_censored,1,1
CF4A6A0344F,CF69DD93A68,2024,,,ion migration,selective ion transport,True,right_censored,1,1
C08389FD6C6,C7932B1CE8C,2023,2025.0,,moisture-gradient ion transport,chaotropic polymer-water disruption,True,exclusive_TG_cooccurrence,2,1
