scenario,source_support_threshold,years_since_source_support,at_risk,events,censored,survival_without_target_cooccurrence,cumulative_target_cooccurrence
exclusive_iTE_to_exclusive_TG,1,0,276,0,72,1.0,0.0
exclusive_iTE_to_exclusive_TG,1,1,204,8,34,0.9607843137254902,0.039215686274509776
exclusive_iTE_to_exclusive_TG,1,2,162,5,51,0.9311304768821109,0.06886952311788908
exclusive_iTE_to_exclusive_TG,1,3,106,9,31,0.8520722288449506,0.1479277711550494
exclusive_iTE_to_exclusive_TG,1,4,66,2,15,0.8262518582738915,0.17374814172610853
exclusive_iTE_to_exclusive_TG,1,5,49,0,15,0.8262518582738915,0.17374814172610853
exclusive_iTE_to_exclusive_TG,1,6,34,2,10,0.7776488077871919,0.22235119221280808
exclusive_iTE_to_exclusive_TG,1,7,22,0,4,0.7776488077871919,0.22235119221280808
exclusive_iTE_to_exclusive_TG,1,8,18,0,1,0.7776488077871919,0.22235119221280808
exclusive_iTE_to_exclusive_TG,1,9,17,0,3,0.7776488077871919,0.22235119221280808
exclusive_iTE_to_exclusive_TG,1,11,14,0,1,0.7776488077871919,0.22235119221280808
exclusive_iTE_to_exclusive_TG,1,12,13,0,2,0.7776488077871919,0.22235119221280808
exclusive_iTE_to_exclusive_TG,1,13,11,0,1,0.7776488077871919,0.22235119221280808
exclusive_iTE_to_exclusive_TG,1,15,10,1,0,0.6998839270084728,0.3001160729915272
exclusive_iTE_to_exclusive_TG,1,20,9,0,1,0.6998839270084728,0.3001160729915272
exclusive_iTE_to_exclusive_TG,1,21,8,0,1,0.6998839270084728,0.3001160729915272
exclusive_iTE_to_exclusive_TG,1,22,7,0,2,0.6998839270084728,0.3001160729915272
exclusive_iTE_to_exclusive_TG,1,23,5,0,2,0.6998839270084728,0.3001160729915272
exclusive_iTE_to_exclusive_TG,1,26,3,0,3,0.6998839270084728,0.3001160729915272
exclusive_iTE_to_exclusive_TG,2,0,101,0,38,1.0,0.0
exclusive_iTE_to_exclusive_TG,2,1,63,4,19,0.9365079365079365,0.06349206349206349
exclusive_iTE_to_exclusive_TG,2,2,40,1,21,0.9130952380952381,0.08690476190476193
exclusive_iTE_to_exclusive_TG,2,3,18,2,2,0.8116402116402116,0.1883597883597884
exclusive_iTE_to_exclusive_TG,2,4,14,1,7,0.753665910808768,0.246334089191232
exclusive_iTE_to_exclusive_TG,2,5,6,0,2,0.753665910808768,0.246334089191232
exclusive_iTE_to_exclusive_TG,2,6,4,0,4,0.753665910808768,0.246334089191232
exclusive_iTE_to_exclusive_TG,3,0,48,0,20,1.0,0.0
exclusive_iTE_to_exclusive_TG,3,1,28,1,10,0.9642857142857143,0.0357142857142857
exclusive_iTE_to_exclusive_TG,3,2,17,2,7,0.8508403361344538,0.14915966386554624
exclusive_iTE_to_exclusive_TG,3,3,8,0,3,0.8508403361344538,0.14915966386554624
exclusive_iTE_to_exclusive_TG,3,4,5,0,2,0.8508403361344538,0.14915966386554624
exclusive_iTE_to_exclusive_TG,3,5,3,0,1,0.8508403361344538,0.14915966386554624
exclusive_iTE_to_exclusive_TG,3,6,2,0,2,0.8508403361344538,0.14915966386554624
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,0,262,0,67,1.0,0.0
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,1,195,10,31,0.9487179487179487,0.05128205128205132
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,2,154,9,48,0.8932733932733933,0.10672660672660672
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,3,97,7,26,0.8288103648928391,0.1711896351071609
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,4,64,3,14,0.7899598790384873,0.2100401209615127
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,5,47,1,14,0.7731522220376684,0.22684777796233158
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,6,32,2,9,0.7248302081603142,0.2751697918396858
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,7,21,1,3,0.690314483962204,0.30968551603779604
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,8,17,0,1,0.690314483962204,0.30968551603779604
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,9,16,0,3,0.690314483962204,0.30968551603779604
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,12,13,0,2,0.690314483962204,0.30968551603779604
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,13,11,0,1,0.690314483962204,0.30968551603779604
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,15,10,1,0,0.6212830355659836,0.37871696443401637
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,20,9,0,1,0.6212830355659836,0.37871696443401637
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,21,8,0,1,0.6212830355659836,0.37871696443401637
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,22,7,1,2,0.5325283161994145,0.46747168380058546
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,23,4,0,2,0.5325283161994145,0.46747168380058546
exclusive_iTE_to_TG_plus_hybrid_sensitivity,1,26,2,0,2,0.5325283161994145,0.46747168380058546
exclusive_iTE_to_TG_plus_hybrid_sensitivity,2,0,89,0,35,1.0,0.0
exclusive_iTE_to_TG_plus_hybrid_sensitivity,2,1,54,8,14,0.8518518518518519,0.14814814814814814
exclusive_iTE_to_TG_plus_hybrid_sensitivity,2,2,32,2,16,0.7986111111111112,0.20138888888888884
exclusive_iTE_to_TG_plus_hybrid_sensitivity,2,3,14,1,2,0.7415674603174603,0.25843253968253965
exclusive_iTE_to_TG_plus_hybrid_sensitivity,2,4,11,1,6,0.6741522366522367,0.32584776334776333
exclusive_iTE_to_TG_plus_hybrid_sensitivity,2,5,4,0,1,0.6741522366522367,0.32584776334776333
exclusive_iTE_to_TG_plus_hybrid_sensitivity,2,6,3,1,2,0.4494348244348245,0.5505651755651755
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,0,36,0,16,1.0,0.0
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,1,20,0,6,1.0,0.0
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,2,14,2,6,0.8571428571428572,0.1428571428571428
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,3,6,1,2,0.7142857142857144,0.2857142857142856
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,4,3,0,1,0.7142857142857144,0.2857142857142856
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,5,2,0,1,0.7142857142857144,0.2857142857142856
exclusive_iTE_to_TG_plus_hybrid_sensitivity,3,6,1,0,1,0.7142857142857144,0.2857142857142856
legacy_dual_assignment_replication,1,0,262,0,67,1.0,0.0
legacy_dual_assignment_replication,1,1,195,10,31,0.9487179487179487,0.05128205128205132
legacy_dual_assignment_replication,1,2,154,9,48,0.8932733932733933,0.10672660672660672
legacy_dual_assignment_replication,1,3,97,7,26,0.8288103648928391,0.1711896351071609
legacy_dual_assignment_replication,1,4,64,3,14,0.7899598790384873,0.2100401209615127
