concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,ite_first_year,tg_first_year,transfer_lag_years,transfer_status,ite_first_evidence_paper,tg_first_evidence_paper,ite_evidence_papers,tg_evidence_papers,target_first_evidence_membership
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,1999.0,2021.0,22.0,iTE_then_TG,P1303,P0297,14.0,3.0,iTE|TG
C08389FD6C6,C8AD5B453CC,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,2014.0,2021.0,7.0,iTE_then_TG,P1320,P0297,5.0,2.0,iTE|TG
C3002C089A5,CFBB5A400A1,ionic thermodiffusion (Soret effect),cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,2016.0,2021.0,5.0,iTE_then_TG,P0447,P0201,41.0,16.0,iTE|TG
C10C4FF4B6C,C7932B1CE8C,hydrogen bonding,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,2019.0,2021.0,2.0,iTE_then_TG,P0644,P0182,32.0,10.0,iTE|TG
C10C4FF4B6C,CC028ABF9C6,hydrogen bonding,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,2019.0,2021.0,2.0,iTE_then_TG,P0644,P0182,12.0,8.0,iTE|TG
C7932B1CE8C,CC028ABF9C6,chaotropic polymer-water disruption,anti-freezing organohydrogel design,gel_microstructure,gel_microstructure,2019.0,2021.0,2.0,iTE_then_TG,P0644,P0182,7.0,5.0,iTE|TG
C3002C089A5,CE6FC512ED2,ionic thermodiffusion (Soret effect),dynamic crosslinked gel network,transport_mechanism,gel_microstructure,2022.0,2023.0,1.0,iTE_then_TG,P0609,P0180,10.0,1.0,iTE|TG
C539540C36B,C96681C9193,nanochannel-confined ion transport,ion channels,transport_mechanism,transport_mechanism,2020.0,2024.0,4.0,iTE_then_TG,P1096,P0197,7.0,1.0,iTE|TG
C3002C089A5,C46747A02A1,ionic thermodiffusion (Soret effect),ion-pairing and complexation,transport_mechanism,solvation_entropy,2022.0,2024.0,2.0,iTE_then_TG,P0609,P0137,13.0,3.0,iTE|TG
C46747A02A1,CFBB5A400A1,ion-pairing and complexation,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,2023.0,2024.0,1.0,iTE_then_TG,P0379,P0137,6.0,1.0,iTE|TG
CC028ABF9C6,CE6FC512ED2,anti-freezing organohydrogel design,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,2019.0,2025.0,6.0,iTE_then_TG,P0644,P0246,9.0,1.0,iTE|TG
C17A556FB4A,CB25BC3FC14,double-network hydrogel mechanics,double/interpenetrating network,gel_microstructure,gel_microstructure,2022.0,2025.0,3.0,iTE_then_TG,P0919,P0188,4.0,2.0,iTE|TG
C17A556FB4A,CE6FC512ED2,double-network hydrogel mechanics,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,2022.0,2025.0,3.0,iTE_then_TG,P0919,P0188,4.0,2.0,iTE|TG
C46747A02A1,CF4A6A0344F,ion-pairing and complexation,ion migration,solvation_entropy,transport_mechanism,2024.0,2025.0,1.0,iTE_then_TG,P0355,P0142,3.0,1.0,iTE|TG
C78D65254F9,CAA2101509C,phase transition,solid-liquid phase transition,phase_or_species_transition,phase_or_species_transition,2024.0,2025.0,1.0,iTE_then_TG,P0954,P0159,2.0,1.0,iTE|TG
C08389FD6C6,CC3BA67827F,moisture-gradient ion transport,ionic-electronic coupling,transport_mechanism,transport_mechanism,2016.0,2026.0,10.0,iTE_then_TG,P0655,P0170,7.0,1.0,iTE|TG
C188B56F6F1,C539540C36B,ion-selectivity membrane transport,nanochannel-confined ion transport,transport_mechanism,transport_mechanism,2018.0,2026.0,8.0,iTE_then_TG,P0640,P0174,14.0,1.0,iTE|TG
C188B56F6F1,C8AD5B453CC,ion-selectivity membrane transport,ion diffusion,transport_mechanism,transport_mechanism,2020.0,2026.0,6.0,iTE_then_TG,P1096,P0174,4.0,1.0,iTE|TG
C539540C36B,C8AD5B453CC,nanochannel-confined ion transport,ion diffusion,transport_mechanism,transport_mechanism,2020.0,2026.0,6.0,iTE_then_TG,P1096,P0174,3.0,1.0,iTE|TG
C188B56F6F1,CF69DD93A68,ion-selectivity membrane transport,selective ion transport,transport_mechanism,transport_mechanism,2021.0,2026.0,5.0,iTE_then_TG,P0608,P0249,12.0,1.0,iTE|TG
