concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,cutoff_year,target_year,source_pair_evidence_papers,source_pair_recent_papers_3y,target_frequency_u,target_frequency_v,target_frequency_min,target_frequency_sum,target_common_neighbors,target_jaccard,next_year_target_cooccurrence,source_pair_evidence_papers_rank,source_pair_recent_papers_3y_rank,target_frequency_min_rank,target_common_neighbors_rank,target_jaccard_rank,transparent_readiness_score,score_definition,observation_status,source_evidence_paper_ids,source_evidence_years,source_evidence_titles,partial_next_year_observed_exclusive_TG_cooccurrence,output_role,probability_claim_allowed,relation_claim_allowed_without_full_text_review,partial_next_year_status
C10C4FF4B6C,C46747A02A1,hydrogen bonding,ion-pairing and complexation,solvation_entropy,solvation_entropy,2025,2026,6,6,12,9,9,21,8,0.4,,0.8770491803278688,0.9262295081967213,0.8688524590163934,0.9918032786885246,1.0,0.9327868852459016,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0379; P1345; P1432; P0501; P0990; P0970,2023; 2024; 2025,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | Rarely negative-thermovoltage cellulose ionogel with simultaneously boosted mechanical strength and ionic conductivity via ion-molecular engineering | Protic Ionic Liquids for Intrinsically Stretchable Conductive Polymers | Metal-Halogen Interactions Inducing Phase Separation for Self-Healing and Tough Ionogels with Tunable Thermoelectric Performance | Strong Tough Ionic Organohydrogels with Negative-Thermopower via the Synergy of Coordination Interaction and Hofmeister Effect | Self-powered multimodal sensing ionic thermoelectric elastomer with excellent mechanical properties driven by hierarchical network,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C3002C089A5,C46747A02A1,ionic thermodiffusion (Soret effect),ion-pairing and complexation,transport_mechanism,solvation_entropy,2025,2026,8,7,16,9,9,25,5,0.23809523809523808,,0.9590163934426229,0.9672131147540983,0.8688524590163934,0.9344262295081968,0.8524590163934426,0.9163934426229507,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0609; P0379; P0355; P0336; P0342; P0367; P0878; P1316,2022; 2023; 2024; 2025,High ionic thermopower in flexible composite hydrogel for wearable self-powered sensor | Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting | Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions | Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode | An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting | Boosting Negative Thermopower of Chitosan Hydrogel via Bio-Inspired Anisotropic Porous Structure | A tunable ion relaxation process of a thermoelectric system for adjustable memory of thermal perception,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C46747A02A1,C7932B1CE8C,ion-pairing and complexation,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,2025,2026,4,4,9,9,9,18,5,0.25,,0.7704918032786885,0.8442622950819673,0.8688524590163934,0.9344262295081968,0.8688524590163934,0.8573770491803279,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0379; P1345; P1432; P0501,2023; 2024,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | Rarely negative-thermovoltage cellulose ionogel with simultaneously boosted mechanical strength and ionic conductivity via ion-molecular engineering | Protic Ionic Liquids for Intrinsically Stretchable Conductive Polymers | Metal-Halogen Interactions Inducing Phase Separation for Self-Healing and Tough Ionogels with Tunable Thermoelectric Performance,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C3002C089A5,CC028ABF9C6,ionic thermodiffusion (Soret effect),anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,2025,2026,3,3,16,19,16,35,8,0.3333333333333333,,0.5737704918032787,0.7049180327868853,1.0,0.9918032786885246,0.9754098360655737,0.8491803278688526,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0408; P0681; P0841,2024; 2025,Electrode-dependent thermoelectric effect in ionic hydrogel fiber for self-powered sensing and low-grade heat harvesting | High-Performance SiO2 Nanoparticle Ionogels for Continuous Heat-To-Electricity Conversion | Highly thermoelectric ionic hydrogel similar to fever cooling patch applied to lithium-ion battery cooling and intelligent overheating warning,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C188B56F6F1,C3002C089A5,ion-selectivity membrane transport,ionic thermodiffusion (Soret effect),transport_mechanism,transport_mechanism,2025,2026,7,7,14,16,14,30,3,0.17647058823529413,,0.9262295081967213,0.9672131147540983,0.9508196721311475,0.7295081967213115,0.6639344262295082,0.8475409836065573,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0355; P0938; P1474; P0344; P0347; P0528; P0530,2024; 2025,Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting | Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients | Seebeck-mediated ionic transport in 1T molybdenum disulfide thin films | High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors | Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels | Ion-selective transport in surface-modified cellulose membranes for aqueous ionic thermoelectrics | Effects of thermoosmosis and thermophoresis of finite-sized ions along with a pressure-driven flow on the thermoelectric field in a conical hydrophobic nanopore,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C3002C089A5,CE6FC512ED2,ionic thermodiffusion (Soret effect),dynamic crosslinked gel network,transport_mechanism,gel_microstructure,2025,2026,7,6,16,3,3,19,4,0.2857142857142857,,0.9262295081967213,0.9262295081967213,0.47540983606557374,0.8524590163934426,0.9262295081967213,0.821311475409836,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0609; P0379; P0408; P0510; P0342; P0523; P1903,2022; 2023; 2024; 2025,High ionic thermopower in flexible composite hydrogel for wearable self-powered sensor | Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | Electrode-dependent thermoelectric effect in ionic hydrogel fiber for self-powered sensing and low-grade heat harvesting | A double network facilitated ion-electron conductor for thermoelectric harvesting with high energy density | Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode | Electron-ion coupling enables ionic hydrogel with high thermopower for low-grade heat harvest and sensitive fire warning | Development of a two-mode hydrogel sensor with a thermal diffusion effect for intelligent sensing and temperature warning,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C46747A02A1,CFBB5A400A1,ion-pairing and complexation,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,2025,2026,4,4,9,5,5,14,4,0.23529411764705882,,0.7704918032786885,0.8442622950819673,0.7540983606557377,0.8524590163934426,0.8360655737704918,0.8114754098360656,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0379; P0336; P0342; P0367,2023; 2025,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions | Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode | An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C08389FD6C6,CFBB5A400A1,moisture-gradient ion transport,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,2025,2026,3,3,10,5,5,15,5,0.29411764705882354,,0.5737704918032787,0.7049180327868853,0.7540983606557377,0.9344262295081968,0.9508196721311475,0.7836065573770492,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0611; P0520; P0347,2023; 2024; 2025,Durable and stretchable nanocomposite ionogels with high thermoelectric property for low-grade heat harvesting | Bacterial Cellulose-Based ionogels with synergistically enhanced mechanical and thermoelectric performances for low-grade heat harvesting | Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
CC028ABF9C6,CE6FC512ED2,anti-freezing organohydrogel design,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,2025,2026,6,3,19,3,3,22,5,0.2631578947368421,,0.8770491803278688,0.7049180327868853,0.47540983606557374,0.9344262295081968,0.8852459016393442,0.7754098360655737,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0644; P0650; P0919; P0450; P0408; P0737,2019; 2022; 2023; 2024,"Crosslinked thermoelectric hydro-ionogels: A new class of highly conductive thermoelectric materials | Synthesis and characterization of novel p-type chemically cross-linked ionogels with high ionic seebeck coefficient for low-grade heat harvesting | Ion regulation in double-network hydrogel module with ultrahigh thermopower for low-grade heat harvesting | Highly Stretchable, Resilient, Adhesive, and Self-Healing Ionic Hydrogels for Thermoelectric Application | Electrode-dependent thermoelectric effect in ionic hydrogel fiber for self-powered sensing and low-grade heat harvesting | Multi-crosslinked gelatin-based composite hydrogel featuring high thermoelectric performance and excellent flame retardancy for intelligent fire-warning system",0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
C10C4FF4B6C,CFBB5A400A1,hydrogen bonding,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,2025,2026,3,3,12,5,5,17,5,0.2777777777777778,,0.5737704918032787,0.7049180327868853,0.7540983606557377,0.9344262295081968,0.9016393442622951,0.7737704918032786,"Unweighted mean of within-year percentile ranks: source pair evidence, source 3-year recency, target minimum node frequency, target common neighbors, and target Jaccard",partial_interim,P0379; P0611; P0347,2023; 2025,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors | Durable and stretchable nanocomposite ionogels with high thermoelectric property for low-grade heat harvesting | Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels,0,manual_literature_audit_queue,False,False,not_yet_observed_or_not_yet_indexed
