concept_u_id,concept_v_id,source_first_year,source_last_year,source_evidence_papers,source_first_evidence_paper,target_first_year,target_last_year,target_evidence_papers,target_first_evidence_paper,source_support_year,concept_u,concept_v,u_type,v_type,type_pair,diffusion_status,lag_years,source_support_threshold
C10C4FF4B6C,C7932B1CE8C,2019.0,2025.0,19.0,P0644,2022.0,2025.0,7.0,P0061,2022.0,hydrogen bonding,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,gel_microstructure + solvation_entropy,same_year_as_source_support,,2
C10C4FF4B6C,CE6FC512ED2,2019.0,2025.0,7.0,P0644,2022.0,2022.0,1.0,P0057,2022.0,hydrogen bonding,dynamic crosslinked gel network,solvation_entropy,gel_microstructure,gel_microstructure + solvation_entropy,same_year_as_source_support,,2
CB25BC3FC14,CE6FC512ED2,2022.0,2025.0,8.0,P0558,2022.0,2022.0,1.0,P0057,2022.0,double/interpenetrating network,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,gel_microstructure + gel_microstructure,same_year_as_source_support,,2
C3002C089A5,C872881EC3C,2023.0,2025.0,7.0,P0381,2023.0,2023.0,1.0,P0043,2023.0,ionic thermodiffusion (Soret effect),gel-confined redox transport,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,same_year_as_source_support,,2
C3002C089A5,CB25BC3FC14,2023.0,2025.0,6.0,P0379,2023.0,2023.0,1.0,P0043,2023.0,ionic thermodiffusion (Soret effect),double/interpenetrating network,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,same_year_as_source_support,,2
C08389FD6C6,C10C4FF4B6C,2023.0,2025.0,6.0,P0611,2024.0,2025.0,2.0,P0166,2024.0,moisture-gradient ion transport,hydrogen bonding,transport_mechanism,solvation_entropy,solvation_entropy + transport_mechanism,same_year_as_source_support,,2
C46747A02A1,CC028ABF9C6,2023.0,2024.0,2.0,P0931,2024.0,2024.0,1.0,P0040,2024.0,ion-pairing and complexation,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,gel_microstructure + solvation_entropy,same_year_as_source_support,,2
C10C4FF4B6C,C5E47CC0A62,2024.0,2025.0,2.0,P0990,2025.0,2025.0,1.0,P0033,2025.0,hydrogen bonding,Hofmeister/chaotropic effect,solvation_entropy,gel_microstructure,gel_microstructure + solvation_entropy,same_year_as_source_support,,2
C3002C089A5,CBFAB31D6E6,2023.0,2025.0,2.0,P0374,2025.0,2025.0,1.0,P0014,2025.0,ionic thermodiffusion (Soret effect),electrostatic interaction,transport_mechanism,solvation_entropy,solvation_entropy + transport_mechanism,same_year_as_source_support,,2
C872881EC3C,CE6FC512ED2,2024.0,2025.0,2.0,P0408,2025.0,2025.0,1.0,P0252,2025.0,gel-confined redox transport,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,gel_microstructure + gel_microstructure,same_year_as_source_support,,2
C08389FD6C6,CC3BA67827F,2016.0,2025.0,6.0,P0655,,,,,2019.0,moisture-gradient ion transport,ionic-electronic coupling,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C23B9BED21A,C78D65254F9,2005.0,2024.0,5.0,P1241,,,,,2019.0,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,phase_or_species_transition + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,CF203EF8121,2018.0,2025.0,5.0,P0653,,,,,2019.0,ionic thermodiffusion (Soret effect),Eastman entropy of transfer,transport_mechanism,solvation_entropy,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
CC028ABF9C6,CE6FC512ED2,2019.0,2024.0,6.0,P0644,,,,,2019.0,anti-freezing organohydrogel design,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,gel_microstructure + gel_microstructure,source_supported_not_in_target,,2
C188B56F6F1,C539540C36B,2018.0,2025.0,11.0,P0640,,,,,2020.0,ion-selectivity membrane transport,nanochannel-confined ion transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,C8AD5B453CC,1999.0,2025.0,9.0,P1303,,,,,2020.0,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,C8AD5B453CC,2014.0,2023.0,3.0,P1320,,,,,2021.0,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C23B9BED21A,CF4A6A0344F,2012.0,2025.0,5.0,P0776,,,,,2021.0,ionic conduction,ion migration,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,CC3BA67827F,2021.0,2025.0,7.0,P0645,,,,,2021.0,ionic thermodiffusion (Soret effect),ionic-electronic coupling,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C45C8AAD12E,C78D65254F9,2019.0,2024.0,3.0,P1822,,,,,2021.0,charge-transfer resistance engineering,phase transition,electrode_interface,phase_or_species_transition,electrode_interface + phase_or_species_transition,source_supported_not_in_target,,2
C78D65254F9,CE4B0E242E7,2019.0,2024.0,3.0,P1822,,,,,2021.0,phase transition,interfacial charge transfer,phase_or_species_transition,electrode_interface,electrode_interface + phase_or_species_transition,source_supported_not_in_target,,2
C78D65254F9,CF4A6A0344F,2018.0,2024.0,3.0,P1593,,,,,2021.0,phase transition,ion migration,phase_or_species_transition,transport_mechanism,phase_or_species_transition + transport_mechanism,source_supported_not_in_target,,2
CC3BA67827F,CF4A6A0344F,2020.0,2023.0,4.0,P0603,,,,,2021.0,ionic-electronic coupling,ion migration,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C188B56F6F1,CC028ABF9C6,2021.0,2023.0,3.0,P0839,,,,,2022.0,ion-selectivity membrane transport,anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
C188B56F6F1,CE6FC512ED2,2022.0,2024.0,3.0,P0390,,,,,2022.0,ion-selectivity membrane transport,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,C98C1040415,2022.0,2025.0,3.0,P0570,,,,,2023.0,moisture-gradient ion transport,cation transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C08389FD6C6,CF203EF8121,2023.0,2023.0,2.0,P0375,,,,,2023.0,moisture-gradient ion transport,Eastman entropy of transfer,transport_mechanism,solvation_entropy,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C10C4FF4B6C,C46747A02A1,2023.0,2025.0,6.0,P0379,,,,,2023.0,hydrogen bonding,ion-pairing and complexation,solvation_entropy,solvation_entropy,solvation_entropy + solvation_entropy,source_supported_not_in_target,,2
C10C4FF4B6C,CFBB5A400A1,2023.0,2025.0,3.0,P0379,,,,,2023.0,hydrogen bonding,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C10D3798CF7,CF203EF8121,2019.0,2023.0,2.0,P1584,,,,,2023.0,selective solvation,Eastman entropy of transfer,solvation_entropy,solvation_entropy,solvation_entropy + solvation_entropy,source_supported_not_in_target,,2
C188B56F6F1,C96681C9193,2020.0,2025.0,4.0,P1096,,,,,2023.0,ion-selectivity membrane transport,ion channels,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,C46747A02A1,2022.0,2025.0,8.0,P0609,,,,,2023.0,ionic thermodiffusion (Soret effect),ion-pairing and complexation,transport_mechanism,solvation_entropy,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,C539540C36B,2023.0,2025.0,8.0,P0564,,,,,2023.0,ionic thermodiffusion (Soret effect),nanochannel-confined ion transport,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,CE6FC512ED2,2022.0,2025.0,7.0,P0609,,,,,2023.0,ionic thermodiffusion (Soret effect),dynamic crosslinked gel network,transport_mechanism,gel_microstructure,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
C3002C089A5,CEA29EF1A99,2013.0,2023.0,2.0,P1750,,,,,2023.0,ionic thermodiffusion (Soret effect),thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,device_mechanism + transport_mechanism,source_supported_not_in_target,,2
C46747A02A1,C7932B1CE8C,2023.0,2024.0,4.0,P0379,,,,,2023.0,ion-pairing and complexation,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,gel_microstructure + solvation_entropy,source_supported_not_in_target,,2
C46747A02A1,CE6FC512ED2,2022.0,2025.0,4.0,P0609,,,,,2023.0,ion-pairing and complexation,dynamic crosslinked gel network,solvation_entropy,gel_microstructure,gel_microstructure + solvation_entropy,source_supported_not_in_target,,2
C539540C36B,C96681C9193,2020.0,2025.0,6.0,P1096,,,,,2023.0,nanochannel-confined ion transport,ion channels,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C539540C36B,CF4A6A0344F,2023.0,2025.0,3.0,P0386,,,,,2023.0,nanochannel-confined ion transport,ion migration,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
C7932B1CE8C,CE6FC512ED2,2019.0,2025.0,6.0,P0644,,,,,2023.0,chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,gel_microstructure + gel_microstructure,source_supported_not_in_target,,2
C7932B1CE8C,CFBB5A400A1,2023.0,2023.0,2.0,P0379,,,,,2023.0,chaotropic polymer-water disruption,cation-anion thermodiffusion asymmetry,gel_microstructure,transport_mechanism,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
C8AD5B453CC,CF203EF8121,2022.0,2023.0,2.0,P0394,,,,,2023.0,ion diffusion,Eastman entropy of transfer,transport_mechanism,solvation_entropy,solvation_entropy + transport_mechanism,source_supported_not_in_target,,2
C8AD5B453CC,CFBB5A400A1,2021.0,2023.0,2.0,P0645,,,,,2023.0,ion diffusion,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,transport_mechanism + transport_mechanism,source_supported_not_in_target,,2
CA8C62A4868,CF203EF8121,2022.0,2025.0,3.0,P0560,,,,,2023.0,redox reaction entropy,Eastman entropy of transfer,solvation_entropy,solvation_entropy,solvation_entropy + solvation_entropy,source_supported_not_in_target,,2
CBFAB31D6E6,CC028ABF9C6,2022.0,2025.0,3.0,P1045,,,,,2023.0,electrostatic interaction,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,gel_microstructure + solvation_entropy,source_supported_not_in_target,,2
CC028ABF9C6,CC3BA67827F,2022.0,2023.0,2.0,P1705,,,,,2023.0,anti-freezing organohydrogel design,ionic-electronic coupling,gel_microstructure,transport_mechanism,gel_microstructure + transport_mechanism,source_supported_not_in_target,,2
