model,roc_auc,average_precision,candidates,positives,precision_at_5,hits_at_5,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,catboost_weight,graph_weight
w=0.12,0.7596532702915683,0.29999449272725637,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.12,0.88
w=0.13,0.7580772261623325,0.28948773917614795,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.13,0.87
w=0.16,0.7572892040977148,0.2849689662189662,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.16,0.84
w=0.15,0.7580772261623325,0.2845762155146243,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.15,0.85
w=0.14,0.7580772261623325,0.28368335837176717,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.14,0.86
w=0.18,0.7572892040977147,0.2804873367373368,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.18,0.8200000000000001
w=0.19,0.7572892040977147,0.2804873367373368,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.19,0.81
w=0.17,0.7565011820330969,0.2803393365893366,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.17,0.83
w=0.11,0.7580772261623325,0.2435216228032995,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.11,0.89
w=0.05,0.760441292356186,0.24276288691827758,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.05,0.95
w=0.09,0.7580772261623325,0.24230148875334478,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.09,0.91
w=0.10,0.7572892040977147,0.24212265826362792,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.1,0.9
w=0.08,0.7572892040977148,0.24166376833043499,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.08,0.92
w=0.06,0.7604412923561858,0.2395882837436744,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.06,0.94
w=0.04,0.7588652482269503,0.23874629521181248,150,9,0.4,2,0.3,3,0.12,3,0.1,5,0.04,0.96
w=0.07,0.7572892040977148,0.23070697820697822,150,9,0.4,2,0.3,3,0.16,4,0.1,5,0.07,0.9299999999999999
w=0.20,0.7568951930654058,0.23047847620216041,150,9,0.4,2,0.2,2,0.16,4,0.1,5,0.2,0.8
