,ion migration,ion-dipole interaction,ion-selectivity membr...,hydrogen bonding,chaotropic polymer-wa...,ion channels,ion diffusion,ion-pairing and compl...,dynamic crosslinked g...,anti-freezing organoh...,electrostatic interac...,moisture-gradient ion...,nanochannel-confined ...,ionic-electronic coup...,ionic thermodiffusion...
ion migration,,,0.8991129032258064,0.7944354838709677,0.7795564516129031,0.7210080645161291,0.8606048387096774,,0.7495564516129032,0.7998790322580647,,0.9150403225806452,0.8582258064516131,0.7104435483870969,
ion-dipole interaction,,,0.7464919354838709,0.8558870967741936,0.7317741935483871,0.6600806451612903,0.6847177419354838,0.862701612903226,0.7105645161290323,0.7395967741935483,,0.7526209677419355,0.709758064516129,,0.7772983870967742
ion-selectivity membr...,0.8991129032258064,0.7464919354838709,,0.7540322580645162,0.7125403225806451,0.7927016129032258,,,0.7735483870967742,0.8016532258064516,,,,0.7029838709677421,
hydrogen bonding,0.7944354838709677,0.8558870967741936,0.7540322580645162,,,0.6518951612903225,0.7440725806451614,0.9066129032258066,,,0.8137096774193548,,0.691008064516129,0.6594354838709677,
chaotropic polymer-wa...,0.7795564516129031,0.7317741935483871,0.7125403225806451,,,,0.7016532258064516,0.8252016129032258,0.8526612903225808,,0.7202822580645161,,0.6613709677419355,0.5958467741935484,
ion channels,0.7210080645161291,0.6600806451612903,0.7927016129032258,0.6518951612903225,,,0.7396370967741935,,,0.6749596774193549,,0.7660080645161291,,0.5646370967741935,0.7779435483870968
ion diffusion,0.8606048387096774,0.6847177419354838,,0.7440725806451614,0.7016532258064516,0.7396370967741935,,0.810282258064516,0.725241935483871,0.7427016129032259,0.5966935483870968,,,,
ion-pairing and compl...,,0.862701612903226,,0.9066129032258066,0.8252016129032258,,0.810282258064516,,,,0.820524193548387,,,,
dynamic crosslinked g...,0.7495564516129032,0.7105645161290323,0.7735483870967742,,0.8526612903225808,,0.725241935483871,,,,0.6741129032258065,,0.6682258064516129,0.5997580645161291,
anti-freezing organoh...,0.7998790322580647,0.7395967741935483,0.8016532258064516,,,0.6749596774193549,0.7427016129032259,,,,0.7270161290322581,,0.744274193548387,0.6343548387096775,
electrostatic interac...,,,,0.8137096774193548,0.7202822580645161,,0.5966935483870968,0.820524193548387,0.6741129032258065,0.7270161290322581,,0.69,,,
moisture-gradient ion...,0.9150403225806452,0.7526209677419355,,,,0.7660080645161291,,,,,0.69,,0.8789112903225806,,
nanochannel-confined ...,0.8582258064516131,0.709758064516129,,0.691008064516129,0.6613709677419355,,,,0.6682258064516129,0.744274193548387,,0.8789112903225806,,,
ionic-electronic coup...,0.7104435483870969,,0.7029838709677421,0.6594354838709677,0.5958467741935484,0.5646370967741935,,,0.5997580645161291,0.6343548387096775,,,,,
ionic thermodiffusion...,,0.7772983870967742,,,,0.7779435483870968,,,,,,,,,
