concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,label,pair_probability,node_adoption_compatibility,two_stage_score,future_rank,annual_graph_score,graph_rank_2027,calibrated_annual_probability,probability_note
C08389FD6C6,CF4A6A0344F,moisture-gradient ion transport,ion migration,transport_mechanism,transport_mechanism,0.7488869428634644,30,30,30,30,82,48,48,82,0.5853658536585366,42,26,68,5.666666666666667,4.666666666666667,24,33,22,0.5789473684210527,7.730566564003308,900,1,1,1,0,0,1,15,5,20,1,2026,2027-2027,0,0.8016414771100447,1.0,0.6683467741935484,11,0.9150403225806452,1,0.180752280464362,Exploratory one-year probability calibrated from 2020-2026 annual events
C10C4FF4B6C,C46747A02A1,hydrogen bonding,ion-pairing and complexation,solvation_entropy,solvation_entropy,0.6333999633789062,31,36,31,36,45,54,45,54,0.8333333333333334,31,32,63,7.333333333333333,6.333333333333333,22,15,26,0.6341463414634146,9.043629930885729,1116,1,1,1,0,0,1,15,17,32,1,2026,2027-2027,0,0.8353834450652253,1.0,0.6719758064516129,5,0.9066129032258066,2,0.17823601155159513,Exploratory one-year probability calibrated from 2020-2026 annual events
C188B56F6F1,CF4A6A0344F,ion-selectivity membrane transport,ion migration,transport_mechanism,transport_mechanism,0.7640577554702759,26,30,26,30,58,48,48,58,0.8275862068965517,30,26,56,5.333333333333333,4.666666666666667,27,33,20,0.5555555555555556,6.795880034422101,780,1,1,1,0,0,1,18,5,23,1,2026,2027-2027,0,0.8183038641811536,1.0,0.6701612903225806,8,0.8991129032258064,3,0.1760197947511301,Exploratory one-year probability calibrated from 2020-2026 annual events
C08389FD6C6,C539540C36B,moisture-gradient ion transport,nanochannel-confined ion transport,transport_mechanism,transport_mechanism,0.6501357555389404,30,23,23,30,82,26,26,82,0.3170731707317073,42,16,58,5.666666666666667,2.6666666666666665,24,8,20,0.6060606060606061,6.785051721612702,690,1,1,1,0,0,1,15,3,18,1,2026,2027-2027,0,0.8518899094954163,1.0,0.6731854838709678,3,0.8789112903225806,4,0.17015819708141577,Exploratory one-year probability calibrated from 2020-2026 annual events
C46747A02A1,C845F498233,ion-pairing and complexation,ion-dipole interaction,solvation_entropy,solvation_entropy,0.7289670705795288,36,21,21,36,54,14,14,54,0.2592592592592592,32,9,41,6.333333333333333,1.6666666666666667,15,7,19,0.5,6.238430122028388,756,1,1,1,0,0,1,17,2,19,1,2026,2027-2027,0,0.6869758311186381,1.0,0.6610887096774194,22,0.862701612903226,5,0.1655679297320027,Exploratory one-year probability calibrated from 2020-2026 annual events
C8AD5B453CC,CF4A6A0344F,ion diffusion,ion migration,transport_mechanism,transport_mechanism,0.8940117359161377,23,30,23,30,45,48,45,48,0.9375,22,26,48,3.0,4.666666666666667,27,33,17,0.4722222222222222,5.567449146696426,690,1,1,1,0,0,1,7,5,12,1,2026,2027-2027,0,0.634854819815998,1.0,0.65625,29,0.8606048387096774,6,0.16498147079984932,Exploratory one-year probability calibrated from 2020-2026 annual events
C539540C36B,CF4A6A0344F,nanochannel-confined ion transport,ion migration,transport_mechanism,transport_mechanism,0.7316980957984924,23,30,23,30,26,48,26,48,0.5416666666666666,16,26,42,2.6666666666666665,4.666666666666667,8,33,18,0.5142857142857142,6.207387960625316,690,1,1,1,0,0,1,3,5,8,1,2026,2027-2027,0,0.8066528780161752,1.0,0.6695564516129032,9,0.8582258064516131,7,0.16431808533892955,Exploratory one-year probability calibrated from 2020-2026 annual events
C10C4FF4B6C,C845F498233,hydrogen bonding,ion-dipole interaction,solvation_entropy,solvation_entropy,0.8224291801452637,31,21,21,31,45,14,14,45,0.3111111111111111,31,9,40,7.333333333333333,1.6666666666666667,22,7,18,0.5294117647058824,5.865604998861809,651,1,1,1,0,0,1,15,2,17,1,2026,2027-2027,0,0.6231903661339554,1.0,0.6550403225806452,31,0.8558870967741936,8,0.1636680341509771,Exploratory one-year probability calibrated from 2020-2026 annual events
C7932B1CE8C,CE6FC512ED2,chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.4072316586971283,30,29,29,30,34,41,34,41,0.8292682926829268,24,28,52,5.333333333333333,5.666666666666667,8,7,20,0.5128205128205128,6.482956883754077,870,1,1,1,0,0,1,13,11,24,1,2026,2027-2027,0,0.8470665767167509,1.0,0.6725806451612903,4,0.8526612903225808,9,0.16277480791274487,Exploratory one-year probability calibrated from 2020-2026 annual events
C10C4FF4B6C,CFBB5A400A1,hydrogen bonding,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,0.2842476069927215,31,33,31,33,45,43,43,45,0.9555555555555556,31,30,61,7.333333333333333,6.333333333333333,22,10,21,0.4883720930232558,6.595922645711656,1023,1,1,0,0,0,1,15,16,31,1,2026,2027-2027,0,0.8339280152258316,1.0,0.6713709677419355,6,0.8437903225806452,10,0.16033868501029966,Exploratory one-year probability calibrated from 2020-2026 annual events
C46747A02A1,C7932B1CE8C,ion-pairing and complexation,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,0.16407011449337,36,30,30,36,54,34,34,54,0.6296296296296297,32,24,56,6.333333333333333,5.333333333333333,15,8,25,0.6097560975609756,8.69484624704929,1080,1,1,0,0,0,1,17,13,30,1,2026,2027-2027,0,0.821900088481103,1.0,0.6707661290322581,7,0.8252016129032258,11,0.1553296581243283,Exploratory one-year probability calibrated from 2020-2026 annual events
C46747A02A1,CBFAB31D6E6,ion-pairing and complexation,electrostatic interaction,solvation_entropy,solvation_entropy,0.6686769127845764,36,19,19,36,54,16,16,54,0.2962962962962963,32,7,39,6.333333333333333,0.3333333333333333,15,11,17,0.4473684210526316,5.608388791155963,684,1,1,1,0,0,1,17,3,20,1,2026,2027-2027,0,0.3950119203084656,1.0,0.6290322580645161,69,0.820524193548387,12,0.15408953759624122,Exploratory one-year probability calibrated from 2020-2026 annual events
C10C4FF4B6C,CBFAB31D6E6,hydrogen bonding,electrostatic interaction,solvation_entropy,solvation_entropy,0.8394593000411987,31,19,19,31,45,16,16,45,0.3555555555555555,31,7,38,7.333333333333333,0.3333333333333333,22,11,16,0.4705882352941176,5.235563667989383,589,1,1,1,0,0,1,15,3,18,1,2026,2027-2027,0,0.3688027327048378,1.0,0.626008064516129,74,0.8137096774193548,13,0.1522973167376824,Exploratory one-year probability calibrated from 2020-2026 annual events
C46747A02A1,C8AD5B453CC,ion-pairing and complexation,ion diffusion,solvation_entropy,transport_mechanism,0.4042339026927948,36,23,23,36,54,45,45,54,0.8333333333333334,32,22,54,6.333333333333333,3.0,15,27,17,0.4047619047619047,5.352719445383161,828,1,1,0,0,0,1,17,7,24,1,2026,2027-2027,0,0.6062947882621452,1.0,0.6538306451612903,33,0.810282258064516,14,0.1514023855224947,Exploratory one-year probability calibrated from 2020-2026 annual events
C188B56F6F1,CC028ABF9C6,ion-selectivity membrane transport,anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,0.0663753226399421,26,35,26,35,58,58,58,58,1.0,30,36,66,5.333333333333333,7.333333333333333,27,19,21,0.525,7.142173689390039,910,1,1,0,0,0,1,18,25,43,1,2026,2027-2027,0,0.5514269942242441,1.0,0.6514112903225806,37,0.8016532258064516,15,0.14916839421845318,Exploratory one-year probability calibrated from 2020-2026 annual events
CC028ABF9C6,CF4A6A0344F,anti-freezing organohydrogel design,ion migration,gel_microstructure,transport_mechanism,0.007837857119739,35,30,30,35,58,48,48,58,0.8275862068965517,36,26,62,7.333333333333333,4.666666666666667,19,33,22,0.5116279069767442,7.593053997629763,1050,1,1,0,0,0,1,25,5,30,1,2026,2027-2027,0,0.396789713929069,1.0,0.6296370967741935,68,0.7998790322580647,16,0.14871245219433846,Exploratory one-year probability calibrated from 2020-2026 annual events
C10C4FF4B6C,CF4A6A0344F,hydrogen bonding,ion migration,solvation_entropy,transport_mechanism,0.1693423986434936,31,30,30,31,45,48,45,48,0.9375,31,26,57,7.333333333333333,4.666666666666667,22,33,19,0.4523809523809524,6.0622604271344995,930,1,1,0,0,0,1,15,5,20,1,2026,2027-2027,0,0.6398523462775842,1.0,0.6568548387096774,28,0.7944354838709677,17,0.14732071499503163,Exploratory one-year probability calibrated from 2020-2026 annual events
C188B56F6F1,C96681C9193,ion-selectivity membrane transport,ion channels,transport_mechanism,transport_mechanism,0.8086342811584473,26,18,18,26,58,9,9,58,0.1551724137931034,30,6,36,5.333333333333333,1.6666666666666667,27,7,15,0.5172413793103449,5.25461588586469,468,1,1,1,0,0,1,18,2,20,1,2026,2027-2027,0,0.3773966757312934,1.0,0.6266129032258064,73,0.7927016129032258,18,0.14687968904174567,Exploratory one-year probability calibrated from 2020-2026 annual events
C7932B1CE8C,CFBB5A400A1,chaotropic polymer-water disruption,cation-anion thermodiffusion asymmetry,gel_microstructure,transport_mechanism,0.1283621788024902,30,33,30,33,34,43,34,43,0.7906976744186046,24,30,54,5.333333333333333,6.333333333333333,8,10,20,0.4651162790697674,6.24713896187522,990,1,1,0,0,0,1,13,16,29,1,2026,2027-2027,0,0.4377275354874171,1.0,0.6356854838709678,61,0.788266129032258,19,0.14575645668656265,Exploratory one-year probability calibrated from 2020-2026 annual events
C7932B1CE8C,CF4A6A0344F,chaotropic polymer-water disruption,ion migration,gel_microstructure,transport_mechanism,0.174262136220932,30,30,30,30,34,48,34,48,0.7083333333333334,24,26,50,5.333333333333333,4.666666666666667,8,33,18,0.4285714285714285,5.713476743298063,900,1,1,0,0,0,1,13,5,18,1,2026,2027-2027,0,0.4060029792766387,1.0,0.6308467741935484,67,0.7795564516129031,20,0.14357157159400535,Exploratory one-year probability calibrated from 2020-2026 annual events
C3002C089A5,C96681C9193,ionic thermodiffusion (Soret effect),ion channels,transport_mechanism,transport_mechanism,0.4429627060890198,44,18,18,44,136,9,9,136,0.0661764705882353,77,6,83,12.666666666666666,1.6666666666666667,27,7,15,0.3191489361702128,4.936612432136139,792,1,1,1,0,0,1,38,2,40,1,2026,2027-2027,0,0.4085238161240619,1.0,0.6314516129032258,66,0.7779435483870968,21,0.14316996767418788,Exploratory one-year probability calibrated from 2020-2026 annual events
C3002C089A5,C845F498233,ionic thermodiffusion (Soret effect),ion-dipole interaction,transport_mechanism,solvation_entropy,0.3329166769981384,44,21,21,44,136,14,14,136,0.1029411764705882,77,9,86,12.666666666666666,1.6666666666666667,27,7,16,0.3265306122448979,4.905286927994446,924,1,1,0,0,0,1,38,2,40,1,2026,2027-2027,0,0.525181636409746,1.0,0.6495967741935484,40,0.7772983870967742,22,0.14300958828067076,Exploratory one-year probability calibrated from 2020-2026 annual events
