,ion migration,ion-dipole interaction,ion-selectivity membr...,hydrogen bonding,chaotropic polymer-wa...,ion channels,ion diffusion,ion-pairing and compl...,dynamic crosslinked g...,anti-freezing organoh...,electrostatic interac...,moisture-gradient ion...,nanochannel-confined ...,ionic-electronic coup...,ionic thermodiffusion...
ion migration,,,0.1760197947511301,0.14732071499503163,0.14357157159400535,0.12958452949651833,0.16498147079984932,,0.13625391756288707,0.14871245219433846,,0.180752280464362,0.16431808533892955,0.12718780945849717,
ion-dipole interaction,,,0.135524373368858,0.1636680341509771,0.13206642738705493,0.11627779829677845,0.12150959827434898,0.1655679297320027,0.12721503722035823,0.13389493932227173,,0.13698676666509177,0.12703361283016304,,0.14300958828067076
ion-selectivity membr...,0.1760197947511301,0.135524373368858,,0.13732537670311282,0.12766046253737293,0.14687968904174567,,,0.14208034473323247,0.14916839421845318,,,,0.12551836228131066,
hydrogen bonding,0.14732071499503163,0.1636680341509771,0.13732537670311282,,,0.11458335669676081,0.13495074645508,0.17823601155159513,,,0.1522973167376824,,0.12287749191732382,0.11614346017977159,
chaotropic polymer-wa...,0.14357157159400535,0.13206642738705493,0.12766046253737293,,,,0.12522254891026044,0.1553296581243283,0.16277480791274487,,0.12941864713047233,,0.11654687937193804,0.10355004468772142,
ion channels,0.12958452949651833,0.11627779829677845,0.14687968904174567,0.11458335669676081,,,0.13390441984812454,,,0.11941358609506617,,0.14022711734370563,,0.09782207385946265,0.14316996767418788
ion diffusion,0.16498147079984932,0.12150959827434898,,0.13495074645508,0.12522254891026044,0.13390441984812454,,0.1514023855224947,0.1305557864128523,0.1346266016824711,0.103709513551646,,,,
ion-pairing and compl...,,0.1655679297320027,,0.17823601155159513,0.1553296581243283,,0.1514023855224947,,,,0.15408953759624122,,,,
dynamic crosslinked g...,0.13625391756288707,0.12721503722035823,0.14208034473323247,,0.16277480791274487,,0.1305557864128523,,,,0.11923318218818914,,0.11798545032665597,0.10428845531030347,
anti-freezing organoh...,0.14871245219433846,0.13389493932227173,0.14916839421845318,,,0.11941358609506617,0.1346266016824711,,,,0.13096462535307363,,0.13499847032158804,0.1110247000103439,
electrostatic interac...,,,,0.1522973167376824,0.12941864713047233,,0.103709513551646,0.15408953759624122,0.11923318218818914,0.13096462535307363,,0.12265739065011545,,,
moisture-gradient ion...,0.180752280464362,0.13698676666509177,,,,0.14022711734370563,,,,,0.12265739065011545,,0.17015819708141577,,
nanochannel-confined ...,0.16431808533892955,0.12703361283016304,,0.12287749191732382,0.11654687937193804,,,,0.11798545032665597,0.13499847032158804,,0.17015819708141577,,,
ionic-electronic coup...,0.12718780945849717,,0.12551836228131066,0.11614346017977159,0.10355004468772142,0.09782207385946265,,,0.10428845531030347,0.1110247000103439,,,,,
ionic thermodiffusion...,,0.14300958828067076,,,,0.14316996767418788,,,,,,,,,
