concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,label,pair_probability,node_adoption_compatibility,two_stage_score,future_rank
C3002C089A5,CEA29EF1A99,ionic thermodiffusion (Soret effect),thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,0.31740042567253113,44,12,12,44,136,29,29,136,0.21323529411764705,77,13,90,12.666666666666666,1.0,27,13,11,0.24444444444444444,3.753101075175758,528,1,1,0,0,0,1,38,17,55,1,2026,2027-2027,0,0.889880035382896,1.0,0.6743951612903226,1
CEA29EF1A99,CFBB5A400A1,thermal-gradient heat-transfer control,cation-anion thermodiffusion asymmetry,device_mechanism,transport_mechanism,0.3272450566291809,12,33,12,33,29,43,29,43,0.6744186046511628,13,30,43,1.0,6.333333333333333,13,10,8,0.21621621621621623,2.3991335573190433,396,1,1,0,0,0,1,17,16,33,1,2026,2027-2027,0,0.8527493249616508,1.0,0.6737903225806452,2
C08389FD6C6,C539540C36B,moisture-gradient ion transport,nanochannel-confined ion transport,transport_mechanism,transport_mechanism,0.6501357555389404,30,23,23,30,82,26,26,82,0.3170731707317073,42,16,58,5.666666666666667,2.6666666666666665,24,8,20,0.6060606060606061,6.785051721612702,690,1,1,1,0,0,1,15,3,18,1,2026,2027-2027,0,0.8518899094954163,1.0,0.6731854838709678,3
C7932B1CE8C,CE6FC512ED2,chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.4072316586971283,30,29,29,30,34,41,34,41,0.8292682926829268,24,28,52,5.333333333333333,5.666666666666667,8,7,20,0.5128205128205128,6.482956883754077,870,1,1,1,0,0,1,13,11,24,1,2026,2027-2027,0,0.8470665767167509,1.0,0.6725806451612903,4
C10C4FF4B6C,C46747A02A1,hydrogen bonding,ion-pairing and complexation,solvation_entropy,solvation_entropy,0.6333999633789062,31,36,31,36,45,54,45,54,0.8333333333333334,31,32,63,7.333333333333333,6.333333333333333,22,15,26,0.6341463414634146,9.043629930885727,1116,1,1,1,0,0,1,15,17,32,1,2026,2027-2027,0,0.8353834450652253,1.0,0.6719758064516129,5
C10C4FF4B6C,CFBB5A400A1,hydrogen bonding,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,0.28424760699272156,31,33,31,33,45,43,43,45,0.9555555555555556,31,30,61,7.333333333333333,6.333333333333333,22,10,21,0.4883720930232558,6.595922645711656,1023,1,1,0,0,0,1,15,16,31,1,2026,2027-2027,0,0.8339280152258316,1.0,0.6713709677419355,6
C46747A02A1,C7932B1CE8C,ion-pairing and complexation,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,0.16407011449337006,36,30,30,36,54,34,34,54,0.6296296296296297,32,24,56,6.333333333333333,5.333333333333333,15,8,25,0.6097560975609756,8.69484624704929,1080,1,1,0,0,0,1,17,13,30,1,2026,2027-2027,0,0.821900088481103,1.0,0.6707661290322581,7
C188B56F6F1,CF4A6A0344F,ion-selectivity membrane transport,ion migration,transport_mechanism,transport_mechanism,0.7640577554702759,26,30,26,30,58,48,48,58,0.8275862068965517,30,26,56,5.333333333333333,4.666666666666667,27,33,20,0.5555555555555556,6.795880034422101,780,1,1,1,0,0,1,18,5,23,1,2026,2027-2027,0,0.8183038641811536,1.0,0.6701612903225806,8
C539540C36B,CF4A6A0344F,nanochannel-confined ion transport,ion migration,transport_mechanism,transport_mechanism,0.7316980957984924,23,30,23,30,26,48,26,48,0.5416666666666666,16,26,42,2.6666666666666665,4.666666666666667,8,33,18,0.5142857142857142,6.207387960625316,690,1,1,1,0,0,1,3,5,8,1,2026,2027-2027,0,0.8066528780161752,1.0,0.6695564516129032,9
C10C4FF4B6C,C45C8AAD12E,hydrogen bonding,charge-transfer resistance engineering,solvation_entropy,electrode_interface,0.22828373312950134,31,15,15,31,45,32,32,45,0.7111111111111111,31,10,41,7.333333333333333,0.3333333333333333,22,32,8,0.21052631578947367,2.4994373822816183,465,1,1,0,0,0,1,15,19,34,1,2026,2027-2027,0,0.8019424881623772,1.0,0.6689516129032258,10
C08389FD6C6,CF4A6A0344F,moisture-gradient ion transport,ion migration,transport_mechanism,transport_mechanism,0.7488869428634644,30,30,30,30,82,48,48,82,0.5853658536585366,42,26,68,5.666666666666667,4.666666666666667,24,33,22,0.5789473684210527,7.730566564003308,900,1,1,1,0,0,1,15,5,20,1,2026,2027-2027,0,0.8016414771100447,1.0,0.6683467741935484,11
C10C4FF4B6C,CE4B0E242E7,hydrogen bonding,interfacial charge transfer,solvation_entropy,electrode_interface,0.2480388730764389,31,19,19,31,45,36,36,45,0.8,31,12,43,7.333333333333333,0.6666666666666666,22,33,10,0.25,3.1029955812375922,589,1,1,0,0,0,1,15,11,26,1,2026,2027-2027,0,0.7694923605378188,1.0,0.667741935483871,12
CC3BA67827F,CE6FC512ED2,ionic-electronic coupling,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,0.15733285248279572,15,29,15,29,48,41,41,48,0.8541666666666666,17,28,45,1.6666666666666667,5.666666666666667,33,7,11,0.3333333333333333,3.2453887133859025,435,1,1,0,0,0,1,1,11,12,1,2026,2027-2027,0,0.7487817552551722,1.0,0.6671370967741935,13
C188B56F6F1,CEA29EF1A99,ion-selectivity membrane transport,thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,0.167332261800766,26,12,12,26,58,29,29,58,0.5,30,13,43,5.333333333333333,1.0,27,13,8,0.26666666666666666,2.4556146679207207,312,1,1,0,0,0,1,18,17,35,1,2026,2027-2027,0,0.740951224306581,1.0,0.6665322580645161,14
C08389FD6C6,CEA29EF1A99,moisture-gradient ion transport,thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,0.2535187602043152,30,12,12,30,82,29,29,82,0.35365853658536583,42,13,55,5.666666666666667,1.0,24,13,10,0.3125,3.24244599435401,360,1,1,0,0,0,1,15,17,32,1,2026,2027-2027,0,0.735514193283172,1.0,0.6659274193548388,15
C46747A02A1,C5E47CC0A62,ion-pairing and complexation,Hofmeister/chaotropic effect,solvation_entropy,gel_microstructure,0.3616507053375244,36,14,14,36,54,11,11,54,0.2037037037037037,32,8,40,6.333333333333333,2.0,15,8,11,0.28205128205128205,3.848903630280176,504,1,1,0,0,0,1,17,8,25,1,2026,2027-2027,0,0.7332017657684556,1.0,0.6653225806451613,16
C10D3798CF7,CFBB5A400A1,selective solvation,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,0.28060194849967957,17,33,17,33,11,43,11,43,0.2558139534883721,7,30,37,1.3333333333333333,6.333333333333333,7,10,10,0.25,3.0653370955721955,561,1,1,0,0,0,1,18,16,34,1,2026,2027-2027,0,0.7253711196147726,1.0,0.6647177419354839,17
C10D3798CF7,C46747A02A1,selective solvation,ion-pairing and complexation,solvation_entropy,solvation_entropy,0.656085193157196,17,36,17,36,11,54,11,54,0.2037037037037037,7,32,39,1.3333333333333333,6.333333333333333,7,15,12,0.2926829268292683,3.8682370229134437,612,1,1,1,0,0,1,18,17,35,1,2026,2027-2027,0,0.7024941934047843,1.0,0.6635080645161291,18
C46A965349B,CFBB5A400A1,anion transport,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,0.6425436735153198,16,33,16,33,6,43,6,43,0.13953488372093023,4,30,34,1.0,6.333333333333333,6,10,12,0.32432432432432434,3.723113171084801,528,1,1,1,0,0,1,1,16,17,1,2026,2027-2027,0,0.6951957804382751,1.0,0.6629032258064516,19
CEA29EF1A99,CF4A6A0344F,thermal-gradient heat-transfer control,ion migration,device_mechanism,transport_mechanism,0.18232697248458862,12,30,12,30,29,48,29,48,0.6041666666666666,13,26,39,1.0,4.666666666666667,13,33,9,0.2727272727272727,2.902822722458901,360,1,1,0,0,0,1,17,5,22,1,2026,2027-2027,0,0.692936116442248,1.0,0.6622983870967742,20
CC3BA67827F,CF4A6A0344F,ionic-electronic coupling,ion migration,transport_mechanism,transport_mechanism,0.7222399711608887,15,30,15,30,48,48,48,48,1.0,17,26,43,1.6666666666666667,4.666666666666667,33,33,12,0.36363636363636365,3.5943250702252603,450,1,1,1,0,0,1,1,5,6,1,2026,2027-2027,0,0.6916166338839296,1.0,0.6616935483870968,21
C46747A02A1,C845F498233,ion-pairing and complexation,ion-dipole interaction,solvation_entropy,solvation_entropy,0.7289670705795288,36,21,21,36,54,14,14,54,0.25925925925925924,32,9,41,6.333333333333333,1.6666666666666667,15,7,19,0.5,6.238430122028388,756,1,1,1,0,0,1,17,2,19,1,2026,2027-2027,0,0.6869758311186381,1.0,0.6610887096774194,22
C188B56F6F1,CB25BC3FC14,ion-selectivity membrane transport,double/interpenetrating network,transport_mechanism,gel_microstructure,0.1780344545841217,26,24,24,26,58,18,18,58,0.3103448275862069,30,11,41,5.333333333333333,1.3333333333333333,27,4,18,0.5625,6.149862774048442,624,1,1,0,0,0,1,18,9,27,1,2026,2027-2027,0,0.6627968857726384,1.0,0.660483870967742,23
C96681C9193,CFBB5A400A1,ion channels,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,0.3922494351863861,18,33,18,33,9,43,9,43,0.20930232558139536,6,30,36,1.6666666666666667,6.333333333333333,7,10,13,0.34210526315789475,3.9839394007759132,594,1,1,1,0,0,1,2,16,18,1,2026,2027-2027,0,0.6612704303117608,1.0,0.6598790322580645,24
CBFAB31D6E6,CE6FC512ED2,electrostatic interaction,dynamic crosslinked gel network,solvation_entropy,gel_microstructure,0.2271399199962616,19,29,19,29,16,41,16,41,0.3902439024390244,7,28,35,0.3333333333333333,5.666666666666667,11,7,14,0.4117647058823529,4.497916834281263,551,1,1,0,0,0,1,3,11,14,1,2026,2027-2027,0,0.6601839913531713,1.0,0.6592741935483871,25
C188B56F6F1,C7932B1CE8C,ion-selectivity membrane transport,chaotropic polymer-water disruption,transport_mechanism,gel_microstructure,0.17676039040088654,26,30,26,30,58,34,34,58,0.5862068965517241,30,24,54,5.333333333333333,5.333333333333333,27,8,15,0.36585365853658536,4.51407144494412,780,1,1,0,0,0,1,18,13,31,1,2026,2027-2027,0,0.6544043997948821,1.0,0.6586693548387097,26
