concept_id,concept,concept_type,cutoff_year,ite_document_frequency,ite_recent_frequency,ite_previous_frequency,ite_trend,ite_age,ite_degree,ite_weighted_degree,tg_neighbor_exposure,tg_neighbor_fraction,semantic_mean_to_tg,semantic_max_to_tg,label
C10C4FF4B6C,hydrogen bonding,solvation_entropy,2013,3,1,1,0.0,9,0,0,0,0.0,0.36159998178482056,0.8394593000411987,0
C23B9BED21A,ionic conduction,transport_mechanism,2013,18,5,2,1.0,21,2,2,0,0.0,0.3796074390411377,0.7166035175323486,1
C78D65254F9,phase transition,phase_or_species_transition,2013,10,3,1,0.6666666666666666,10,2,2,0,0.0,0.1505565643310547,0.21482259035110474,0
C8AD5B453CC,ion diffusion,transport_mechanism,2013,2,0,0,0.0,14,2,2,2,1.0,0.36813846230506897,0.7644132375717163,0
CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,2013,3,2,0,0.6666666666666666,6,0,0,0,0.0,0.14361785352230072,0.33147507905960083,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2013,10,0,1,-0.3333333333333333,20,2,2,1,0.5,0.35619470477104187,0.6116566061973572,0
CD486BA800F,host-guest complexation,solvation_entropy,2013,2,0,0,0.0,10,2,2,2,1.0,0.3571741282939911,0.736404538154602,0
CF4A6A0344F,ion migration,transport_mechanism,2013,6,1,1,0.0,20,2,2,1,0.5,0.3662576675415039,0.7640577554702759,0
C10C4FF4B6C,hydrogen bonding,solvation_entropy,2014,3,1,0,0.3333333333333333,10,0,0,0,0.0,0.35154396295547485,0.8394593000411987,0
C78D65254F9,phase transition,phase_or_species_transition,2014,11,4,0,1.3333333333333333,11,2,2,1,0.5,0.15270911157131195,0.21482259035110474,0
C8AD5B453CC,ion diffusion,transport_mechanism,2014,3,1,0,0.3333333333333333,15,3,3,3,1.0,0.3970232307910919,0.8591793179512024,0
CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,2014,3,1,1,0.0,7,0,0,0,0.0,0.1359192281961441,0.33147507905960083,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2014,11,1,1,0.0,21,2,2,1,0.5,0.3823239207267761,0.8003907203674316,0
CD486BA800F,host-guest complexation,solvation_entropy,2014,2,0,0,0.0,11,2,2,2,1.0,0.35186442732810974,0.736404538154602,0
CF4A6A0344F,ion migration,transport_mechanism,2014,6,1,1,0.0,21,2,2,2,1.0,0.3925688862800598,0.813549280166626,0
C10C4FF4B6C,hydrogen bonding,solvation_entropy,2015,3,1,0,0.3333333333333333,11,0,0,0,0.0,0.35154396295547485,0.8394593000411987,0
C78D65254F9,phase transition,phase_or_species_transition,2015,15,8,0,2.6666666666666665,12,2,2,1,0.5,0.15270911157131195,0.21482259035110474,1
C8AD5B453CC,ion diffusion,transport_mechanism,2015,3,1,0,0.3333333333333333,16,3,3,3,1.0,0.3970232307910919,0.8591793179512024,0
CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,2015,3,0,2,-0.6666666666666666,8,0,0,0,0.0,0.1359192281961441,0.33147507905960083,1
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2015,11,1,0,0.3333333333333333,22,2,2,1,0.5,0.3823239207267761,0.8003907203674316,0
CD486BA800F,host-guest complexation,solvation_entropy,2015,2,0,0,0.0,12,2,2,2,1.0,0.35186442732810974,0.736404538154602,1
CF4A6A0344F,ion migration,transport_mechanism,2015,6,0,2,-0.6666666666666666,22,2,2,2,1.0,0.3925688862800598,0.813549280166626,0
C10C4FF4B6C,hydrogen bonding,solvation_entropy,2016,3,0,1,-0.3333333333333333,12,0,0,0,0.0,0.36016103625297546,0.8394593000411987,0
C8AD5B453CC,ion diffusion,transport_mechanism,2016,4,2,0,0.6666666666666666,17,3,3,3,1.0,0.38137272000312805,0.8591793179512024,0
CB314592CFB,precipitation and species redistribution,phase_or_species_transition,2016,2,2,0,0.6666666666666666,0,0,0,0,0.0,0.16569817066192627,0.784670352935791,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2016,12,2,0,0.6666666666666666,23,3,3,3,1.0,0.36142945289611816,0.8003907203674316,0
CF4A6A0344F,ion migration,transport_mechanism,2016,6,0,1,-0.3333333333333333,23,2,2,2,1.0,0.3710450232028961,0.813549280166626,0
C10C4FF4B6C,hydrogen bonding,solvation_entropy,2017,4,1,1,0.0,13,0,0,0,0.0,0.3782159388065338,0.8394593000411987,0
C8AD5B453CC,ion diffusion,transport_mechanism,2017,5,2,1,0.3333333333333333,18,3,3,3,1.0,0.3787129819393158,0.8591793179512024,0
CB314592CFB,precipitation and species redistribution,phase_or_species_transition,2017,2,2,0,0.6666666666666666,1,0,0,0,0.0,0.16637083888053894,0.784670352935791,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2017,13,2,1,0.3333333333333333,24,3,3,3,1.0,0.35855987668037415,0.8003907203674316,0
CF4A6A0344F,ion migration,transport_mechanism,2017,6,0,1,-0.3333333333333333,24,2,2,2,1.0,0.3675851821899414,0.813549280166626,0
C10C4FF4B6C,hydrogen bonding,solvation_entropy,2018,4,1,1,0.0,14,0,0,0,0.0,0.36535537242889404,0.8394593000411987,0
C8AD5B453CC,ion diffusion,transport_mechanism,2018,6,3,1,0.6666666666666666,19,3,3,3,1.0,0.362488716840744,0.8591793179512024,0
CB314592CFB,precipitation and species redistribution,phase_or_species_transition,2018,2,2,0,0.6666666666666666,2,0,0,0,0.0,0.16143891215324402,0.784670352935791,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2018,14,3,1,0.6666666666666666,25,3,3,3,1.0,0.3499703109264374,0.8003907203674316,0
CF4A6A0344F,ion migration,transport_mechanism,2018,7,1,0,0.3333333333333333,25,3,3,3,1.0,0.35388773679733276,0.813549280166626,0
C10C4FF4B6C,hydrogen bonding,solvation_entropy,2019,5,2,0,0.6666666666666666,15,3,3,2,0.6666666666666666,0.36084070801734924,0.8394593000411987,0
C8AD5B453CC,ion diffusion,transport_mechanism,2019,7,3,2,0.3333333333333333,20,5,5,4,0.8,0.3588739335536957,0.8591793179512024,1
CB314592CFB,precipitation and species redistribution,phase_or_species_transition,2019,2,0,2,-0.6666666666666666,3,0,0,0,0.0,0.1727026253938675,0.784670352935791,0
CC3BA67827F,ionic-electronic coupling,transport_mechanism,2019,16,4,2,0.6666666666666666,26,4,6,3,0.75,0.344300240278244,0.8003907203674316,0
CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,2019,2,2,0,0.6666666666666666,0,4,5,2,0.5,0.16627144813537598,0.4400594234466553,0
CF4A6A0344F,ion migration,transport_mechanism,2019,8,2,0,0.6666666666666666,26,3,3,3,1.0,0.3508387506008148,0.813549280166626,0
