params,validation_ap,validation_auc
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.3611111111111111,0.5
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.35,0.4375
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.35,0.4375
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.35,0.4375
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.30952380952380953,0.5625
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.29166666666666663,0.5
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.2777777777777778,0.4375
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.2777777777777778,0.4375
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.2777777777777778,0.4375
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.26666666666666666,0.375
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.26666666666666666,0.375
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.26666666666666666,0.375
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.26666666666666666,0.375
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.2361111111111111,0.375
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.225,0.3125
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.225,0.3125
