concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,label
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,0.18714967370033264,2,2,2,2,18,10,10,18,0.5555555555555556,5,3,8,1.0,0.6666666666666666,21,10,0,0.0,0.0,4,1,1,0,0,0,1,0,0,0,0,2013,2014-2014,0
C23B9BED21A,CF4A6A0344F,ionic conduction,ion migration,transport_mechanism,transport_mechanism,0.8135492205619812,2,2,2,2,18,6,6,18,0.3333333333333333,5,1,6,1.0,0.0,21,20,0,0.0,0.0,4,1,1,1,0,0,1,0,0,0,0,2013,2014-2014,0
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,0.5854768753051758,4,2,2,4,5,2,2,5,0.4,1,0,1,-0.3333333333333333,0.0,14,14,1,0.2,0.9102392266268373,8,1,1,1,0,0,1,7,0,7,0,2013,2014-2014,0
C3002C089A5,CC5968B917E,ionic thermodiffusion (Soret effect),convection and mass transport,transport_mechanism,transport_mechanism,0.32778722047805786,4,3,3,4,5,3,3,5,0.6,1,0,1,-0.3333333333333333,-0.3333333333333333,14,14,1,0.16666666666666666,1.4426950408889634,12,1,1,1,0,0,1,7,4,11,1,2013,2014-2014,0
C3002C089A5,CF4A6A0344F,ionic thermodiffusion (Soret effect),ion migration,transport_mechanism,transport_mechanism,0.555216372013092,4,2,2,4,5,6,5,6,0.8333333333333334,1,1,2,-0.3333333333333333,0.0,14,20,0,0.0,0.0,8,1,1,1,0,0,1,7,0,7,0,2013,2014-2014,0
C45C8AAD12E,CD486BA800F,charge-transfer resistance engineering,host-guest complexation,electrode_interface,solvation_entropy,0.25217893719673157,2,2,2,2,5,2,2,5,0.4,1,0,1,-0.3333333333333333,0.0,19,10,1,0.3333333333333333,1.4426950408889634,4,1,1,0,0,0,1,3,0,3,0,2013,2014-2014,0
C78D65254F9,CC3BA67827F,phase transition,ionic-electronic coupling,phase_or_species_transition,transport_mechanism,0.14667001366615295,2,2,2,2,10,10,10,10,1.0,3,0,3,0.6666666666666666,-0.3333333333333333,10,20,0,0.0,0.0,4,1,1,0,0,0,1,0,0,0,0,2013,2014-2014,0
C8AD5B453CC,CC5968B917E,ion diffusion,convection and mass transport,transport_mechanism,transport_mechanism,0.5085238218307495,2,3,2,3,2,3,2,3,0.6666666666666666,0,0,0,0.0,-0.3333333333333333,14,14,1,0.25,0.7213475204444817,6,1,1,1,0,0,1,0,4,4,0,2013,2014-2014,0
CC3BA67827F,CC5968B917E,ionic-electronic coupling,convection and mass transport,transport_mechanism,transport_mechanism,0.39798370003700256,2,3,2,3,10,3,3,10,0.3,0,0,0,-0.3333333333333333,-0.3333333333333333,20,14,0,0.0,0.0,6,1,1,1,0,0,1,0,4,4,0,2013,2014-2014,0
CD486BA800F,CE4B0E242E7,host-guest complexation,interfacial charge transfer,solvation_entropy,electrode_interface,0.2608962059020996,2,2,2,2,2,7,2,7,0.2857142857142857,0,1,1,0.0,-0.3333333333333333,10,20,1,0.3333333333333333,1.4426950408889634,4,1,1,0,0,0,1,0,2,2,0,2013,2014-2014,0
C08389FD6C6,C8AD5B453CC,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,0.7253009080886841,2,3,2,3,3,3,3,3,1.0,1,1,2,0.3333333333333333,0.3333333333333333,12,15,0,0.0,0.0,6,1,1,1,0,0,1,2,0,2,0,2014,2015-2015,0
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,0.18714967370033264,2,2,2,2,18,11,11,18,0.6111111111111112,3,4,7,0.0,1.3333333333333333,22,11,0,0.0,0.0,4,1,1,0,0,0,1,1,0,1,0,2014,2015-2015,0
C23B9BED21A,CF4A6A0344F,ionic conduction,ion migration,transport_mechanism,transport_mechanism,0.8135492205619812,2,2,2,2,18,6,6,18,0.3333333333333333,3,1,4,0.0,0.0,22,21,0,0.0,0.0,4,1,1,1,0,0,1,1,0,1,0,2014,2015-2015,0
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,0.5854768753051758,4,3,3,4,5,3,3,5,0.6,1,1,2,-0.3333333333333333,0.3333333333333333,15,15,1,0.16666666666666666,0.9102392266268373,12,1,1,1,0,0,1,7,0,7,0,2014,2015-2015,0
C3002C089A5,CC5968B917E,ionic thermodiffusion (Soret effect),convection and mass transport,transport_mechanism,transport_mechanism,0.32778722047805786,4,3,3,4,5,4,4,5,0.8,1,1,2,-0.3333333333333333,0.3333333333333333,15,15,1,0.16666666666666666,0.9102392266268373,12,1,1,1,0,0,1,7,6,13,1,2014,2015-2015,0
C3002C089A5,CF4A6A0344F,ionic thermodiffusion (Soret effect),ion migration,transport_mechanism,transport_mechanism,0.555216372013092,4,2,2,4,5,6,5,6,0.8333333333333334,1,1,2,-0.3333333333333333,0.0,15,21,0,0.0,0.0,8,1,1,1,0,0,1,7,0,7,0,2014,2015-2015,0
C45C8AAD12E,CD486BA800F,charge-transfer resistance engineering,host-guest complexation,electrode_interface,solvation_entropy,0.25217893719673157,2,2,2,2,5,2,2,5,0.4,1,0,1,-0.3333333333333333,0.0,20,11,1,0.3333333333333333,1.4426950408889634,4,1,1,0,0,0,1,3,0,3,0,2014,2015-2015,0
C78D65254F9,CC3BA67827F,phase transition,ionic-electronic coupling,phase_or_species_transition,transport_mechanism,0.14667001366615295,2,2,2,2,11,11,11,11,1.0,4,1,5,1.3333333333333333,0.0,11,21,0,0.0,0.0,4,1,1,0,0,0,1,0,0,0,0,2014,2015-2015,0
C8AD5B453CC,CC5968B917E,ion diffusion,convection and mass transport,transport_mechanism,transport_mechanism,0.5085238218307495,3,3,3,3,3,4,3,4,0.75,1,1,2,0.3333333333333333,0.3333333333333333,15,15,1,0.2,0.7213475204444817,9,1,1,1,0,0,1,0,6,6,0,2014,2015-2015,0
CC3BA67827F,CC5968B917E,ionic-electronic coupling,convection and mass transport,transport_mechanism,transport_mechanism,0.39798370003700256,2,3,2,3,11,4,4,11,0.36363636363636365,1,1,2,0.0,0.3333333333333333,21,15,0,0.0,0.0,6,1,1,1,0,0,1,0,6,6,0,2014,2015-2015,0
CD486BA800F,CE4B0E242E7,host-guest complexation,interfacial charge transfer,solvation_entropy,electrode_interface,0.2608962059020996,2,2,2,2,2,7,2,7,0.2857142857142857,0,1,1,0.0,-0.3333333333333333,11,21,1,0.3333333333333333,1.4426950408889634,4,1,1,0,0,0,1,0,2,2,0,2014,2015-2015,0
C08389FD6C6,C8AD5B453CC,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,0.7253009080886841,2,3,2,3,3,3,3,3,1.0,1,1,2,0.3333333333333333,0.3333333333333333,13,16,0,0.0,0.0,6,1,1,1,0,0,1,2,0,2,0,2015,2016-2016,0
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,0.18714967370033264,2,2,2,2,18,15,15,18,0.8333333333333334,1,8,9,-1.3333333333333333,2.6666666666666665,23,12,0,0.0,0.0,4,1,1,0,0,0,1,1,0,1,0,2015,2016-2016,0
C23B9BED21A,CF4A6A0344F,ionic conduction,ion migration,transport_mechanism,transport_mechanism,0.8135492205619812,2,2,2,2,18,6,6,18,0.3333333333333333,1,0,1,-1.3333333333333333,-0.6666666666666666,23,22,0,0.0,0.0,4,1,1,1,0,0,1,1,0,1,0,2015,2016-2016,0
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,0.5854768753051758,4,3,3,4,6,3,3,6,0.5,2,1,3,0.0,0.3333333333333333,16,16,1,0.16666666666666666,0.9102392266268373,12,1,1,1,0,0,1,7,0,7,0,2015,2016-2016,0
C3002C089A5,CC5968B917E,ionic thermodiffusion (Soret effect),convection and mass transport,transport_mechanism,transport_mechanism,0.32778722047805786,4,3,3,4,6,4,4,6,0.6666666666666666,2,1,3,0.0,0.3333333333333333,16,16,1,0.16666666666666666,0.9102392266268373,12,1,1,1,0,0,1,7,6,13,1,2015,2016-2016,0
C3002C089A5,CF4A6A0344F,ionic thermodiffusion (Soret effect),ion migration,transport_mechanism,transport_mechanism,0.555216372013092,4,2,2,4,6,6,6,6,1.0,2,0,2,0.0,-0.6666666666666666,16,22,0,0.0,0.0,8,1,1,1,0,0,1,7,0,7,0,2015,2016-2016,0
C45C8AAD12E,CD486BA800F,charge-transfer resistance engineering,host-guest complexation,electrode_interface,solvation_entropy,0.25217893719673157,2,2,2,2,6,2,2,6,0.3333333333333333,2,0,2,0.6666666666666666,0.0,21,12,1,0.3333333333333333,1.4426950408889634,4,1,1,0,0,0,1,3,0,3,0,2015,2016-2016,0
C78D65254F9,CC3BA67827F,phase transition,ionic-electronic coupling,phase_or_species_transition,transport_mechanism,0.14667001366615295,2,2,2,2,15,11,11,15,0.7333333333333333,8,1,9,2.6666666666666665,0.3333333333333333,12,22,0,0.0,0.0,4,1,1,0,0,0,1,0,0,0,0,2015,2016-2016,0
C8AD5B453CC,CC5968B917E,ion diffusion,convection and mass transport,transport_mechanism,transport_mechanism,0.5085238218307495,3,3,3,3,3,4,3,4,0.75,1,1,2,0.3333333333333333,0.3333333333333333,16,16,1,0.2,0.7213475204444817,9,1,1,1,0,0,1,0,6,6,0,2015,2016-2016,0
CC3BA67827F,CC5968B917E,ionic-electronic coupling,convection and mass transport,transport_mechanism,transport_mechanism,0.39798370003700256,2,3,2,3,11,4,4,11,0.36363636363636365,1,1,2,0.3333333333333333,0.3333333333333333,22,16,0,0.0,0.0,6,1,1,1,0,0,1,0,6,6,0,2015,2016-2016,0
CD486BA800F,CE4B0E242E7,host-guest complexation,interfacial charge transfer,solvation_entropy,electrode_interface,0.2608962059020996,2,2,2,2,2,8,2,8,0.25,0,2,2,0.0,0.6666666666666666,12,22,1,0.3333333333333333,1.4426950408889634,4,1,1,0,0,0,1,0,2,2,0,2015,2016-2016,0
C08389FD6C6,C8AD5B453CC,moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,0.7253009080886841,3,3,3,3,4,4,4,4,1.0,2,2,4,0.6666666666666666,0.6666666666666666,14,17,0,0.0,0.0,9,1,1,1,0,0,1,2,0,2,0,2016,2017-2017,0
C08389FD6C6,CC3BA67827F,moisture-gradient ion transport,ionic-electronic coupling,transport_mechanism,transport_mechanism,0.5647144317626953,3,3,3,3,4,12,4,12,0.3333333333333333,2,2,4,0.6666666666666666,0.6666666666666666,14,23,0,0.0,0.0,9,1,1,1,0,0,1,2,0,2,0,2016,2017-2017,0
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,0.18714967370033264,2,2,2,2,20,18,18,20,0.9,2,8,10,-1.0,1.6666666666666667,24,13,0,0.0,0.0,4,1,1,0,0,0,1,1,1,2,1,2016,2017-2017,0
C23B9BED21A,CF4A6A0344F,ionic conduction,ion migration,transport_mechanism,transport_mechanism,0.8135492205619812,2,2,2,2,20,6,6,20,0.3,2,0,2,-1.0,-0.3333333333333333,24,23,0,0.0,0.0,4,1,1,1,0,0,1,1,0,1,0,2016,2017-2017,0
C3002C089A5,C8AD5B453CC,ionic thermodiffusion (Soret effect),ion diffusion,transport_mechanism,transport_mechanism,0.5854768753051758,5,3,3,5,7,4,4,7,0.5714285714285714,2,2,4,0.3333333333333333,0.6666666666666666,17,17,1,0.14285714285714285,0.9102392266268373,15,1,1,1,0,0,1,7,0,7,0,2016,2017-2017,0
C3002C089A5,CC5968B917E,ionic thermodiffusion (Soret effect),convection and mass transport,transport_mechanism,transport_mechanism,0.32778722047805786,5,3,3,5,7,5,5,7,0.7142857142857143,2,2,4,0.3333333333333333,0.6666666666666666,17,17,1,0.14285714285714285,0.9102392266268373,15,1,1,1,0,0,1,7,7,14,1,2016,2017-2017,0
