params,validation_ap,validation_auc
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.10243080100209814,0.6020488573680063
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.0977939705234294,0.5957446808510638
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.09752403618149355,0.5996847911741529
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.095591243683144,0.578408195429472
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.09539200987799118,0.6154452324665091
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.0917560334778773,0.5886524822695035
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.09064952756573906,0.6099290780141844
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.08940103817163503,0.5791962174940898
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.08708828143650992,0.5918045705279747
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.08602321266468524,0.5925925925925926
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.08440409809582305,0.5839243498817966
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.07983480418788669,0.5728920409771474
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.07911008355961319,0.5618597320724981
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.07901054416374942,0.5665878644602049
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.07753248585901171,0.55397951142632
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.07621601932446981,0.561859732072498
