model,roc_auc,average_precision,candidates,positives,precision_at_5,hits_at_5,precision_at_10,hits_at_10,precision_at_25,hits_at_25,precision_at_50,hits_at_50,pair_weight
pair_weight=0.15,0.6477541371158393,0.11265495585231143,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.15
pair_weight=0.16,0.6477541371158393,0.11265495585231143,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.16
pair_weight=0.17,0.6477541371158393,0.11265495585231143,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.17
pair_weight=0.18,0.6477541371158393,0.11265495585231143,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.18
pair_weight=0.14,0.6469661150512214,0.11257451827187384,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.14
pair_weight=0.01,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.01
pair_weight=0.02,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.02
pair_weight=0.03,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.03
pair_weight=0.04,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.04
pair_weight=0.05,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.05
pair_weight=0.06,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.06
pair_weight=0.07,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.07
pair_weight=0.08,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.08
pair_weight=0.09,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.09
pair_weight=0.19,0.6461780929866037,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.19
pair_weight=0.20,0.6461780929866036,0.11250171819907379,150,9,0.0,0,0.1,1,0.12,3,0.08,4,0.2
