params,validation_ap,validation_auc
"{""iterations"": 100, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.45,0.75
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 2, ""l2_leaf_reg"": 3.0}",0.41666666666666663,0.6875
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 2, ""l2_leaf_reg"": 3.0}",0.41666666666666663,0.6875
"{""iterations"": 100, ""learning_rate"": 0.03, ""depth"": 2, ""l2_leaf_reg"": 10.0}",0.39285714285714285,0.625
"{""iterations"": 100, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.39285714285714285,0.625
"{""iterations"": 100, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.39285714285714285,0.625
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.39285714285714285,0.625
"{""iterations"": 100, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.39285714285714285,0.625
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.39285714285714285,0.625
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.375,0.5625
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.375,0.5625
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.375,0.5625
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.375,0.5625
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.375,0.5625
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.375,0.5625
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.3333333333333333,0.625
"{""iterations"": 100, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 10.0}",0.3333333333333333,0.625
"{""iterations"": 100, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.3333333333333333,0.625
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 3.0}",0.30952380952380953,0.5625
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 2, ""l2_leaf_reg"": 10.0}",0.29166666666666663,0.5625
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 2, ""l2_leaf_reg"": 10.0}",0.29166666666666663,0.5
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 2, ""l2_leaf_reg"": 10.0}",0.29166666666666663,0.5
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 2, ""l2_leaf_reg"": 10.0}",0.29166666666666663,0.5625
"{""iterations"": 500, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.29166666666666663,0.5
"{""iterations"": 250, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.29166666666666663,0.5
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.29166666666666663,0.5
"{""iterations"": 100, ""learning_rate"": 0.08, ""depth"": 2, ""l2_leaf_reg"": 3.0}",0.29166666666666663,0.5625
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.29166666666666663,0.5
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.29166666666666663,0.5
"{""iterations"": 100, ""learning_rate"": 0.08, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.29166666666666663,0.5625
"{""iterations"": 100, ""learning_rate"": 0.03, ""depth"": 2, ""l2_leaf_reg"": 3.0}",0.26785714285714285,0.5
"{""iterations"": 100, ""learning_rate"": 0.08, ""depth"": 2, ""l2_leaf_reg"": 10.0}",0.26785714285714285,0.5
"{""iterations"": 500, ""learning_rate"": 0.03, ""depth"": 2, ""l2_leaf_reg"": 3.0}",0.26666666666666666,0.5
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 2, ""l2_leaf_reg"": 3.0}",0.26666666666666666,0.5
"{""iterations"": 250, ""learning_rate"": 0.03, ""depth"": 3, ""l2_leaf_reg"": 10.0}",0.26666666666666666,0.5
"{""iterations"": 100, ""learning_rate"": 0.08, ""depth"": 5, ""l2_leaf_reg"": 3.0}",0.225,0.375
