concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,future_edge_label,concept_u_id,concept_v_id,ite_first_year,tg_first_year,transfer_lag_years,label
ionic-electronic coupling,convection and mass transport,transport_mechanism,transport_mechanism,0.39798370003700256,1,3,1,3,4,2,2,4,0.5,2,1,3,0.6666666666666666,0.0,9,3,0,0.0,0.0,3,1,1,1,0,0,1,0,3,3,0,2002,2003-2007,0,CC3BA67827F,CC5968B917E,2002,,,0
phase transition,ionic-electronic coupling,phase_or_species_transition,transport_mechanism,0.14667001366615295,1,2,1,2,4,6,4,6,0.6666666666666666,4,3,7,1.3333333333333333,0.6666666666666666,1,11,0,0.0,0.0,2,1,1,0,0,0,1,0,0,0,0,2004,2005-2009,0,C78D65254F9,CC3BA67827F,2004,,,0
ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,0.18714967370033264,1,2,1,2,11,5,5,11,0.45454545454545453,3,5,8,1.0,1.6666666666666667,13,2,0,0.0,0.0,2,1,1,0,0,0,1,0,0,0,0,2005,2006-2010,0,C23B9BED21A,C78D65254F9,2005,,,0
ionic conduction,ion migration,transport_mechanism,transport_mechanism,0.8135492205619812,2,2,2,2,17,6,6,17,0.35294117647058826,5,2,7,1.3333333333333333,0.6666666666666666,20,19,0,0.0,0.0,4,1,1,1,0,0,1,0,0,0,0,2012,2013-2017,0,C23B9BED21A,CF4A6A0344F,2012,,,0
electrostatic interaction,thermal-gradient heat-transfer control,solvation_entropy,device_mechanism,0.028140723705291748,1,2,1,2,2,2,2,2,1.0,2,1,3,0.6666666666666666,0.0,1,3,0,0.0,0.0,2,1,1,0,0,0,1,1,2,3,1,2016,2017-2021,0,CBFAB31D6E6,CEA29EF1A99,2016,,,0
ion-selectivity membrane transport,ionic conduction,transport_mechanism,transport_mechanism,0.7166036367416382,4,3,3,4,11,25,11,25,0.44,6,7,13,0.6666666666666666,2.0,19,26,0,0.0,0.0,12,1,1,1,0,0,1,6,1,7,1,2018,2019-2023,0,C188B56F6F1,C23B9BED21A,2018,,,0
phase transition,ion migration,phase_or_species_transition,transport_mechanism,0.19312822818756104,3,3,3,3,25,7,7,25,0.28,10,1,11,0.6666666666666666,0.3333333333333333,15,25,1,0.2,0.9102392266268373,9,1,1,0,0,0,1,2,0,2,0,2018,2019-2023,0,C78D65254F9,CF4A6A0344F,2018,,,0
phase transition,electrostatic interaction,phase_or_species_transition,solvation_entropy,0.20959270000457764,7,2,2,7,31,3,3,31,0.0967741935483871,13,1,14,1.6666666666666667,-0.3333333333333333,16,4,0,0.0,0.0,14,1,1,0,0,0,1,2,1,3,1,2019,2020-2024,0,C78D65254F9,CBFAB31D6E6,2019,,,0
phase transition,interfacial charge transfer,phase_or_species_transition,electrode_interface,0.15270546078681946,7,3,3,7,31,13,13,31,0.41935483870967744,13,4,17,1.6666666666666667,0.6666666666666666,16,26,1,0.1111111111111111,0.7213475204444817,21,1,1,0,0,0,1,2,5,7,1,2019,2020-2024,0,C78D65254F9,CE4B0E242E7,2019,,,0
chaotropic polymer-water disruption,dynamic crosslinked gel network,gel_microstructure,gel_microstructure,0.4072316586971283,5,4,4,5,2,2,2,2,1.0,2,2,4,0.6666666666666666,0.6666666666666666,1,0,2,0.2857142857142857,1.631586747071319,20,1,1,1,0,0,1,1,0,1,0,2019,2020-2024,0,C7932B1CE8C,CE6FC512ED2,2019,,,0
ion diffusion,anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,0.020748447626829147,5,4,4,5,7,8,7,8,0.875,3,4,7,0.3333333333333333,1.0,20,12,1,0.125,0.7213475204444817,20,1,1,0,0,0,1,0,3,3,0,2019,2020-2024,0,C8AD5B453CC,CC028ABF9C6,2019,,,0
ion diffusion,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,0.12796111404895782,5,4,4,5,7,2,2,7,0.2857142857142857,3,2,5,0.3333333333333333,0.6666666666666666,20,0,1,0.125,0.7213475204444817,20,1,1,0,0,0,1,0,0,0,0,2019,2020-2024,0,C8AD5B453CC,CE6FC512ED2,2019,,,0
ion-selectivity membrane transport,ion channels,transport_mechanism,transport_mechanism,0.8086342811584473,7,6,6,7,14,2,2,14,0.14285714285714285,5,2,7,-0.3333333333333333,0.6666666666666666,21,1,4,0.4444444444444444,2.411712996572133,42,1,1,1,0,0,1,6,0,6,0,2020,2021-2025,0,C188B56F6F1,C96681C9193,2020,,,0
ionic thermodiffusion (Soret effect),convection-resolved resistance decomposition,transport_mechanism,transport_mechanism,0.3908458650112152,10,2,2,10,20,2,2,20,0.1,11,1,12,2.3333333333333335,0.3333333333333333,21,7,0,0.0,0.0,20,1,1,1,0,0,1,10,1,11,1,2020,2021-2025,0,C3002C089A5,C41DA9D5B12,2020,,,0
configurational-entropy modulation,high-entropy redox/ion coupling,phase_or_species_transition,solvation_entropy,0.6008002758026123,1,1,1,1,2,2,2,2,1.0,2,2,4,0.6666666666666666,0.6666666666666666,2,0,0,0.0,0.0,1,1,1,0,0,0,1,0,2,2,0,2020,2021-2025,0,C555F4672C1,C6C09287FDB,2020,,,0
phase transition,convection and mass transport,phase_or_species_transition,transport_mechanism,0.21482259035110474,9,4,4,9,38,7,7,38,0.18421052631578946,17,2,19,2.3333333333333335,0.3333333333333333,17,21,1,0.08333333333333333,0.5581106265512472,36,1,1,0,0,0,1,3,9,12,1,2020,2021-2025,0,C78D65254F9,CC5968B917E,2020,,,0
ion diffusion,ion channels,transport_mechanism,transport_mechanism,0.7847216129302979,9,6,6,9,10,2,2,10,0.2,5,2,7,1.0,0.6666666666666666,21,1,4,0.36363636363636365,2.470491725628465,54,1,1,1,0,0,1,1,0,1,0,2020,2021-2025,0,C8AD5B453CC,C96681C9193,2020,,,0
ionic-electronic coupling,ion migration,transport_mechanism,transport_mechanism,0.7222399711608887,6,4,4,6,19,10,10,19,0.5263157894736842,6,4,10,1.3333333333333333,1.3333333333333333,27,27,1,0.1111111111111111,0.45511961331341866,24,1,1,1,0,0,1,0,0,0,0,2020,2021-2025,0,CC3BA67827F,CF4A6A0344F,2020,,,0
moisture-gradient ion transport,nanochannel-confined ion transport,transport_mechanism,transport_mechanism,0.6501357555389404,10,6,6,10,18,3,3,18,0.16666666666666666,12,2,14,3.0,0.3333333333333333,19,3,4,0.3333333333333333,2.325899070873348,60,1,1,1,0,0,1,4,0,4,0,2021,2022-2026,0,C08389FD6C6,C539540C36B,2021,,,0
ion-selectivity membrane transport,anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,0.06637532263994217,9,7,7,9,17,10,10,17,0.5882352941176471,6,4,10,0.0,0.3333333333333333,22,14,1,0.06666666666666667,0.40242960438184466,63,1,1,0,0,0,1,9,4,13,1,2021,2022-2026,0,C188B56F6F1,CC028ABF9C6,2021,,,0
ion diffusion,ion migration,transport_mechanism,transport_mechanism,0.8940117359161377,12,6,6,12,15,13,13,15,0.8666666666666667,9,6,15,2.0,1.6666666666666667,22,28,3,0.2,1.4302626312889122,72,1,1,1,0,0,1,2,0,2,0,2021,2022-2026,0,C8AD5B453CC,CF4A6A0344F,2021,,,0
moisture-gradient ion transport,ion diffusion,transport_mechanism,transport_mechanism,0.7253009080886841,2,3,2,3,3,3,3,3,1.0,1,1,2,0.3333333333333333,0.3333333333333333,12,15,0,0.0,0.0,6,1,1,1,0,0,1,2,0,2,0,2014,2015-2019,0,C08389FD6C6,C8AD5B453CC,2014,2021.0,7.0,0
hydrogen bonding,chaotropic polymer-water disruption,solvation_entropy,gel_microstructure,0.21944090723991394,3,5,3,5,5,2,2,5,0.4,2,2,4,0.6666666666666666,0.6666666666666666,15,1,2,0.3333333333333333,1.4426950408889634,15,1,1,0,0,0,1,0,1,1,0,2019,2020-2024,1,C10C4FF4B6C,C7932B1CE8C,2019,2021.0,2.0,1
hydrogen bonding,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,0.1945808231830597,3,4,3,4,5,8,5,8,0.625,2,4,6,0.6666666666666666,1.0,15,12,2,0.4,1.3426824550040934,12,1,1,0,0,0,1,0,3,3,0,2019,2020-2024,1,C10C4FF4B6C,CC028ABF9C6,2019,2021.0,2.0,1
chaotropic polymer-water disruption,anti-freezing organohydrogel design,gel_microstructure,gel_microstructure,0.45773017406463623,5,4,4,5,2,8,2,8,0.25,2,4,6,0.6666666666666666,1.0,1,12,2,0.2857142857142857,1.631586747071319,20,1,1,1,0,0,1,1,3,4,1,2019,2020-2024,1,C7932B1CE8C,CC028ABF9C6,2019,2021.0,2.0,1
hydrogen bonding,dynamic crosslinked gel network,solvation_entropy,gel_microstructure,0.24640542268753052,3,4,3,4,5,2,2,5,0.4,2,2,4,0.6666666666666666,0.6666666666666666,15,0,2,0.4,1.3426824550040934,12,1,1,0,0,0,1,0,0,0,0,2019,2020-2024,1,C10C4FF4B6C,CE6FC512ED2,2019,2022.0,3.0,1
moisture-gradient ion transport,ion-selectivity membrane transport,transport_mechanism,transport_mechanism,0.6888046860694885,4,2,2,4,6,9,6,9,0.6666666666666666,3,6,9,0.6666666666666666,1.3333333333333333,15,18,0,0.0,0.0,8,1,1,1,0,0,1,2,5,7,1,2017,2018-2022,0,C08389FD6C6,C188B56F6F1,2017,2023.0,6.0,0
moisture-gradient ion transport,phase transition,transport_mechanism,phase_or_species_transition,0.15616030991077423,6,7,6,7,10,31,10,31,0.3225806451612903,6,13,19,1.3333333333333333,1.6666666666666667,17,16,1,0.08333333333333333,0.7213475204444817,42,1,1,0,0,0,1,2,2,4,1,2019,2020-2024,1,C08389FD6C6,C78D65254F9,2019,2023.0,4.0,1
phase transition,redox reaction entropy,phase_or_species_transition,solvation_entropy,0.2062896490097046,9,5,5,9,38,4,4,38,0.10526315789473684,17,3,20,2.3333333333333335,1.0,17,6,0,0.0,0.0,45,1,1,0,0,0,1,3,8,11,1,2020,2021-2025,1,C78D65254F9,CA8C62A4868,2020,2023.0,3.0,1
ion-pairing and complexation,gel-confined redox transport,solvation_entropy,gel_microstructure,0.17344823479652405,5,4,4,5,12,4,4,12,0.3333333333333333,4,4,8,-1.0,1.3333333333333333,10,1,1,0.125,0.3898712452512801,20,1,1,0,0,0,1,3,2,5,1,2021,2022-2026,1,C46747A02A1,C872881EC3C,2021,2023.0,2.0,1
nanochannel-confined ion transport,ion channels,transport_mechanism,transport_mechanism,0.7451198101043701,4,6,4,6,2,2,2,2,1.0,2,2,4,0.6666666666666666,0.6666666666666666,2,1,3,0.42857142857142855,1.690365476127651,24,1,1,1,0,0,1,0,0,0,0,2020,2021-2025,1,C539540C36B,C96681C9193,2020,2024.0,4.0,1
phase transition,precipitation and species redistribution,phase_or_species_transition,phase_or_species_transition,0.784670352935791,13,3,3,13,42,4,4,42,0.09523809523809523,17,2,19,2.3333333333333335,0.0,18,5,2,0.14285714285714285,1.631586747071319,39,1,1,1,0,0,1,3,0,3,0,2021,2022-2026,1,C78D65254F9,CB314592CFB,2021,2024.0,3.0,1
gel-confined redox transport,precipitation and species redistribution,gel_microstructure,phase_or_species_transition,0.11393225193023682,4,3,3,4,4,4,4,4,1.0,4,2,6,1.3333333333333333,0.0,1,5,2,0.4,1.3001104718781173,12,1,1,0,0,0,1,2,0,2,0,2021,2022-2026,1,C872881EC3C,CB314592CFB,2021,2024.0,3.0,1
