paper_id,concept_id,canonical_concept,concept_type,concept_subtype,evidence_field,evidence_text,extraction_method,confidence
P0001,C08389FD6C6,moisture-gradient ion transport,transport_mechanism,transport mechanism,material+mechanism+abstract,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97
P0001,C25D09DDC57,Fe2+/Fe3+ solvation redox chemistry,redox_chemistry,redox mechanism,material+mechanism+abstract,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97
P0001,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogel,controlled_rule,0.94
P0001,CBA7A0F0CA3,thermogalvanic redox conversion,device_mechanism,thermoelectrochemical conversion,mechanism_raw,thermogalvanic voltage,controlled_rule,0.94
P0001,CC1DFFF3702,wearable biointerface thermocell,device_function,device function,material+mechanism+abstract,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97
P0001,CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,network structure,material+mechanism+abstract,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule+prediction_family_collapse,0.97
P0001,CEC0FAD69CD,alginate,material_entity,biopolymer,material_raw,alginate,controlled_rule,0.94
P0001,CF535268496,smart-wound thermogalvanic dressing,device_function,device function,material+mechanism+abstract,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97
P0002,C0834738FAA,ClO4-,material_entity,chemical formula,material_raw,ClO4-,chemical_formula_parser,0.9
P0002,C10D3798CF7,selective solvation,solvation_entropy,solvation,material+mechanism+abstract,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97
P0002,C25D09DDC57,Fe2+/Fe3+ solvation redox chemistry,redox_chemistry,redox mechanism,material+mechanism+abstract,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97
P0002,C373D1028AF,selective fe2+-nitrile solvation enlarge redox entropy change,solvation_entropy,solvation/entropy mechanism,material+mechanism+abstract,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97
P0002,C41BE9B5F0E,solvation-shell remodeling,solvation_entropy,solvation,material+mechanism+abstract,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97
P0002,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97
P0002,CB7671839CC,electrochemical refrigeration thermocell,device_function,device function,material+mechanism+abstract,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97
P0002,CC022D91D01,solvation entropy,solvation_entropy,solvation/entropy mechanism,abstract/material/mechanism,solvation entropy,cleaned_open_concept,0.78
P0003,C106397924D,p/n thermogalvanic series design,device_function,device function,material+mechanism+abstract,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97
P0003,C25D09DDC57,Fe2+/Fe3+ solvation redox chemistry,redox_chemistry,redox mechanism,material+mechanism+abstract,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97
P0003,C2C6E45217A,high thermopower,property_metric,property/metric,abstract/material/mechanism,high thermopower,cleaned_open_concept,0.78
P0003,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97
P0003,C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,material+mechanism+abstract,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97
P0003,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogel,controlled_rule,0.94
P0003,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,Fe2+/Fe3+ redox hydrogel Gel-Fe24 n-type ionic thermoelectric generator | Fe2+/Fe3+-Cl- complexation balances thermodiffusion thermopower and thermogalvanic current by tuning redox concentration,domain_curated_rule,0.97
P0003,C8F254FA6F8,Seebeck coefficient/thermopower,property_metric,thermoelectric metric,mechanism_raw,thermopower,controlled_rule,0.94
P0003,CBA7A0F0CA3,thermogalvanic redox conversion,device_mechanism,thermoelectrochemical conversion,mechanism_raw,thermogalvanic current,controlled_rule,0.94
P0004,C23B9BED21A,ionic conduction,transport_mechanism,ionic transport,mechanism_raw,ion conduction,controlled_rule,0.94
P0004,C3F66DD37CA,H2O,material_entity,chemical formula,material_raw,H2O,chemical_formula_parser,0.9
P0004,C4A92E5F4FE,hydrogel,material_system,soft material platform,material_raw,hydrogel,controlled_rule,0.94
P0004,C720E904BA7,hydration-shell regulation,solvation_entropy,hydration,mechanism_raw,hydration structure,controlled_rule,0.94
P0004,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,Li+(H2O)n thermogalvanic hydrogel | Li hydration structure gives antifreezing/non-drying ion conduction while thermal gradients generate self-powered biometric e-skin signals,domain_curated_rule,0.97
P0004,CC1DFFF3702,wearable biointerface thermocell,device_function,device function,material+mechanism+abstract,Li+(H2O)n thermogalvanic hydrogel | Li hydration structure gives antifreezing/non-drying ion conduction while thermal gradients generate self-powered biometric e-skin signals,domain_curated_rule,0.97
P0005,C1192E1FF1D,radiative cooling,device_function,thermal-gradient generation,material_raw,radiative-cooling,controlled_rule,0.94
P0005,C169441ACA0,radiative-cooling structure. chaotropic effect raises seebeck coefficient,gel_microstructure,soft-material mechanism,material+mechanism+abstract,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure | chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,domain_curated_rule,0.97
P0005,C1F3FEDB678,high seebeck coefficient,property_metric,property/metric,abstract/material/mechanism,high seebeck coefficient,cleaned_open_concept,0.78
P0005,C3CB102B9BB,normalized power density,property_metric,property/metric,abstract/material/mechanism,normalized power density,cleaned_open_concept,0.78
P0005,C5E47CC0A62,Hofmeister/chaotropic effect,gel_microstructure,specific-ion effect,material_raw,chaotropic ion,controlled_rule,0.94
P0005,C6CDB23F33C,seebeck coefficient,property_metric,property/metric,abstract/material/mechanism,seebeck coefficient,cleaned_open_concept,0.78
P0005,C7932B1CE8C,chaotropic polymer-water disruption,gel_microstructure,soft-material mechanism,material+mechanism+abstract,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure | chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,domain_curated_rule,0.97
P0005,C8C8E6540A5,chaotropic ions,gel_microstructure,soft-material mechanism,material+mechanism+abstract,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure | chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,domain_curated_rule,0.97
P0005,C8F254FA6F8,Seebeck coefficient/thermopower,property_metric,thermoelectric metric,mechanism_raw,Seebeck coefficient,controlled_rule,0.94
P0005,CB7671839CC,electrochemical refrigeration thermocell,device_function,device function,material+mechanism+abstract,thermogalvanic ionogel thermocells with chaotropic ions and radiative-cooling structure | chaotropic effect raises Seebeck coefficient and passive radiative cooling supplies sustained temperature difference for all-weather power,domain_curated_rule,0.97
P0005,CC2754A6A87,high seebeck,property_metric,property/metric,abstract/material/mechanism,high seebeck,cleaned_open_concept,0.78
P0005,CE7888BA5E1,ionogel,material_system,soft material platform,material_raw,ionogel,controlled_rule,0.94
P0005,CF8594C4108,power density,property_metric,device metric,abstract,power density,controlled_rule,0.94
P0006,C42AAF5C9EE,ion-transport highway. thermosensitive crystallization,phase_or_species_transition,phase/species transition,material+mechanism+abstract,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97
P0006,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97
P0006,C967653EA5F,thermosensitive crystallization,phase_or_species_transition,phase/species transition,material+mechanism+abstract,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97
P0006,CABD4C9C815,salting-out confined ion gel,gel_microstructure,soft-material mechanism,material+mechanism+abstract,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97
P0006,CC1DFFF3702,wearable biointerface thermocell,device_function,device function,material+mechanism+abstract,flexible thermogalvanic armor with ion-transport highway | thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,domain_curated_rule,0.97
