paper_id,year,source_membership,concept_id,canonical_concept,evidence_field,evidence_text,rule_kind,mapping_status
P0003,2025,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),title,pe ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,synonym_recall,already_mapped
P0005,2024,TG,C5E47CC0A62,Hofmeister/chaotropic effect,title,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,synonym_recall,already_mapped
P0008,2024,TG,C2106B674B9,iodide/triiodide,material_raw,PVA hydrogel with I-/I3- redox couple and zwitterions,synonym_recall,already_mapped
P0013,2025,TG,CDAC0413DCA,gelatin-based polymer family,material_raw,"thermogalvanic hydrogel/gelatin breathable array with phytic acid, glycerol, water",family_recall,already_mapped
P0014,2025,TG,C0783369D77,PEDOT family,material_raw,PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex,family_recall,already_mapped
P0014,2025,TG,C3002C089A5,ionic thermodiffusion (Soret effect),title,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,synonym_recall,already_mapped
P0016,2025,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",family_recall,already_mapped
P0018,2025,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,sodium ferrocyanide/ferricyanide thermogalvanic electrolyte with ethanol solvent regulator,family_recall,already_mapped
P0021,2025,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell,family_recall,already_mapped
P0021,2025,iTE|TG,CDAC0413DCA,gelatin-based polymer family,material_raw,double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell,family_recall,already_mapped
P0023,2025,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,"polyacrylamide hydrogel with Fe(CN)6 3-/4-, guanidine hydrochloride, sodium pyrrolidone carboxylate",family_recall,added
P0023,2025,iTE|TG,C2A8A04727D,guanidinium chloride (GdmCl),material_raw,"polyacrylamide hydrogel with Fe(CN)6 3-/4-, guanidine hydrochloride, sodium pyrrolidone carboxylate",synonym_recall,already_mapped
P0027,2024,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,GelMA thermogalvanic cells with GdmCl and Fe(CN)6 3-/4-,family_recall,added
P0027,2024,TG,CDAC0413DCA,gelatin-based polymer family,title,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,family_recall,already_mapped
P0027,2024,TG,C2A8A04727D,guanidinium chloride (GdmCl),material_raw,GelMA thermogalvanic cells with GdmCl and Fe(CN)6 3-/4-,synonym_recall,already_mapped
P0027,2024,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,guanidinium-induced ferricyanide/ferrocyanide crystallization and hydrogel nanochannel control greatly increase Seebeck coefficient,synonym_recall,already_mapped
P0030,2025,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogalvanic cell with 18-crown-6,family_recall,already_mapped
P0030,2025,TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,"18-crown-6 complexes K+ and amplifies cation thermodiffusion, adding Soret contribution to thermogalvanic voltage",synonym_recall,already_mapped
P0031,2025,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,graphene oxide-enhanced hydrogel with [Fe(CN)6]4-/3- and guanidine hydrochloride,family_recall,already_mapped
P0031,2025,TG,C2A8A04727D,guanidinium chloride (GdmCl),material_raw,graphene oxide-enhanced hydrogel with [Fe(CN)6]4-/3- and guanidine hydrochloride,synonym_recall,already_mapped
P0033,2025,TG,C5E47CC0A62,Hofmeister/chaotropic effect,mechanism_raw,Hofmeister-assisted rapid gelation and strong DMSO-water hydrogen bonds give moldable antifreezing thermogalvanic temperature/level sensing,synonym_recall,already_mapped
P0036,2024,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PVA/agar H2O/glycerol hydrogel with [Fe(CN)6]3-/4- redox couple,family_recall,already_mapped
P0036,2024,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,PVA/agar H2O/glycerol hydrogel with [Fe(CN)6]3-/4- redox couple,synonym_recall,added
P0039,2022,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,stretchable thermogalvanic hydrogel thermocell with guanidine and [Fe(CN)6]4-/3-,family_recall,already_mapped
P0040,2024,TG,CDAC0413DCA,gelatin-based polymer family,material_raw,edible gelatin/glycerol hydrogel with I-/I3- redox pair,family_recall,already_mapped
P0040,2024,TG,C2106B674B9,iodide/triiodide,material_raw,edible gelatin/glycerol hydrogel with I-/I3- redox pair,synonym_recall,already_mapped
P0041,2024,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,gold electrodes modified with (3-trimethylammonium bromide)thiopropane SAMs in K3/K4[Fe(CN)6] thermocells,family_recall,already_mapped
P0041,2024,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,electrostatically charged SAMs electrocatalyze ferri/ferrocyanide redox and suppress gold passivation,synonym_recall,already_mapped
P0043,2023,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,interpenetrating thermogalvanic hydrogel with [Fe(CN)6]3-/4- and KCl,family_recall,already_mapped
P0043,2023,TG,C3002C089A5,ionic thermodiffusion (Soret effect),mechanism_raw,finger heat drives redox thermogalvanic current while KCl supports thermodiffusion for self-powered Morse-code information conversion,synonym_recall,already_mapped
P0048,2023,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,bacterial cellulose thermogalvanic cell with Fe(CN)6 3-/4- and LiBr hygroscopic salt,family_recall,already_mapped
P0052,2023,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,ethylene glycol/water antifreezing hydrogel with [Fe(CN)6]3-/4- redox ions,family_recall,already_mapped
P0052,2023,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,ethylene glycol/water antifreezing hydrogel with [Fe(CN)6]3-/4- redox ions,synonym_recall,already_mapped
P0056,2023,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,aqueous [Fe(CN)6]3-/[Fe(CN)6]4- thermogalvanic cell with CoO nanowire/carbon-cloth and Co2Fe(CN)6/CoO asymmetric electrodes,family_recall,already_mapped
P0057,2022,TG,CDAC0413DCA,gelatin-based polymer family,material_raw,cross-linked PVA/gelatin hydrogel in DMSO/water with PDMS solar absorber,family_recall,already_mapped
P0060,2023,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),title,"Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells",synonym_recall,already_mapped
P0061,2022,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,PVA/gelatin dual-network H2O/glycerin thermogalvanic gel with Fe(CN)6 3-/4-,family_recall,added
P0061,2022,TG,CDAC0413DCA,gelatin-based polymer family,material_raw,PVA/gelatin dual-network H2O/glycerin thermogalvanic gel with Fe(CN)6 3-/4-,family_recall,already_mapped
P0062,2023,iTE|TG,C0783369D77,PEDOT family,material_raw,PVA-PEDOT:PSS hydrogel with SO42-/SO32- redox couple,family_recall,already_mapped
P0064,2023,TG,C95D66F92B2,carbon nanotube family,material_raw,Fe2+/Fe3+ hydrogel thermogalvanic generator with MWCNT-based flexible electrodes,family_recall,already_mapped
P0066,2022,TG,C2106B674B9,iodide/triiodide,material_raw,binary-solvent thermogalvanic gel electrolyte with I-/I3- redox pair,synonym_recall,already_mapped
P0068,2023,TG,CDAC0413DCA,gelatin-based polymer family,material_raw,gelatin thermoelectric gel with SO32-/SO42- redox pair,family_recall,already_mapped
P0069,2023,TG,C95D66F92B2,carbon nanotube family,material_raw,thermogalvanic gel electrolyte with porous CNT/PDMS organic carbon sponge,family_recall,already_mapped
P0071,2023,TG,C2106B674B9,iodide/triiodide,material_raw,I-/I3- thermogalvanic cell with thermoresponsive diblock copolymers,synonym_recall,already_mapped
P0073,2026,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,planar interdigitated thermogalvanic hydrogel with MXene electrodes and PAAm-Fe(CN)6 3-/4- hydrogel,family_recall,already_mapped
P0073,2026,TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,mechanism_raw,"strain modulates ferri/ferrocyanide hydrogel redox kinetics under a thermal gradient, producing coupled strain-voltage handwriting signals",synonym_recall,already_mapped
P0076,2023,TG,C95D66F92B2,carbon nanotube family,material_raw,"er porous aerogel thermogalvanic cell with liquid electrolyte, reduced graphene oxide absorber, and CNT electrodes",family_recall,already_mapped
P0079,2026,iTE|TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,ferri/ferrocyanide thermogalvanic gel heat-flux sensor array,family_recall,already_mapped
P0079,2026,iTE|TG,CCAABE058E7,ferri/ferrocyanide redox chemistry,material_raw,ferri/ferrocyanide thermogalvanic gel heat-flux sensor array,synonym_recall,already_mapped
P0080,2026,iTE|TG,C3002C089A5,ionic thermodiffusion (Soret effect),title,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,synonym_recall,already_mapped
P0083,2026,TG,CA6C42A1D77,ferri/ferrocyanide family,material_raw,"PVA/gelatin double-network hydrogel with Fe(CN)6 3-/4- and TiO2, WO3, ZnO modified carbon-cloth electrodes",family_recall,added
P0083,2026,TG,CDAC0413DCA,gelatin-based polymer family,material_raw,"PVA/gelatin double-network hydrogel with Fe(CN)6 3-/4- and TiO2, WO3, ZnO modified carbon-cloth electrodes",family_recall,already_mapped
