pair_id,domain_layer,pair_key,source_node_id,source_role,node_a_label,target_node_id,target_role,node_b_label,pair_type,paper_count,exclusive_layer_paper_count,shared_corpus_paper_count,first_year,last_year,supporting_paper_ids,supporting_dois,supporting_titles,node_a_domain_df,node_b_domain_df,historical_graph_eligible,pair_evidence_strength
TP_c09365955848,iTE|TG,TC_6d3814acb95f::TC_4b2db7e72622,TC_6d3814acb95f,material_system,hydrogel,TC_4b2db7e72622,structure_state,gel-confined redox transport,material_system__structure_state,18,18,18,2022,2026,P0003; P0015; P0023; P0032; P0047; P0062; P0078; P0136; P0139; P0150; P0180; P0188; P0197; P0246; P0249; P0261; P0264; P0267,10.1016/j.cej.2025.161288; 10.1002/adma.202300696; 10.1021/acsapm.5c02573; 10.1016/j.nanoen.2025.111686; 10.1007/s40820-022-00824-6; 10.1016/j.nanoen.2022.108077; 10.1016/j.jpowsour.2025.239060; 10.1021/acssuschemeng.4c10855; 10.1002/adfm.202417740; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1002/smll.202407622; 10.1016/j.est.2024.110437; 10.1016/j.cej.2025.159714; 10.1073/pnas.2532302123; 10.1080/17452759.2026.2638660; 10.1016/j.jechem.2026.05.024; 10.1002/smll.202407529,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance; High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels; Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,23,20,True,1.0
TP_9c7b3a7032ff,iTE|TG,TC_6d3814acb95f::TC_125db93329fb,TC_6d3814acb95f,material_system,hydrogel,TC_125db93329fb,mechanism,thermogalvanic redox conversion,material_system__mechanism,11,11,11,2022,2026,P0003; P0015; P0019; P0023; P0047; P0062; P0080; P0139; P0150; P0180; P0197,10.1016/j.cej.2025.161288; 10.1002/adma.202300696; 10.1016/j.cej.2024.150816; 10.1021/acsapm.5c02573; 10.1007/s40820-022-00824-6; 10.1016/j.nanoen.2022.108077; 10.1016/j.cej.2026.175294; 10.1002/adfm.202417740; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1016/j.est.2024.110437,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance; Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition; High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,23,30,True,1.0
TP_39f3c2767ca8,iTE|TG,TC_4b2db7e72622::TC_125db93329fb,TC_4b2db7e72622,structure_state,gel-confined redox transport,TC_125db93329fb,mechanism,thermogalvanic redox conversion,structure_state__mechanism,11,11,11,2022,2025,P0003; P0015; P0023; P0047; P0062; P0139; P0141; P0142; P0150; P0180; P0197,10.1016/j.cej.2025.161288; 10.1002/adma.202300696; 10.1021/acsapm.5c02573; 10.1007/s40820-022-00824-6; 10.1016/j.nanoen.2022.108077; 10.1002/adfm.202417740; 10.1016/j.mtphys.2024.101375; 10.1002/advs.202509400; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1016/j.est.2024.110437,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance; High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells; Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,20,30,True,1.0
TP_397375d44671,iTE|TG,TC_b713a196469a::TC_d51141fbc0ae,TC_b713a196469a,material_system,ferri/ferrocyanide,TC_d51141fbc0ae,mechanism,ferri/ferrocyanide redox chemistry,material_system__mechanism,10,10,10,2016,2026,P0079; P0090; P0136; P0145; P0150; P0180; P0217; P0246; P0264; P0275,10.1021/acsaem.6c01130; 10.1038/s41467-018-07625-9; 10.1021/acssuschemeng.4c10855; 10.1126/science.aaz5045; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1016/j.elecom.2016.10.001; 10.1016/j.cej.2025.159714; 10.1016/j.jechem.2026.05.024; 10.1039/d4ta03996c,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing; Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest; A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation; Giant thermopower of ionic gelatin near room temperature; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,12,14,True,1.0
TP_601fb2bed987,iTE|TG,TC_c8efd3db5897::TC_4b2db7e72622,TC_c8efd3db5897,material_system,poly(vinyl alcohol) (PVA),TC_4b2db7e72622,structure_state,gel-confined redox transport,material_system__structure_state,8,8,8,2023,2026,P0015; P0062; P0078; P0136; P0150; P0188; P0264; P0267,10.1002/adma.202300696; 10.1016/j.nanoen.2022.108077; 10.1016/j.jpowsour.2025.239060; 10.1021/acssuschemeng.4c10855; 10.1016/j.jpowsour.2024.234647; 10.1002/smll.202407622; 10.1016/j.jechem.2026.05.024; 10.1002/smll.202407529,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance; Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions; Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells; A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,9,20,True,1.0
TP_ae5ab2fcda5c,iTE|TG,TC_6d3814acb95f::TC_575b8475e747,TC_6d3814acb95f,material_system,hydrogel,TC_575b8475e747,mechanism,ionic thermodiffusion (Soret effect),material_system__mechanism,6,6,6,2023,2026,P0003; P0080; P0180; P0247; P0267; P0268,10.1016/j.cej.2025.161288; 10.1016/j.cej.2026.175294; 10.1016/j.mtsust.2022.100293; 10.1002/aenm.202500540; 10.1002/smll.202407529; 10.1016/j.cej.2024.152734,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; Water-Thermal Self-Cycling Thermoelectric Hydrogel for Continuous Energy Harvesting from Body Heat; A Multifunctional MXene/PVA Hydrogel as a Continuous Ionic Thermoelectric Generator and a Strain/Temperature Sensor,23,21,True,1.0
TP_a9aa3dcca391,iTE|TG,TC_6d3814acb95f::TC_d51141fbc0ae,TC_6d3814acb95f,material_system,hydrogel,TC_d51141fbc0ae,mechanism,ferri/ferrocyanide redox chemistry,material_system__mechanism,6,6,6,2023,2026,P0023; P0136; P0150; P0180; P0246; P0264,10.1021/acsapm.5c02573; 10.1021/acssuschemeng.4c10855; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1016/j.cej.2025.159714; 10.1016/j.jechem.2026.05.024,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,23,14,True,1.0
TP_6528771d3a55,iTE|TG,TC_b713a196469a::TC_4b2db7e72622,TC_b713a196469a,material_system,ferri/ferrocyanide,TC_4b2db7e72622,structure_state,gel-confined redox transport,material_system__structure_state,6,6,6,2023,2026,P0136; P0139; P0150; P0180; P0246; P0264,10.1021/acssuschemeng.4c10855; 10.1002/adfm.202417740; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1016/j.cej.2025.159714; 10.1016/j.jechem.2026.05.024,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation; High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,12,20,True,1.0
TP_839104c1bb14,iTE|TG,TC_4b2db7e72622::TC_d51141fbc0ae,TC_4b2db7e72622,structure_state,gel-confined redox transport,TC_d51141fbc0ae,mechanism,ferri/ferrocyanide redox chemistry,structure_state__mechanism,6,6,6,2023,2026,P0023; P0136; P0150; P0180; P0246; P0264,10.1021/acsapm.5c02573; 10.1021/acssuschemeng.4c10855; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1016/j.cej.2025.159714; 10.1016/j.jechem.2026.05.024,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest; High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,20,14,True,1.0
TP_ce5240457d5e,iTE|TG,TC_b713a196469a::TC_125db93329fb,TC_b713a196469a,material_system,ferri/ferrocyanide,TC_125db93329fb,mechanism,thermogalvanic redox conversion,material_system__mechanism,5,5,5,2020,2025,P0020; P0139; P0145; P0150; P0180,10.1021/acs.nanolett.5c02774; 10.1002/adfm.202417740; 10.1126/science.aaz5045; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower; High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices; Giant thermopower of ionic gelatin near room temperature; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting; Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,12,30,True,1.0
