link_id,tg_pair_id,ite_pair_id,link_type,bridge_score,shared_or_family_tg_node_id,shared_or_family_tg_label,shared_or_family_ite_node_id,shared_or_family_ite_label,bridge_role,shared_endpoint_tg_df,endpoint_match,endpoint_string_similarity,ite_other_node_id,ite_other_label,ite_other_role,tg_other_node_id,tg_other_label,tg_other_role,ite_pair_type,tg_pair_type,ite_pair_paper_count,tg_pair_paper_count,ite_supporting_paper_ids,tg_supporting_paper_ids,program_id,program_title_cn,program_candidate_status,target_redox_family,program_source_paper_ids,ite_aligned_supporting_paper_ids,ite_source_alignment,evidence_scope,ite_node_a_label,ite_node_a_role,ite_node_b_label,ite_node_b_role,ite_first_year,ite_supporting_titles,tg_node_a_label,tg_node_a_role,tg_node_b_label,tg_node_b_role,tg_first_year,tg_supporting_titles,ite_pair_label,tg_pair_label,proposed_closure_source_label,proposed_closure_source_role,proposed_closure_target_label,proposed_closure_target_role,temporal_alignment,C1_anchor,C2_directional_rule,C3_role_logic,C4_ite_evidence,C5_tg_grounding,C6_independent_support,hub_penalty,transfer_score,score_cap_reason,inference_status,novelty_status
XL_7449cc835957,TP_0057c256ec8b,IP_0057c256ec8b,direct_pair_overlap,0.9889,TC_8630a7a80369,polyacrylamide (PAM),TC_8630a7a80369,polyacrylamide (PAM),material_system,12,exact,1.0,TC_4b2db7e72622,gel-confined redox transport,structure_state,TC_4b2db7e72622,gel-confined redox transport,structure_state,material_system__structure_state,material_system__structure_state,3,10,P0408; P1122; P1404,P0023; P0073; P0084; P0150; P0161; P0180; P0188; P0197; P0206; P0252,,,,,,,not_applicable,observed_pair_overlap,polyacrylamide (PAM),material_system,gel-confined redox transport,structure_state,2022,Electrode-dependent thermoelectric effect in ionic hydrogel fiber for self-powered sensing and low-grade heat harvesting; Adaptable and Wearable Thermocell Based on Stretchable Hydrogel for Body Heat Harvesting; Architecture-preserving interfacial regulation via sulfonated graphene oxide for high-performance stretchable ionic thermoelectrics,polyacrylamide (PAM),material_system,gel-confined redox transport,structure_state,2022,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; A machine learning-enabled planar interdigitated thermogalvanic hydrogel for synergistic thermal and strain sensing; Self-powered thermogalvanic cells based on layered double hydroxides cross-linking hydrogel: Enhanced thermoelectric performance and mechanical stretchability for IoT wearable electronics; Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting; Experimental investigations on thermally induced energy storage characteristics of hydrogel thermo-electrochemical cells for low-grade heat recovery,polyacrylamide (PAM)  +  gel-confined redox transport,polyacrylamide (PAM)  +  gel-confined redox transport,,,,,iTE_precedes_or_same_year,30,0,5,7,4,4,0,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
XL_07d61e91bd2a,TP_007a2f86f21e,IP_007a2f86f21e,direct_pair_overlap,0.9553,TC_6d3814acb95f,hydrogel,TC_6d3814acb95f,hydrogel,material_system,79,exact,1.0,TC_444fe81e6127,dynamic crosslinking,structure_state,TC_444fe81e6127,dynamic crosslinking,structure_state,material_system__structure_state,material_system__structure_state,1,1,P0422,P0190,,,,,,,not_applicable,observed_pair_overlap,hydrogel,material_system,dynamic crosslinking,structure_state,2026,"Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",hydrogel,material_system,dynamic crosslinking,structure_state,2023,Ultra-stretchable hydrogel thermocouples for intelligent wearables,hydrogel  +  dynamic crosslinking,hydrogel  +  dynamic crosslinking,,,,,iTE_observed_after_TG_pair,30,0,5,7,4,1,12,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
XL_336c20ae3b2c,TP_00a8b3413c4d,IP_00a8b3413c4d,direct_pair_overlap,0.9637,TC_4b2db7e72622,gel-confined redox transport,TC_4b2db7e72622,gel-confined redox transport,structure_state,62,exact,1.0,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,structure_state__mechanism,structure_state__mechanism,2,1,P0364; P0585,P0249,,,,,,,not_applicable,observed_pair_overlap,gel-confined redox transport,structure_state,ion-selectivity membrane transport,mechanism,2025,P-N Series Integrated Ionic Thermoelectric Generator Based on Cation/Anion-Selective Hydrogels for Body Heat Harvesting; Aligned cellulose nanofibril ionogels with continuous micro-nanochannels for ionic thermoelectrics and self-powered sensors,gel-confined redox transport,structure_state,ion-selectivity membrane transport,mechanism,2026,Ion transport control in electrolytes via electrochemical doping,gel-confined redox transport  +  ion-selectivity membrane transport,gel-confined redox transport  +  ion-selectivity membrane transport,,,,,iTE_precedes_or_same_year,30,0,10,7,4,2,8,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
XL_a5150561e443,TP_026a980a4e92,IP_026a980a4e92,direct_pair_overlap,0.958,TC_c8efd3db5897,poly(vinyl alcohol) (PVA),TC_c8efd3db5897,poly(vinyl alcohol) (PVA),material_system,23,exact,1.0,TC_d0a37a92a174,phase transition,mechanism,TC_d0a37a92a174,phase transition,mechanism,material_system__mechanism,material_system__mechanism,1,1,P1926,P0015,,,,,,,not_applicable,observed_pair_overlap,poly(vinyl alcohol) (PVA),material_system,phase transition,mechanism,2026,"Biomimetic salt-excreting 2D evaporator enables spatially decoupled evaporation, salt harvesting, and energy recovery for sustainable brine treatment",poly(vinyl alcohol) (PVA),material_system,phase transition,mechanism,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,poly(vinyl alcohol) (PVA)  +  phase transition,poly(vinyl alcohol) (PVA)  +  phase transition,,,,,iTE_observed_after_TG_pair,30,0,5,7,4,1,4,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
XL_a1f866476e15,TP_02762abe5519,IP_02762abe5519,direct_pair_overlap,0.9708,TC_fee7213e37fa,dimethyl sulfoxide (DMSO),TC_fee7213e37fa,dimethyl sulfoxide (DMSO),material_system,6,exact,1.0,TC_c889e0f92f27,selective solvation,mechanism,TC_c889e0f92f27,selective solvation,mechanism,material_system__mechanism,material_system__mechanism,2,1,P0467; P1584,P0065,,,,,,,not_applicable,observed_pair_overlap,dimethyl sulfoxide (DMSO),material_system,selective solvation,mechanism,2019,Low ion concentration ionic liquid enable drastically improvement in liquid thermoelectric performance; Inversion of thermodiffusive properties of ionic colloidal dispersions in water-DMSO mixtures probed by forced Rayleigh scattering,dimethyl sulfoxide (DMSO),material_system,selective solvation,mechanism,2023,"High Seebeck coefficient thermogalvanic cells via the solvent-sensitive charge additivity of cobalt 1,8-diaminosarcophagine",dimethyl sulfoxide (DMSO)  +  selective solvation,dimethyl sulfoxide (DMSO)  +  selective solvation,,,,,iTE_precedes_or_same_year,30,0,5,7,4,2,0,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
XL_53a72e6777e8,TP_0288da73cd99,IP_0288da73cd99,direct_pair_overlap,0.9669,TC_ec3feb9c0ab9,bacterial cellulose,TC_ec3feb9c0ab9,bacterial cellulose,material_system,3,exact,1.0,TC_f104995fe14f,anti-freezing organohydrogel design,structure_state,TC_f104995fe14f,anti-freezing organohydrogel design,structure_state,material_system__structure_state,material_system__structure_state,1,1,P0670,P0048,,,,,,,not_applicable,observed_pair_overlap,bacterial cellulose,material_system,anti-freezing organohydrogel design,structure_state,2025,Cation-Anchoring-Induced Efficient n-Type Thermo-Electric Ionogel with Ultra-High Thermopower,bacterial cellulose,material_system,anti-freezing organohydrogel design,structure_state,2023,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,bacterial cellulose  +  anti-freezing organohydrogel design,bacterial cellulose  +  anti-freezing organohydrogel design,,,,,iTE_observed_after_TG_pair,30,0,5,7,4,1,0,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
XL_e105bc53d77f,TP_02ba733d398f,IP_02ba733d398f,direct_pair_overlap,0.99,TC_47ce51710576,TEMPO,TC_47ce51710576,TEMPO,material_system,1,exact,1.0,TC_f2b85f088f6c,organic redox molecular design,mechanism,TC_f2b85f088f6c,organic redox molecular design,mechanism,material_system__mechanism,material_system__mechanism,5,1,P0379; P0389; P0528; P0854; P1454,P0072,,,,,,,not_applicable,observed_pair_overlap,TEMPO,material_system,organic redox molecular design,mechanism,2022,"Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors; Mesoscopic confined ionic thermoelectric materials with excellent ionic conductivity for waste heat harvesting; Ion-selective transport in surface-modified cellulose membranes for aqueous ionic thermoelectrics; Composite fabric with nanocellulose impregnated cotton for eco-friendly thermoelectric textile; Thermoelectric textiles with nanostructured copper iodide films on cotton and polyester fabrics, stabilized and reinforced with nanocellulose",TEMPO,material_system,organic redox molecular design,mechanism,2026,Designing n-Type Thermogalvanic TEMPO-Substituted Polyacrylamide via Conformational Entropic Modulation,TEMPO  +  organic redox molecular design,TEMPO  +  organic redox molecular design,,,,,iTE_precedes_or_same_year,30,0,5,7,4,5,0,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
XL_aff5ed796a15,TP_0387058d5a30,IP_0387058d5a30,direct_pair_overlap,0.9688,TC_6d3814acb95f,hydrogel,TC_6d3814acb95f,hydrogel,material_system,79,exact,1.0,TC_d03db13cbd8a,electrostatic interaction,mechanism,TC_d03db13cbd8a,electrostatic interaction,mechanism,material_system__mechanism,material_system__mechanism,3,1,P0367; P0374; P0422,P0011,,,,,,,not_applicable,observed_pair_overlap,hydrogel,material_system,electrostatic interaction,mechanism,2023,"An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting; Ultrasensitive Flexible Thermal Sensor Arrays based on High-Thermopower Ionic Thermoelectric Hydrogel; Multifunctional Elastic Supramolecular Hydrogels with Self-Healing, Adhesive, and Ionic Thermoelectric Property for Flexible Sensing and Energy Harvesting",hydrogel,material_system,electrostatic interaction,mechanism,2025,Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels,hydrogel  +  electrostatic interaction,hydrogel  +  electrostatic interaction,,,,,iTE_precedes_or_same_year,30,0,5,7,4,4,12,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
XL_162f12557e9d,TP_043466e30f93,IP_043466e30f93,direct_pair_overlap,0.9701,TC_34fe8a88a4a6,urea,TC_34fe8a88a4a6,urea,material_system,2,exact,1.0,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,material_system__mechanism,material_system__mechanism,1,1,P0347,P0223,,,,,,,not_applicable,observed_pair_overlap,urea,material_system,ion-selectivity membrane transport,mechanism,2025,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels,urea,material_system,ion-selectivity membrane transport,mechanism,2021,Insight into the effect of the configuration entropy of additives on the Seebeck coefficient,urea  +  ion-selectivity membrane transport,urea  +  ion-selectivity membrane transport,,,,,iTE_observed_after_TG_pair,30,0,5,7,4,1,0,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
XL_78f69819f675,TP_04b342ce2a13,IP_04b342ce2a13,direct_pair_overlap,0.9651,TC_e077079526c6,chitosan,TC_e077079526c6,chitosan,material_system,4,exact,1.0,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,material_system__mechanism,material_system__mechanism,1,1,P1189,P0137,,,,,,,not_applicable,observed_pair_overlap,chitosan,material_system,ion-selectivity membrane transport,mechanism,2015,Ionic liquid entrapment by an electrospun polymer nanofiber matrix as a high conductivity polymer electrolyte,chitosan,material_system,ion-selectivity membrane transport,mechanism,2024,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,chitosan  +  ion-selectivity membrane transport,chitosan  +  ion-selectivity membrane transport,,,,,iTE_precedes_or_same_year,30,0,5,7,4,1,0,0,exact_pair_overlap_is_precedent,precedent_or_positive_control,exact_TG_pair_overlap
