pair_id,domain_layer,pair_key,source_node_id,source_role,node_a_label,target_node_id,target_role,node_b_label,pair_type,paper_count,exclusive_layer_paper_count,shared_corpus_paper_count,first_year,last_year,supporting_paper_ids,supporting_dois,supporting_titles,node_a_domain_df,node_b_domain_df,historical_graph_eligible,pair_evidence_strength
IP_1d6f6cf9e48c,iTE,TC_72b4ae05a4a9::TC_17123185c248,TC_72b4ae05a4a9,material_system,perovskite,TC_17123185c248,mechanism,electronic-structure modulation,material_system__mechanism,56,56,0,2000,2026,P0504; P0513; P0692; P0808; P0827; P0880; P0902; P0948; P0967; P0977; P0985; P0991; P0994; P1009; P1018; P1025; P1055; P1087; P1088; P1110; P1117; P1195; P1200; P1203; P1205; P1222; P1288; P1304; P1310; P1333; P1399; P1445; P1452; P1490; P1570; P1616; P1620; P1635; P1643; P1662; P1688; P1714; P1720; P1724; P1761; P1773; P1837; P1848; P1850; P1901; P1904; P1949; P1950; P1951; P1953; P1961,10.1007/s11082-023-06113-9; 10.1038/s41598-025-31002-4; 10.1016/j.commatsci.2023.112188; 10.1142/s0217979225502960; 10.1016/j.inoche.2024.113573; 10.1002/jccs.70028; 10.1007/s13391-018-0062-x; 10.1016/j.optlastec.2024.111833; 10.1016/j.poly.2022.116184; 10.1007/s13391-026-00654-3; 10.1088/1402-4896/acd88a; 10.1016/j.jssc.2022.123266; 10.1016/j.poly.2024.117009; 10.1016/j.mseb.2024.117686; 10.1016/j.jscs.2023.101627; 10.1039/d6cp00002a; 10.1139/cjc-2025-0123; 10.1016/j.physb.2025.417855; 10.1016/j.ijhydene.2024.06.373; 10.1039/c8tc04506b; 10.1016/j.mseb.2025.118373; 10.1002/qua.27363; 10.1016/j.mseb.2024.117184; 10.1016/j.ijhydene.2025.151222; 10.1007/s11082-023-05190-0; 10.1016/j.matchemphys.2026.132408; 10.1016/j.jpcs.2026.113796; 10.1016/j.jpcs.2026.113876; 10.1016/j.rinp.2022.105977; 10.1007/s10825-023-02073-1; 10.1016/j.ssc.2024.115763; 10.1007/s12648-025-03830-7; 10.1016/j.chemphys.2024.112449; 10.1016/j.ssi.2023.116401; 10.1088/1402-4896/acb6c0; 10.1016/j.jpcs.2025.113089; 10.1038/s41598-025-20948-0; 10.1007/s13538-025-01837-3; 10.1016/j.est.2025.118656; 10.1016/j.ijleo.2021.167536; 10.1016/j.jpcs.2026.113633; 10.1142/s0217979219502126; 10.1007/s10971-025-06816-3; 10.1038/s41598-026-49506-y; 10.1140/epjp/s13360-022-02843-z; 10.1023/a:1009985226374; 10.1088/2053-1591/ab619c; 10.1142/s021797922650013x; 10.1007/s11082-023-04666-3; 10.1063/5.0332644; 10.1007/s12648-025-03768-w; 10.1088/2053-1591/aad15f; 10.1016/j.physb.2026.418733; 10.1142/s0217979225502224; 10.1016/j.cjph.2024.03.013; 10.1017/s088571561600049x,"A theoretical investigation of the Ba2CePtO6 double perovskite for optoelectronic and thermoelectric applications; Structural, electronic, optical, and thermoelectric properties of CaXO3 (X = Si, Ge, Ti) perovskite for photovoltaics and optical devices; Anti-perovskite nitrides and oxides: Properties and preparation; Multifunctional potential of SrMoN3 nitride perovskite: A DFT study of structural, optical, electronic, thermoelectric, phonon, thermodynamic and mechanical properties; A DFT Manifestation of the physical, thermodynamic and thermoelectric properties in Sn-based halide perovskites",144,265,True,1.0
IP_f2091e4bdf62,iTE,TC_a3d6bb3e8d3e::TC_2c5557073ad9,TC_a3d6bb3e8d3e,material_system,cellulose,TC_2c5557073ad9,structure_state,cellulose nanofiber scaffold,material_system__structure_state,49,49,0,2017,2026,P0341; P0344; P0347; P0355; P0365; P0371; P0374; P0379; P0389; P0390; P0397; P0439; P0444; P0497; P0509; P0520; P0526; P0528; P0543; P0554; P0571; P0579; P0580; P0585; P0586; P0587; P0595; P0608; P0617; P0620; P0670; P0683; P0685; P0687; P0738; P0828; P0882; P0915; P0928; P0938; P1067; P1345; P1406; P1415; P1476; P1491; P1721; P1797; P1816,10.1039/d5ta00744e; 10.1016/j.colsurfa.2025.138182; 10.1016/j.cej.2025.165667; 10.1016/j.cej.2024.148797; 10.1016/j.mtphys.2024.101589; 10.1002/adfm.202407948; 10.1002/advs.202302685; 10.1016/j.carbpol.2023.121310; 10.1016/j.cej.2022.134702; 10.1002/eem2.12220; 10.1038/s41528-022-00213-4; 10.1016/j.cej.2026.176400; 10.1039/c7ta03196c; 10.1002/smll.202412336; 10.1016/j.cej.2024.149344; 10.1016/j.cej.2024.150638; 10.1016/j.carbpol.2025.124274; 10.1039/d5ta05281e; 10.1016/j.matlet.2024.137038; 10.1002/advs.202206510; 10.1016/j.conbuildmat.2026.146950; 10.1002/eem2.70358; 10.1021/acsami.6c01737; 10.1016/j.compositesb.2026.113490; 10.1021/acs.nanolett.2c02558; 10.1002/adfm.202107105; 10.1021/acsaem.6c01282; 10.1039/d0ee02730h; 10.1016/j.carbpol.2022.119650; 10.1039/d1tc04466d; 10.1002/advs.202414389; 10.1016/j.cej.2024.155161; 10.1002/app.70650; 10.1016/j.mtcomm.2026.115585; 10.1016/j.cej.2025.171610; 10.1016/j.cej.2026.174810; 10.1039/d5ta00734h; 10.1002/advs.201802128; 10.1039/d6mh00255b; 10.1007/s42765-023-00353-w; 10.1016/j.solener.2020.10.081; 10.1039/d2ta09068f; 10.1038/s41467-025-64966-y; 10.1007/s40820-025-01960-5; 10.1016/j.mtener.2025.102171; 10.1063/5.0075918; 10.1039/d6ra01008c; 10.1016/j.compositesb.2025.112166; 10.1021/acsami.4c03665,"Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties; High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors; Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Highly stretchable, low-hysteresis, and antifreeze hydrogel for low-grade thermal energy harvesting in ionic thermoelectric Supercapacitors",49,57,True,1.0
IP_f37f24a981e7,iTE,TC_85caea92bb3a::TC_575b8475e747,TC_85caea92bb3a,intervention,thermodiffusion or soret,TC_575b8475e747,mechanism,ionic thermodiffusion (Soret effect),intervention__mechanism,34,34,0,2010,2025,P0336; P0373; P0374; P0379; P0380; P0392; P0447; P0479; P0497; P0510; P0527; P0528; P0564; P0578; P0611; P0622; P0653; P0705; P0708; P0720; P0729; P0938; P1053; P1109; P1143; P1242; P1245; P1353; P1409; P1474; P1542; P1584; P1700; P1852,10.1002/adma.202510199; 10.1038/s41467-023-36018-w; 10.1002/advs.202302685; 10.1016/j.carbpol.2023.121310; 10.1007/s40820-023-01077-7; 10.1002/adfm.202011016; 10.1039/c6ee00121a; 10.1021/acsaem.1c00422; 10.1002/smll.202412336; 10.1016/j.cej.2024.150307; 10.1002/adma.202510413; 10.1039/d5ta05281e; 10.1021/acs.nanolett.3c02469; 10.1021/acs.jpclett.2c00845; 10.1007/s11431-022-2222-5; 10.1002/aenm.202001633; 10.1039/c8cp02558d; 10.1002/advs.202204120; 10.1039/d1ta02869c; 10.1002/adfm.201900572; 10.1111/ijag.15858; 10.1007/s42765-023-00353-w; 10.1016/j.ijheatmasstransfer.2023.124454; 10.1016/j.mtphys.2020.100307; 10.1016/j.esci.2023.100169; 10.1016/j.sna.2020.112369; 10.1021/acs.jpcc.8b03828; 10.1103/physreve.92.042311; 10.1021/acs.jctc.1c00116; 10.1063/5.0173343; 10.1021/acs.energyfuels.1c04434; 10.1140/epje/i2019-11835-6; 10.1021/la904588s; 10.1039/d5sm00319a,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions; Reversible bipolar thermopower of ionic thermoelectric polymer composite for cyclic energy generation; Ultrasensitive Flexible Thermal Sensor Arrays based on High-Thermopower Ionic Thermoelectric Hydrogel; Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors; Ion-Electron Coupling Enables Ionic Thermoelectric Material with New Operation Mode and High Energy Density,72,115,True,1.0
IP_c09365955848,iTE,TC_6d3814acb95f::TC_4b2db7e72622,TC_6d3814acb95f,material_system,hydrogel,TC_4b2db7e72622,structure_state,gel-confined redox transport,material_system__structure_state,24,24,0,2021,2026,P0338; P0339; P0342; P0359; P0364; P0367; P0381; P0396; P0408; P0434; P0445; P0481; P0532; P0557; P0568; P1003; P1122; P1175; P1263; P1339; P1408; P1493; P1614; P1726,10.1002/smll.202501960; 10.1038/s41467-025-64054-1; 10.1002/aenm.202500584; 10.1016/j.jobe.2025.114806; 10.1002/smll.202502884; 10.1039/d4ta07484j; 10.1002/aenm.202204357; 10.1016/j.surfin.2023.103564; 10.1016/j.cej.2024.154970; 10.1021/acs.iecr.5c05062; 10.1039/d4ta05396f; 10.1039/d1tc01385h; 10.1016/j.applthermaleng.2025.129265; 10.1002/anie.202307947; 10.1126/sciadv.abi7233; 10.1016/j.cej.2023.147380; 10.1002/aenm.202201542; 10.1016/j.jpowsour.2025.238731; 10.26599/nr.2026.94908553; 10.1039/d2ta05737a; 10.1021/acsapm.5c00097; 10.1021/acsami.1c07266; 10.1002/smll.73890; 10.1016/j.desal.2025.118639,Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability; Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower; Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode; Polyvinyl alcohol/sodium alginate double network hydrogels design for high-performance p-type ionic thermoelectric cement-based composites; P-N Series Integrated Ionic Thermoelectric Generator Based on Cation/Anion-Selective Hydrogels for Body Heat Harvesting,123,32,True,1.0
IP_ae5ab2fcda5c,iTE,TC_6d3814acb95f::TC_575b8475e747,TC_6d3814acb95f,material_system,hydrogel,TC_575b8475e747,mechanism,ionic thermodiffusion (Soret effect),material_system__mechanism,24,24,0,2022,2026,P0336; P0344; P0355; P0367; P0374; P0379; P0401; P0408; P0435; P0437; P0438; P0443; P0458; P0463; P0510; P0535; P0578; P0609; P0616; P0684; P1560; P1641; P1707; P1719,10.1002/adma.202510199; 10.1016/j.colsurfa.2025.138182; 10.1016/j.cej.2024.148797; 10.1039/d4ta07484j; 10.1002/advs.202302685; 10.1016/j.carbpol.2023.121310; 10.1021/acsaelm.5c00195; 10.1016/j.cej.2024.154970; 10.1002/app.70303; 10.3390/ma19102029; 10.1016/j.cej.2026.176570; 10.1002/admt.202501775; 10.1021/acs.jpclett.2c02645; 10.1093/nsr/nwag296; 10.1016/j.cej.2024.150307; 10.1039/d5se01406a; 10.1021/acs.jpclett.2c00845; 10.1016/j.compscitech.2022.109771; 10.1002/asia.202200850; 10.1007/s10118-026-3583-z; 10.1063/5.0324631; 10.1016/j.cej.2026.177261; 10.1021/acsapm.5c03601; 10.1002/adfm.202532004,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions; High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting; Ultrasensitive Flexible Thermal Sensor Arrays based on High-Thermopower Ionic Thermoelectric Hydrogel,123,115,True,1.0
IP_d34fc9b28af9,iTE,TC_a3d6bb3e8d3e::TC_2f3e0e0cb9b1,TC_a3d6bb3e8d3e,material_system,cellulose,TC_2f3e0e0cb9b1,mechanism,cellulose nanofiber scaffold,material_system__mechanism,23,23,0,2017,2025,P0341; P0344; P0347; P0355; P0365; P0374; P0379; P0389; P0390; P0397; P0444; P0497; P0509; P0528; P0543; P0554; P0587; P0608; P0620; P0670; P0882; P0938; P1345,10.1039/d5ta00744e; 10.1016/j.colsurfa.2025.138182; 10.1016/j.cej.2025.165667; 10.1016/j.cej.2024.148797; 10.1016/j.mtphys.2024.101589; 10.1002/advs.202302685; 10.1016/j.carbpol.2023.121310; 10.1016/j.cej.2022.134702; 10.1002/eem2.12220; 10.1038/s41528-022-00213-4; 10.1039/c7ta03196c; 10.1002/smll.202412336; 10.1016/j.cej.2024.149344; 10.1039/d5ta05281e; 10.1016/j.matlet.2024.137038; 10.1002/advs.202206510; 10.1002/adfm.202107105; 10.1039/d0ee02730h; 10.1039/d1tc04466d; 10.1002/advs.202414389; 10.1039/d5ta00734h; 10.1007/s42765-023-00353-w; 10.1039/d2ta09068f,"Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties; High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors; Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Highly stretchable, low-hysteresis, and antifreeze hydrogel for low-grade thermal energy harvesting in ionic thermoelectric Supercapacitors",49,42,True,1.0
IP_d5de32c23cc4,iTE,TC_2c5557073ad9::TC_2f3e0e0cb9b1,TC_2c5557073ad9,structure_state,cellulose nanofiber scaffold,TC_2f3e0e0cb9b1,mechanism,cellulose nanofiber scaffold,structure_state__mechanism,23,23,0,2017,2025,P0341; P0344; P0347; P0355; P0365; P0374; P0379; P0389; P0390; P0397; P0444; P0497; P0509; P0528; P0543; P0554; P0587; P0608; P0620; P0670; P0882; P0938; P1345,10.1039/d5ta00744e; 10.1016/j.colsurfa.2025.138182; 10.1016/j.cej.2025.165667; 10.1016/j.cej.2024.148797; 10.1016/j.mtphys.2024.101589; 10.1002/advs.202302685; 10.1016/j.carbpol.2023.121310; 10.1016/j.cej.2022.134702; 10.1002/eem2.12220; 10.1038/s41528-022-00213-4; 10.1039/c7ta03196c; 10.1002/smll.202412336; 10.1016/j.cej.2024.149344; 10.1039/d5ta05281e; 10.1016/j.matlet.2024.137038; 10.1002/advs.202206510; 10.1002/adfm.202107105; 10.1039/d0ee02730h; 10.1039/d1tc04466d; 10.1002/advs.202414389; 10.1039/d5ta00734h; 10.1007/s42765-023-00353-w; 10.1039/d2ta09068f,"Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties; High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors; Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Highly stretchable, low-hysteresis, and antifreeze hydrogel for low-grade thermal energy harvesting in ionic thermoelectric Supercapacitors",57,42,True,1.0
IP_6a44e1ba66d1,iTE,TC_6d3814acb95f::TC_07500f5feb43,TC_6d3814acb95f,material_system,hydrogel,TC_07500f5feb43,structure_state,dynamic crosslinked gel network,material_system__structure_state,22,22,0,2022,2026,P0342; P0359; P0368; P0379; P0390; P0408; P0413; P0435; P0440; P0450; P0510; P0523; P0532; P0535; P0558; P0609; P0677; P0693; P0697; P0737; P0919; P1903,10.1002/aenm.202500584; 10.1016/j.jobe.2025.114806; 10.1016/j.cej.2024.157823; 10.1016/j.carbpol.2023.121310; 10.1002/eem2.12220; 10.1016/j.cej.2024.154970; 10.1007/s42114-025-01495-8; 10.1002/app.70303; 10.1016/j.nanoen.2026.111707; 10.1002/adfm.202306086; 10.1016/j.cej.2024.150307; 10.1039/d5ta05571g; 10.1016/j.applthermaleng.2025.129265; 10.1039/d5se01406a; 10.1016/j.nanoen.2022.107977; 10.1016/j.compscitech.2022.109771; 10.1002/smll.202311811; 10.1002/eem2.12562; 10.1021/acsami.1c24698; 10.1016/j.ijbiomac.2024.136881; 10.1016/j.nanoen.2021.106738; 10.1016/j.mtphys.2025.101750,"Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode; Polyvinyl alcohol/sodium alginate double network hydrogels design for high-performance p-type ionic thermoelectric cement-based composites; Conductive ionic thermoelectric hydrogel with negative Seebeck coefficient, self-healing and highly sensitive to temperature for photothermoelectric conversion and non-contact sensing device; Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors; High-Performance Ionic Thermoelectric Supercapacitor for Integrated Energy Conversion-Storage",123,31,True,1.0
IP_1fa0ffaccd8b,iTE,TC_6d3814acb95f::TC_f104995fe14f,TC_6d3814acb95f,material_system,hydrogel,TC_f104995fe14f,structure_state,anti-freezing organohydrogel design,material_system__structure_state,19,19,0,2022,2026,P0365; P0408; P0423; P0445; P0450; P0506; P0535; P0555; P0559; P0737; P0738; P0817; P0841; P0919; P1003; P1045; P1202; P1476; P1780,10.1016/j.mtphys.2024.101589; 10.1016/j.cej.2024.154970; 10.1016/j.reactfunctpolym.2026.106679; 10.1039/d4ta05396f; 10.1002/adfm.202306086; 10.1016/j.ijbiomac.2025.140324; 10.1039/d5se01406a; 10.1016/j.mtener.2023.101383; 10.1039/d1ta09707e; 10.1016/j.ijbiomac.2024.136881; 10.1016/j.cej.2025.171610; 10.1016/j.ijbiomac.2024.135006; 10.1016/j.cej.2025.162924; 10.1016/j.nanoen.2021.106738; 10.1016/j.cej.2023.147380; 10.1002/adfm.202110859; 10.1016/j.ijbiomac.2026.150326; 10.1016/j.mtener.2025.102171; 10.1016/j.cej.2024.149299,"Highly stretchable, low-hysteresis, and antifreeze hydrogel for low-grade thermal energy harvesting in ionic thermoelectric Supercapacitors; Electrode-dependent thermoelectric effect in ionic hydrogel fiber for self-powered sensing and low-grade heat harvesting; Ionic thermoelectric poly(vinyl alcohol)/gelatin hydrogel for passive multimodal physiological sensing via the sol-gel transition triggered by salting out effect; Highly stretchable ionic hydrogels with enhanced thermoelectric performance and flame retardancy for intelligent fire protection; Highly Stretchable, Resilient, Adhesive, and Self-Healing Ionic Hydrogels for Thermoelectric Application",123,53,True,1.0
IP_a8ae1fac486e,iTE,TC_a9af609cf89a::TC_902956facbd0,TC_a9af609cf89a,structure_state,chaotropic polymer-water disruption,TC_902956facbd0,mechanism,hydrogen bonding,structure_state__mechanism,18,18,0,2022,2026,P0341; P0365; P0368; P0379; P0420; P0422; P0423; P0435; P0436; P0441; P0535; P0540; P0578; P0579; P0611; P1145; P1263; P1345,10.1039/d5ta00744e; 10.1016/j.mtphys.2024.101589; 10.1016/j.cej.2024.157823; 10.1016/j.carbpol.2023.121310; 10.1007/s40843-025-3689-9; 10.1002/adma.73341; 10.1016/j.reactfunctpolym.2026.106679; 10.1002/app.70303; 10.1126/sciadv.aef5852; 10.1021/acsami.6c02443; 10.1039/d5se01406a; 10.1039/d4ta08215j; 10.1021/acs.jpclett.2c00845; 10.1002/eem2.70358; 10.1007/s11431-022-2222-5; 10.1002/smll.202511108; 10.26599/nr.2026.94908553; 10.1039/d2ta09068f,"Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties; Highly stretchable, low-hysteresis, and antifreeze hydrogel for low-grade thermal energy harvesting in ionic thermoelectric Supercapacitors; Conductive ionic thermoelectric hydrogel with negative Seebeck coefficient, self-healing and highly sensitive to temperature for photothermoelectric conversion and non-contact sensing device; Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors; Synergistic dual supramolecular interactions enhance ionic thermoelectric performance in dilute-electrolyte hydrogels",30,42,True,1.0
