link_id,tg_pair_id,ite_pair_id,link_type,bridge_score,shared_or_family_tg_node_id,shared_or_family_tg_label,shared_or_family_ite_node_id,shared_or_family_ite_label,bridge_role,shared_endpoint_tg_df,endpoint_match,endpoint_string_similarity,ite_other_node_id,ite_other_label,ite_other_role,tg_other_node_id,tg_other_label,tg_other_role,ite_pair_type,tg_pair_type,ite_pair_paper_count,tg_pair_paper_count,ite_supporting_paper_ids,tg_supporting_paper_ids,program_id,program_title_cn,program_candidate_status,target_redox_family,program_source_paper_ids,ite_aligned_supporting_paper_ids,ite_source_alignment,evidence_scope,ite_node_a_label,ite_node_a_role,ite_node_b_label,ite_node_b_role,ite_first_year,ite_supporting_titles,tg_node_a_label,tg_node_a_role,tg_node_b_label,tg_node_b_role,tg_first_year,tg_supporting_titles,ite_pair_label,tg_pair_label,proposed_closure_source_label,proposed_closure_source_role,proposed_closure_target_label,proposed_closure_target_role,temporal_alignment,C1_anchor,C2_directional_rule,C3_role_logic,C4_ite_evidence,C5_tg_grounding,C6_independent_support,hub_penalty,transfer_score,score_cap_reason,inference_status,novelty_status
XL_79992693d5fe,TP_124f0e26dfa3,IP_b2e5660319d4,curated_program_bridge,0.9708,,,TC_b3a92375da61,ion electron coupling,intervention_to_TG_pair,,curated_transfer_rule,,TC_575b8475e747,ionic thermodiffusion (Soret effect),mechanism,,,,intervention__mechanism,material_system__mechanism,6,1,P0353; P0380; P0510; P0615; P0708; P0720,P0014,PRG_17b64f2815f3,用 iTE 离子–电子耦合启发 Fe2+/Fe3+ TG 的局部混合导体电极,direct_TG_precedent_upgrade_candidate,fe_ii_iii,P0353; P0380; P0519,P0353; P0380,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,ion electron coupling,intervention,ionic thermodiffusion (Soret effect),mechanism,2019,Conveyor mode enabling continuous ionic thermoelectric conversion; Ion-Electron Coupling Enables Ionic Thermoelectric Material with New Operation Mode and High Energy Density; A double network facilitated ion-electron conductor for thermoelectric harvesting with high energy density; High Thermoelectric Performance in n-Type Perylene Bisimide Induced by the Soret Effect; A mixed ion-electron conducting carbon nanotube ionogel to efficiently harvest heat from both a temperature gradient and temperature fluctuation,PEDOT:PSS,material_system,Fe2+/Fe3+ solvation redox chemistry,mechanism,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,ion electron coupling  +  ionic thermodiffusion (Soret effect),PEDOT:PSS  +  Fe2+/Fe3+ solvation redox chemistry,ion electron coupling,intervention,PEDOT:PSS,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate
XL_55eaf3fed8fe,TP_138426452bd3,IP_5bddc331531a,curated_program_bridge,0.9766,,,TC_759724737cc8,fixed charge selectivity,intervention_to_TG_pair,,curated_transfer_rule,,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,,,,intervention__mechanism,material_system__mechanism,5,3,P0347; P0360; P0364; P0528; P1096,P0008; P0119; P0196,PRG_e948eab97497,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,mechanism_extension_white_space,iodide_triiodide,P0360; P0364; P0528; P0696; P1665,P0360; P0364; P0528,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,fixed charge selectivity,intervention,ion-selectivity membrane transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink; P-N Series Integrated Ionic Thermoelectric Generator Based on Cation/Anion-Selective Hydrogels for Body Heat Harvesting; Ion-selective transport in surface-modified cellulose membranes for aqueous ionic thermoelectrics; Photothermoelectric Response of Ti3C2Tx MXene Confined Ion Channels,iodide/triiodide,material_system,thermogalvanic redox conversion,mechanism,2015,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing; Combining thermogalvanic corrosion and thermogalvanic redox couples for improved electrochemical waste heat harvesting; Zinc-iodine thermal charging cell engineered by cost-efficient electrolytes for low-grade heat harvesting,fixed charge selectivity  +  ion-selectivity membrane transport,iodide/triiodide  +  thermogalvanic redox conversion,fixed charge selectivity,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,white_space_in_frozen_local_corpus
XL_8b78a1a45bb6,TP_14ed6d8dff95,IP_5bddc331531a,curated_program_bridge,0.9766,,,TC_759724737cc8,fixed charge selectivity,intervention_to_TG_pair,,curated_transfer_rule,,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,,,,intervention__mechanism,material_system__mechanism,5,3,P0347; P0360; P0364; P0528; P1096,P0008; P0040; P0066,PRG_e948eab97497,把固定正电荷通道与分子识别结合，做 I−/I3− TG 选择性隔层,mechanism_extension_white_space,iodide_triiodide,P0360; P0364; P0528; P0696; P1665,P0360; P0364; P0528,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,fixed charge selectivity,intervention,ion-selectivity membrane transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink; P-N Series Integrated Ionic Thermoelectric Generator Based on Cation/Anion-Selective Hydrogels for Body Heat Harvesting; Ion-selective transport in surface-modified cellulose membranes for aqueous ionic thermoelectrics; Photothermoelectric Response of Ti3C2Tx MXene Confined Ion Channels,hydrogel,material_system,iodide/triiodide redox chemistry,mechanism,2022,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing; Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring; Thermogalvanic hydrogels for self-powered temperature monitoring in extreme environments,fixed charge selectivity  +  ion-selectivity membrane transport,hydrogel  +  iodide/triiodide redox chemistry,fixed charge selectivity,intervention,hydrogel,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,white_space_in_frozen_local_corpus
XL_eac3c6ef8c64,TP_4a2aa71d3924,IP_5f2ff70ef6b7,curated_program_bridge,0.9708,,,TC_a45b298d4663,coordination or ion pairing,intervention_to_TG_pair,,curated_transfer_rule,,TC_402d7ec84669,ion-pairing and complexation,mechanism,,,,intervention__mechanism,material_system__mechanism,10,1,P0336; P0337; P0355; P0362; P0367; P0379; P0407; P0609; P0970; P1345,P0022,PRG_e34db5baa25d,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,direct_TG_precedent_upgrade_candidate,copper,P0336; P0397; P0413; P0696,P0336,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,coordination or ion pairing,intervention,ion-pairing and complexation,mechanism,2022,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions; Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Selective tuning cation coordination variations for developing high-performance N-type solid-state ionic thermoelectric materials; An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting,copper electrode,material_system,Cu-ethylenediamine chelation entropy,mechanism,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,coordination or ion pairing  +  ion-pairing and complexation,copper electrode  +  Cu-ethylenediamine chelation entropy,coordination or ion pairing,intervention,copper electrode,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate
XL_acd0c298301f,TP_4a2aa71d3924,IP_63b82819ce21,curated_program_bridge,0.9708,,,TC_a45b298d4663,coordination or ion pairing,intervention_to_TG_pair,,curated_transfer_rule,,TC_2f3e0e0cb9b1,cellulose nanofiber scaffold,mechanism,,,,intervention__mechanism,material_system__mechanism,5,1,P0341; P0355; P0379; P0397; P1345,P0022,PRG_e34db5baa25d,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,direct_TG_precedent_upgrade_candidate,copper,P0336; P0397; P0413; P0696,P0397,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,coordination or ion pairing,intervention,cellulose nanofiber scaffold,mechanism,2022,Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors; Specific behavior of transition metal chloride complexes for achieving giant ionic thermoelectric properties; Rarely negative-thermovoltage cellulose ionogel with simultaneously boosted mechanical strength and ionic conductivity via ion-molecular engineering,copper electrode,material_system,Cu-ethylenediamine chelation entropy,mechanism,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,coordination or ion pairing  +  cellulose nanofiber scaffold,copper electrode  +  Cu-ethylenediamine chelation entropy,coordination or ion pairing,intervention,copper electrode,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate
XL_27fd7505ddd6,TP_4a2aa71d3924,IP_ad5a3e4fb160,curated_program_bridge,0.9708,,,TC_a45b298d4663,coordination or ion pairing,intervention_to_TG_pair,,curated_transfer_rule,,TC_575b8475e747,ionic thermodiffusion (Soret effect),mechanism,,,,intervention__mechanism,material_system__mechanism,5,1,P0336; P0355; P0367; P0379; P0609,P0022,PRG_e34db5baa25d,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,direct_TG_precedent_upgrade_candidate,copper,P0336; P0397; P0413; P0696,P0336,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,coordination or ion pairing,intervention,ionic thermodiffusion (Soret effect),mechanism,2022,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting; Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors; High ionic thermopower in flexible composite hydrogel for wearable self-powered sensor,copper electrode,material_system,Cu-ethylenediamine chelation entropy,mechanism,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,coordination or ion pairing  +  ionic thermodiffusion (Soret effect),copper electrode  +  Cu-ethylenediamine chelation entropy,coordination or ion pairing,intervention,copper electrode,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate
XL_143c3ad41704,TP_4a2aa71d3924,IP_c79794ef01f4,curated_program_bridge,0.9608,,,TC_a45b298d4663,coordination or ion pairing,intervention_to_TG_pair,,curated_transfer_rule,,TC_2c5557073ad9,cellulose nanofiber scaffold,structure_state,,,,intervention__structure_state,material_system__mechanism,5,1,P0341; P0355; P0379; P0397; P1345,P0022,PRG_e34db5baa25d,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,direct_TG_precedent_upgrade_candidate,copper,P0336; P0397; P0413; P0696,P0397,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,coordination or ion pairing,intervention,cellulose nanofiber scaffold,structure_state,2022,Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors; Specific behavior of transition metal chloride complexes for achieving giant ionic thermoelectric properties; Rarely negative-thermovoltage cellulose ionogel with simultaneously boosted mechanical strength and ionic conductivity via ion-molecular engineering,copper electrode,material_system,Cu-ethylenediamine chelation entropy,mechanism,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,coordination or ion pairing  +  cellulose nanofiber scaffold,copper electrode  +  Cu-ethylenediamine chelation entropy,coordination or ion pairing,intervention,copper electrode,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate
XL_160f1c9ee4eb,TP_4f0391ab31a6,IP_0e8e4daf6216,curated_program_bridge,0.98,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_2f3e0e0cb9b1,cellulose nanofiber scaffold,mechanism,,,,intervention__mechanism,material_system__mechanism,5,5,P0347; P0355; P0587; P0608; P0938,P0016; P0039; P0191; P0208; P0303,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0355; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,cellulose nanofiber scaffold,mechanism,2021,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Flexible and Robust Bacterial Cellulose-Based Ionogels with High Thermoelectric Properties for Low-Grade Heat Harvesting; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients,ferri/ferrocyanide,material_system,thermal-gradient heat-transfer control,mechanism,2014,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization; Photo-thermo-electric hydrogel with interlocking photothermal layer and hydrogel for enhancement of thermopower generation; Thermoelectrochemistry using conventional and novel gelled electrolytes in heat-to-current thermocells; Design and optimization of thermo-electrochemical cells,oriented or confined channels  +  cellulose nanofiber scaffold,ferri/ferrocyanide  +  thermal-gradient heat-transfer control,oriented or confined channels,intervention,ferri/ferrocyanide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate
XL_7478cda701ee,TP_4f0391ab31a6,IP_1db5163351a2,curated_program_bridge,0.98,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_525335db36fb,nanochannel-confined ion transport,mechanism,,,,intervention__mechanism,material_system__mechanism,7,5,P0347; P0564; P0608; P0757; P0938; P1053; P1096,P0016; P0039; P0191; P0208; P0303,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0564; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,nanochannel-confined ion transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Ion Steric Effect Induces Giant Enhancement of Thermoelectric Conversion in Electrolyte-Filled Nanochannels; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting; Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients,ferri/ferrocyanide,material_system,thermal-gradient heat-transfer control,mechanism,2014,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization; Photo-thermo-electric hydrogel with interlocking photothermal layer and hydrogel for enhancement of thermopower generation; Thermoelectrochemistry using conventional and novel gelled electrolytes in heat-to-current thermocells; Design and optimization of thermo-electrochemical cells,oriented or confined channels  +  nanochannel-confined ion transport,ferri/ferrocyanide  +  thermal-gradient heat-transfer control,oriented or confined channels,intervention,ferri/ferrocyanide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate
XL_b8695eb96617,TP_4f0391ab31a6,IP_69379dc95c68,curated_program_bridge,0.97,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_2c5557073ad9,cellulose nanofiber scaffold,structure_state,,,,intervention__structure_state,material_system__mechanism,5,5,P0347; P0355; P0587; P0608; P0938,P0016; P0039; P0191; P0208; P0303,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0355; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,cellulose nanofiber scaffold,structure_state,2021,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Flexible and Robust Bacterial Cellulose-Based Ionogels with High Thermoelectric Properties for Low-Grade Heat Harvesting; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients,ferri/ferrocyanide,material_system,thermal-gradient heat-transfer control,mechanism,2014,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization; Photo-thermo-electric hydrogel with interlocking photothermal layer and hydrogel for enhancement of thermopower generation; Thermoelectrochemistry using conventional and novel gelled electrolytes in heat-to-current thermocells; Design and optimization of thermo-electrochemical cells,oriented or confined channels  +  cellulose nanofiber scaffold,ferri/ferrocyanide  +  thermal-gradient heat-transfer control,oriented or confined channels,intervention,ferri/ferrocyanide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate
