link_id,tg_pair_id,ite_pair_id,link_type,bridge_score,shared_or_family_tg_node_id,shared_or_family_tg_label,shared_or_family_ite_node_id,shared_or_family_ite_label,bridge_role,shared_endpoint_tg_df,endpoint_match,endpoint_string_similarity,ite_other_node_id,ite_other_label,ite_other_role,tg_other_node_id,tg_other_label,tg_other_role,ite_pair_type,tg_pair_type,ite_pair_paper_count,tg_pair_paper_count,ite_supporting_paper_ids,tg_supporting_paper_ids,program_id,program_title_cn,program_candidate_status,target_redox_family,program_source_paper_ids,ite_aligned_supporting_paper_ids,ite_source_alignment,evidence_scope,ite_node_a_label,ite_node_a_role,ite_node_b_label,ite_node_b_role,ite_first_year,ite_supporting_titles,tg_node_a_label,tg_node_a_role,tg_node_b_label,tg_node_b_role,tg_first_year,tg_supporting_titles,ite_pair_label,tg_pair_label,proposed_closure_source_label,proposed_closure_source_role,proposed_closure_target_label,proposed_closure_target_role,temporal_alignment,C1_anchor,C2_directional_rule,C3_role_logic,C4_ite_evidence,C5_tg_grounding,C6_independent_support,hub_penalty,transfer_score,score_cap_reason,inference_status,novelty_status
XL_cf78bdb59758,TP_3422d13bbc3e,IP_c406e625c06f,curated_program_bridge,0.9555,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_813971f0ccb0,supramolecular host-guest redox entropy,mechanism,,,,intervention__mechanism,material_system__mechanism,1,1,P0337,P0283,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,supramolecular host-guest redox entropy,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,ion concentration-gradient formation,mechanism,2016,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,host guest complexation  +  supramolecular host-guest redox entropy,iodide/triiodide  +  ion concentration-gradient formation,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
XL_ebfb000358fc,TP_3422d13bbc3e,IP_edcfb28e68f4,curated_program_bridge,0.9555,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_402d7ec84669,ion-pairing and complexation,mechanism,,,,intervention__mechanism,material_system__mechanism,1,1,P0337,P0283,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,ion-pairing and complexation,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,ion concentration-gradient formation,mechanism,2016,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,host guest complexation  +  ion-pairing and complexation,iodide/triiodide  +  ion concentration-gradient formation,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
XL_43e43248a697,TP_b0f11c2c660a,IP_c406e625c06f,curated_program_bridge,0.9555,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_813971f0ccb0,supramolecular host-guest redox entropy,mechanism,,,,intervention__mechanism,material_system__mechanism,1,1,P0337,P0283,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,supramolecular host-guest redox entropy,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,redox-layer ionic-gradient cell,mechanism,2016,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,host guest complexation  +  supramolecular host-guest redox entropy,iodide/triiodide  +  redox-layer ionic-gradient cell,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
XL_abe8a91a8554,TP_b0f11c2c660a,IP_edcfb28e68f4,curated_program_bridge,0.9555,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_402d7ec84669,ion-pairing and complexation,mechanism,,,,intervention__mechanism,material_system__mechanism,1,1,P0337,P0283,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,ion-pairing and complexation,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,redox-layer ionic-gradient cell,mechanism,2016,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,host guest complexation  +  ion-pairing and complexation,iodide/triiodide  +  redox-layer ionic-gradient cell,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
XL_2ef7be844708,TP_c704f4926b67,IP_355a3b9af1d5,curated_program_bridge,0.9613,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_d2014d12e766,iodide/triiodide redox chemistry,mechanism,,,,intervention__mechanism,material_system__mechanism,1,3,P0337,P0040; P0179; P0283,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,iodide/triiodide redox chemistry,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,ion-pairing and complexation,mechanism,2016,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring; High-thermopower polarized electrolytes enabled by methylcellulose for low-grade heat harvesting; Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,host guest complexation  +  iodide/triiodide redox chemistry,iodide/triiodide  +  ion-pairing and complexation,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
XL_e8e74ebba9f8,TP_c704f4926b67,IP_9a82814a0aee,curated_program_bridge,0.9613,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_a30151fe8274,host-guest complexation,mechanism,,,,intervention__mechanism,material_system__mechanism,1,3,P0337,P0040; P0179; P0283,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,host-guest complexation,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,ion-pairing and complexation,mechanism,2016,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring; High-thermopower polarized electrolytes enabled by methylcellulose for low-grade heat harvesting; Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,host guest complexation  +  host-guest complexation,iodide/triiodide  +  ion-pairing and complexation,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
XL_1c0e38bfc148,TP_c704f4926b67,IP_c406e625c06f,curated_program_bridge,0.9613,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_813971f0ccb0,supramolecular host-guest redox entropy,mechanism,,,,intervention__mechanism,material_system__mechanism,1,3,P0337,P0040; P0179; P0283,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,supramolecular host-guest redox entropy,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,ion-pairing and complexation,mechanism,2016,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring; High-thermopower polarized electrolytes enabled by methylcellulose for low-grade heat harvesting; Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,host guest complexation  +  supramolecular host-guest redox entropy,iodide/triiodide  +  ion-pairing and complexation,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
XL_71c9dfd7de54,TP_c704f4926b67,IP_edcfb28e68f4,curated_program_bridge,0.9613,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_402d7ec84669,ion-pairing and complexation,mechanism,,,,intervention__mechanism,material_system__mechanism,1,3,P0337,P0040; P0179; P0283,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,ion-pairing and complexation,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,ion-pairing and complexation,mechanism,2016,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring; High-thermopower polarized electrolytes enabled by methylcellulose for low-grade heat harvesting; Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,host guest complexation  +  ion-pairing and complexation,iodide/triiodide  +  ion-pairing and complexation,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
XL_5f05afc67d37,TP_c7c82fa93f5d,IP_355a3b9af1d5,curated_program_bridge,0.9647,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_d2014d12e766,iodide/triiodide redox chemistry,mechanism,,,,intervention__mechanism,material_system__mechanism,1,11,P0337,P0008; P0040; P0066; P0071; P0093; P0119; P0179; P0196; P0283; P0299; P0325,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,iodide/triiodide redox chemistry,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,iodide/triiodide redox chemistry,mechanism,2015,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing; Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring; Thermogalvanic hydrogels for self-powered temperature monitoring in extreme environments; p-n Conversion of Thermogalvanic Cells by Harnessing the Micellization of Thermoresponsive Diblock Copolymers; P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,host guest complexation  +  iodide/triiodide redox chemistry,iodide/triiodide  +  iodide/triiodide redox chemistry,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
XL_33a364900df9,TP_c7c82fa93f5d,IP_9a82814a0aee,curated_program_bridge,0.9647,,,TC_676a77c99131,host guest complexation,intervention_to_TG_pair,,curated_transfer_rule,,TC_a30151fe8274,host-guest complexation,mechanism,,,,intervention__mechanism,material_system__mechanism,1,11,P0337,P0008; P0040; P0066; P0071; P0093; P0119; P0179; P0196; P0283; P0299; P0325,PRG_bee069aa7a26,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,iodide_triiodide,P0337,P0337,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,host guest complexation,intervention,host-guest complexation,mechanism,2025,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,iodide/triiodide,material_system,iodide/triiodide redox chemistry,mechanism,2015,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing; Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring; Thermogalvanic hydrogels for self-powered temperature monitoring in extreme environments; p-n Conversion of Thermogalvanic Cells by Harnessing the Micellization of Thermoresponsive Diblock Copolymers; P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,host guest complexation  +  host-guest complexation,iodide/triiodide  +  iodide/triiodide redox chemistry,host guest complexation,intervention,iodide/triiodide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,1,0,84,,known_positive_control,known_TG_positive_control
