pair_id,domain_layer,pair_key,source_node_id,source_role,node_a_label,target_node_id,target_role,node_b_label,pair_type,paper_count,exclusive_layer_paper_count,shared_corpus_paper_count,first_year,last_year,supporting_paper_ids,supporting_dois,supporting_titles,node_a_domain_df,node_b_domain_df,historical_graph_eligible,pair_evidence_strength
TP_c09365955848,TG,TC_6d3814acb95f::TC_4b2db7e72622,TC_6d3814acb95f,material_system,hydrogel,TC_4b2db7e72622,structure_state,gel-confined redox transport,material_system__structure_state,57,39,18,2020,2026,P0003; P0008; P0011; P0015; P0016; P0017; P0023; P0025; P0026; P0027; P0031; P0032; P0036; P0040; P0043; P0045; P0046; P0047; P0048; P0051; P0052; P0053; P0058; P0061; P0062; P0066; P0068; P0073; P0078; P0083; P0084; P0095; P0136; P0139; P0150; P0155; P0156; P0158; P0161; P0166; P0172; P0180; P0188; P0191; P0193; P0197; P0206; P0219; P0246; P0249; P0252; P0259; P0260; P0261; P0264; P0267; P0269,10.1016/j.cej.2025.161288; 10.1038/s41378-024-00693-6; 10.1021/acsaem.4c02835; 10.1002/adma.202300696; 10.1002/smll.202405911; 10.1016/j.jcis.2024.09.132; 10.1021/acsapm.5c02573; 10.1021/acs.chemmater.5c01558; 10.1126/sciadv.adp4533; 10.1016/j.mtener.2024.101546; 10.1016/j.colsurfa.2025.137971; 10.1016/j.nanoen.2025.111686; 10.1002/smll.202402700; 10.1039/d4tc01418a; 10.1016/j.nanoen.2023.108612; 10.1016/j.nanoen.2024.110329; 10.1002/aenm.202404151; 10.1007/s40820-022-00824-6; 10.1016/j.cej.2023.141274; 10.1039/d3tc04133f; 10.1021/acs.nanolett.3c03818; 10.1002/aenm.202303358; 10.1021/acs.nanolett.0c00800; 10.1021/acsami.2c14239; 10.1016/j.nanoen.2022.108077; 10.1039/d2tc00889k; 10.3390/mi14071327; 10.1039/d5ta08892e; 10.1016/j.jpowsour.2025.239060; 10.1002/smll.202514359; 10.1016/j.nanoen.2026.111909; 10.1021/acsaem.1c02060; 10.1021/acssuschemeng.4c10855; 10.1002/adfm.202417740; 10.1016/j.jpowsour.2024.234647; 10.1093/nsr/nwaf518; 10.1021/acsami.5c07204; 10.1109/jsen.2025.3578352; 10.1016/j.energy.2025.138779; 10.1002/aenm.202402226; 10.1039/d6sc03942a; 10.1016/j.mtsust.2022.100293; 10.1002/smll.202407622; 10.1002/eom2.12428; 10.1039/d2ta09385e; 10.1016/j.est.2024.110437; 10.1039/d2ta00025c; 10.1021/acsanm.1c03273; 10.1016/j.cej.2025.159714; 10.1073/pnas.2532302123; 10.1021/acsaem.5c00167; 10.1021/acssensors.3c02172; 10.1021/acs.nanolett.5c04372; 10.1080/17452759.2026.2638660; 10.1016/j.jechem.2026.05.024; 10.1002/smll.202407529; 10.1016/j.cej.2024.152887,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing; Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels; Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance; Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,79,62,True,1.0
TP_397375d44671,TG,TC_b713a196469a::TC_d51141fbc0ae,TC_b713a196469a,material_system,ferri/ferrocyanide,TC_d51141fbc0ae,mechanism,ferri/ferrocyanide redox chemistry,material_system__mechanism,40,30,10,1994,2026,P0018; P0031; P0039; P0041; P0048; P0052; P0056; P0073; P0079; P0084; P0090; P0097; P0107; P0112; P0119; P0136; P0145; P0150; P0156; P0180; P0187; P0191; P0192; P0208; P0217; P0219; P0226; P0229; P0231; P0246; P0248; P0252; P0259; P0264; P0270; P0275; P0303; P0316; P0320; P0331,10.1016/j.nanoen.2024.110515; 10.1016/j.colsurfa.2025.137971; 10.1039/d2ee00738j; 10.1039/d3sc06766a; 10.1016/j.cej.2023.141274; 10.1021/acs.nanolett.3c03818; 10.1002/aenm.202302011; 10.1039/d5ta08892e; 10.1021/acsaem.6c01130; 10.1016/j.nanoen.2026.111909; 10.1038/s41467-018-07625-9; 10.1039/d1gc02989d; 10.1016/j.elecom.2019.03.007; 10.1016/j.electacta.2018.05.164; 10.1016/j.elecom.2015.06.007; 10.1021/acssuschemeng.4c10855; 10.1126/science.aaz5045; 10.1016/j.jpowsour.2024.234647; 10.1021/acsami.5c07204; 10.1016/j.mtsust.2022.100293; 10.1016/j.elecom.2024.107683; 10.1002/eom2.12428; 10.1016/j.nanoen.2016.11.014; 10.1016/j.electacta.2016.12.152; 10.1016/j.elecom.2016.10.001; 10.1021/acsanm.1c03273; 10.1016/j.elecom.2017.12.005; 10.1007/s10973-012-2311-9; 10.1007/s12541-015-0162-6; 10.1016/j.cej.2025.159714; 10.1016/j.nanoen.2025.111057; 10.1021/acsaem.5c00167; 10.1021/acssensors.3c02172; 10.1016/j.jechem.2026.05.024; 10.1016/j.cej.2024.152806; 10.1039/d4ta03996c; 10.1007/s10800-013-0638-y; 10.1149/2.043205jes; 10.1115/1.4036045,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range; Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell; Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization; Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells; Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,47,71,True,1.0
TP_9c7b3a7032ff,TG,TC_6d3814acb95f::TC_125db93329fb,TC_6d3814acb95f,material_system,hydrogel,TC_125db93329fb,mechanism,thermogalvanic redox conversion,material_system__mechanism,28,17,11,2020,2026,P0001; P0003; P0008; P0015; P0019; P0023; P0031; P0039; P0043; P0047; P0052; P0057; P0058; P0062; P0064; P0068; P0075; P0080; P0095; P0139; P0150; P0155; P0166; P0172; P0180; P0181; P0193; P0197,10.1038/s41551-025-01440-6; 10.1016/j.cej.2025.161288; 10.1038/s41378-024-00693-6; 10.1002/adma.202300696; 10.1016/j.cej.2024.150816; 10.1021/acsapm.5c02573; 10.1016/j.colsurfa.2025.137971; 10.1039/d2ee00738j; 10.1016/j.nanoen.2023.108612; 10.1007/s40820-022-00824-6; 10.1021/acs.nanolett.3c03818; 10.1016/j.nanoen.2022.107449; 10.1021/acs.nanolett.0c00800; 10.1016/j.nanoen.2022.108077; 10.1016/j.sna.2023.114604; 10.3390/mi14071327; 10.1021/acsami.2c11124; 10.1016/j.cej.2026.175294; 10.1021/acsaem.1c02060; 10.1002/adfm.202417740; 10.1016/j.jpowsour.2024.234647; 10.1093/nsr/nwaf518; 10.1002/aenm.202402226; 10.1039/d6sc03942a; 10.1016/j.mtsust.2022.100293; 10.1002/adfm.202002867; 10.1039/d2ta09385e; 10.1016/j.est.2024.110437,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing; A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing; Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance; Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,79,90,True,1.0
TP_39f3c2767ca8,TG,TC_4b2db7e72622::TC_125db93329fb,TC_4b2db7e72622,structure_state,gel-confined redox transport,TC_125db93329fb,mechanism,thermogalvanic redox conversion,structure_state__mechanism,24,13,11,2020,2026,P0003; P0008; P0015; P0023; P0031; P0043; P0047; P0052; P0054; P0058; P0062; P0068; P0095; P0139; P0141; P0142; P0150; P0155; P0166; P0172; P0180; P0193; P0197; P0199,10.1016/j.cej.2025.161288; 10.1038/s41378-024-00693-6; 10.1002/adma.202300696; 10.1021/acsapm.5c02573; 10.1016/j.colsurfa.2025.137971; 10.1016/j.nanoen.2023.108612; 10.1007/s40820-022-00824-6; 10.1021/acs.nanolett.3c03818; 10.1016/j.compscitech.2023.110077; 10.1021/acs.nanolett.0c00800; 10.1016/j.nanoen.2022.108077; 10.3390/mi14071327; 10.1021/acsaem.1c02060; 10.1002/adfm.202417740; 10.1016/j.mtphys.2024.101375; 10.1002/advs.202509400; 10.1016/j.jpowsour.2024.234647; 10.1093/nsr/nwaf518; 10.1002/aenm.202402226; 10.1039/d6sc03942a; 10.1016/j.mtsust.2022.100293; 10.1039/d2ta09385e; 10.1016/j.est.2024.110437; 10.1002/smll.202310777,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing; Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance; High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,62,90,True,1.0
TP_a9aa3dcca391,TG,TC_6d3814acb95f::TC_d51141fbc0ae,TC_6d3814acb95f,material_system,hydrogel,TC_d51141fbc0ae,mechanism,ferri/ferrocyanide redox chemistry,material_system__mechanism,21,15,6,2022,2026,P0023; P0027; P0031; P0039; P0048; P0052; P0061; P0073; P0083; P0084; P0136; P0150; P0156; P0180; P0191; P0219; P0246; P0248; P0252; P0259; P0264,10.1021/acsapm.5c02573; 10.1016/j.mtener.2024.101546; 10.1016/j.colsurfa.2025.137971; 10.1039/d2ee00738j; 10.1016/j.cej.2023.141274; 10.1021/acs.nanolett.3c03818; 10.1021/acsami.2c14239; 10.1039/d5ta08892e; 10.1002/smll.202514359; 10.1016/j.nanoen.2026.111909; 10.1021/acssuschemeng.4c10855; 10.1016/j.jpowsour.2024.234647; 10.1021/acsami.5c07204; 10.1016/j.mtsust.2022.100293; 10.1002/eom2.12428; 10.1021/acsanm.1c03273; 10.1016/j.cej.2025.159714; 10.1016/j.nanoen.2025.111057; 10.1021/acsaem.5c00167; 10.1021/acssensors.3c02172; 10.1016/j.jechem.2026.05.024,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-; Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell; Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization; Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,79,71,True,1.0
TP_6528771d3a55,TG,TC_b713a196469a::TC_4b2db7e72622,TC_b713a196469a,material_system,ferri/ferrocyanide,TC_4b2db7e72622,structure_state,gel-confined redox transport,material_system__structure_state,20,14,6,2021,2026,P0016; P0031; P0036; P0043; P0048; P0052; P0073; P0084; P0095; P0136; P0139; P0150; P0156; P0180; P0191; P0219; P0246; P0252; P0259; P0264,10.1002/smll.202405911; 10.1016/j.colsurfa.2025.137971; 10.1002/smll.202402700; 10.1016/j.nanoen.2023.108612; 10.1016/j.cej.2023.141274; 10.1021/acs.nanolett.3c03818; 10.1039/d5ta08892e; 10.1016/j.nanoen.2026.111909; 10.1021/acsaem.1c02060; 10.1021/acssuschemeng.4c10855; 10.1002/adfm.202417740; 10.1016/j.jpowsour.2024.234647; 10.1021/acsami.5c07204; 10.1016/j.mtsust.2022.100293; 10.1002/eom2.12428; 10.1021/acsanm.1c03273; 10.1016/j.cej.2025.159714; 10.1021/acsaem.5c00167; 10.1021/acssensors.3c02172; 10.1016/j.jechem.2026.05.024,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell; Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security; Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients; Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,47,62,True,1.0
TP_839104c1bb14,TG,TC_4b2db7e72622::TC_d51141fbc0ae,TC_4b2db7e72622,structure_state,gel-confined redox transport,TC_d51141fbc0ae,mechanism,ferri/ferrocyanide redox chemistry,structure_state__mechanism,19,13,6,2022,2026,P0023; P0027; P0031; P0048; P0052; P0061; P0073; P0083; P0084; P0136; P0150; P0156; P0180; P0191; P0219; P0246; P0252; P0259; P0264,10.1021/acsapm.5c02573; 10.1016/j.mtener.2024.101546; 10.1016/j.colsurfa.2025.137971; 10.1016/j.cej.2023.141274; 10.1021/acs.nanolett.3c03818; 10.1021/acsami.2c14239; 10.1039/d5ta08892e; 10.1002/smll.202514359; 10.1016/j.nanoen.2026.111909; 10.1021/acssuschemeng.4c10855; 10.1016/j.jpowsour.2024.234647; 10.1021/acsami.5c07204; 10.1016/j.mtsust.2022.100293; 10.1002/eom2.12428; 10.1021/acsanm.1c03273; 10.1016/j.cej.2025.159714; 10.1021/acsaem.5c00167; 10.1021/acssensors.3c02172; 10.1016/j.jechem.2026.05.024,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices; Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-; Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell; Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments; Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,62,71,True,1.0
TP_601fb2bed987,TG,TC_c8efd3db5897::TC_4b2db7e72622,TC_c8efd3db5897,material_system,poly(vinyl alcohol) (PVA),TC_4b2db7e72622,structure_state,gel-confined redox transport,material_system__structure_state,16,8,8,2022,2026,P0008; P0015; P0017; P0033; P0036; P0061; P0062; P0078; P0083; P0136; P0150; P0188; P0199; P0259; P0264; P0267,10.1038/s41378-024-00693-6; 10.1002/adma.202300696; 10.1016/j.jcis.2024.09.132; 10.1016/j.sna.2025.116876; 10.1002/smll.202402700; 10.1021/acsami.2c14239; 10.1016/j.nanoen.2022.108077; 10.1016/j.jpowsour.2025.239060; 10.1002/smll.202514359; 10.1021/acssuschemeng.4c10855; 10.1016/j.jpowsour.2024.234647; 10.1002/smll.202407622; 10.1002/smll.202310777; 10.1021/acssensors.3c02172; 10.1016/j.jechem.2026.05.024; 10.1002/smll.202407529,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing; Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance; Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring; A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring; Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,23,62,True,1.0
TP_ce5240457d5e,TG,TC_b713a196469a::TC_125db93329fb,TC_b713a196469a,material_system,ferri/ferrocyanide,TC_125db93329fb,mechanism,thermogalvanic redox conversion,material_system__mechanism,15,10,5,1994,2025,P0020; P0031; P0039; P0043; P0052; P0095; P0112; P0119; P0139; P0145; P0150; P0180; P0226; P0231; P0332,10.1021/acs.nanolett.5c02774; 10.1016/j.colsurfa.2025.137971; 10.1039/d2ee00738j; 10.1016/j.nanoen.2023.108612; 10.1021/acs.nanolett.3c03818; 10.1021/acsaem.1c02060; 10.1016/j.electacta.2018.05.164; 10.1016/j.elecom.2015.06.007; 10.1002/adfm.202417740; 10.1126/science.aaz5045; 10.1016/j.jpowsour.2024.234647; 10.1016/j.mtsust.2022.100293; 10.1016/j.elecom.2017.12.005; 10.1007/s12541-015-0162-6,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower; Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell; Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization; Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients; Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,47,90,True,1.0
TP_13db326964d4,TG,TC_6d3814acb95f::TC_af6bbcaf729f,TC_6d3814acb95f,material_system,hydrogel,TC_af6bbcaf729f,mechanism,Fe2+/Fe3+ solvation redox chemistry,material_system__mechanism,15,11,4,2021,2026,P0001; P0003; P0017; P0026; P0027; P0063; P0064; P0078; P0080; P0083; P0095; P0139; P0219; P0248; P0271,10.1038/s41551-025-01440-6; 10.1016/j.cej.2025.161288; 10.1016/j.jcis.2024.09.132; 10.1126/sciadv.adp4533; 10.1016/j.mtener.2024.101546; 10.1039/d1ta10508f; 10.1016/j.sna.2023.114604; 10.1016/j.jpowsour.2025.239060; 10.1016/j.cej.2026.175294; 10.1002/smll.202514359; 10.1021/acsaem.1c02060; 10.1002/adfm.202417740; 10.1021/acsanm.1c03273; 10.1016/j.nanoen.2025.111057; 10.1002/adfm.202412524,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing; A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect; Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring; Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells; Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,79,50,True,1.0
