link_id,tg_pair_id,ite_pair_id,link_type,bridge_score,shared_or_family_tg_node_id,shared_or_family_tg_label,shared_or_family_ite_node_id,shared_or_family_ite_label,bridge_role,shared_endpoint_tg_df,endpoint_match,endpoint_string_similarity,ite_other_node_id,ite_other_label,ite_other_role,tg_other_node_id,tg_other_label,tg_other_role,ite_pair_type,tg_pair_type,ite_pair_paper_count,tg_pair_paper_count,ite_supporting_paper_ids,tg_supporting_paper_ids,program_id,program_title_cn,program_candidate_status,target_redox_family,program_source_paper_ids,ite_aligned_supporting_paper_ids,ite_source_alignment,evidence_scope,ite_node_a_label,ite_node_a_role,ite_node_b_label,ite_node_b_role,ite_first_year,ite_supporting_titles,tg_node_a_label,tg_node_a_role,tg_node_b_label,tg_node_b_role,tg_first_year,tg_supporting_titles,ite_pair_label,tg_pair_label,proposed_closure_source_label,proposed_closure_source_role,proposed_closure_target_label,proposed_closure_target_role,temporal_alignment,C1_anchor,C2_directional_rule,C3_role_logic,C4_ite_evidence,C5_tg_grounding,C6_independent_support,hub_penalty,transfer_score,score_cap_reason,inference_status,novelty_status,rank_within_tg_pair,global_rank
XL_eac3c6ef8c64,TP_4a2aa71d3924,IP_5f2ff70ef6b7,curated_program_bridge,0.9708,,,TC_a45b298d4663,coordination or ion pairing,intervention_to_TG_pair,,curated_transfer_rule,,TC_402d7ec84669,ion-pairing and complexation,mechanism,,,,intervention__mechanism,material_system__mechanism,10,1,P0336; P0337; P0355; P0362; P0367; P0379; P0407; P0609; P0970; P1345,P0022,PRG_e34db5baa25d,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,direct_TG_precedent_upgrade_candidate,copper,P0336; P0397; P0413; P0696,P0336,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,coordination or ion pairing,intervention,ion-pairing and complexation,mechanism,2022,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions; Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Selective tuning cation coordination variations for developing high-performance N-type solid-state ionic thermoelectric materials; An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting,copper electrode,material_system,Cu-ethylenediamine chelation entropy,mechanism,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,coordination or ion pairing  +  ion-pairing and complexation,copper electrode  +  Cu-ethylenediamine chelation entropy,coordination or ion pairing,intervention,copper electrode,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,1,1
XL_2fde86a65df9,TP_bd63826a64a0,IP_5f2ff70ef6b7,curated_program_bridge,0.9708,,,TC_a45b298d4663,coordination or ion pairing,intervention_to_TG_pair,,curated_transfer_rule,,TC_402d7ec84669,ion-pairing and complexation,mechanism,,,,intervention__mechanism,material_system__mechanism,10,1,P0336; P0337; P0355; P0362; P0367; P0379; P0407; P0609; P0970; P1345,P0022,PRG_e34db5baa25d,用聚合物配位强度调节 Cu/Cu2+ TG 的溶剂化熵与扩散,direct_TG_precedent_upgrade_candidate,copper,P0336; P0397; P0413; P0696,P0336,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,coordination or ion pairing,intervention,ion-pairing and complexation,mechanism,2022,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions; Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Selective tuning cation coordination variations for developing high-performance N-type solid-state ionic thermoelectric materials; An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting,copper electrode,material_system,redox reaction entropy,mechanism,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,coordination or ion pairing  +  ion-pairing and complexation,copper electrode  +  redox reaction entropy,coordination or ion pairing,intervention,copper electrode,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,1,2
XL_4a91334f0637,TP_6528771d3a55,IP_1db5163351a2,curated_program_bridge,0.975,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_525335db36fb,nanochannel-confined ion transport,mechanism,,,,intervention__mechanism,material_system__structure_state,7,20,P0347; P0564; P0608; P0757; P0938; P1053; P1096,P0016; P0031; P0036; P0043; P0048; P0052; P0073; P0084; P0095; P0136; P0139; P0150; P0156; P0180; P0191; P0219; P0246; P0252; P0259; P0264,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0564; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,nanochannel-confined ion transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Ion Steric Effect Induces Giant Enhancement of Thermoelectric Conversion in Electrolyte-Filled Nanochannels; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting; Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients,ferri/ferrocyanide,material_system,gel-confined redox transport,structure_state,2021,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell; Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security; Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients; Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,oriented or confined channels  +  nanochannel-confined ion transport,ferri/ferrocyanide  +  gel-confined redox transport,oriented or confined channels,intervention,ferri/ferrocyanide,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,1,3
XL_754a342403ad,TP_6528771d3a55,IP_e59b6f64fe8e,curated_program_bridge,0.975,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,,,,intervention__mechanism,material_system__structure_state,7,20,P0347; P0355; P0360; P0608; P0757; P0938; P1096,P0016; P0031; P0036; P0043; P0048; P0052; P0073; P0084; P0095; P0136; P0139; P0150; P0156; P0180; P0191; P0219; P0246; P0252; P0259; P0264,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0355; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,ion-selectivity membrane transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting,ferri/ferrocyanide,material_system,gel-confined redox transport,structure_state,2021,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell; Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security; Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients; Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,oriented or confined channels  +  ion-selectivity membrane transport,ferri/ferrocyanide  +  gel-confined redox transport,oriented or confined channels,intervention,ferri/ferrocyanide,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,2,4
XL_956eb87e2fbd,TP_beaa242ab7b6,IP_1db5163351a2,curated_program_bridge,0.975,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_525335db36fb,nanochannel-confined ion transport,mechanism,,,,intervention__mechanism,material_system__structure_state,7,10,P0347; P0564; P0608; P0757; P0938; P1053; P1096,P0016; P0036; P0043; P0052; P0095; P0139; P0156; P0219; P0246; P0264,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0564; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,nanochannel-confined ion transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Ion Steric Effect Induces Giant Enhancement of Thermoelectric Conversion in Electrolyte-Filled Nanochannels; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting; Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients,[Fe(CN)6]3-/4-,material_system,gel-confined redox transport,structure_state,2021,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security; Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients; Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments; Thermogalvanic and Thermocapacitive Behavior of Superabsorbent Hydrogels for Combined Low-Temperature Thermal Energy Conversion and Harvesting,oriented or confined channels  +  nanochannel-confined ion transport,[Fe(CN)6]3-/4-  +  gel-confined redox transport,oriented or confined channels,intervention,[Fe(CN)6]3-/4-,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,1,5
XL_44b4f587dc9e,TP_beaa242ab7b6,IP_e59b6f64fe8e,curated_program_bridge,0.975,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,,,,intervention__mechanism,material_system__structure_state,7,10,P0347; P0355; P0360; P0608; P0757; P0938; P1096,P0016; P0036; P0043; P0052; P0095; P0139; P0156; P0219; P0246; P0264,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0355; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,ion-selectivity membrane transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting,[Fe(CN)6]3-/4-,material_system,gel-confined redox transport,structure_state,2021,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security; Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients; Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments; Thermogalvanic and Thermocapacitive Behavior of Superabsorbent Hydrogels for Combined Low-Temperature Thermal Energy Conversion and Harvesting,oriented or confined channels  +  ion-selectivity membrane transport,[Fe(CN)6]3-/4-  +  gel-confined redox transport,oriented or confined channels,intervention,[Fe(CN)6]3-/4-,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,2,6
XL_7478cda701ee,TP_4f0391ab31a6,IP_1db5163351a2,curated_program_bridge,0.98,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_525335db36fb,nanochannel-confined ion transport,mechanism,,,,intervention__mechanism,material_system__mechanism,7,5,P0347; P0564; P0608; P0757; P0938; P1053; P1096,P0016; P0039; P0191; P0208; P0303,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0564; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,nanochannel-confined ion transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Ion Steric Effect Induces Giant Enhancement of Thermoelectric Conversion in Electrolyte-Filled Nanochannels; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting; Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients,ferri/ferrocyanide,material_system,thermal-gradient heat-transfer control,mechanism,2014,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization; Photo-thermo-electric hydrogel with interlocking photothermal layer and hydrogel for enhancement of thermopower generation; Thermoelectrochemistry using conventional and novel gelled electrolytes in heat-to-current thermocells; Design and optimization of thermo-electrochemical cells,oriented or confined channels  +  nanochannel-confined ion transport,ferri/ferrocyanide  +  thermal-gradient heat-transfer control,oriented or confined channels,intervention,ferri/ferrocyanide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,1,7
XL_73f6dc5e842f,TP_4f0391ab31a6,IP_e59b6f64fe8e,curated_program_bridge,0.98,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,,,,intervention__mechanism,material_system__mechanism,7,5,P0347; P0355; P0360; P0608; P0757; P0938; P1096,P0016; P0039; P0191; P0208; P0303,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0355; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,ion-selectivity membrane transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting,ferri/ferrocyanide,material_system,thermal-gradient heat-transfer control,mechanism,2014,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower; Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization; Photo-thermo-electric hydrogel with interlocking photothermal layer and hydrogel for enhancement of thermopower generation; Thermoelectrochemistry using conventional and novel gelled electrolytes in heat-to-current thermocells; Design and optimization of thermo-electrochemical cells,oriented or confined channels  +  ion-selectivity membrane transport,ferri/ferrocyanide  +  thermal-gradient heat-transfer control,oriented or confined channels,intervention,ferri/ferrocyanide,material_system,iTE_observed_after_TG_pair,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,2,8
XL_9764c935da3f,TP_84a5dcc38523,IP_1db5163351a2,curated_program_bridge,0.9708,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_525335db36fb,nanochannel-confined ion transport,mechanism,,,,intervention__mechanism,material_system__mechanism,7,1,P0347; P0564; P0608; P0757; P0938; P1053; P1096,P0016,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0564; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,nanochannel-confined ion transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Ion Steric Effect Induces Giant Enhancement of Thermoelectric Conversion in Electrolyte-Filled Nanochannels; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting; Ionic Power Generation on a Scalable Cellulose@polypyrrole Membrane: The Role of Water and Thermal Gradients,[Fe(CN)6]3-/4-,material_system,thermal-gradient heat-transfer control,mechanism,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,oriented or confined channels  +  nanochannel-confined ion transport,[Fe(CN)6]3-/4-  +  thermal-gradient heat-transfer control,oriented or confined channels,intervention,[Fe(CN)6]3-/4-,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,1,9
XL_0f567d231941,TP_84a5dcc38523,IP_e59b6f64fe8e,curated_program_bridge,0.9708,,,TC_6a35ab71b28b,oriented or confined channels,intervention_to_TG_pair,,curated_transfer_rule,,TC_b93fc7829d13,ion-selectivity membrane transport,mechanism,,,,intervention__mechanism,material_system__mechanism,7,1,P0347; P0355; P0360; P0608; P0757; P0938; P1096,P0016,PRG_9e58569c757c,用取向离子通道解耦 TG 凝胶的机械强度与红氧扩散,direct_TG_precedent_upgrade_candidate,ferri_ferrocyanide,P0338; P0347; P0355; P0564; P0608,P0347; P0355; P0608,program_source_paper_intersection,curated_hypothesis_link_not_observed_causality,oriented or confined channels,intervention,ion-selectivity membrane transport,mechanism,2020,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels; Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting; Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink; Solar-driven ionic power generation via a film of nanocellulose @ conductive metal-organic framework; Nanoengineered nanochannels for thermally ionic nanofluidic energy harvesting,[Fe(CN)6]3-/4-,material_system,thermal-gradient heat-transfer control,mechanism,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,oriented or confined channels  +  ion-selectivity membrane transport,[Fe(CN)6]3-/4-  +  thermal-gradient heat-transfer control,oriented or confined channels,intervention,[Fe(CN)6]3-/4-,material_system,iTE_precedes_or_same_year,24,25,15,15,4,5,0,88,,mechanistic_transfer_candidate,direct_TG_prior_art_upgrade_candidate,2,10
