文章名,期刊名,DOI,年份,摘要,材料,机制
Synthesis of Sb2Se3 and Bi2Se3 Nanoparticles in Ionic Liquids at Low Temperatures and Solid State Structure of [C4C1Im]3[BiCl6],ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,10.1002/zaac.201600325,2017,"Crystalline Sb2Se3 nanoparticles were prepared by reaction of SbCl3 with (Et3Si)(2)Se in the presence of oleylamine (OA) in the ionic liquid [C(4)C(1)Im]Cl, whereas the reaction of (Et3Si)(2)Se with [C(4)C(1)Im](3)[BiCl6] (1), which was obtained from the reaction of BiCl3 with [C(4)C(1)Im]Cl and structurally characterized by single-crystal X-ray diffraction, yielded Bi-rich Bi2Se3 nanoparticles. In contrast, the reaction of the reactive IL [C(4)C(1)Im](3)[Bi3I12] with (Et3Si)(2)Se in the presence of oleylamine in [C(4)C(1)Im]I gave phase-pure Bi2Se3 nanoparticles. The chemical composition of the nanoparticles was investigated by EDX, while possible surface contaminations were studied by XPS and IR spectroscopy. The morphology of the nanoparticles was studied by SEM and TEM.","Sb2Se3 nanoparticles, Bi2Se3 nanoparticles, [C4C1Im]Cl, [C4C1Im]3[BiCl6], [C4C1Im]3[Bi3I12], [C4C1Im]I, SbCl3, BiCl3, (Et3Si)2Se, and oleylamine",ionic-liquid precursor chemistry controls chalcogenide nanoparticle formation; reactive bismuth chloro/iodo imidazolium salts direct Bi2Se3 phase purity and composition
"Guest-framework interaction in type I inorganic clathrates with promising thermoelectric properties:: On the ionic versus neutral nature of the alkaline-earth metal guest a in A8Ga16Ge30 (A = Sr, Ba)",CHEMISTRY-A EUROPEAN JOURNAL,10.1002/chem.200304837,2003,"Periodic density functional calculations using pseudopotentials and a local basis set were performed on the type I clathrates A(8)Ga(16)Ge(30) (A = Sr, Ba). Both are known to show promising thermoelectric properties. Ab initio wave functions were analyzed within the framework of the quantum theory of atoms in molecules. This enabled us to analyze both the charge transfer and bonding properties of the clathrate from a rigorous quantum mechanical viewpoint. The Ba and Sr centers were found to be largely ionic (charge: ca. + 1.7e) both in the smaller 20-atom and in the larger 24-atom cages, consistent with a Zintl-phase view of these type I clathrates. The assertion that the Sr atoms in the different cages have similar oxidation states is shown to be consistent with multiwavelength diffraction experiments on Sr8Ga16Ge30; while the assertion of ionicity of the Sr center is supported by the observation that the adsorption edge lies close to that previously found in the Sr K-edge XANES spectra of Sr(OH)(2) . 8 H2O. As such, this work contradicts previous experimental and theoretical studies that claim that the guest atoms are neutral. We show that the discrepancy is related to the definitions used for electron transfer. Definitions based on electron displacement (rearrangement) in space, as in previous works, do not account for the variation in shape and volume of the atomic catchment regions upon change in the number and average locations of the particles in the system. Eventually, such definitions lead to underestimation of charge transfer. The large binding energy found in earlier work for Ba and Sr in these materials is found to be consistent with a simple picture of charge transfer from the guest to the frame. Preliminary investigations on a clathrate of perfect stoichiometry appear to rule out any important relationship between the observed increase in the thermoelectric figure of merit with increasing external pressure and host-guest charge transfer.",type-I clathrates Sr8Ga16Ge30 and Ba8Ga16Ge30,Sr/Ba guests are largely ionic Zintl donors to the Ga-Ge framework; guest-framework charge transfer and cage binding underlie thermoelectric clathrate behavior
Rattler Site Selectivity and Covalency Effects in Type-I Clathrates,JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,10.7566/JPSJ.82.014703,2013,"Type-I germanium clathrates comprised of Ga/Ge tetrakaidecahedra and dodecahedra cages that host alkaline earth atoms exemplify the properties of good thermoelectrics where the guest-atom anharmonic vibrations play a major role. However, while the host lattice-guest atom interaction is essential for this class of materials it is at the same time difficult to investigate due to the random Ga/Ge site occupation in the host lattice. In the present Ga-71 NMR study of Sr8Ga16Ge30 and Ba8Ga16Ge30 samples we extract different Ga crystallographic site contributions from otherwise complex NMR spectra by exploring differences in their spin-lattice relaxation rates. Such approach opens a unique possibility for a site-selective study that directly proves non-negligible interaction of the anisotropic rattling motions of endohedral Sr with Ga atoms occupying the specific 24k sites of larger tetrakaidecahedral cages. This interaction affects electron-phonon coupling and modifies the local chemical environment-possibly even through weak covalent bonding of Sr to the cage. Our results are thus in agreement with claims that the conventional picture of purely ionic interactions between the rattling guest atoms and the cage is only approximate and that covalent effects should be taken into account in clathrates or similar thermoelectric cage materials.",type-I clathrates Sr8Ga16Ge30 and Ba8Ga16Ge30 with Ga/Ge cages and alkaline-earth guests,site-selective Ga NMR shows Sr rattling couples to specific 24k Ga sites; weak covalent guest-cage effects modify electron-phonon coupling beyond a purely ionic model
Electrodeposition of stoichiometric bismuth telluride Bi2Te3 using a piperidinium ionic liquid binary mixture,ELECTROCHIMICA ACTA,10.1016/j.electacta.2014.06.036,2014,"In this paper, we report the electrodeposition of stoichiometric Bi2Te3 compound using an ionic liquid binary mixture: 1-ethyl-1-octyl-piperidinium bis(trifluoromethylsulfonyl)imide: 1-ethyl-1-octyl-piperidinium bromide (EOPipTFSI:EOPipBr 95:5 (mol%)). The use of this mixture allows to reach a higher solubility of Bi(III) and Te(IV) precursors compared to pure EOPipTFSI ionic liquid in which Te(IV) salts are not soluble. Moreover, this electrolyte presents an extended cathodic stability, allowing the study of electrochemical processes that occur at high cathodic potential values. A detailed voltammetric study of electrochemical systems was performed for electrolytes containing different [Bi(III)]/[Te(IV)] ratio, allowing the attribution of cathodic signals to electrochemical processes. Experimental conditions leading to the deposition of stoichiometric Bi2Te3 were then determined by varying deposition potential and electrolyte composition, using potentiostatic experiments followed by XRD and SEM-EDX analysis. By varying the concentration of precursors in the electrolyte, mirror-like coatings, adherent and homogeneous, were obtained. Electroplated Bi2Te3 presents n-type conductivity with a Seebeck coefficient equal to -70 mu VK-1 and an electrical resistivity of 133 mu Omega m. (C) 2014 Elsevier Ltd. All rights reserved.",Bi2Te3 electrodeposited from EOPipTFSI:EOPipBr 95:5 piperidinium ionic-liquid mixture with Bi(III) and Te(IV) precursors,binary ionic liquid increases Bi/Te precursor solubility and cathodic stability; deposition potential and precursor ratio yield stoichiometric n-type Bi2Te3 coatings
"Thallium-based iodo-perovskites TlMI3 (M = Ca, Sr) for optoelectronic and thermoelectric applications: A DFT investigation",JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,10.1016/j.jpcs.2026.113796,2026,"In this work, we present a comprehensive density functional theory (DFT) investigation of thallium-based novel iodo-perovskites TlMI3 (M = Ca, Sr), focusing on their structural, elastic, electronic, optical, thermodynamic, bonding, phonon, and thermoelectric characteristics. Calculations were performed using the GGA-PBEsol functional within the CASTEP framework, while thermoelectric and electronic properties were analyzed via the BoltzTraP2 code in WIEN2k. Structural stability was confirmed by negative formation energies, and the Born-Huang criteria validated mechanical stability. The optimized lattice parameters (6.02 & Aring; for TlCaI3 and 6.28 & Aring; for TlSrI3) are consistent with reported isostructural compounds. Phonon dispersion curves exhibit no imaginary frequencies, indicating vibrational stability at the Gamma point. Both compounds are indirect semiconductors with band gaps in the 2.5-2.6 eV range, and I-5p orbitals for both perovskites at EF show the maximum density of states (DOS) across PBEsol and HSE06 functionals. Charge density mapping and Mulliken population indicate mixed ionic-covalent bondings, while elastic moduli and ductility indices confirm their ductile nature in the cubic Pm 3 m phase. Optical properties show low reflectance, high conductivity, and strong absorption across the visible spectrum, suggesting excellent potential for optoelectronic and photovoltaic applications. Thermodynamic parameters were further examined under varying temperature and pressure that showed reliable stability trends. Thermoelectric calculations yielded promising ZT values of 0.81 for TlCaI3 and 0.88 for TlSrI3 at 100 K, demonstrating their suitability for low-temperature thermoelectric applications. To the best of our knowledge, this is the first detailed theoretical report on Tl-based Iodo-perovskites, that provides valuable insights into their multifunctional properties and highlights their potential for future device integration.",TlCaI3 and TlSrI3 thallium iodo-perovskites,"mixed ionic-covalent bonding, indirect band gaps, I-5p dominated states, visible absorption, and Boltzmann transport give low-temperature thermoelectric/optoelectronic potential"
Carbon Nanotube/Biomolecule Composite Yarn for Wearable Thermoelectric Applications,ACS APPLIED ENERGY MATERIALS,10.1021/acsaem.2c00142,2022,"In this work, yarn made of a hybrid material of carbon nanotubes (CNTs) and artificial biomolecules is created for the wearable thermoelectric (TE) module. Among the limited methods due to the sensitivity of proteins, the co-use of the ionic liquid and polymeric surfactant with the dialysis method is found to be effective for the dispersion of the CNT/biomolecule composite with a low CNT loss rate and high coverage by biomolecules on the CNT. This new method improved the TE performance by decreasing the bundle diameter of the CNT/C-Dps nanocomposite and better tensile strength. The incorporation of a biomolecule, in particular, significantly reduced the thermal conductivity of CNT yarns, demonstrating that the hybrid composite is advantageous for wearable device applications. This method also outperformed the conventional dispersion against the pristine CNT yarn (without protein), demonstrating the application's generality. Finally, a low-density testing of the TE module using the CNT/ biomolecule composite is demonstrated, exhibiting the output power of 4.37 mu W m(-2) with a thermoelectric voltage of 4.5 mV at a temperature difference of 20 K. The output power density and voltage can be easily increased 500-fold by increasing the density of the yarn and the number of series connections. This study proposes a practical method for producing an environment-friendly CNT/biomolecule hybrid yarn, which has the potential to be useful in future wearable TE applications.",carbon nanotube/artificial biomolecule composite yarns including CNT/C-Dps nanocomposite dispersed with ionic liquid and polymeric surfactant,"ionic-liquid/surfactant dialysis improves CNT-biomolecule dispersion and protein coverage, reducing CNT bundle size and thermal conductivity while preserving wearable TE output"
Scaling Relations for Ionic and Thermal Transport in the Na+ Ionic Conductor Na3PS4,ACS MATERIALS LETTERS,10.1021/acsmaterialslett.2c00846,2022,"Solid-state Na+ and Li+ batteries are promising energy storage technologies, suggesting increased operational safety due to the replacement of the flammable organic electrolyte with a nonflammable solid-electrolyte, leading to a significant advantage over conventional battery systems. While the thermal properties of conventional battery systems are studied extensively, the thermal properties of solid-state batteries and their components often remain elusive, and, consequently, not much is known about thermal runaway in solid systems. Moreover, these battery systems are often composed of complex multiphase components, e.g., the cathode composite consisting of solid electrolyte, active material, coatings and additives, which are of significant importance for their performance. Consequently, modeling of the thermal and ionic transport properties of such multiphase components is of tremendous interest. An often-neglected fact is that porosity has an additional influence on their transport. In order to shed light onto some of these issues, both the thermal conductivity and the ionic conductivity of the model ionic conductor Na3PS4 are characterized as a function of porosity and evaluated using the Bruggemann model of the (differential) effective medium theory. It is found that the Bruggemann power-law (tortuosity factor) describing the density dependence differs significantly between thermal and ionic conductivity. This is unexpected within the current paradigm of the effective medium theory and motivates further study. Moreover, it is confirmed that Na3PS4, despite its relatively simple crystal structure, has an astonishingly low thermal conductivity, comparable to common thermoelectric materials and thermal barrier coatings, which can be explained by the diffusive nature of thermal transport by so-called diffusons rather than the usually known phonon transport.",Na3PS4 Na+ solid ionic conductor with controlled porosity,porosity affects ionic and thermal conductivity with different Bruggemann scaling; diffusive thermal transport by diffusons explains ultralow thermal conductivity
Influence of interfacial structure on bonding strength and thermoelectric transport properties of Cu6Sn5/Cu interface,SURFACES AND INTERFACES,10.1016/j.surfin.2022.102027,2022,"The bonding strength, electrical conductivity and thermal conductivity of Cu6Sn5/Cu interface with different interfacial structures, including Cu6Sn5 (001)/Cu (110) interface, Cu6Sn5 (110)/Cu (001) interface and Cu6Sn5 (110)/Cu (111) interface, were investigated by using density functional theory and semi-classical Boltzmann transport theory. The results indicate that, the chemical bonds were generated on the three interfaces, and maximum charge densities of Cu6Sn5 (001)/Cu (110) interface, Cu6Sn5 (110)/Cu (001) interface and Cu6Sn5 (110)/Cu (111) interface are 1.24 e/?,3, 2.51 e/?,3 and 2.43 e/?,3, respectively. This result leads that the bonding strength, electrical conductivity and thermal conductivity of Cu6Sn5 (001)/Cu (110) interface are all lower than the other two interfaces. Moreover, the interfacial chemical bonds exhibit ionic characteristic and covalence characteristic simultaneously. Both ionic characteristic and covalence characteristic of Cu6Sn5 (110)/Cu (001) interface are stronger than Cu6Sn5 (110)/Cu (111) interface. Therefore, although the charge densities on Cu6Sn5 (110)/Cu (001) interface and Cu6Sn5 (110)/Cu (111) interface are similar, the electron localization of Cu6Sn5 (110)/Cu (001) interface is much stronger, leading to the smaller number of free electrons. Therefore, the result that electrical conductivity and thermal conductivity of Cu6Sn5 (110)/Cu (001) interface are 1.48 times and 1.56 times those of Cu6Sn5 (110)/Cu (111) interface was achieved.","Cu6Sn5/Cu interfaces: Cu6Sn5(001)/Cu(110), Cu6Sn5(110)/Cu(001), and Cu6Sn5(110)/Cu(111)","interfacial bonds with mixed ionic/covalent character determine bonding strength, electron localization, electrical conductivity, and thermal conductivity"
Ionic Liquid Designed for PEDOT:PSS Conductivity Enhancement,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,10.1021/jacs.7b10306,2018,"Poly-3,4-ethylenedioxythiophene:polystyrenesulfonate (PEDOT:PSS) is a water-processable conducting polymer with promise for use in transparent flexible electrodes and thermoelectric devices, but its conductivity is not satisfactory. Its low conductivity is attributed to the formation of hydrophilic/insulating PSS outer layers encapsulating the conducting/hydrophobic p-doped PEDOT cores. Recently a significant conductivity enhancement has been achieved by adding ionic liquid (IL). It is believed that ion exchange between PEDOT:PSS and IL components helps PEDOT to decouple from PSS and to grow into large-scale conducting domains, but the exact mechanism is still under debate. Here we show through free energy calculations using density functional theory on a minimal model that the most efficient IL pairs are the least tightly bound ones with the lowest binding energies, which would lead to the most efficient ion exchange with PEDOT:PSS. This spontaneous ion exchange followed by nanophase segregation between PEDOT and PSS, with formation of a x-stacked PEDOT aggregate decorated by IL anions, is also supported by molecular dynamics performed on larger PEDOT:PSS models in solution. We also show that the most efficient IL anions would sustain the highest amount of charge carriers uniformly distributed along the PEDOT backbone to further enhance the conductivity, providing that they remain in the PEDOT domain after the ion exchange. Hence, our design principle is that the high-performance IL should induce not only an efficient ion exchange with PEDOT:PSS to improve the PEDOT morphology (to increase mobility) but also a uniform high-level p-doping of PEDOT (to enhance intrinsic conductivity). Based on this principle, a promising (electron-withdrawing, but bulky, soft, and hydrophobic) new IL pair is proposed.","PEDOT:PSS treated with ionic liquids, including designed weakly bound IL ion pairs","spontaneous ion exchange decouples PEDOT from PSS, drives PEDOT/PSS nanophase segregation, and leaves IL anions supporting uniform p-doping for high conductivity"
Hermetic sealing of MEMS including lateral feedthroughs and room-temperature anodic bonding,JOURNAL OF MICROMECHANICS AND MICROENGINEERING,10.1088/1361-6439/aab86f,2018,"This paper reports on a method for hermetic sensor housing including lateral feedthroughs and room-temperature anodic bonding. The planarisation of the lateral feedthroughs, essential for the purpose of hermetic sealing, is realised by means of an etch-back process of (PE) CVD silicon dioxide combined with an additional spin-on glass (SOG) layer. The quality of the planarisation technique with regard to the main process variables is evaluated by FIB and tactile measurements. It is proven that 3D surfaces, represented here by the wiring and feedthrough layer, can be planarised almost completely. The applied bonding process features thin-films of a highly ionic conductive glass, enabling anodic bonding at unique conditions (room temperature and low applied voltages in order of 100 V). The general applicability of the packaging method is demonstrated with a setup of encapsulated, commercially available thermoelectric radiation sensors, which are used for the verification of the hermeticity of the setup as well.","MEMS packages with lateral feedthroughs, PECVD SiO2, spin-on glass, and highly ionic conductive glass thin films",planarized feedthroughs plus ionic-glass thin films enable room-temperature low-voltage anodic bonding for hermetic thermoelectric sensor encapsulation
