paper_id,source_membership,source_records,year,title,journal,doi,abstract,material_raw,mechanism_raw,total_concepts,core_concepts,material_concepts,mechanism_concepts,has_material,has_mechanism,prediction_ready,qc_flag,review_reason,recommended_source
P0103,TG,TG_0102,2020,Thermogalvanic cells: A side-by-side comparison of measurement methods,JOURNAL OF ELECTROANALYTICAL CHEMISTRY,10.1016/j.jelechem.2020.114280,"Thermogalvanic cells (or thermocells) are being increasingly investigated due to their ability to directly convert modest temperature gradients into electricity, using redox chemistry. However, this has resulted in a diverse range of cells, electrolytes, temperature gradients, etc. being reported. Recently, so-called temperature-difference 'normalised' power outputs have been reported; the power output is divided by the square of the temperature difference to yield temperature-insensitive power output values. The validity of this procedure is quantitatively assessed here, and found to be far from accurate. Additionally, numerous different experimental procedures for measuring the current and power output from thermocells can be found in the literature, covering different approaches, vastly different time scales, and employing a diverse range of measuring instruments. A range of experimental methodologies covering a sequence of constant resistances (or resistive loads), a sequence of constant currents, a sequence of constant potentials (or voltage), chronoampemmeby and linear sweep voltammetry (ISV) were evaluated in this study, using source measure units, potentiostats and voltammeters/multimeters. While most methodologies were consistent, the measurement time and number of electrodes were found to be highly influential, with ISV and 3-electrode assemblies especially overestimating the current and power output from thermocells.","thermogalvanic cells/electrolytes measured by load, current, potential, chronoamperometry, and LSV methods","measurement protocol, timescale, and electrode configuration strongly affect apparent current and power; normalized power by temperature difference is unreliable",0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
P0240,TG,TG_0239,2000,The behavior of higher manganese silicide single crystals under electrochemical treatment,TECHNICAL PHYSICS,10.1134/1.1307026,"For higher manganese silicide single crystals of certain geometry and superstructure orientation, an unusual metallization process is observed. This anomaly can be associated either with bulk processes similar to thermogalvanic effects or with the carrier redistribution in the near-surface regions that is due to the high thermoelectric power anisotropy and complex crystal structure. (C) 2000 MAIK Nauka/Interperiodica.",higher manganese silicide single crystals under electrochemical treatment,thermoelectric anisotropy and complex crystal structure may cause carrier redistribution or bulk thermogalvanic-like metallization,0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
P0241,TG,TG_0240,1994,USE OF SOLID-ELECTROLYTE CELL AS AN ACTIVE LOW-TEMPERATURE SENSOR,SENSORS AND ACTUATORS A-PHYSICAL,10.1016/0924-4247(94)00778-0,"A novel type of thermogalvanic temperature sensor using a solid-electrolyte cell is reported. As compared to normal thermocouples (sensitivity 0.1 mV/K), this sensor has higher sensitivity (0.2 mV/K), is hysteresis free and linear in the low-temperature range. Various other possible advantages are indicated to make it worth further study.",solid-electrolyte thermogalvanic temperature sensor,solid-electrolyte cell voltage changes linearly with low-temperature variation for active high-sensitivity sensing,0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
P0322,TG,TG_0321,2018,Effect of a Time-Dependent Magnetic Field on the Corrosion of Nickel-Aluminum Bronze,CORROSION,10.5006/2604,"Nickel-aluminum bronze (NAB) was anodically polarized in a solution of 3.5 wt% NaCl and exposed to a time-dependent magnetic field (TDMF) with an amplitude of 180 mT. The effect of a TDMF on the anodic behavior of NAB has been investigated as a function TDMF frequency (0 Hz to150 Hz) and the anodic polarization potential (-180 mV(Ag/AgCl) to -25 mV(Ag/AgCl)). The results show that the anodic current density at a fixed, anodic potential increases when NAB is exposed to a TDMF. The effect increases with frequency of the TDMF, and is highest for the lowest polarization potentials. At -180 mV(Ag/AgCl), the current density increased by 800% when the sample was exposed to a TDMF of 150 Hz. The increase in current density is explained in terms of joule heating resulting from the induced eddy currents in the NAB sample. The increased anodic reaction at increasing temperature was documented by recording polarization curves at 20 degrees C, 40 degrees C, and 60 degrees C. The results emphasize a potential limitation of the use of NAB in close proximity to TDMFs in chloride-containing media.",nickel-aluminum bronze in 3.5 wt% NaCl under time-dependent magnetic field,eddy-current Joule heating raises local temperature and accelerates anodic corrosion in chloride media,0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
P0388,iTE,iTE1_0062,2023,An ionic thermoelectric capacitor with continuous power generation for heat harvesting,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2023.143828,"Ionic conductors emerged as the next-generation thermoelectric (TE) materials mainly due to their high ther-mopower, which is higher than that of the electronic conductors by 1-2 orders in magnitude. However, they cannot be directly used in TE generators (TEGs) because ions cannot transport across the electrodes into the external circuit. Instead, they can be used in ionic TE capacitors (ITECs) to harvest heat. Nevertheless, the ITECs reported in literatures are operated in an intermittent mode, and repeated connection and disconnection to the external load are required. These severely affect their application in practice. Here, we demonstrate the continuous operation of ITECs with the external load always connected. In addition, an equivalent circuit is proposed for the ITECs in the continuous mode, which can account for the TE parameters like the peak voltage and voltage decay time constant. The continuous ITEC can supply comparable power or even higher performance than the control intermittent ITEC, depending on the temperature variation. This work is significant for the practical application of ionic TE materials in heat conversion and the sustainable development of human society.",continuous-mode ionic thermoelectric capacitor,continuous ITEC operation is explained by an equivalent circuit relating peak voltage and voltage-decay time constant to thermoelectric parameters,0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
P0647,iTE,iTE1_0338,2018,Semitransparent p-CuI and n-ZnO thin films prepared by low temperature solution growth for thermoelectric conversion of near-infrared solar light,SOLAR ENERGY,10.1016/j.solener.2018.07.030,"In this work by means studying the crystal structure, optical, electrical, and thermoelectric properties of chip, available and safe for the environment copper iodide CuI zinc oxide ZnO and indium-doped zinc oxide ZnO:In films we have developed and improved low temperature solution growth Successive Ionic Layer Adsorption and Reaction (SILAR) technique, which allows to deposit these materials over large areas. Output thermoelectric parameters were analyzed for several single p-CuI, n-ZnO and n-ZnO:In thin film thermolegs. The possibility of combining of the obtained p-CuI and n-ZnO:In thin film thermolegs into a thermocouple is shown for the use in new semitransparent planar solar thermoelectric generator working at near-room temperatures through harvesting near-infrared solar light as an energy source to supply electric power to the wireless sensors and microscale devices.",p-CuI and n-ZnO/ZnO:In thin films made by SILAR,solution-grown p/n thermolegs enable semitransparent planar solar thermoelectric conversion near room temperature,0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
P0691,iTE,iTE1_0384,2014,Influence of the cation sublattice defectness on the electronic thermoelectric power of Li x Cu(2-x)-δ S(x≤0.25),INORGANIC MATERIALS,10.1134/s0020168514080044,"This paper presents an experimental study of the electronic thermoelectric power as a function of copper content for Li (x) Cu(2-x)-delta S (x a parts per thousand currency sign 0.25) electronic-ionic mixed conductors. Using a vacancy model for lattice defects, we calculate their electronic thermoelectric power as a function of x. By adjusting the hole effective mass, we reach satisfactory agreement with experimental data.",Li x Cu(2-x)-delta S mixed electronic-ionic conductor,cation sublattice defectness/copper vacancies govern electronic thermoelectric power through hole effective mass and vacancy model,0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
P0707,iTE,iTE1_0400,1999,On the parametric excitation of thermoelectric instability in a liquid layer open to air,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,10.1016/s0017-9310(98)00351-2,"Results are given about the parametric excitation of thermoelectric instability in a liquid semiconductor or an ionic melt layer subject to a harmonically time varying heat flux normal to its top open surface. First, it is shown that for a purely thermoelectric instability the 'integer' disturbances are the most dangerous ones for the liquid quasiequilibrium. Then the boundaries of instability and characteristics of critical disturbances are found for the cases of coupled phenomena between thermoelectric effects and surface tension gradients and thermoelectric effects and buoyancy. Both 'half-integer' and 'integer' modes were studied. Qualitative and quantitative results are provided for the experimental observation of our predictions. (C) 1999 Elsevier Science Ltd. All rights reserved.",liquid semiconductor or ionic melt layer,"harmonically varying heat flux excites thermoelectric instability; coupled thermoelectric, surface-tension, and buoyancy effects determine critical disturbances",0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
P0731,iTE,iTE1_0424,2001,Transport properties of trivalent substituted Li-ferrites,JOURNAL OF MATERIALS SCIENCE,10.1023/a:1017914718671,"The electrical resistivity and thermoelectric power of Li-0.5Fe2.5-xRxO4 (R = Al, La, Sm and Gd; x = 0.0 and 0.1) are studied. The distribution of the substituted ions over the different lattice sites is determined from IR spectra. The electrical resistivity is found to have a direct relation with the ionic radius of the substituted R ions. Meanwhile, the absolute value of thermoelectric power decreased with increasing ionic radius.","Li0.5Fe2.5-xRxO4 ferrites with R = Al, La, Sm, Gd",substituted ion ionic radius controls resistivity and thermoelectric power,0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
P0740,iTE,iTE1_0433,2023,Best thermoelectric efficiency of ever-explored materials,ISCIENCE,10.1016/j.isci.2023.106494,"A thermoelectric device is a heat engine that directly converts heat into electricity. Many materials with a high figure of merit ZT have been discovered in the anticipation of a high thermoelectric efficiency. However, there has been a lack of investigations on efficiency-based material evaluation, and little is known about the achievable limit of thermoelectric efficiency. Here, we report the highest thermoelectric efficiency using 12,645 published materials. The 97,841,810 thermoelectric efficiencies are calculated using 808,610 device configurations under various heat-source temperatures (T-h) when the cold-side temperature is 300 K, solving one-dimensional thermoelectric integral equations with temperature-dependent thermoelectric properties. For infinite-cascade devices, a thermoelectric efficiency larger than 33% (approximate to 1/3) is achievable when T-h exceeds 1400 K. For single-stage devices, the best efficiency of 17.1% (approximate to 1/6) is possible when T-h is 860 K. Leg segmentation can overcome this limit, delivering a very high efficiency of 24% (approximate to 1/4) when T-h is 1100 K.","published thermoelectric-material database of 12,645 materials",efficiency-based device modeling with temperature-dependent properties identifies achievable thermoelectric efficiency limits for single-stage and cascaded devices,0.0,0.0,0.0,0.0,False,False,False,missing material and mechanism,no_typed_node_in_existing_audited_layers,abstract_reextraction
