paper_id,title,doi,node_role,left_node_id,left_label,right_node_id,right_label,review_status
P0002,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,mechanism,TC_0c21838501cc,selective fe2+-nitrile solvation enlarge redox entropy change,TC_8dea083ebe59,solvation entropy,retained_not_auto_merged
P0002,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,mechanism,TC_0c21838501cc,selective fe2+-nitrile solvation enlarge redox entropy change,TC_c889e0f92f27,selective solvation,retained_not_auto_merged
P0005,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,outcome_property,TC_493b5b586992,normalized power density,TC_a6ad80f6088e,power density,retained_not_auto_merged
P0005,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,outcome_property,TC_621f048a7e27,high seebeck,TC_7d3a34d8db98,high seebeck coefficient,retained_not_auto_merged
P0005,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,10.1002/adma.202312249,outcome_property,TC_7d3a34d8db98,high seebeck coefficient,TC_fababc7795c1,seebeck coefficient,retained_not_auto_merged
P0006,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,mechanism,TC_d1b9ab073d5a,ion-transport highway. thermosensitive crystallization,TC_e0e17f6c7745,thermosensitive crystallization,retained_not_auto_merged
P0014,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,outcome_property,TC_3551de0250ed,ionic seebeck,TC_6a63fa461f80,ionic seebeck coefficient,retained_not_auto_merged
P0014,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,outcome_property,TC_37f1381da042,normalized maximum power density,TC_a6ad80f6088e,power density,retained_not_auto_merged
P0014,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,outcome_property,TC_37f1381da042,normalized maximum power density,TC_d2aa7fb72c0d,maximum power density,retained_not_auto_merged
P0014,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,outcome_property,TC_45d7184bddc3,output power density,TC_a6ad80f6088e,power density,retained_not_auto_merged
