paper_id,source_membership,year,title,doi,node_id,node_label,node_role,node_subtype,source_concept_type,provenance,evidence_text,evidence_status,confidence,observed_in_source,document_frequency,historical_graph_eligible,recommendation_target_eligible
P0001,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,TC_07500f5feb43,dynamic crosslinked gel network,structure_state,soft-material mechanism,gel_microstructure,audited_paper_concept_map,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97,True,42,True,True
P0001,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,TC_125db93329fb,thermogalvanic redox conversion,mechanism,thermoelectrochemical conversion,device_mechanism,audited_paper_concept_map,thermogalvanic voltage,controlled_rule,0.94,True,92,True,True
P0001,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,TC_540ecfd38637,alginate,material_system,biopolymer,material_entity,audited_paper_concept_map,alginate,controlled_rule,0.94,True,12,True,True
P0001,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,TC_6d3814acb95f,hydrogel,material_system,soft material platform,material_system,audited_paper_concept_map,hydrogel,controlled_rule,0.94,True,202,True,True
P0001,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,TC_af6bbcaf729f,Fe2+/Fe3+ solvation redox chemistry,mechanism,redox mechanism,redox_chemistry,audited_paper_concept_map,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97,True,70,True,True
P0001,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,TC_be57b88ac710,moisture-gradient ion transport,mechanism,transport mechanism,transport_mechanism,audited_paper_concept_map,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97,True,94,True,True
P0001,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,TC_c0211b9ba3f1,smart-wound thermogalvanic dressing,device_context,device function,device_function,audited_paper_concept_map,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97,True,1,False,False
P0001,TG,2026,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,10.1038/s41551-025-01440-6,TC_cd73158e8b1d,wearable biointerface thermocell,device_context,device function,device_function,audited_paper_concept_map,"Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres thermogalvanic cell dressing | wound-dressing temperature gradient drives thermogalvanic voltage/electric field for stimulation, while hydrogel provides biocompatible antibacterial moist interface",domain_curated_rule,0.97,True,167,True,False
P0002,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,TC_0c21838501cc,selective fe2+-nitrile solvation enlarge redox entropy change,mechanism,solvation/entropy mechanism,solvation_entropy,audited_paper_concept_map,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97,True,1,False,False
P0002,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,10.1016/j.joule.2025.101822,TC_5bcfefdb9413,redox reaction entropy,mechanism,redox thermodynamics,solvation_entropy,audited_paper_concept_map,"iron-based thermogalvanic electrolyte with Fe2+/Fe3+, ClO4-, nitrile solvents, binary solvent system | weak Fe-ClO4 interactions and selective Fe2+-nitrile solvation enlarge redox entropy change and reduce heat capacity for electrochemical cooling",domain_curated_rule,0.97,True,40,True,True
