relation_id,paper_id,year,source_node_id,source_role,relation_type,target_node_id,target_role,evidence_scope
TR_b8a3ec92e92b,P0001,2026,TC_540ecfd38637,material_system,typed_co_reported_in_abstract,TC_07500f5feb43,structure_state,same_paper_not_causal
TR_b2bc044da651,P0001,2026,TC_540ecfd38637,material_system,typed_co_reported_in_abstract,TC_125db93329fb,mechanism,same_paper_not_causal
TR_d248ea54272d,P0001,2026,TC_540ecfd38637,material_system,typed_co_reported_in_abstract,TC_af6bbcaf729f,mechanism,same_paper_not_causal
TR_f2bbcefdaa88,P0001,2026,TC_540ecfd38637,material_system,typed_co_reported_in_abstract,TC_be57b88ac710,mechanism,same_paper_not_causal
TR_4dd4f6ac859c,P0001,2026,TC_540ecfd38637,material_system,typed_co_reported_in_abstract,TC_c0211b9ba3f1,device_context,same_paper_not_causal
TR_a5e8aaf031c1,P0001,2026,TC_540ecfd38637,material_system,typed_co_reported_in_abstract,TC_cd73158e8b1d,device_context,same_paper_not_causal
TR_ed26d63dcae2,P0001,2026,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_07500f5feb43,structure_state,same_paper_not_causal
TR_a41f8152c81e,P0001,2026,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_125db93329fb,mechanism,same_paper_not_causal
TR_bcf157aac6a7,P0001,2026,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_af6bbcaf729f,mechanism,same_paper_not_causal
TR_7dc6f2721090,P0001,2026,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_be57b88ac710,mechanism,same_paper_not_causal
TR_5f25cfab7717,P0001,2026,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_c0211b9ba3f1,device_context,same_paper_not_causal
TR_9d7c21e07dc6,P0001,2026,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_cd73158e8b1d,device_context,same_paper_not_causal
TR_95ac1de1379d,P0001,2026,TC_07500f5feb43,structure_state,typed_co_reported_in_abstract,TC_125db93329fb,mechanism,same_paper_not_causal
TR_680e8106b348,P0001,2026,TC_07500f5feb43,structure_state,typed_co_reported_in_abstract,TC_af6bbcaf729f,mechanism,same_paper_not_causal
TR_6648818de2f7,P0001,2026,TC_07500f5feb43,structure_state,typed_co_reported_in_abstract,TC_be57b88ac710,mechanism,same_paper_not_causal
TR_5e31d0ca4f38,P0001,2026,TC_07500f5feb43,structure_state,typed_co_reported_in_abstract,TC_c0211b9ba3f1,device_context,same_paper_not_causal
TR_dd75f35fa11b,P0001,2026,TC_07500f5feb43,structure_state,typed_co_reported_in_abstract,TC_cd73158e8b1d,device_context,same_paper_not_causal
TR_9f0c03c0491e,P0001,2026,TC_125db93329fb,mechanism,typed_co_reported_in_abstract,TC_c0211b9ba3f1,device_context,same_paper_not_causal
TR_79dfd611ca12,P0001,2026,TC_125db93329fb,mechanism,typed_co_reported_in_abstract,TC_cd73158e8b1d,device_context,same_paper_not_causal
TR_036ba147e49b,P0001,2026,TC_af6bbcaf729f,mechanism,typed_co_reported_in_abstract,TC_c0211b9ba3f1,device_context,same_paper_not_causal
TR_59aab09703d0,P0001,2026,TC_af6bbcaf729f,mechanism,typed_co_reported_in_abstract,TC_cd73158e8b1d,device_context,same_paper_not_causal
TR_537372d4866a,P0001,2026,TC_be57b88ac710,mechanism,typed_co_reported_in_abstract,TC_c0211b9ba3f1,device_context,same_paper_not_causal
TR_9854d8fc7776,P0001,2026,TC_be57b88ac710,mechanism,typed_co_reported_in_abstract,TC_cd73158e8b1d,device_context,same_paper_not_causal
TR_453e6c0a62c3,P0002,2025,TC_6ded5a44a671,material_system,typed_co_reported_in_abstract,TC_0c21838501cc,mechanism,same_paper_not_causal
TR_285f513570b9,P0002,2025,TC_6ded5a44a671,material_system,typed_co_reported_in_abstract,TC_5bcfefdb9413,mechanism,same_paper_not_causal
TR_46eb4c44f2db,P0002,2025,TC_6ded5a44a671,material_system,typed_co_reported_in_abstract,TC_8dea083ebe59,mechanism,same_paper_not_causal
TR_41230b0c2c06,P0002,2025,TC_6ded5a44a671,material_system,typed_co_reported_in_abstract,TC_af6bbcaf729f,mechanism,same_paper_not_causal
TR_ec54194e3e6f,P0002,2025,TC_6ded5a44a671,material_system,typed_co_reported_in_abstract,TC_c889e0f92f27,mechanism,same_paper_not_causal
TR_7bc156b1b9e9,P0002,2025,TC_6ded5a44a671,material_system,typed_co_reported_in_abstract,TC_e2a3f0650eaa,mechanism,same_paper_not_causal
TR_ca84ad8bc5d6,P0002,2025,TC_6ded5a44a671,material_system,typed_co_reported_in_abstract,TC_dc04ee57b5da,device_context,same_paper_not_causal
TR_8c6960284ac9,P0002,2025,TC_0c21838501cc,mechanism,typed_co_reported_in_abstract,TC_dc04ee57b5da,device_context,same_paper_not_causal
TR_ed7466afbbf9,P0002,2025,TC_5bcfefdb9413,mechanism,typed_co_reported_in_abstract,TC_dc04ee57b5da,device_context,same_paper_not_causal
TR_5a557254c472,P0002,2025,TC_8dea083ebe59,mechanism,typed_co_reported_in_abstract,TC_dc04ee57b5da,device_context,same_paper_not_causal
TR_4775ac1cd262,P0002,2025,TC_af6bbcaf729f,mechanism,typed_co_reported_in_abstract,TC_dc04ee57b5da,device_context,same_paper_not_causal
TR_8c297a2d9941,P0002,2025,TC_c889e0f92f27,mechanism,typed_co_reported_in_abstract,TC_dc04ee57b5da,device_context,same_paper_not_causal
TR_b6609fa0094c,P0002,2025,TC_e2a3f0650eaa,mechanism,typed_co_reported_in_abstract,TC_dc04ee57b5da,device_context,same_paper_not_causal
TR_51b32c1dfddf,P0003,2025,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_4b2db7e72622,structure_state,same_paper_not_causal
TR_7b75a9ac8a11,P0003,2025,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_125db93329fb,mechanism,same_paper_not_causal
TR_55018f8e5b92,P0003,2025,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_402d7ec84669,mechanism,same_paper_not_causal
TR_0bdcbd9a6710,P0003,2025,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_575b8475e747,mechanism,same_paper_not_causal
TR_15568ea042b8,P0003,2025,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_af6bbcaf729f,mechanism,same_paper_not_causal
TR_687bc2bf937f,P0003,2025,TC_6d3814acb95f,material_system,typed_co_reported_in_abstract,TC_b3e2c786a6b7,outcome_property,same_paper_not_causal
