audit_type,left_node_id,left_role,left_label,left_document_frequency,right_node_id,right_role,right_label,right_document_frequency,string_similarity,recommended_action
same_label_different_role,TC_0567f1b479bc,structure_state,negative-thermopower ionic organohydrogel,1,TC_4830c1c9a6f2,mechanism,negative-thermopower ionic organohydrogel,1,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_07500f5feb43,structure_state,dynamic crosslinked gel network,42,TC_5a56f0fb9770,mechanism,dynamic crosslinked gel network,24,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_077323f7819d,structure_state,Hofmeister/chaotropic effect,16,TC_4e623dc173b0,mechanism,Hofmeister/chaotropic effect,5,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_08d2713d7abb,mechanism,gel-confined redox transport,22,TC_4b2db7e72622,structure_state,gel-confined redox transport,94,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_16f1d3208623,structure_state,salting-out confined ion gel,7,TC_3eb09c51d70b,mechanism,salting-out confined ion gel,1,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_1f75a31a03c6,mechanism,zwitterionic hydrogel ion regulation,3,TC_f290376c2387,structure_state,zwitterionic hydrogel ion regulation,4,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_2ac0c2cf66e0,mechanism,pi-pi stacking,3,TC_8b0aafcfb077,structure_state,pi-pi stacking,3,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_2c5557073ad9,structure_state,cellulose nanofiber scaffold,68,TC_2f3e0e0cb9b1,mechanism,cellulose nanofiber scaffold,42,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_38b40867b616,structure_state,double-network hydrogel,6,TC_49101044dd05,mechanism,double-network hydrogel,2,1.0,retain_role_specific_nodes_review_typing
same_label_different_role,TC_4388f5c3255a,material_system,nanochannel membrane,1,TC_6ce6770b2b98,mechanism,nanochannel membrane,1,1.0,retain_role_specific_nodes_review_typing
