pair_id,domain,left_mention_id,right_mention_id,left_concept_id,right_concept_id,decision,semantic_relation,reason,review_source,review_status,merge_applied
pair:b35030cede8989341f0a,iTE,iTE:P0334:n3,iTE:P0344:n4,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:a5a8952bd5cf6d9878a4,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,equivalent_proposals,astra_adjudicated,True
pair:f177c45f4263a1bb431c,iTE,iTE:P0334:n3,iTE:P0364:n4,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:a5a8952bd5cf6d9878a4,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,equivalent_proposals,astra_adjudicated,True
pair:cb7b081c9d3baddc48b1,iTE,iTE:P0334:n3,iTE:P0498:n2,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:c2f2ec656a5473848b09,reject,not_equivalent,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 有限温差非线性表观离子Seebeck系数,equivalent_proposals,astra_adjudicated,False
pair:c2d99b8d0ac3f20776f6,iTE,iTE:P0334:n3,iTE:P0753:n4,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:abab1f0bfafa1959a1f2,reject,not_equivalent,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 电子Seebeck系数,equivalent_proposals,astra_adjudicated,False
pair:fba875dcf616283e0498,iTE,iTE:P0334:n3,iTE:P0833:n2,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:abab1f0bfafa1959a1f2,reject,not_equivalent,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 电子Seebeck系数,equivalent_proposals,astra_adjudicated,False
pair:be6d279f8fe29f4cc101,iTE,iTE:P0334:n3,iTE:P0993:n2,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:abab1f0bfafa1959a1f2,reject,not_equivalent,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 电子Seebeck系数,equivalent_proposals,astra_adjudicated,False
pair:e27e22f177bf5fd6ebd8,iTE,iTE:P0334:n3,iTE:P1210:n2,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:c1a334ff06f0a4c8295a,reject,not_equivalent,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 红氧电化学Seebeck系数,equivalent_proposals,astra_adjudicated,False
pair:4a93f3828759cf358c9b,iTE,iTE:P0334:n3,iTE:P1444:n1,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:abab1f0bfafa1959a1f2,reject,not_equivalent,130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。；左右定义分别为离子热扩散热电势系数 / 电子Seebeck系数,equivalent_proposals,astra_adjudicated,False
pair:123c69eeb2157541c70e,iTE,iTE:P0334:n3,iTE:P1457:n2,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:a5a8952bd5cf6d9878a4,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,equivalent_proposals,astra_adjudicated,True
pair:a807a1eca3cadaf56dc6,iTE,iTE:P0336:n3,iTE:P0337:n4,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:a5a8952bd5cf6d9878a4,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,equivalent_proposals,astra_adjudicated,True
pair:7fef9d99a435cbb726e0,iTE,iTE:P0336:n3,iTE:P0392:n4,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:a5a8952bd5cf6d9878a4,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,equivalent_proposals,astra_adjudicated,True
pair:0716681e58f77f1fafad,iTE,iTE:P0336:n3,iTE:P0503:n2,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:a5a8952bd5cf6d9878a4,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,equivalent_proposals,astra_adjudicated,True
pair:58b715c4da6ab198e94f,iTE,iTE:P0336:n3,iTE:P0616:n2,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:a5a8952bd5cf6d9878a4,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,equivalent_proposals,astra_adjudicated,True
pair:1db09f534a011514325d,iTE,iTE:P0336:n3,iTE:P1488:n2,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:a5a8952bd5cf6d9878a4,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,equivalent_proposals,astra_adjudicated,True
pair:49a82d034d3a4c227c56,iTE,iTE:P0337:n4,iTE:P0392:n4,concept:v2:iTE:a5a8952bd5cf6d9878a4,concept:v2:iTE:a5a8952bd5cf6d9878a4,accept,equivalent_to,共同定义：离子热扩散热电势系数。130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,equivalent_proposals,astra_adjudicated,True
