concept_id,domain,display_label,semantic_role,source_roles,member_count,paper_count,source_mention_ids,paper_ids,normalization_status,human_review_required,concept_type
concept:v2:TG:00677817e5c498cf53e7,TG,efficiency and power density,performance_function,"[""performance_function""]",1,1,"[""TG:P0205:n3""]","[""P0205""]",retained_identity,False,evidence_concept
concept:v2:TG:00b475f853801811bd83,TG,maximum power density of 660 mW m(-1),performance_function,"[""performance_function""]",1,1,"[""TG:P0308:n2""]","[""P0308""]",retained_identity,False,evidence_concept
concept:v2:TG:00c26958830d9449756f,TG,copper electrodes,material_entity,"[""material_entity""]",1,1,"[""TG:P0267:n1""]","[""P0267""]",retained_identity,False,evidence_concept
concept:v2:TG:00e4cec5080cfe00a175,TG,degrees of freedom and ordering of the solvent,state_structure,"[""state_structure""]",1,1,"[""TG:P0195:n3""]","[""P0195""]",retained_identity,False,evidence_concept
concept:v2:TG:00f9149464af5e619f61,TG,redox transitions,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0072:n1""]","[""P0072""]",retained_identity,False,evidence_concept
concept:v2:TG:010009a7a29b94602aaa,TG,resistance of thermocells,quantity,"[""quantity""]",1,1,"[""TG:P0139:n8""]","[""P0139""]",retained_identity,False,evidence_concept
concept:v2:TG:011cb33b812722888e05,TG,guanidine ion,material_entity,"[""material_entity""]",1,1,"[""TG:P0039:n1""]","[""P0039""]",retained_identity,False,evidence_concept
concept:v2:TG:014f9a8356c9f278e951,TG,percolation-based charge transport within the polymer electrode,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0293:n1""]","[""P0293""]",retained_identity,False,evidence_concept
concept:v2:TG:015fb6659b57b01a75b0,TG,copper hexacyanoferrate cathode and a Cu/Cu2+ anode,material_entity,"[""material_entity""]",1,1,"[""TG:P0184:n1""]","[""P0184""]",retained_identity,False,evidence_concept
concept:v2:TG:0164f0bb4569f2e3cc33,TG,铁氰/亚铁氰红氧熵差,quantity,"[""quantity""]",4,4,"[""TG:P0084:n3"", ""TG:P0085:n2"", ""TG:P0090:n2"", ""TG:P0192:n3""]","[""P0084"", ""P0085"", ""P0090"", ""P0192""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:018479fbb28d8fe1af96,TG,p-n inversion,performance_function,"[""performance_function""]",1,1,"[""TG:P0093:n4""]","[""P0093""]",retained_identity,False,evidence_concept
concept:v2:TG:01ad8d28980687ebf110,TG,output powers and current densities,performance_function,"[""performance_function""]",1,1,"[""TG:P0307:n2""]","[""P0307""]",retained_identity,False,evidence_concept
concept:v2:TG:021830706cf633bde7e7,TG,maximum power output,performance_function,"[""performance_function""]",1,1,"[""TG:P0094:n6""]","[""P0094""]",retained_identity,False,evidence_concept
concept:v2:TG:022897902e37bebd0207,TG,stable and reliable signal output,performance_function,"[""performance_function""]",1,1,"[""TG:P0019:n3""]","[""P0019""]",retained_identity,False,evidence_concept
concept:v2:TG:024ba46dcfac6ba7b372,TG,reversible redox reaction,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0175:n2""]","[""P0175""]",retained_identity,False,evidence_concept
concept:v2:TG:02603fc91c7b3f0ae5e6,TG,continuous power output,performance_function,"[""performance_function""]",1,1,"[""TG:P0301:n2""]","[""P0301""]",retained_identity,False,evidence_concept
concept:v2:TG:02a4ca2571e9ae30a770,TG,thermodiffusion term,quantity,"[""quantity""]",1,1,"[""TG:P0224:n1""]","[""P0224""]",retained_identity,False,evidence_concept
concept:v2:TG:02bdd3dcd5695b9edc36,TG,ion speciation,state_structure,"[""state_structure""]",1,1,"[""TG:P0144:n4""]","[""P0144""]",retained_identity,False,evidence_concept
concept:v2:TG:03926c4a0add1a114425,TG,high thermal flux,quantity,"[""quantity""]",1,1,"[""TG:P0133:n3""]","[""P0133""]",retained_identity,False,evidence_concept
concept:v2:TG:03d962d43e654b388fd6,TG,CoHCF/HCNTs,material_entity,"[""material_entity""]",1,1,"[""TG:P0214:n1""]","[""P0214""]",retained_identity,False,evidence_concept
concept:v2:TG:0420811c81a64a125b8b,TG,performance difference,performance_function,"[""performance_function""]",1,1,"[""TG:P0220:n3""]","[""P0220""]",retained_identity,False,evidence_concept
concept:v2:TG:042af1f80e0a3e5e1c0e,TG,Periodic interchange of the solid mediator (LiFePO4/FePO4),design_strategy,"[""design_strategy""]",1,1,"[""TG:P0263:n1""]","[""P0263""]",retained_identity,False,evidence_concept
concept:v2:TG:0436d373fed0477897f3,TG,持续红氧离子浓度梯度,quantity,"[""quantity""]",2,2,"[""TG:P0009:n2"", ""TG:P0035:n3""]","[""P0009"", ""P0035""]",astra_equivalence_accepted,False,evidence_concept
concept:v2:TG:0437a236d035f66881b7,TG,first solvation shell,state_structure,"[""state_structure""]",1,1,"[""TG:P0078:n2""]","[""P0078""]",retained_identity,False,evidence_concept
concept:v2:TG:048249d5b785b7d05827,TG,distillation of sodium hydroxide solution in temperature gradient,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0116:n1""]","[""P0116""]",retained_identity,False,evidence_concept
concept:v2:TG:04dff6274c01e5001c1b,TG,ionic thermopower,performance_function,"[""performance_function""]",1,1,"[""TG:P0297:n3""]","[""P0297""]",retained_identity,False,evidence_concept
concept:v2:TG:054a30729b037a447f3b,TG,effective thermal conductivity,quantity,"[""quantity""]",1,1,"[""TG:P0086:n5""]","[""P0086""]",retained_identity,False,evidence_concept
concept:v2:TG:062c4a8203a30da0c200,TG,configurational disparity between oxidized and reduced species,state_structure,"[""state_structure""]",1,1,"[""TG:P0078:n5""]","[""P0078""]",retained_identity,False,evidence_concept
concept:v2:TG:06c444e27d568538a576,TG,fast redox-mediated electron transfer,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0289:n2""]","[""P0289""]",retained_identity,False,evidence_concept
concept:v2:TG:06cc08d57decf7bb0749,TG,ZnAl-LDH,material_entity,"[""material_entity""]",1,1,"[""TG:P0084:n1""]","[""P0084""]",retained_identity,False,evidence_concept
concept:v2:TG:06d81f990fe5f0d534aa,TG,polarization switching from n-type to p-type,performance_function,"[""performance_function""]",1,1,"[""TG:P0179:n2""]","[""P0179""]",retained_identity,False,evidence_concept
concept:v2:TG:07e370d5ab1263597afe,TG,local surface plasmon resonance (LSPR),mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0042:n2""]","[""P0042""]",retained_identity,False,evidence_concept
concept:v2:TG:082d96349d28bb7db69b,TG,AP,material_entity,"[""material_entity""]",1,1,"[""TG:P0034:n1""]","[""P0034""]",retained_identity,False,evidence_concept
concept:v2:TG:082e1ad2ddb13e4f3123,TG,high temperatures,condition,"[""condition""]",1,1,"[""TG:P0131:n1""]","[""P0131""]",retained_identity,False,evidence_concept
concept:v2:TG:0834b5ec6c028aa133c4,TG,recognize the pulse beat,performance_function,"[""performance_function""]",1,1,"[""TG:P0064:n3""]","[""P0064""]",retained_identity,False,evidence_concept
concept:v2:TG:089b06b3e252010d7224,TG,characteristics of users can be distinguished,performance_function,"[""performance_function""]",1,1,"[""TG:P0036:n3""]","[""P0036""]",retained_identity,False,evidence_concept
concept:v2:TG:08eef177562df42a3438,TG,reduction in hydrogel thickness,design_strategy,"[""design_strategy""]",1,1,"[""TG:P0158:n1""]","[""P0158""]",retained_identity,False,evidence_concept
concept:v2:TG:0952fbcbd986b7530a38,TG,kinetic rate constants,quantity,"[""quantity""]",1,1,"[""TG:P0108:n2""]","[""P0108""]",retained_identity,False,evidence_concept
concept:v2:TG:0a308457e1d63f222863,TG,thermogalvanic deposition process,mechanism_process,"[""mechanism_process""]",1,1,"[""TG:P0148:n1""]","[""P0148""]",retained_identity,False,evidence_concept
