mention_id,domain,paper_id,concept_id,previous_concept_id,mapping_action,semantic_role,role_source,raw_label
TG:P0205:n3,TG,P0205,concept:v2:TG:00677817e5c498cf53e7,draft:v2:TG:00677817e5c498cf53e7,retained_singleton,performance_function,preserved_source_model_role,efficiency and power density
TG:P0308:n2,TG,P0308,concept:v2:TG:00b475f853801811bd83,draft:v2:TG:00b475f853801811bd83,retained_singleton,performance_function,astra_completion,maximum power density of 660 mW m(-1)
TG:P0267:n1,TG,P0267,concept:v2:TG:00c26958830d9449756f,draft:v2:TG:00c26958830d9449756f,retained_singleton,material_entity,preserved_source_model_role,copper electrodes
TG:P0195:n3,TG,P0195,concept:v2:TG:00e4cec5080cfe00a175,draft:v2:TG:00e4cec5080cfe00a175,retained_singleton,state_structure,astra_completion,degrees of freedom and ordering of the solvent
TG:P0072:n1,TG,P0072,concept:v2:TG:00f9149464af5e619f61,draft:v2:TG:00f9149464af5e619f61,retained_singleton,mechanism_process,preserved_source_model_role,redox transitions
TG:P0139:n8,TG,P0139,concept:v2:TG:010009a7a29b94602aaa,draft:v2:TG:010009a7a29b94602aaa,retained_singleton,quantity,preserved_source_model_role,resistance of thermocells
TG:P0039:n1,TG,P0039,concept:v2:TG:011cb33b812722888e05,draft:v2:TG:011cb33b812722888e05,retained_singleton,material_entity,preserved_source_model_role,guanidine ion
TG:P0293:n1,TG,P0293,concept:v2:TG:014f9a8356c9f278e951,draft:v2:TG:014f9a8356c9f278e951,retained_singleton,mechanism_process,preserved_source_model_role,percolation-based charge transport within the polymer electrode
TG:P0184:n1,TG,P0184,concept:v2:TG:015fb6659b57b01a75b0,draft:v2:TG:015fb6659b57b01a75b0,retained_singleton,material_entity,preserved_source_model_role,copper hexacyanoferrate cathode and a Cu/Cu2+ anode
TG:P0084:n3,TG,P0084,concept:v2:TG:0164f0bb4569f2e3cc33,draft:v2:TG:0164f0bb4569f2e3cc33,merged_explicitly_reviewed,quantity,preserved_source_model_role,entropy difference of the [Fe(CN)6]3-/4-redox couple
TG:P0085:n2,TG,P0085,concept:v2:TG:0164f0bb4569f2e3cc33,draft:v2:TG:0164f0bb4569f2e3cc33,merged_explicitly_reviewed,quantity,preserved_source_model_role,redox entropy difference
