mention_id,concept_id,domain,paper_id,raw_label,semantic_role,source,concept_type
TG:P0079:astra_node:a8db92b2bc1223e51bbb,concept:v2:TG:supp:a8db92b2bc1223e51bbb,TG,P0079,high Seebeck coefficient,performance_function,astra_authored_local_repair,relation_repair_concept
TG:P0015:astra_node:160a0e64e14ff6d98a50,concept:v2:TG:supp:160a0e64e14ff6d98a50,TG,P0015,stretching-induced crystallization + thermoelectric-effect integrated design,compound_joint_factors,astra_authored_local_repair,logical_conjunction
TG:P0012:astra_node:4891ac16ccefc6c781c8,concept:v2:TG:supp:4891ac16ccefc6c781c8,TG,P0012,thermoelectricity + active piezoresistivity,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P0378:astra_node:a2239ad2fcad66cf1247,concept:v2:iTE:supp:a2239ad2fcad66cf1247,iTE,P0378,effective control of free-ion movement by zwitterionic side-chain moiety positions,design_strategy,astra_authored_local_repair,relation_repair_concept
TG:P0116:astra_node:a1e621de4090ac2879d4,concept:v2:TG:supp:a1e621de4090ac2879d4,TG,P0116,temperature-gradient distillation + temperature-dependent NaOH solubility,compound_joint_factors,astra_authored_local_repair,logical_conjunction
TG:P0165:astra_node:ca51735a435b25a62a6a,concept:v2:TG:supp:ca51735a435b25a62a6a,TG,P0165,3D skeleton + abundant electroactive sites + high conductivity,compound_joint_factors,astra_authored_local_repair,logical_conjunction
TG:P0173:astra_node:2ed5df416eaaa97ca540,concept:v2:TG:supp:2ed5df416eaaa97ca540,TG,P0173,thermogalvanic effect + electrochemical potential,compound_joint_factors,astra_authored_local_repair,logical_conjunction
TG:P0183:astra_node:9aeced07dd3319158d53,concept:v2:TG:supp:9aeced07dd3319158d53,TG,P0183,thermogalvanic temperature coefficient alpha of Fe3+/Fe2+,performance_function,astra_authored_local_repair,relation_repair_concept
iTE:P0386:astra_node:26e0111aa3501b275768,concept:v2:iTE:supp:26e0111aa3501b275768,iTE,P0386,i-TE conversion + NERD,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P0408:astra_node:2c7d3fb4cfc46b77990f,concept:v2:iTE:supp:2c7d3fb4cfc46b77990f,iTE,P0408,covalent cross-linked polymer network + electrode-dependent effect under ion-size difference,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P0596:astra_node:dc60519878babb0fdb03,concept:v2:iTE:supp:dc60519878babb0fdb03,iTE,P0596,bond softening + multiscale hierarchical structures,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P0670:astra_node:bc70f93cdec7f56943ba,concept:v2:iTE:supp:bc70f93cdec7f56943ba,iTE,P0670,photo-polymerization + hydrogen-bonding networks,compound_joint_factors,astra_authored_local_repair,logical_conjunction
iTE:P0915:astra_node:b53835bcd30c4b0862cf,concept:v2:iTE:supp:b53835bcd30c4b0862cf,iTE,P0915,pressure-temperature-humidity readout with minimal crosstalk,performance_function,astra_authored_local_repair,relation_repair_concept
