class_id,group_index,raw_mention_id,label,draft_concept_id,judge_partition_definition,partition_size,judge_status,merge_applied,reversible
iTE:P1958:n2,0,iTE:P0334:n3,Seebeck coefficients,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0336:n3,ionic thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0337:n4,ionic thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0344:n4,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0345:n3,Seebeck coefficient,astra:g000:p006,水流耦合水泥有效热电系数待定,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0350:n5,ionic Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0352:n3,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0360:n4,ionic thermoelectric coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0362:n4,thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0364:n4,Seebeck coefficient (S),astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0369:n3,ionic Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0379:n3,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0385:n3,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0392:n4,ionic thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0394:n2,Std,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0399:n2,ionic Seebeck coefficients,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0401:n4,thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0406:n3,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0408:n5,ionic Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0413:n3,ultrahigh alpha,astra:g000:p007,超高离子alpha,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0414:n3,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0436:n3,large ionic thermopower,astra:g000:p008,大离子热电势系数,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0446:n2,Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0451:n3,ionic Seebeck coefficient,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0454:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0461:n2,thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0462:n3,Seebeck coefficient,astra:g000:p001,电子Seebeck系数,51,accepted_group_equivalence,False,True
iTE:P1958:n2,0,iTE:P0498:n2,Seebeck coefficient,astra:g000:p009,有限温差非线性表观离子Seebeck系数,1,retained_singleton,False,True
iTE:P1958:n2,0,iTE:P0503:n2,ionic thermopower,astra:g000:p000,离子热扩散热电势系数,50,accepted_group_equivalence,False,True
