paper_id,domain,title,journal,doi,year,source_membership,coverage_status,txt_record_present,txt_header_line,node_count,relation_count,claim_id,abstract,abstract_sha256,corpus_path,corpus_csv_row,source_record_ids,limitation_note,reconstruction_run_id
P0001,TG,A thermogalvanic cell dressing for smart wound monitoring and accelerated healing,NATURE BIOMEDICAL ENGINEERING,10.1038/s41551-025-01440-6,2026,TG,extracted_core_claim,True,1232,3,2,TG:P0001:claim_block,"Current smart dressings with wound monitoring and electrical stimulation capabilities rely on flexible electronics comprising various sensors and external power sources. Despite increasing efforts to integrate all these components onto flexible, breathable and biocompatible substrates, realizing a zero-power electrical stimulation without compromising the clinical applicability remains challenging. Here we report a solution that harnesses the temperature gradient between the wound and dressing to generate an electric stimulus that provides active wound healing management. This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres. The TGC dressing exhibits biocompatibility, antibacterial performance, easy re-shaping and moisture permeability. Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing. We additionally integrate a sensing system that can monitor respiration rate. In the large porcine wound model, the wound healing rate of a TGC-bandaged group is improved by about 20.6% on day 14 compared with an untreated group. Our wireless wound monitoring system may facilitate real-time monitoring of common wound models at different wound development stages.",e5908e4e9507a2ff8ea54fd7a1adfe1fc0bf9e82f33eefb9a7cbc3d9fe10c253,cleaned_ite_tg/data/tg_clean.csv,68,TG_0000,"Reported biological application claim, not clinical guidance; source includes porcine-model comparison.",txt_reconstruction_v1_19f1c2edac18
P0002,TG,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,JOULE,10.1016/j.joule.2025.101822,2025,TG,extracted_core_claim,True,1245,3,2,TG:P0002:claim_block,"Emerging thermogalvanic systems can not only convert heat into electricity but also enable electrochemical refrigeration. However, their fundamental electrolytes meet challenges toward high cooling performance due to the absence of rational design principles. Developing thermogalvanic electrolytes with high-temperature coefficients and low heat capacity is the key to efficient electrochemical refrigeration. Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity. The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration. As a result, the optimized electrolyte could potentially reach '70% improvement of cooling power, and a direct cooling of electrolyte '1.42 K was demonstrated with only 0.11 W cm-2 input, showing promise for practical electrochemical refrigeration.",d4337559ac522fc27635720153191454498ec687aa55ddc4e4db29fec61a74e8,cleaned_ite_tg/data/tg_clean.csv,69,TG_0001,"Keep selective association species and binary solvent/anion cooperation, not generic solvation enhancement.",txt_reconstruction_v1_19f1c2edac18
P0003,TG,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.161288,2025,iTE|TG,extracted_core_claim,True,320,3,2,TG:P0003:claim_block,"Ionic thermoelectric generators (i-TEGs), capable of generating several tens of millivolts per Kelvin, have emerged as a promising technology for powering mu W or mW-level electric devices by recovering low-grade heat energy. However, the development of n-type i-TE materials still fall behind. In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple. It's found that the thermopower generated by the hydrogels show a significant dependence on Fe2+/3+ concentration due to the complexation interaction between Fe2+/3+and Cl- species. On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device. Consequently, the device based on gel Gel-Fe24 exhibits a balanced and high VOC and ISC, delivering a maximum Pmax/(Delta T)2 of 2.78 mW m-2 K-2 at Delta T = 10 K. In i-TE generator mode, the i-TEG with gel Gel-Fe24 can output a maximum energy density of 456J m-2 within the 1-hour discharging, and exhibit relatively good cyclic stability. A thermoelectric module consisting of seven thermoelectric cells in series was demonstrated to output a thermovoltage of -2.75 V and an instantaneous power of 0.278 mW, capable of continuously powering low-power electronic devices. This study illustrates the impact of Fe2+/3+ concentration on the thermopower and output performance of the i-TEG, providing an optimization route for the preparation of high-performance n-type ionic thermoelectric devices.",68c3ab04abb50aa0e22b2f6c473e6740895c3626a742cb197f76600e6a6cf558,cleaned_ite_tg/data/tg_clean.csv,2,iTE1_0004; TG_0002,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 电子转移电阻降低不等于离子导电率增加，不能合并。",txt_reconstruction_v1_19f1c2edac18
P0004,TG,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202314419,2024,TG,extracted_core_claim,True,1258,3,2,TG:P0004:claim_block,"Self-powered electronic skins (e-skins), as on-skin human-machine interfaces, play a significant role in cyber security and personal electronics. However, current self-powered e-skins are primarily constrained by complex fabricating process, intrinsic stiffness, signal distortion under deformation, and inadequate comprehensive performance, thereby hindering their practical applications. Herein, a novel highly stretchable (534.5%), ionic conductive (4.54 S m-1), thermogalvanic (1.82 mV K-1) hydrogel (TGH) is facilely fabricated by a one-pot method. Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance. It remains flexible and conductive (3.86 S m-1) at -20 degrees C and shows no obvious degradation in the thermoelectrical performance over 10 days. Besides, acting as a self-powered e-skin, the TGH combined with deep learning technology for signature recognition and biometric authentication is successfully demonstrated, achieving an accuracy of 92.97%. This work exhibits the TGH-based e-skin's tremendous potential in the new generation of human-computer interaction and information security. A highly stretchable (534.5%), conductive (4.54 S m-1), thermogalvanic (1.82 mV K-1) hydrogel is fabricated, which remains conductive (3.86 S m-1) at -20 degrees C and hardly shows degradation in thermoelectrical performance over 10 days. Besides, acting as a self-powered e-skin, the hydrogel is combined with deep learning technology for signature recognition and biometric authentication, achieving an accuracy of 92.97%.image",78c728e312a253364a3cee9e270aade389fa41ea644748f3f99964680bea339d,cleaned_ite_tg/data/tg_clean.csv,70,TG_0003,Hydration claim supports environmental stability; no inferred thermopower increase.,txt_reconstruction_v1_19f1c2edac18
P0005,TG,Chaotropic Effect-Boosted Thermogalvanic Ionogel Thermocells for All-Weather Power Generation,ADVANCED MATERIALS,10.1002/adma.202312249,2024,TG,extracted_core_claim,True,1271,5,3,TG:P0005:claim_block,"Ionic thermocells convert heat into electricity and are promising power sources for electronic devices. However, discontinuous and small electricity output limits practical use under varying environmental conditions. Here, a thermogalvanic ionogel with a high Seebeck coefficient (32.4 mV K-1) is designed. Thermocells that combine thermogalvanic ionogel-based thermocells, which realize all-weather power generation via passive radiative cooling, are also developed. These thermocells generate electricity continuously under varying weather conditions and over a wide temperature range (-40 to 90 degrees C), with a normalized power density of 25.84 mW m(-2) K-2. Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation. These results provide an effective strategy for developing practical thermocells suitable for diverse daily and seasonal variations.",88a9c283396cc0df3c124d7206f950d91f817d17c080800172325838446f4ef8,cleaned_ite_tg/data/tg_clean.csv,71,TG_0004,Thermopower modification and temperature-gradient maintenance are separate pathways.,txt_reconstruction_v1_19f1c2edac18
P0006,TG,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",NATURE COMMUNICATIONS,10.1038/s41467-024-51002-8,2024,TG,extracted_core_claim,True,1287,5,2,TG:P0006:claim_block,"Body heat, a clean and ubiquitous energy source, is promising as a renewable resource to supply wearable electronics. Emerging tough thermogalvanic device could be a sustainable platform to convert body heat energy into electricity for powering wearable electronics if its Carnot-relative efficiency (eta(r)) reaches similar to 5%. However, maximizing both the eta(r) and mechanical strength of the device are mutually exclusive. Here, we develop a rational strategy to construct a flexible thermogalvanic armor (FTGA) with a eta(r) over 8% near room temperature, yet preserving mechanical robustness. The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength. The FTGA achieves an ultrahigh eta(r) of 8.53%, coupling with impressive mechanical toughness of 70.65 MJ m(-3) and substantial elongation (similar to 900%) together. Our strategy holds sustainable potential for harvesting body heat and powering wearable electronics without recharging.",9f6259e26605ff817c10c6459a231dc79f31b8fd31da083ddadaee0da0329b3f,cleaned_ite_tg/data/tg_clean.csv,72,TG_0005,Joint design; individual causal contributions not isolated in abstract.,txt_reconstruction_v1_19f1c2edac18
P0007,TG,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,ADVANCED SCIENCE,10.1002/advs.202505873,2025,TG,extracted_core_claim,True,1302,2,1,TG:P0007:claim_block,"The emergence of an e-skin receptor is an optimal solution for restoring the hand function of patients with sensation disorder, while constructing an e-skin receptor with high sensitivity, self-supervised capability, and open-environmental stability remains challenging. Here, inspired by the human skin perception mechanism, an ultrasensitive self-powered multimodal fingertip receptor that integrates thermogalvanic hydrogels as active mechanoreceptors and thermoreceptors for entropy-stabilized material fingerprint perception is proposed. A micropatterned and gradient structure strategy is introduced to improve the sensitivity to 53.6 kPa-1 with a low detection limit of 1.9 Pa. By exploiting static thermovoltage and dynamic differential signals to visualize the unsteady interfacial heat conduction, different materials can be determined in 80 ms based on the fast and slow adaptive sensations of the receptor. The self-supervised thermovoltage compensation is realized by self-decoupling contact pressure and thermal contact coefficients of materials, accommodating variations in applied forces. Benefiting from the robust interfacial heat transfer process and thermoelectric conversion, the tactile perception mechanism demonstrates universality under various external surroundings and contact conditions. With the assistance of deep learning, the fingertip receptor can function as an augmented somatosensory receptor to accurately perceive cutaneous cues of objects with an accuracy of 95.5%, which provides the potential of intelligent haptic perception to human-machine interfaces and prosthetics.",ff347da929417caaf1a5cdd9f0e1ed6351140acdb25c8ea42b328af7a5b52272,cleaned_ite_tg/data/tg_clean.csv,73,TG_0006,"Pressure sensitivity, not Seebeck coefficient; no molecular mechanism provided.",txt_reconstruction_v1_19f1c2edac18
P0008,TG,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,MICROSYSTEMS & NANOENGINEERING,10.1038/s41378-024-00693-6,2024,TG,extracted_core_claim,True,1313,2,1,TG:P0008:claim_block,"Sensing of both temperature and strain is crucial for various diagnostic and therapeutic purposes. Here, we present a novel hydrogel-based electronic skin (e-skin) capable of dual-mode sensing of temperature and strain. The thermocouple ion selected for this study is the iodine/triiodide (I-/I3 -) redox couple, which is a common component in everyday disinfectants. By leveraging the thermoelectric conversion in conjunction with the inherent piezoresistive effect of a gel electrolyte, self-powered sensing is achieved by utilizing the temperature difference between the human body and the external environment. The composite hydrogels synthesized from polyvinyl alcohol (PVA) monomers using a simple freeze-thaw method exhibit remarkable flexibility, extensibility, and adaptability to human tissue. The incorporation of zwitterions further augments the resistance of the hydrogel to dehydration and low temperatures, allowing maintenance of more than 90% of its weight after 48 h in the air. Given its robust thermal current response, the hydrogel was encapsulated and then integrated onto various areas of the human body, including the cheeks, fingers, and elbows. Furthermore, the detection of the head-down state and the monitoring of foot movements demonstrate the promising application of the hydrogel in supervising the neck posture of sedentary office workers and the activity status. The successful demonstration of self-powered on-body temperature and strain sensing opens up new possibilities for wearable intelligent electronics and robotics.",8f2552a035a65ce66331f6320aac15decfac7e38df06cd78200e08a43fd4f4ce,cleaned_ite_tg/data/tg_clean.csv,74,TG_0007,Do not infer a specific hydrogen-bond or solvation mechanism solely from zwitterions.,txt_reconstruction_v1_19f1c2edac18
P0009,TG,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,SCIENCE,10.1126/science.adg0164,2023,TG,extracted_core_claim,True,1324,4,2,TG:P0009:claim_block,"High-performance thermogalvanic cells have the potential to convert thermal energy into electricity, but their effectiveness is limited by the low concentration difference of redox ions. We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices. A linear relation between thermopower and hydrogen production rate was established as an essential design principle for devices. The system exhibited a thermopower of 8.2 millivolts per kelvin and a solar-to-hydrogen efficiency of up to 0.4%. A large-area generator (112 square centimeters) consisting of 36 units yielded an open-circuit voltage of 4.4 volts and a power of 20.1 milliwatts, as well 0.5 millimoles of hydrogen and 0.2 millimoles of oxygen after 6 hours of outdoor operation.",f31fb7deff199c7537af8f5635c9015102b53cee0240a147cd6bda9075899adb,cleaned_ite_tg/data/tg_clean.csv,75,TG_0008,Concentration gradient maintenance is mechanistic; rate–thermopower relation is not automatically direct causation.,txt_reconstruction_v1_19f1c2edac18
P0010,TG,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.202503541,2025,TG,extracted_core_claim,True,1338,3,2,TG:P0010:claim_block,"Huge amounts of thermal energy are wasted in the form of steam in the industrial production process. Thermogalvanic cell shows great potential in harnessing this low-grade thermal energy, and one challenge is to increase the output power. In this study, a water evaporation-enhanced thermogalvanic cell (WE-TGC) is developed that exposes the electrolyte to ambient air, utilizing spontaneous water evaporation to effectively regulate the electrolyte concentration distribution and cold-end temperature. When waste steam of 323 K is used as the heat source, the thermopower can be enhanced from traditional value (1.39 mV K-1) to 3.25 mV K-1 because of the additional electrolyte concentration gradient. The cold-end temperature of the WE-TGC can be even lower than the ambient temperature, resulting in an output power of 213.07 mW m-2, which is 1222% higher than that of the conventional thermogalvanic cell. This work offers a fresh perspective to enhance the performance of thermogalvanic cells and optimize the utilization of waste steam.",753db9a23e5fc1cddc69b1a8c580e8d6ef2a73600fb500ae161144b180822761,cleaned_ite_tg/data/tg_clean.csv,76,TG_0009,Two separate physical consequences; do not collapse into intrinsic reaction entropy.,txt_reconstruction_v1_19f1c2edac18
