audit_id,group_index,selection_reason,original_members,judge_decision,draft_concept_ids,raw_mention_ids,judge_reason,review_prompt,human_decision,human_reason,reviewer,reviewed_at,status
normcheck:g022,22,mixed_source_roles,11,split,"[""draft:v2:iTE:a1eeb083cef4f21057f9"", ""draft:v2:iTE:e9d75d4ac69f91363a0f""]","[""iTE:P0343:n3"", ""iTE:P0367:n3"", ""iTE:P0439:n5"", ""iTE:P0481:n3"", ""iTE:P0512:n3"", ""iTE:P0711:n2"", ""iTE:P0896:n4"", ""iTE:P1215:n2"", ""iTE:P1530:n2"", ""iTE:P1558:n2"", ""iTE:P1578:n2""]",0/1/2/3/4为离子迁移或界面极化造成负热电响应，完整摘要核实2/3/4；5/6/7/8/9/10为电子为主的半导体n型导电，不可因n-type同名合并。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g028,28,mixed_source_roles,9,split,"[""draft:v2:iTE:68d385e5e083000c3344"", ""draft:v2:iTE:80aa78742ce4cc05321d"", ""draft:v2:iTE:8610faeda559fc890376""]","[""iTE:P0724:n3"", ""iTE:P0896:n3"", ""iTE:P0914:n3"", ""iTE:P1200:n2"", ""iTE:P1279:n2"", ""iTE:P1444:n2"", ""iTE:P1490:n2"", ""iTE:P1571:n2"", ""iTE:P1795:n2""]",0/1/2/3/4/5/8均电子空穴占优p型特征；6明确Cs2CdZnCl6材料限制；7要求全测温区保持p型，不能去掉稳定区间。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g035,35,mixed_source_roles,7,split,"[""draft:v2:TG:545455d468a9761c9d69"", ""draft:v2:TG:deae842e8ee96229d4e9""]","[""TG:P0081:n1"", ""TG:P0086:n4"", ""TG:P0118:n1"", ""TG:P0136:n3"", ""TG:P0202:n3"", ""TG:P0233:n3"", ""TG:P0295:n1""]",1/4为以K给出的DeltaT，2/5原文虽称gradient但用温度差单位描述宏观两端差；0/3/6为空间温度梯度未给相同DeltaT定义，不把二者混合。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g038,38,mixed_source_roles,7,split,"[""draft:v2:iTE:482f201590358c1c4307"", ""draft:v2:iTE:81efcaa9dddab98bd36d"", ""draft:v2:iTE:dce05f48c267886f1899""]","[""iTE:P0357:n2"", ""iTE:P0529:n2"", ""iTE:P0949:n2"", ""iTE:P0999:n2"", ""iTE:P1020:n2"", ""iTE:P1647:n2"", ""iTE:P1781:n2""]",0/1为离子热电负到正极性；2/4/5/6为电子n到p转换；3仅载流子符号反转且无固定方向，不能删除起止条件。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g042,42,mixed_source_roles,6,accept,"[""draft:v2:iTE:91bfbf036e7b8ab66483""]","[""iTE:P1142:n2"", ""iTE:P1304:n2"", ""iTE:P1620:n2"", ""iTE:P1634:n2"", ""iTE:P1644:n2"", ""iTE:P1867:n2""]",六个成员均为晶胞周期几何参数/晶格常数，单复数和值写法不改定义，不包含晶胞体积。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g068,68,mixed_source_roles,4,split,"[""draft:v2:iTE:6941b2399860bd8a8757"", ""draft:v2:iTE:e8d5da11a128aee46cb8""]","[""iTE:P0454:n1"", ""iTE:P0940:n1"", ""iTE:P1224:n1"", ""iTE:P1292:n1""]",0/1/2均离子交换一般过程，3明确自发发生，保留热力学条件。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g074,74,mixed_source_roles,4,accept,"[""draft:v2:iTE:58437a6fc9e5f507da78""]","[""iTE:P0668:n1"", ""iTE:P0807:n4"", ""iTE:P1510:n1"", ""iTE:P1516:n1""]",四段均调节为n型载流子的掺杂过程，实际或预测情态不改操作定义。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g081,81,mixed_source_roles,4,split,"[""draft:v2:iTE:c35509d97b4db182283c"", ""draft:v2:iTE:e20748ee271085ff7483""]","[""iTE:P0487:n2"", ""iTE:P1213:n2"", ""iTE:P1696:n2"", ""iTE:P1746:n2""]",0/2/3均Seebeck正负号变化；1节点仅sign为符号属性，原句reverse可用于另外抽取但不能把属性与事件混合。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g106,106,mixed_source_roles,3,accept,"[""draft:v2:iTE:f6ad810159782c004c06""]","[""iTE:P0932:n2"", ""iTE:P1613:n4"", ""iTE:P1959:n2""]",0的原文补齐了标签略去的方向，三者起止构象及主体一致。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g149,149,mixed_source_roles,2,accept,"[""draft:v2:TG:c433f77f0c8333785fb5""]","[""TG:P0092:n2"", ""TG:P0114:n2""]",两文热传递语境中的heat flux为同一物理量，未包括热导率。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g152,152,mixed_source_roles,2,accept,"[""draft:v2:TG:4bebd235a1707deb5055""]","[""TG:P0045:n3"", ""TG:P0071:n3""]",variable concentrations表示所调节的浓度参数；不把浓度与红氧反应反转混为一谈。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g155,155,mixed_source_roles,2,accept,"[""draft:v2:TG:c9cdbe78c0b7feecce5b""]","[""TG:P0089:n2"", ""TG:P0125:n3""]",lithiation state与intercalation extent均描述嵌锂量/状态参数，非嵌入过程速率。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g194,194,mixed_source_roles,2,accept,"[""draft:v2:iTE:fef6451b30525b7269cf""]","[""iTE:P0750:n1"", ""iTE:P1500:n2""]",两处均保留高水平限定，不并入任意掺杂水平。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g208,208,mixed_source_roles,2,accept,"[""draft:v2:iTE:3ef6cba8aa2f4e274610""]","[""iTE:P1484:n1"", ""iTE:P1500:n1""]",两处均明确以阳离子交换调控n掺杂，交换过程本身同义。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g220,220,mixed_source_roles,2,accept,"[""draft:v2:iTE:ee17b3d6d8b2895f9faa""]","[""iTE:P0927:n1"", ""iTE:P1036:n1""]",两句均明确氧分压降低操作，非氧含量或缺陷浓度。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g260,260,mixed_source_roles,2,accept,"[""draft:v2:iTE:0729a1ae8e7501d52c20""]","[""iTE:P0528:n2"", ""iTE:P0585:n2""]",两处均为离子输运的选择性属性，纳米限域和温度梯度是环境条件。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g280,280,mixed_source_roles,2,accept,"[""draft:v2:iTE:5c28300050bbc4cfdab3""]","[""iTE:P1470:n3"", ""iTE:P1831:n2""]",两段均为组分调节导致金属向半导体行为变化；不要求瞬时相变，不等同反方向转变。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g335,335,mixed_source_roles,2,accept,"[""draft:v2:iTE:cbf3888fcddb4df436e2""]","[""iTE:P0753:n2"", ""iTE:P0968:n1""]",两处均是掺杂引发晶格/晶胞几何收缩的结构变化，不是单一轴各向异性缩短。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g000,0,large_group,130,split,"[""draft:v2:iTE:048ca2c18905c47e84b0"", ""draft:v2:iTE:08bad0d8741cb2b43914"", ""draft:v2:iTE:0d876ccd21ad800d2d5c"", ""draft:v2:iTE:20baccf876d47e54b218"", ""draft:v2:iTE:25b930b328eb5a9e6c0f"", ""draft:v2:iTE:390bab50549083362857"", ""draft:v2:iTE:45241af719842a24200b"", ""draft:v2:iTE:5d19b296559949ed05f8"", ""draft:v2:iTE:655b06816b20f97c2461"", ""draft:v2:iTE:7d2d474f4df3b6d80080"", ""draft:v2:iTE:8bb96d8b0fafa739dda2"", ""draft:v2:iTE:a5a8952bd5cf6d9878a4"", ""draft:v2:iTE:abab1f0bfafa1959a1f2"", ""draft:v2:iTE:ade1be3c06899ca70535"", ""draft:v2:iTE:af89048b279ef87a6c83"", ""draft:v2:iTE:c1a334ff06f0a4c8295a"", ""draft:v2:iTE:c2f2ec656a5473848b09"", ""draft:v2:iTE:c515809361efa5256a30"", ""draft:v2:iTE:d1f7f83130fc1636cd54"", ""draft:v2:iTE:d8f21a82802beb700b8a"", ""draft:v2:iTE:de3de1e8fe8e4b10790c""]","[""iTE:P0334:n3"", ""iTE:P0336:n3"", ""iTE:P0337:n4"", ""iTE:P0344:n4"", ""iTE:P0345:n3"", ""iTE:P0350:n5"", ""iTE:P0352:n3"", ""iTE:P0360:n4"", ""iTE:P0362:n4"", ""iTE:P0364:n4"", ""iTE:P0369:n3"", ""iTE:P0379:n3"", ""iTE:P0385:n3"", ""iTE:P0392:n4"", ""iTE:P0394:n2"", ""iTE:P0399:n2"", ""iTE:P0401:n4"", ""iTE:P0406:n3"", ""iTE:P0408:n5"", ""iTE:P0413:n3"", ""iTE:P0414:n3"", ""iTE:P0436:n3"", ""iTE:P0446:n2"", ""iTE:P0451:n3"", ""iTE:P0454:n3"", ""iTE:P0461:n2"", ""iTE:P0462:n3"", ""iTE:P0498:n2"", ""iTE:P0503:n2"", ""iTE:P0506:n2"", ""iTE:P0509:n2"", ""iTE:P0542:n2"", ""iTE:P0547:n3"", ""iTE:P0553:n3"", ""iTE:P0559:n2"", ""iTE:P0577:n2"", ""iTE:P0581:n2"", ""iTE:P0595:n4"", ""iTE:P0600:n2"", ""iTE:P0611:n3"", ""iTE:P0615:n2"", ""iTE:P0616:n2"", ""iTE:P0617:n2"", ""iTE:P0618:n2"", ""iTE:P0630:n2"", ""iTE:P0632:n3"", ""iTE:P0636:n3"", ""iTE:P0643:n2"", ""iTE:P0660:n2"", ""iTE:P0677:n2"", ""iTE:P0683:n3"", ""iTE:P0696:n4"", ""iTE:P0701:n2"", ""iTE:P0704:n2"", ""iTE:P0718:n3"", ""iTE:P0729:n2"", ""iTE:P0735:n2"", ""iTE:P0743:n2"", ""iTE:P0753:n4"", ""iTE:P0757:n2"", ""iTE:P0764:n4"", ""iTE:P0768:n3"", ""iTE:P0782:n2"", ""iTE:P0785:n2"", ""iTE:P0786:n2"", ""iTE:P0804:n2"", ""iTE:P0811:n2"", ""iTE:P0813:n2"", ""iTE:P0817:n2"", ""iTE:P0824:n2"", ""iTE:P0833:n2"", ""iTE:P0854:n2"", ""iTE:P0911:n2"", ""iTE:P0913:n2"", ""iTE:P0919:n4"", ""iTE:P0921:n3"", ""iTE:P0927:n3"", ""iTE:P0932:n5"", ""iTE:P0941:n2"", ""iTE:P0964:n2"", ""iTE:P0965:n2"", ""iTE:P0988:n2"", ""iTE:P0993:n2"", ""iTE:P0994:n1"", ""iTE:P1004:n2"", ""iTE:P1024:n2"", ""iTE:P1031:n4"", ""iTE:P1035:n2"", ""iTE:P1037:n2"", ""iTE:P1069:n2"", ""iTE:P1072:n2"", ""iTE:P1076:n2"", ""iTE:P1081:n2"", ""iTE:P1121:n2"", ""iTE:P1164:n3"", ""iTE:P1194:n2"", ""iTE:P1197:n2"", ""iTE:P1210:n2"", ""iTE:P1248:n2"", ""iTE:P1254:n2"", ""iTE:P1347:n2"", ""iTE:P1362:n2"", ""iTE:P1391:n2"", ""iTE:P1412:n2"", ""iTE:P1444:n1"", ""iTE:P1457:n2"", ""iTE:P1472:n2"", ""iTE:P1475:n2"", ""iTE:P1479:n1"", ""iTE:P1482:n3"", ""iTE:P1487:n3"", ""iTE:P1488:n2"", ""iTE:P1490:n1"", ""iTE:P1492:n4"", ""iTE:P1508:n3"", ""iTE:P1512:n2"", ""iTE:P1517:n2"", ""iTE:P1520:n4"", ""iTE:P1525:n3"", ""iTE:P1539:n3"", ""iTE:P1544:n3"", ""iTE:P1558:n1"", ""iTE:P1614:n3"", ""iTE:P1635:n2"", ""iTE:P1670:n3"", ""iTE:P1676:n2"", ""iTE:P1711:n3"", ""iTE:P1748:n2"", ""iTE:P1754:n1"", ""iTE:P1958:n2""]",130成员及661既有建议全部逐组读取并按定义划分。thermopower/TEP/Seebeck/S通常同义，但仅在同一载流范围及测量定义下；原摘要证明P0660/P1024/P1210/P1520/P1614是红氧系数，P0595是电子SWCNT，P0547是电动学等效系数，P0804是Kelvin近似，P1676为质子加空穴的总响应。电子、离子、红氧、混合、符号幅值、加权贡献、非线性有限温差系数不可整体传递合并。节点属性及原始数值保留，未确定定义者不跨组接受。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g001,1,large_group,67,split,"[""draft:v2:iTE:077f0488c317ddb172d6"", ""draft:v2:iTE:0cc7f05546b73e0e453b"", ""draft:v2:iTE:29701fb250b7102df2f7"", ""draft:v2:iTE:37a439d0178a12c13bd1"", ""draft:v2:iTE:426ce1d4a6e636a5cb7f"", ""draft:v2:iTE:48ca028b46b2a6303f8b"", ""draft:v2:iTE:4d0073bca3a54fdf90c2"", ""draft:v2:iTE:91a8974169bf83e02776"", ""draft:v2:iTE:a451db4a9a2eb4e27304"", ""draft:v2:iTE:cee19bfb12bf74071165"", ""draft:v2:iTE:d61163e1e2b1a9146578"", ""draft:v2:iTE:dc45733a6ee9bda13b42"", ""draft:v2:iTE:e0f5c2d639cbfc8e3def""]","[""iTE:P0377:n3"", ""iTE:P0389:n2"", ""iTE:P0399:n3"", ""iTE:P0409:n4"", ""iTE:P0414:n2"", ""iTE:P0462:n4"", ""iTE:P0471:n3"", ""iTE:P0518:n4"", ""iTE:P0533:n2"", ""iTE:P0539:n2"", ""iTE:P0615:n4"", ""iTE:P0618:n3"", ""iTE:P0632:n2"", ""iTE:P0636:n2"", ""iTE:P0651:n2"", ""iTE:P0718:n2"", ""iTE:P0753:n3"", ""iTE:P0823:n2"", ""iTE:P0824:n3"", ""iTE:P0899:n2"", ""iTE:P0943:n2"", ""iTE:P0944:n2"", ""iTE:P0959:n2"", ""iTE:P0994:n2"", ""iTE:P1013:n1"", ""iTE:P1048:n2"", ""iTE:P1050:n2"", ""iTE:P1060:n2"", ""iTE:P1071:n2"", ""iTE:P1146:n2"", ""iTE:P1148:n2"", ""iTE:P1223:n2"", ""iTE:P1257:n2"", ""iTE:P1270:n2"", ""iTE:P1298:n2"", ""iTE:P1328:n2"", ""iTE:P1356:n1"", ""iTE:P1359:n2"", ""iTE:P1430:n2"", ""iTE:P1435:n2"", ""iTE:P1449:n2"", ""iTE:P1459:n2"", ""iTE:P1482:n4"", ""iTE:P1491:n3"", ""iTE:P1492:n3"", ""iTE:P1496:n2"", ""iTE:P1500:n4"", ""iTE:P1502:n2"", ""iTE:P1508:n2"", ""iTE:P1519:n3"", ""iTE:P1539:n4"", ""iTE:P1574:n1"", ""iTE:P1591:n2"", ""iTE:P1599:n2"", ""iTE:P1613:n3"", ""iTE:P1635:n3"", ""iTE:P1639:n2"", ""iTE:P1657:n3"", ""iTE:P1670:n2"", ""iTE:P1686:n2"", ""iTE:P1754:n2"", ""iTE:P1772:n2"", ""iTE:P1813:n2"", ""iTE:P1827:n2"", ""iTE:P1903:n2"", ""iTE:P1952:n2"", ""iTE:P1964:n2""]",67成员逐一读取。完整摘要确认P0377/P0399/P0518/P1639/P1903离子导电，P0959/P1050/P1599混合导电，P1359电子极化子DC，P1964明确离子DC。电子电导、离子电导、两者总和及DC条件不互为严格同义；higher/high/enhanced状态分离。未明载流机制与分量回指保留待定。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
normcheck:g002,2,large_group,38,uncertain,"[""draft:v2:iTE:09ed9280dbb5fbf2aca1"", ""draft:v2:iTE:0d102e4b0426954ebd58"", ""draft:v2:iTE:14d6d2a14bb5b94149d7"", ""draft:v2:iTE:4464b09a0077097d087f"", ""draft:v2:iTE:51aefdbd0c427070bdc7"", ""draft:v2:iTE:58077297a0caecdc780b"", ""draft:v2:iTE:5a6947958b396b4631a8"", ""draft:v2:iTE:68a39355037e59fd69df"", ""draft:v2:iTE:6962507be7f98191a273"", ""draft:v2:iTE:6ed3b7e06a43817f78f2"", ""draft:v2:iTE:a535c021c89dbe229da5"", ""draft:v2:iTE:bc5d2c9ab24938bf2fbc"", ""draft:v2:iTE:f55a351ee639929fce70"", ""draft:v2:iTE:f774e1f3cae75f08ffcf""]","[""iTE:P0351:n2"", ""iTE:P0420:n3"", ""iTE:P0440:n2"", ""iTE:P0452:n2"", ""iTE:P0480:n2"", ""iTE:P0486:n3"", ""iTE:P0521:n2"", ""iTE:P0526:n3"", ""iTE:P0557:n3"", ""iTE:P0578:n2"", ""iTE:P0579:n3"", ""iTE:P0587:n3"", ""iTE:P0668:n2"", ""iTE:P0675:n2"", ""iTE:P0687:n2"", ""iTE:P0700:n2"", ""iTE:P0715:n3"", ""iTE:P0745:n2"", ""iTE:P0773:n2"", ""iTE:P0861:n2"", ""iTE:P0862:n2"", ""iTE:P0882:n2"", ""iTE:P0924:n3"", ""iTE:P0933:n3"", ""iTE:P1011:n2"", ""iTE:P1029:n3"", ""iTE:P1063:n2"", ""iTE:P1074:n2"", ""iTE:P1089:n2"", ""iTE:P1163:n2"", ""iTE:P1180:n2"", ""iTE:P1327:n2"", ""iTE:P1393:n2"", ""iTE:P1450:n3"", ""iTE:P1454:n2"", ""iTE:P1527:n3"", ""iTE:P1566:n3"", ""iTE:P1619:n3""]",38成员中properties为性质集合、performance为综合评价，不能默认互换；载流机制和指标范围又不一致。对明确定义同一层级的子组接受；跨层级缺少评价函数，保留uncertain，高/最高等明确限定另拒绝。P0687摘要表明14实际以Seebeck为预测目标，P1454为CuI电子热电纺织品。,逐成员核对共同定义、限定词、机制/属性区别、材料/器件层次及证据；接受分区是否过宽，拒绝或待定是否过严。,,,,,pending_human_review
