concept_id,domain,display_label,display_label_source,member_count,source_mention_ids,raw_labels,paper_ids,source_roles,canonical_role,role_status,judge_partition_id,normalization_basis,concept_status,acceptance_status,required_human_review,run_id
draft:v2:TG:00677817e5c498cf53e7,TG,efficiency and power density,raw_phrase,1,"[""TG:P0205:n3""]","[""efficiency and power density""]","[""P0205""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:00b475f853801811bd83,TG,maximum power density of 660 mW m(-1),raw_phrase,1,"[""TG:P0308:n2""]","[""maximum power density of 660 mW m(-1)""]","[""P0308""]",[],,deferred,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:00c26958830d9449756f,TG,copper electrodes,raw_phrase,1,"[""TG:P0267:n1""]","[""copper electrodes""]","[""P0267""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:00e4cec5080cfe00a175,TG,degrees of freedom and ordering of the solvent,raw_phrase,1,"[""TG:P0195:n3""]","[""degrees of freedom and ordering of the solvent""]","[""P0195""]",[],,deferred,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:00f9149464af5e619f61,TG,redox transitions,raw_phrase,1,"[""TG:P0072:n1""]","[""redox transitions""]","[""P0072""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:010009a7a29b94602aaa,TG,resistance of thermocells,judge_partition_definition,1,"[""TG:P0139:n8""]","[""resistance of thermocells""]","[""P0139""]","[""quantity""]",,source_role_preserved_not_newly_validated,astra:g167:p000,reviewed_singleton,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:011cb33b812722888e05,TG,guanidine ion,raw_phrase,1,"[""TG:P0039:n1""]","[""guanidine ion""]","[""P0039""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:014f9a8356c9f278e951,TG,percolation-based charge transport within the polymer electrode,raw_phrase,1,"[""TG:P0293:n1""]","[""percolation-based charge transport within the polymer electrode""]","[""P0293""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:015fb6659b57b01a75b0,TG,copper hexacyanoferrate cathode and a Cu/Cu2+ anode,raw_phrase,1,"[""TG:P0184:n1""]","[""copper hexacyanoferrate cathode and a Cu/Cu2+ anode""]","[""P0184""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0164f0bb4569f2e3cc33,TG,铁氰/亚铁氰红氧熵差,judge_partition_definition,4,"[""TG:P0084:n3"", ""TG:P0085:n2"", ""TG:P0090:n2"", ""TG:P0192:n3""]","[""entropy change of the overall redox system"", ""entropy difference of the [Fe(CN)6]3-/4-redox couple"", ""entropy difference of the redox couple"", ""redox entropy difference""]","[""P0084"", ""P0085"", ""P0090"", ""P0192""]","[""quantity""]",,source_role_preserved_not_newly_validated,astra:g029:p001,explicit_judge_partition,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:018479fbb28d8fe1af96,TG,p-n inversion,raw_phrase,1,"[""TG:P0093:n4""]","[""p-n inversion""]","[""P0093""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:01ad8d28980687ebf110,TG,output powers and current densities,raw_phrase,1,"[""TG:P0307:n2""]","[""output powers and current densities""]","[""P0307""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:021830706cf633bde7e7,TG,maximum power output,raw_phrase,1,"[""TG:P0094:n6""]","[""maximum power output""]","[""P0094""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:022897902e37bebd0207,TG,stable and reliable signal output,raw_phrase,1,"[""TG:P0019:n3""]","[""stable and reliable signal output""]","[""P0019""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:024ba46dcfac6ba7b372,TG,reversible redox reaction,raw_phrase,1,"[""TG:P0175:n2""]","[""reversible redox reaction""]","[""P0175""]","[""mechanism_process""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:02603fc91c7b3f0ae5e6,TG,continuous power output,judge_partition_definition,1,"[""TG:P0301:n2""]","[""continuous power output""]","[""P0301""]","[""performance_function""]",,source_role_preserved_not_newly_validated,astra:g140:p001,reviewed_singleton,draft_only,astra_reviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:02a4ca2571e9ae30a770,TG,thermodiffusion term,raw_phrase,1,"[""TG:P0224:n1""]","[""thermodiffusion term""]","[""P0224""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:02bdd3dcd5695b9edc36,TG,ion speciation,raw_phrase,1,"[""TG:P0144:n4""]","[""ion speciation""]","[""P0144""]","[""state_structure""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:03926c4a0add1a114425,TG,high thermal flux,raw_phrase,1,"[""TG:P0133:n3""]","[""high thermal flux""]","[""P0133""]","[""quantity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:03d962d43e654b388fd6,TG,CoHCF/HCNTs,raw_phrase,1,"[""TG:P0214:n1""]","[""CoHCF/HCNTs""]","[""P0214""]","[""material_entity""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
draft:v2:TG:0420811c81a64a125b8b,TG,performance difference,raw_phrase,1,"[""TG:P0220:n3""]","[""performance difference""]","[""P0220""]","[""performance_function""]",,source_role_preserved_not_newly_validated,,identity_only,draft_only,identity_only_unreviewed,False,normalization_draft:8b8928b254fa3bab0fef
