mention_id,domain,paper_id,initial_concept_id,draft_concept_id,judge_partition_id,mapping_action,decision_basis,role_status,raw_label,claim_id,node_evidence_locator,source_applied,run_id,before_member_count,after_member_count
TG:P0001:n1,TG,P0001,TG:P0001:initial_n1,draft:v2:TG:a54f5dc55dfd1d2e58ae,,retain_singleton,identity_only,deferred,TGC dressing,TG:P0001:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0001:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0001:n2,TG,P0001,TG:P0001:initial_n2,draft:v2:TG:73626abb12dbe7021b06,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,exogenous electric field,TG:P0001:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0001:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0001:n3,TG,P0001,TG:P0001:initial_n3,draft:v2:TG:d7ae55085513b313d98b,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,wound healing,TG:P0001:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0001:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0002:n1,TG,P0002,TG:P0002:initial_n1,draft:v2:TG:badf990b545e03fc8a06,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,weak Fe2+/3+-ClO4- interactions,TG:P0002:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0002:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0002:n2,TG,P0002,TG:P0002:initial_n2,draft:v2:TG:d095b2b699a1cd9a4540,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,selective association between Fe2+ and nitrile solvents,TG:P0002:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0002:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0002:n3,TG,P0002,TG:P0002:initial_n3,draft:v2:TG:b71762d4cc7f24bcf5e8,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,entropy change available for electrochemical refrigeration,TG:P0002:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0002:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0003:n1,TG,P0003,TG:P0003:initial_n1,draft:v2:TG:7214c1a2bf791ac6935e,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,increase in Fe2+/3+ concentration,TG:P0003:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0003:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0003:n2,TG,P0003,TG:P0003:initial_n2,draft:v2:TG:429daae2299c2b37adc5,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,decrease in electron transfer resistance,TG:P0003:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0003:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0003:n3,TG,P0003,TG:P0003:initial_n3,draft:v2:TG:163f4b2aec50047dc9be,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,ISC value increase,TG:P0003:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0003:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0004:n1,TG,P0004,TG:P0004:initial_n1,draft:v2:TG:c814b70b0fb8de3d2174,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,formation of Li+(H2O)n hydration structure,TG:P0004:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0004:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0004:n2,TG,P0004,TG:P0004:initial_n2,draft:v2:TG:241352497a3e432cdbcc,astra:g086:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,anti-freezing,TG:P0004:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0004:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,3
TG:P0004:n3,TG,P0004,TG:P0004:initial_n3,draft:v2:TG:e85c43cde6ab15995269,astra:g092:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,non-drying performance,TG:P0004:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0004:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,3
TG:P0005:n1,TG,P0005,TG:P0005:initial_n1,draft:v2:TG:0b16bb6f80e603898cd7,,retain_singleton,identity_only,deferred,chaotropic effect,TG:P0005:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0005:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0005:n2,TG,P0005,TG:P0005:initial_n2,draft:v2:TG:c90ab2d13b329a75a042,astra:g003:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,Seebeck coefficient,TG:P0005:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0005:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,23
TG:P0005:n3,TG,P0005,TG:P0005:initial_n3,draft:v2:TG:5859df0195109d64580b,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,radiative cooling structure,TG:P0005:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0005:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0005:n4,TG,P0005,TG:P0005:initial_n4,draft:v2:TG:1fa1ef9783f66e96eaf7,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,self-supplying temperature difference,TG:P0005:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0005:n4,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0005:n5,TG,P0005,TG:P0005:initial_n5,draft:v2:TG:ed0573c8f437b6e1c896,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,all-weather power generation,TG:P0005:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0005:n5,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0006:n1,TG,P0006,TG:P0006:initial_n1,draft:v2:TG:0b4556f32907d18e29ad,astra:g181:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,thermosensitive-crystallization,TG:P0006:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0006:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0006:n2,TG,P0006,TG:P0006:initial_n2,draft:v2:TG:f5af462a189e7fc8dea4,astra:g168:p000,project_to_shared_concept,explicit_judge_partition,source_role_preserved_not_newly_validated,salting-out effect,TG:P0006:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0006:n2,False,normalization_draft:8b8928b254fa3bab0fef,1,2
TG:P0006:n3,TG,P0006,TG:P0006:initial_n3,draft:v2:TG:474289b4cd94048e5a7d,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,ion-transport highway,TG:P0006:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0006:n3,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0006:n4,TG,P0006,TG:P0006:initial_n4,draft:v2:TG:b575c2ec783f3b03d3d7,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,eta(r),TG:P0006:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0006:n4,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0006:n5,TG,P0006,TG:P0006:initial_n5,draft:v2:TG:65a31cff3defa4bc00ef,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,mechanical strength,TG:P0006:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0006:n5,False,normalization_draft:8b8928b254fa3bab0fef,1,1
TG:P0007:n1,TG,P0007,TG:P0007:initial_n1,draft:v2:TG:3e37b3cbcf4be051e8c9,,retain_singleton,identity_only,source_role_preserved_not_newly_validated,micropatterned and gradient structure strategy,TG:P0007:claim_block,inputs/raw/node_evidence.csv::mention_id=TG:P0007:n1,False,normalization_draft:8b8928b254fa3bab0fef,1,1
