domain,paper_id,title,doi,abstract,abstract_sha256,corpus_path,corpus_csv_row,source_locator
TG,P0079,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,10.1021/acsaem.6c01130,"The Seebeck coefficients of thermogalvanic (ionic thermoelectric) materials are several orders of magnitude greater than those of conventional thermoelectrics, making them highly suitable for sensing applications besides power generation. In this study, a ferri-/ferrocyanide thermogalvanic gel with a Seebeck coefficient of 1.3 mV K-1 was used to fabricate a heat flux sensor with fivefold higher sensitivity than the commercial FHF05 sensor. This device detected a human finger at distances of up to 8 cm using thermal radiation, a capability particularly relevant to human safety in collaborative robot environments. Coupled radiation-natural convection simulations in COMSOL closely matched experimental data, validating the proposed sensing mechanism. The high Seebeck coefficient of the material enabled sensitive heat-flux transduction, extending its functionality beyond single-point detection to spatially resolved thermal mapping. Capitalizing on this advantage, 16 gels were integrated into a compact 3 cm-scale 4 & times; 4 sensor array. Upon human finger contact, the array generated a heat flux map capturing both the intensity and spatial distribution of the thermal input. Overall, this capability allows the identification of nonuniform heat flux and enhances radiation detection.",5aa78a7940ea6a26a21fbb1c8b7fb9e4fbfe2eb9a783e3ada50d46ebdf008e2e,cleaned_ite_tg/data/tg_clean.csv,45,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0079
TG,P0085,Polymer-Redox Interactions Enhance Ferro/Ferricyanide Thermogalvanic Cells,10.1002/adfm.76685,"Thermogalvanic cells (TGCs) capable of converting low-grade heat into electricity offer a sustainable route for waste-energy recovery and self-powered devices. In this work, we introduce potassium polyacrylate (PAAK) as a low-cost and stable electrolyte additive that markedly enhances the performance of aqueous ferro/ferricyanide TGCs. Unlike previous polymer systems that typically form gel or quasi-solid electrolytes, our liquid electrolyte preserves freely solvated PAA- and K+ ions, enabling direct and tunable interactions between the polyanion and redox species. These interactions modify the hydration shell of the redox couple, thereby increasing the redox entropy difference and significantly improving the Seebeck coefficient. Despite a moderate increase in viscosity, an optimized concentration of 8% PAAK achieved a Seebeck coefficient of -2.2 mV K- 1 and a maximum power output twice that of the pristine electrolyte. Further device optimization yielded a normalized power density of 0.8 mW m- 2 K- 2, among the highest values reported for liquid TGCs. In the end, we discussed the principle of developing polyelectrolyte-enhanced redox electrolytes and demonstrated the feasibility. This study not only demonstrates a simple and low-cost route to enhance TGC performance but also provides new fundamental insight into how polyelectrolyte-redox interactions in solution can be exploited to tailor thermoelectric properties.",324182c12b0e52b49a10098aee76c7d81789644217dfa5470c32e6ad05a85ad7,cleaned_ite_tg/data/tg_clean.csv,138,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0085
TG,P0090,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,10.1038/s41467-018-07625-9,"Thermogalvanic cells offer a cheap, flexible and scalable route for directly converting heat into electricity. However, achieving a high output voltage and power performance simultaneously from low-grade thermal energy remains challenging. Here, we introduce strong chaotropic cations (guanidinium) and highly soluble amide derivatives (urea) into aqueous ferri/ferrocyanide ([Fe(CN)(6)](4-)/[Fe(CN)(6])(3-)) electrolytes to significantly boost their thermopowers. The corresponding Seebeck coefficient and temperature-insensitive power density simultaneously increase from 1.4 to 4.2 mV K-1 and from 0.4 to 1.1 mW K-2 m(-2), respectively. The results reveal that guanidinium and urea synergistically enlarge the entropy difference of the redox couple and significantly increase the Seebeck effect. As a demonstration, we design a prototype module that generates a high open-circuit voltage of 3.4 V at a small temperature difference of 18 K. This thermogalvanic cell system, which features high Seebeck coefficient and low cost, holds promise for the efficient harvest of low-grade thermal energy.",c9fdd2b8b4f273eee31270b117966fa18e29b7f80c3759c293f705819dbbbbf1,cleaned_ite_tg/data/tg_clean.csv,60,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0090
TG,P0104,The thermoelectrochemistry of the aqueous iron(ii)/iron(iii) redox couple: significance of the anion and pH in thermogalvanic thermal-to-electrical energy conversion,10.1039/c8se00416a,"Thermogalvanic conversion of temperature gradients into electricity via a redox couple represents a potential method of waste energy harvesting, but inexpensive, effective and sustainable redox couples are required. In this study four aqueous Fe(ii)/Fe(iii) salt systems are considered, based upon ammonium iron sulphate, iron sulphate, iron trifluoromethanesulfonate and iron nitrate. A range of Seebeck coefficients were observed, from +0.18 +/- 0.04 mV K-1 for ammonium iron(ii/iii) sulphate to +1.46 +/- 0.02 mV K-1 for acidified iron(ii/iii) trifluoromethanesulfonate, both at a temperature difference of 20 K; notably these apparent Seebeck coefficients vary with temperature difference due to significant chemical equilibria. The iron(ii/iii) nitrate system generated the highest thermogalvanic power output. The systems were probed by cyclic voltammetry, pH, UV-Vis spectroscopy and electrochemical impedance spectroscopy, and two competing mechanisms noted, which strongly affect both the current output and Seebeck coefficient (i.e. potential output) of their thermoelectrochemical cells (or thermocells). Green and economic consideration are important aspects if these systems are to be employed in harvesting low-grade heat energy at a larger scale; iron nitrate and acidified iron sulphate were the most highly competitive systems.",0a1a0bb837b0513432bae2bc034ce5cb34491edcf495864af3682790c9e12a4b,cleaned_ite_tg/data/tg_clean.csv,154,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0104
TG,P0111,Thermogalvanic and local field effects in SiO2 structure,10.1007/s13204-020-01447-2,"The electric properties of complex hybrid structure formed by insertion of Samarium (III) Chloride into mesoporous silica matrix were investigated. The character of impedance, loss tangent and permittivity dependences on frequency was determined under standard conditions, illumination and in magnetic field, and conditions under which the permittivity is below unit were established. The thermogalvanic effect was observed with use of method of thermostimulated depolarization and its mechanisms were analyzed. The theory for thermogalvanic effect, which explains its connection with dielectric permittivity, was developed.",84e0b1f251a496cb01ff9fdce06a27513e8ca53fc517e1376bcc37b71a32b765,cleaned_ite_tg/data/tg_clean.csv,161,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0111
TG,P0119,Combining thermogalvanic corrosion and thermogalvanic redox couples for improved electrochemical waste heat harvesting,10.1016/j.elecom.2015.06.007,Thermogalvanic (or thermoelectrochemical) systems can convert a temperature difference into an electrical current by exploiting the entropy change associated with a redox process. This work investigates coupling thermogalvanic redox processes with thermogalvanic corrosion. Ferri/ferrocyanide and iodide/triiodide redox couples were investigated at platinum and stainless steel electrodes. Dilute iodine displays a Seebeck coefficient of +0.26 mV K-1 at platinum electrodes and +2.1 mV K-1 at stainless steel electrodes. An apparent Seebeck coefficient of +13.6 mV K-1 could be achieved under optimal conditions. This is demonstrated to be due to a combination of the iodide/triiodide thermogalvanic redox couple and thermogalvanic iodine-induced corrosion of the stainless steel. (C) 2015 Elsevier B.V. All rights reserved.,b46b048b27e2e4ef5efb7119477d0aaaee148ca04067ae761b3fbcf685161dbf,cleaned_ite_tg/data/tg_clean.csv,167,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0119
TG,P0143,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,10.1016/j.nanoen.2025.111156,"As the human body's most vital environmental interface, the skin integrates diverse sensory receptors enabling simultaneous perception of multiple stimuli through multisensory processing. However, the realization of multifunctional sensing system on robots or prosthetics remains a huge challenge. Here we report a multifunctional tactile sensor fabricated from ionic thermoelectric gelatin that achieves simultaneous pressure and temperature detection. The thermoelectric effect of this ionic thermoelectric gelatin is mainly achieved through the synergy of the thermodiffusion effects and the thermogalvanic effect of ions. In addition, by applying pressure, the thermoelectric effect of this ionic thermoelectric gelatin can be changed (the thermopower of the ionic thermoelectric gelatin increases from 1.21 mV/K to 1.67 mV/K, representing a 38 % increase), so as to enable the sensor to sense external forces. By comparing the thermoelectric effect driven by temperature difference and the thermoelectric effect driven by pressure-temperature difference, there is a difference in the voltage response time. This allows for the decoupling of signals at the backend with only a simple algorithm. Using this sensor, we achieved a 95.31 % accuracy rate in identifying different materials. The multifunctional tactile sensor can promote the development of robots and better assist the disabled in restoring their sensory abilities.",642f3226fa6333b56c5f54ed76302b80d45a60c052a088f3b7441d9cb22b3f40,cleaned_ite_tg/data/tg_clean.csv,3,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0143
TG,P0156,Integrated Hydrogel-Based Photothermoelectric Device for Energy Harvesting,10.1021/acsami.5c07204,"Currently, thermoelectric generators are centered around harnessing the temperature difference between body heat and the environment for electricity generation. Nevertheless, in certain regions with year-round warm climates, the effective temperature difference (Delta T) is frequently markedly inadequate. Therefore, it is necessary to explore novel thermoelectric devices that are not driven by body heat. In this study, an integrated photothermoelectric (PTE) device was fabricated. This device consists of a cotton/PPy photothermal layer and a thermoelectric hydrogel, with [Fe(CN)6]3-/4- serving as a redox couple. The PTE device demonstrated remarkable stability, sustaining a consistent voltage output of 31.42 mV under the solar intensity of 150 mW cm-2. When four PTE devices were connected in series and integrated with a voltage amplifier, they exhibited the capacity to power small electronic devices under illumination. Intriguingly, the PTE devices also functioned as thermogalvanic units intrinsically. In the absence of light, they retained their electricity-generation ability by harnessing body heat. This research significantly broadens the application scope of gel-based thermoelectric materials and offers novel insights for the design of integrated PTE devices.",8d7460a4b77665398c4e25285f7224228217951ff91ee40aefdb1f8afe94b061,cleaned_ite_tg/data/tg_clean.csv,194,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0156
TG,P0173,Heat-Triggered Self-Powered Thermal Cells for Autonomous Fire Sensing and Emergency Power Generation,10.1021/acsami.6c01028,"Fire safety in enclosed spaces is frequently compromised by power failures, creating an urgent need for self-powered monitoring systems. However, designing devices that simultaneously achieve high detection sensitivity and sufficient power drive remains a formidable challenge. Here, this work proposes an asymmetric thermal cell (ATC) that utilizes high-entropy-change driven mechanism and strategically designed redox couples of the FeCl3/K4[Fe(CN)6] with opposite temperature coefficient. This design synergistically amplifies the output voltage by combination of the thermogalvanic effect and electrochemical potential. Crucially, this mechanism enables a single ATC to achieve 0.71 V (with a similar to 33% thermal contribution at 90 degrees C) and sustain high-current discharge at 70-90 degrees C without a spatial temperature gradient, making it ideal for fire scenarios with nearly spatially uniform temperature across the device. Accordingly, the ATC delivering a high temperature coefficient of 2.8 mV/K, a peak power density of 11.34 W/m2, and a high specific energy density of 87.7 mAh/g. A prototype of five series-connected ATC units successfully generated a stable 3.15 V output under simulated fire conditions, powering both an LED escape indicator and a wireless smoke alarm. This work offers a feasible way toward self-powered, heat-triggered emergency evacuation system that operate independently of external power grids.",191f7cf73922e7b5d1c1a1360b80f3121b576710acefb49ef13982aa5965c655,cleaned_ite_tg/data/tg_clean.csv,206,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0173
TG,P0182,Stretchable and Freeze-Tolerant Organohydrogel Thermocells with Enhanced Thermoelectric Performance Continually Working at Subzero Temperatures,10.1002/adfm.202104071,"Aqueous thermocells that are eco-friendly and capable of converting low-grade heat into electricity continuously are promising candidates to power flexible and wearable devices in various application scenarios. However, challenges remain in their limited working temperatures, mechanical fragility, and poor thermoelectric performance, mainly due to the reduced entropy of both polymer chains and thermogalvanic ions at low temperatures. In this work, the challenges are addressed by introducing a synergistic chaotropic effect to destruct strong hydrogen bonds, increase polymers' entropic elasticity, and enlarge the entropy difference of thermogalvanic ions. An organohydrogel thermocell is designed with a chaotropic comonomer and a chaotropic cosolvent. The maximum normalized power density of the thermocell achieves 0.1 mW m(-2) K-2, which is in the same order of magnitude as the highest record in current quasi-solid thermocells. Even at -30 degrees C, the thermocell maintains the elongation at a break of more than 100% and a relatively high power density of 0.012 mW m(-2) K-2. Furthermore, the thermocell shows the potential to light up a light-emitting diode and stably works when compressed, bent, and stretched in a wide temperature range. This work provides insights on developing reliable power sources to drive flexible electronics continually in extremely cold environments.",da8b28de7b08a55a8124c5745a21de32a12c3afb6f9efc8fac717fc8531aca41,cleaned_ite_tg/data/tg_clean.csv,52,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_reconstruction/v1/paper_coverage.csv::domain=TG;paper_id=P0182
