pair_id,left_id,right_id,retrieval_cosine,status
C7c751af7f0d734,iTE:C1a2fa41fd8277e,TG:C0195e9374d3214,1.0000001192092896,candidate_unreviewed
Cc657c7b0ef50cd,iTE:C1a2fa41fd8277e,TG:C67d0b236df43eb,1.0000001192092896,candidate_unreviewed
C34c2b9cf5154fb,iTE:C1a2fa41fd8277e,TG:C76bf76f1717c84,1.0000001192092896,candidate_unreviewed
Caadf8e9dd592b1,iTE:C1a2fa41fd8277e,TG:Cbbea96f0c98ba2,1.0000001192092896,candidate_unreviewed
C783b70aabea8a2,iTE:C1a2fa41fd8277e,TG:Cd2350b177859c5,1.0000001192092896,candidate_unreviewed
Cdb0f0ee4580210,iTE:C1a2fa41fd8277e,TG:Cf2b4b060d4061a,1.0000001192092896,candidate_unreviewed
Cbf4a4a875e4fc2,iTE:C1d9aea58957226,TG:C83f83598ef4c80,1.0000001192092896,candidate_unreviewed
C60e414b9e06616,iTE:C539c3a72a29409,TG:C53c69a2d6b75ad,1.0000001192092896,candidate_unreviewed
C59f584d69bfeda,iTE:C65286ea70dc3ac,TG:C0195e9374d3214,1.0000001192092896,candidate_unreviewed
C7cb278a0ae7c24,iTE:C65286ea70dc3ac,TG:C67d0b236df43eb,1.0000001192092896,candidate_unreviewed
C82e69e01f7407e,iTE:C65286ea70dc3ac,TG:C76bf76f1717c84,1.0000001192092896,candidate_unreviewed
C25abe8c66e8a90,iTE:C65286ea70dc3ac,TG:Cbbea96f0c98ba2,1.0000001192092896,candidate_unreviewed
Cfe395b7000bd99,iTE:C65286ea70dc3ac,TG:Cd2350b177859c5,1.0000001192092896,candidate_unreviewed
Cb71b878f8104a7,iTE:C65286ea70dc3ac,TG:Cf2b4b060d4061a,1.0000001192092896,candidate_unreviewed
Cb2e2cf743cb11d,iTE:C6851bacc60701a,TG:C0195e9374d3214,1.0000001192092896,candidate_unreviewed
C588e83505d7781,iTE:C6851bacc60701a,TG:C67d0b236df43eb,1.0000001192092896,candidate_unreviewed
C96973ad9ab1a26,iTE:C6851bacc60701a,TG:C76bf76f1717c84,1.0000001192092896,candidate_unreviewed
C553785346bbd38,iTE:C6851bacc60701a,TG:Cbbea96f0c98ba2,1.0000001192092896,candidate_unreviewed
Cc9a2fe1667e810,iTE:C6851bacc60701a,TG:Cd2350b177859c5,1.0000001192092896,candidate_unreviewed
C88d7f0a0988358,iTE:C6851bacc60701a,TG:Cf2b4b060d4061a,1.0000001192092896,candidate_unreviewed
C969d0d81fb5873,iTE:C706ffea9886f1e,TG:C0195e9374d3214,1.0000001192092896,candidate_unreviewed
Ccd5b639857f649,iTE:C706ffea9886f1e,TG:C67d0b236df43eb,1.0000001192092896,candidate_unreviewed
C73bd5b4ca1fa94,iTE:C706ffea9886f1e,TG:C76bf76f1717c84,1.0000001192092896,candidate_unreviewed
Cecb546941fc0b0,iTE:C7d60a350338d77,TG:C8611d4233e7c2f,1.0000001192092896,candidate_unreviewed
Cf784ac89a3bbb3,iTE:C91dfca2b602166,TG:C829ab558ee42cb,1.0000001192092896,candidate_unreviewed
C255f2c18f4c015,iTE:C92f6db69200c0a,TG:C0195e9374d3214,1.0000001192092896,candidate_unreviewed
C090f433bdf1b0b,iTE:C92f6db69200c0a,TG:C67d0b236df43eb,1.0000001192092896,candidate_unreviewed
C48ba747c0352c2,iTE:C92f6db69200c0a,TG:C76bf76f1717c84,1.0000001192092896,candidate_unreviewed
C201445883905bc,iTE:Cb51ad000ebc01b,TG:C0195e9374d3214,1.0000001192092896,candidate_unreviewed
C4c6ad6329a5913,iTE:Cb51ad000ebc01b,TG:C67d0b236df43eb,1.0000001192092896,candidate_unreviewed
C5541b75934a888,iTE:Cb51ad000ebc01b,TG:C76bf76f1717c84,1.0000001192092896,candidate_unreviewed
Cbb3550e55e215a,iTE:Cc2be0d20e06f36,TG:C0195e9374d3214,1.0000001192092896,candidate_unreviewed
C088801843644ca,iTE:Cc2be0d20e06f36,TG:C67d0b236df43eb,1.0000001192092896,candidate_unreviewed
C6e0d8d6eb705d1,iTE:Cc2be0d20e06f36,TG:C76bf76f1717c84,1.0000001192092896,candidate_unreviewed
Ca6848aadb4987c,iTE:Cee0e503c4ca1f5,TG:C0195e9374d3214,1.0000001192092896,candidate_unreviewed
Ca185e6e699da45,iTE:Cee0e503c4ca1f5,TG:C67d0b236df43eb,1.0000001192092896,candidate_unreviewed
C3039cc0f50b6df,iTE:Cee0e503c4ca1f5,TG:C76bf76f1717c84,1.0000001192092896,candidate_unreviewed
