active_mention_ids,aliases,claim_count,concept_id,decision_group,definition,domain,label,mention_ids,normalization_reason,normalization_status,paper_ids,roles,source_document_count
"[""TG:P0140:pairs""]","[""Rearrangement of ferricyanide-cation ion pairs""]",1,TG:C000c0a9c20e006,,,TG,Rearrangement of ferricyanide-cation ion pairs,"[""TG:P0140:pairs""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0140""]","[""mechanism_process""]",1
"[""TG:P0324:n13""]","[""Self-heating source for sub-zero-temperature energy conversion without an external source""]",1,TG:C0013373ff735a8,,,TG,Self-heating source for sub-zero-temperature energy conversion without an external source,"[""TG:P0324:n13""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0324""]","[""application""]",1
"[""TG:P0025:complete_v1_r007_subject""]","[""Formamide (FA)""]",1,TG:C00185db8f5c79f,,,TG,Formamide (FA),"[""TG:P0025:complete_v1_r007_subject""]",,new_singleton_no_exact_alias_candidate,"[""P0025""]","[""material_entity""]",1
"[""TG:P0086:q""]","[""Structural and operational parameters""]",1,TG:C00299fc01225ac,,,TG,Structural and operational parameters,"[""TG:P0086:q""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0086""]","[""condition""]",1
"[""TG:P0051:redox""]","[""Cu/Cu2+ redox couple""]",1,TG:C002eb6b863d887,,,TG,Cu/Cu2+ redox couple,"[""TG:P0051:redox""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0051""]","[""material_entity""]",1
"[""TG:P0155:range""]","[""Effective working ambient temperature range extended by 6.0 K""]",1,TG:C003be5e6b444e0,,,TG,Effective working ambient temperature range extended by 6.0 K,"[""TG:P0155:range""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0155""]","[""performance_function""]",1
"[""TG:P0043:redox""]","[""[Fe(CN)6]3−/[Fe(CN)6]4− redox pair""]",1,TG:C004085ab317104,,,TG,[Fe(CN)6]3−/[Fe(CN)6]4− redox pair,"[""TG:P0043:redox""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0043""]","[""material_entity""]",1
"[""TG:P0096:k""]","[""Alignment structures in solid network""]",1,TG:C0044f8ca339af9,,,TG,Alignment structures in solid network,"[""TG:P0096:k""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0096""]","[""state_structure""]",1
"[""TG:P0304:n7""]","[""Thermoelectric coefficient −0.3 mV/K""]",1,TG:C00529436368e43,,,TG,Thermoelectric coefficient −0.3 mV/K,"[""TG:P0304:n7""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0304""]","[""quantity""]",1
"[""TG:P0078:redox""]","[""Redox thermodynamics""]",1,TG:C006b6876cf38f1,,,TG,Redox thermodynamics,"[""TG:P0078:redox""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0078""]","[""quantity""]",1
"[""TG:P0171:n15""]","[""Ambient air-temperature changes""]",1,TG:C0075057655b8ab,,,TG,Ambient air-temperature changes,"[""TG:P0171:n15""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0171""]","[""condition""]",1
"[""TG:P0181:abs""]","[""Broadband absorption""]",1,TG:C0078aae731347d,,,TG,Broadband absorption,"[""TG:P0181:abs""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0181""]","[""performance_function""]",1
"[""TG:P0050:conductivity""]","[""High conductivity""]",1,TG:C007d4c06fb7a8b,g0026,,TG,High conductivity,"[""TG:P0050:conductivity""]","Conductivity type is unspecified; the electrode's electrical, photothermal and heat-storage context does not resolve it.",model_uncertain_retained,"[""P0050""]","[""quantity""]",1
"[""TG:P0174:n6""]","[""Ion diffusion driven by temperature-dependent ion electrophoretic mobility (TDIEM)""]",3,TG:C00851cad282de5,,,TG,Ion diffusion driven by temperature-dependent ion electrophoretic mobility (TDIEM),"[""TG:P0174:n6""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0174""]","[""mechanism_process""]",1
