active_mention_ids,aliases,claim_count,concept_id,decision_group,definition,domain,label,mention_ids,normalization_reason,normalization_status,paper_ids,roles,source_document_count
"[""iTE:P1322:lowcharge""]","[""Low charge concentrations in ZnO""]",1,iTE:C000758978aae06,,,iTE,Low charge concentrations in ZnO,"[""iTE:P1322:lowcharge""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1322""]","[""quantity""]",1
"[""iTE:P0572:opt""]","[""Joint PEG/Na:DCA/ethanol incorporation into PVDF-HFP/EMIM:DCA ionogel""]",4,iTE:C0007a693b5a263,,,iTE,Joint PEG/Na:DCA/ethanol incorporation into PVDF-HFP/EMIM:DCA ionogel,"[""iTE:P0572:opt""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0572""]","[""design_strategy""]",1
"[""iTE:P0808:n18"",""iTE:P1536:index""]","[""High refractive index""]",2,iTE:C000d48d3f59e71,g0461,A high optical refractive index obtained from calculated optical properties.,iTE,High refractive index,"[""iTE:P0808:n18"",""iTE:P1536:index""]","Both denote the same calculated optical quantity with a high magnitude, across different materials.",model_merged,"[""P0808"",""P1536""]","[""quantity""]",2
"[""iTE:P1678:life""]","[""Phonon lifetimes approximately 6 ps""]",1,iTE:C00101998271882,,,iTE,Phonon lifetimes approximately 6 ps,"[""iTE:P1678:life""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1678""]","[""quantity""]",1
"[""iTE:P1114:use"",""iTE:P1366:use""]","[""High-temperature thermoelectric materials""]",3,iTE:C0012965b7293fd,g0683,The application class of materials for thermoelectric operation at high temperatures.,iTE,High-temperature thermoelectric materials,"[""iTE:P1114:use"",""iTE:P1366:use""]","Both labels explicitly denote the same proposed application class. Monolayer dimensionality, n-type doping, compositions and temperature-dependent performance remain attached to their respective candidates.",model_merged,"[""P1114"",""P1366""]","[""application""]",2
"[""iTE:P1604:complete_v1_cr005_object""]","[""Infrared detectors""]",1,iTE:C0014798ad5d2b4,,,iTE,Infrared detectors,"[""iTE:P1604:complete_v1_cr005_object""]",,new_singleton_no_exact_alias_candidate,"[""P1604""]","[""application""]",1
"[""iTE:P0794:d2""]","[""Maxwell relations""]",1,iTE:C001611a6cd8522,,,iTE,Maxwell relations,"[""iTE:P0794:d2""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0794""]","[""descriptor""]",1
"[""iTE:P1342:n5""]","[""PEDOT:PSS gelification""]",3,iTE:C0017e3a426f2c6,,,iTE,PEDOT:PSS gelification,"[""iTE:P1342:n5""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1342""]","[""mechanism_process""]",1
"[""iTE:P0543:s""]","[""Negative Seebeck coefficient of -20.1 mV K-1""]",1,iTE:C00180ca1d55379,,,iTE,Negative Seebeck coefficient of -20.1 mV K-1,"[""iTE:P0543:s""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0543""]","[""quantity""]",1
"[""iTE:P1564:electric""]","[""Glass-ceramic electrical properties""]",1,iTE:C001c43042783a8,,,iTE,Glass-ceramic electrical properties,"[""iTE:P1564:electric""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1564""]","[""descriptor""]",1
"[""iTE:P1452:gb""]","[""Band gap 2.03 eV""]",1,iTE:C0021bd78b45d7e,,,iTE,Band gap 2.03 eV,"[""iTE:P1452:gb""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1452""]","[""quantity""]",1
"[""iTE:P1777:ils""]","[""[HEA]Ste, [DHEA]Ste and [THEA]Ste ionic-liquid PCMs""]",4,iTE:C002421df94dd06,,,iTE,"[HEA]Ste, [DHEA]Ste and [THEA]Ste ionic-liquid PCMs","[""iTE:P1777:ils""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1777""]","[""material_entity""]",1
"[""iTE:P1355:n1""]","[""(Sr0.95R0.05)3Ti2O7 (R=Er, Y, Dy, Gd, Eu, Sm, Nd, La)""]",1,iTE:C0026e913744389,,,iTE,"(Sr0.95R0.05)3Ti2O7 (R=Er, Y, Dy, Gd, Eu, Sm, Nd, La)","[""iTE:P1355:n1""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1355""]","[""material_entity""]",1
"[""iTE:P1289:dev""]","[""Low-density CNT/biomolecule thermoelectric module""]",2,iTE:C0029c8540d6ed5,,,iTE,Low-density CNT/biomolecule thermoelectric module,"[""iTE:P1289:dev""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1289""]","[""material_entity""]",1
"[""iTE:P1646:ar""]","[""Imaginary-dielectric absorption maximum at 5.52 eV""]",0,iTE:C002a6667f967fc,,,iTE,Imaginary-dielectric absorption maximum at 5.52 eV,"[""iTE:P1646:ar""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,[],"[""quantity""]",0
"[""iTE:P0836:long""]","[""Long-term device operation""]",1,iTE:C002be003bc17cd,,,iTE,Long-term device operation,"[""iTE:P0836:long""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P0836""]","[""performance_function""]",1
"[""iTE:P1077:precipitates""]","[""Precipitates in sintered SnSe""]",1,iTE:C0030597f0e76be,,,iTE,Precipitates in sintered SnSe,"[""iTE:P1077:precipitates""]",No same-name or explicit-definition candidate in this pass.,singleton_not_semantically_reviewed,"[""P1077""]","[""state_structure""]",1
