comparison_id,selection,domain,variant,left_label,right_label,source_review,historical_relation,left_to_right_rank,right_to_left_rank,either_direction_top10,cosine
N0062,stratified,TG,baseline_80,sensitivity,sensitivity,non_equivalent,distinct_from,4,167,True,0.8002126216888428
N0575,stratified,TG,baseline_80,short-circuit current density,short-circuit current,non_equivalent,distinct_from,352,49,False,0.8026973009109497
N1608,stratified,TG,baseline_80,stretching-induced crystallization,ioninduced crystallization,non_equivalent,distinct_from,89,223,False,0.7996114492416382
N0755,stratified,TG,baseline_80,ion diffusion coefficients,diffusion coefficient,non_equivalent,distinct_from,87,37,False,0.795699954032898
N1098,stratified,TG,baseline_80,electrical performance,mechanical performance,non_equivalent,distinct_from,18,6,True,0.8665618896484375
N1520,stratified,TG,baseline_80,thermal conductivity,ionic electrical conductivity,non_equivalent,distinct_from,171,97,False,0.8175433874130249
N1223,stratified,TG,baseline_80,current density,output current density,equivalent,equivalent_to,36,13,False,0.8637268543243408
N0855,stratified,TG,baseline_80,thermodiffusion effect,thermodiffusion,equivalent,equivalent_to,346,553,False,0.7801172137260437
N1588,stratified,TG,baseline_80,temperature difference,temperature difference across the cell,equivalent,equivalent_to,25,4,True,0.8489331603050232
N0072,stratified,TG,baseline_80,thermal diffusion,thermal diffusion,equivalent,equivalent_to,10,5,True,0.877098798751831
N0041,stratified,TG,baseline_80,ionic conductivity,ionic conductivity,equivalent,equivalent_to,6,5,True,0.8888601064682007
N0058,stratified,TG,baseline_80,power density,power density,equivalent,equivalent_to,2,3,True,0.9071716070175171
N1578,stratified,TG,baseline_80,thermovoltage,thermovoltage signals,equivalent,related_to,366,85,False,0.7996886968612671
N0067,stratified,TG,baseline_80,temperature gradient,temperature gradient,uncertain,related_to,16,10,True,0.8745884895324707
N1385,stratified,TG,baseline_80,ion concentration gradients,ion concentration,non_equivalent,related_to,13,40,False,0.860897958278656
N0757,stratified,TG,baseline_80,interfacial resistance gating,interfacial resistance,non_equivalent,related_to,33,30,False,0.8127027750015259
N1592,stratified,TG,baseline_80,mass transport,ion transport,non_equivalent,related_to,501,606,False,0.7343478202819824
N1046,stratified,TG,baseline_80,corrosion rates,corrosion,non_equivalent,related_to,84,18,False,0.8226203918457031
N1627,stratified,iTE,baseline_80,concentration,concentration of holes,non_equivalent,distinct_from,2265,742,False,0.7293470501899719
N0871,stratified,iTE,baseline_80,continuous operation,continuous operation of ITECs,non_equivalent,distinct_from,23,2,True,0.8264472484588623
N0895,stratified,iTE,baseline_80,concentration of electron holes,concentration of electrons,non_equivalent,distinct_from,10,20,True,0.8602194786071777
N1575,stratified,iTE,baseline_80,Electrical conductivity,optical conductivity,non_equivalent,distinct_from,1033,369,False,0.8024234771728516
N0628,stratified,iTE,baseline_80,n-type characteristics,p-type characteristics,non_equivalent,distinct_from,1261,262,False,0.7623528838157654
N0696,stratified,iTE,baseline_80,semiconducting properties,conducting properties,non_equivalent,distinct_from,313,1114,False,0.7696433067321777
N0645,stratified,iTE,baseline_80,increased PEDOT domain distances,increase in the PEDOT domain distances,equivalent,equivalent_to,57,10,True,0.8267300128936768
N1500,stratified,iTE,baseline_80,PEDOT:PSS conductivity,conductivity of PEDOT:PSS,equivalent,equivalent_to,24,88,False,0.8593533635139465
N0656,stratified,iTE,baseline_80,half-metallicity character,half-metallic character,equivalent,equivalent_to,181,14,False,0.8037977814674377
N0331,stratified,iTE,baseline_80,ionic bonding,ionic bonding,equivalent,equivalent_to,29,24,False,0.8311116695404053
N0202,stratified,iTE,baseline_80,carrier concentration,carrier concentration,equivalent,equivalent_to,4,4,True,0.8821146488189697
N0102,stratified,iTE,baseline_80,Cr doping,Cr doping,uncertain,equivalent_to,2,2,True,0.9051362872123718
N1127,stratified,iTE,baseline_80,half-metal,half-metallic gap,non_equivalent,related_to,441,49,False,0.7955949306488037
N0954,stratified,iTE,baseline_80,thermoelectric and mechanical performance,mechanical performance,non_equivalent,related_to,19,12,False,0.8563840985298157
N0422,stratified,iTE,baseline_80,p-type,p-type,uncertain,related_to,9,8,True,0.8434574007987976
N1191,stratified,iTE,baseline_80,Seebeck coefficient S,Seebeck coefficient of the PANI,non_equivalent,related_to,61,161,False,0.817373514175415
N1522,stratified,iTE,baseline_80,charge carrier concentration,increase of the carrier concentration,non_equivalent,related_to,127,37,False,0.8135620355606079
N0730,stratified,iTE,baseline_80,Fmoc-FF,pi-pi interactions between Fmoc groups,non_equivalent,related_to,1,1,True,0.9817730188369751
N0838,known_challenge,iTE,baseline_80,negative Seebeck coefficient,positive Seebeck coefficient,non_equivalent,distinct_from,1,1,True,0.9926791787147522
N0062,stratified,TG,focused_clause,sensitivity,sensitivity,non_equivalent,distinct_from,3,12,True,0.8453749418258667
N0575,stratified,TG,focused_clause,short-circuit current density,short-circuit current,non_equivalent,distinct_from,30,16,False,0.8412212133407593
N1608,stratified,TG,focused_clause,stretching-induced crystallization,ioninduced crystallization,non_equivalent,distinct_from,86,245,False,0.7996114492416382
N0755,stratified,TG,focused_clause,ion diffusion coefficients,diffusion coefficient,non_equivalent,distinct_from,4,4,True,0.8333422541618347
N1098,stratified,TG,focused_clause,electrical performance,mechanical performance,non_equivalent,distinct_from,193,17,False,0.8127010464668274
N1520,stratified,TG,focused_clause,thermal conductivity,ionic electrical conductivity,non_equivalent,distinct_from,196,114,False,0.8175433874130249
N1223,stratified,TG,focused_clause,current density,output current density,equivalent,equivalent_to,21,4,True,0.8785174489021301
N0855,stratified,TG,focused_clause,thermodiffusion effect,thermodiffusion,equivalent,equivalent_to,269,377,False,0.7995678782463074
N1588,stratified,TG,focused_clause,temperature difference,temperature difference across the cell,equivalent,equivalent_to,27,10,True,0.8489331603050232
N0072,stratified,TG,focused_clause,thermal diffusion,thermal diffusion,equivalent,equivalent_to,5,5,True,0.877098798751831
N0041,stratified,TG,focused_clause,ionic conductivity,ionic conductivity,equivalent,equivalent_to,6,5,True,0.8888601064682007
N0058,stratified,TG,focused_clause,power density,power density,equivalent,equivalent_to,4,5,True,0.8938218355178833
N1578,stratified,TG,focused_clause,thermovoltage,thermovoltage signals,equivalent,related_to,385,101,False,0.7996886968612671
N0067,stratified,TG,focused_clause,temperature gradient,temperature gradient,uncertain,related_to,20,10,True,0.8745884895324707
N1385,stratified,TG,focused_clause,ion concentration gradients,ion concentration,non_equivalent,related_to,16,44,False,0.860897958278656
N0757,stratified,TG,focused_clause,interfacial resistance gating,interfacial resistance,non_equivalent,related_to,36,46,False,0.8127027750015259
N1592,stratified,TG,focused_clause,mass transport,ion transport,non_equivalent,related_to,512,660,False,0.7343478202819824
N1046,stratified,TG,focused_clause,corrosion rates,corrosion,non_equivalent,related_to,7,3,True,0.8723234534263611
N1627,stratified,iTE,focused_clause,concentration,concentration of holes,non_equivalent,distinct_from,2326,575,False,0.7514212727546692
