variant,source,source_label,target,target_label,rank,cosine,same_paper
baseline_80,TG:P0007:n2,sensitivity,TG:P0007:n1,micropatterned and gradient structure strategy,1,0.9681075215339661,True
baseline_80,TG:P0007:n2,sensitivity,TG:P0241:n2,higher sensitivity,2,0.8373695611953735,False
baseline_80,TG:P0007:n2,sensitivity,TG:P0110:n4,resolution,3,0.8014039397239685,False
baseline_80,TG:P0007:n2,sensitivity,TG:P0110:n2,sensitivity,4,0.8002127408981323,False
baseline_80,TG:P0007:n2,sensitivity,TG:P0110:n1,Peltier coefficient,5,0.7811106443405151,False
baseline_80,TG:P0007:n2,sensitivity,TG:P0079:n1,Seebeck coefficient,6,0.7792922854423523,False
baseline_80,TG:P0007:n2,sensitivity,TG:P0079:n3,spatially resolved thermal mapping,7,0.7787628173828125,False
baseline_80,TG:P0007:n2,sensitivity,TG:P0093:n3,concentration gradient of the free I-3(-),8,0.7782712578773499,False
baseline_80,TG:P0007:n2,sensitivity,TG:P0032:n3,sensing performance,9,0.7771123051643372,False
baseline_80,TG:P0007:n2,sensitivity,TG:P0295:n1,temperature gradient,10,0.7758800983428955,False
baseline_80,TG:P0011:n3,current density,TG:P0011:n4,power density output,1,0.9900070428848267,True
baseline_80,TG:P0011:n3,current density,TG:P0011:n1,incorporating a cationic pair into a cationic electroactive network (CN),2,0.9736307859420776,True
baseline_80,TG:P0011:n3,current density,TG:P0011:n2,movement of redox pairs,3,0.9668326377868652,True
baseline_80,TG:P0011:n3,current density,TG:P0043:n4,thermal current,4,0.9004276990890503,False
baseline_80,TG:P0011:n3,current density,TG:P0146:n3,exchange current density,5,0.899102509021759,False
baseline_80,TG:P0011:n3,current density,TG:P0095:n3,ohmic resistance,6,0.8969962000846863,False
baseline_80,TG:P0011:n3,current density,TG:P0045:n3,ion concentration,7,0.8916482329368591,False
baseline_80,TG:P0011:n3,current density,TG:P0095:n2,electrocatalysis,8,0.8882268071174622,False
baseline_80,TG:P0011:n3,current density,TG:P0045:n4,thermoelectric performance,9,0.8874490857124329,False
baseline_80,TG:P0011:n3,current density,TG:P0043:n2,thermodiffusion,10,0.8850065469741821,False
baseline_80,TG:P0013:n2,electrical performance,TG:P0013:n3,environmental stability,1,0.9760310649871826,True
baseline_80,TG:P0013:n2,electrical performance,TG:P0013:n1,"hydrogen bonds among phytic acid, glycerol, and water",2,0.965203046798706,True
baseline_80,TG:P0013:n2,electrical performance,TG:P0045:n4,thermoelectric performance,3,0.8904306888580322,False
baseline_80,TG:P0013:n2,electrical performance,TG:P0095:n3,ohmic resistance,4,0.8862205743789673,False
baseline_80,TG:P0013:n2,electrical performance,TG:P0055:n3,power output,5,0.8830714225769043,False
baseline_80,TG:P0013:n2,electrical performance,TG:P0047:n6,energy dissipation,6,0.881626546382904,False
baseline_80,TG:P0013:n2,electrical performance,TG:P0045:n3,ion concentration,7,0.8805974125862122,False
baseline_80,TG:P0013:n2,electrical performance,TG:P0055:n1,Gelation,8,0.8804226517677307,False
baseline_80,TG:P0013:n2,electrical performance,TG:P0095:n2,electrocatalysis,9,0.8760167360305786,False
baseline_80,TG:P0013:n2,electrical performance,TG:P0047:n2,heat-to-electricity conversion,10,0.874909520149231,False
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0015:n2,thermoelectric effect,1,0.9758163690567017,True
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0015:n4,thermopower,2,0.96876060962677,True
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0015:n3,tensile strength,3,0.9684693813323975,True
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0068:n3,flexible stretchable properties,4,0.8554754257202148,False
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0167:n2,crystallization induced by Gdm(+) with [Fe(CN)(6)](4-),5,0.8527638912200928,False
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0052:n2,flexibility at -80 degrees C,6,0.8526403307914734,False
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0053:n6,thermoelectric properties,7,0.8496876955032349,False
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0053:n4,growth and precipitation of the produced thermosensitive crystals,8,0.8488373756408691,False
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0145:n1,thermodiffusion,9,0.8466982245445251,False
baseline_80,TG:P0015:n1,stretching-induced crystallization,TG:P0145:n2,thermogalvanic effects,10,0.8460962772369385,False
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0021:n1,double-layer thermogalvanic cell (DTGC) architecture,1,0.9709463119506836,True
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0021:n2,spatially segregates redox pairs into two distinct gel layers,2,0.9662917256355286,True
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0283:n2,concentration gradient of redox ion pairs,3,0.909511923789978,False
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0081:n1,temperature gradient,4,0.8902724981307983,False
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0172:n4,concentration gradient,5,0.8760465383529663,False
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0081:n3,chemical heterogeneity,6,0.8716332316398621,False
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0035:n3,redox species concentration gradients near the electrodes,7,0.8676718473434448,False
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0009:n2,continuous concentration gradient of redox ions,8,0.8673202395439148,False
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0010:n2,electrolyte concentration distribution,9,0.8668237924575806,False
baseline_80,TG:P0021:n3,ion concentration gradients,TG:P0172:n5,redox ion transport,10,0.8625138401985168,False
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0025:n1,low FA concentrations,1,0.9830129146575928,True
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0025:n3,reaction kinetics,2,0.9756141901016235,True
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0025:n2,desolvation of redox ions,3,0.9707568883895874,True
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0025:n6,activation energy of the redox reaction,4,0.9701570868492126,True
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0025:n5,stabilizer for water,5,0.9653500914573669,True
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0035:n4,thermoelectric voltage,6,0.8849390745162964,False
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0217:n2,current and potential,7,0.8830376267433167,False
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0035:n1,MC,8,0.8819078207015991,False
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0035:n2,in situ redox reactions,9,0.8769329786300659,False
baseline_80,TG:P0025:n4,short-circuit current density,TG:P0227:n2,thermoelectric power,10,0.8742404580116272,False
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0027:n1,guanidium chloride (GdmCl) salts,1,0.9745661020278931,True
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0027:n3,Seebeck coefficient,2,0.9704983830451965,True
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0039:n2,[Fe(CN)(6)](4-) ion crystallization,3,0.9046116471290588,False
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0039:n1,guanidine ion,4,0.8872604370117188,False
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0248:n1,MEMSA hydroxide and guanidine hydrochloride,5,0.8865298628807068,False
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0248:n3,Seebeck coefficient,6,0.8829835653305054,False
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0039:n3,thermogalvanic effect,7,0.8786939382553101,False
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0248:n2,solvation structure of [Fe(CN)6]3-,8,0.8783904910087585,False
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0167:n2,crystallization induced by Gdm(+) with [Fe(CN)(6)](4-),9,0.8763922452926636,False
baseline_80,TG:P0027:n2,ioninduced crystallization,TG:P0031:n3,crystallization of [Fe(CN)6]4-,10,0.8749546408653259,False
baseline_80,TG:P0030:n4,thermovoltage,TG:P0030:n1,18-crown-6,1,0.9790816307067871,True
baseline_80,TG:P0030:n4,thermovoltage,TG:P0030:n3,thermodiffusion of the cation,2,0.9766865968704224,True
baseline_80,TG:P0030:n4,thermovoltage,TG:P0030:n2,cationic selective complexing agent,3,0.9717219471931458,True
baseline_80,TG:P0030:n4,thermovoltage,TG:P0043:n2,thermodiffusion,4,0.8920074105262756,False
baseline_80,TG:P0030:n4,thermovoltage,TG:P0043:n1,KCl,5,0.8816463351249695,False
baseline_80,TG:P0030:n4,thermovoltage,TG:P0043:n3,[Fe(CN)6]3-/[Fe(CN)6]4-,6,0.8791595101356506,False
baseline_80,TG:P0030:n4,thermovoltage,TG:P0018:n3,solvation structure,7,0.8723664879798889,False
baseline_80,TG:P0030:n4,thermovoltage,TG:P0043:n4,thermal current,8,0.8647201657295227,False
baseline_80,TG:P0030:n4,thermovoltage,TG:P0251:n2,agglomeration of Fe(CN)(6)(4-) ions,9,0.8641324043273926,False
baseline_80,TG:P0030:n4,thermovoltage,TG:P0139:n2,modify the solvation shells of ions,10,0.8625539541244507,False
baseline_80,TG:P0045:n3,ion concentration,TG:P0045:n4,thermoelectric performance,1,0.9757910966873169,True
baseline_80,TG:P0045:n3,ion concentration,TG:P0045:n2,confined ion transportation in micro/nano channels,2,0.9647229909896851,True
baseline_80,TG:P0045:n3,ion concentration,TG:P0045:n1,salting out effect,3,0.9626115560531616,True
baseline_80,TG:P0045:n3,ion concentration,TG:P0150:n2,ionic conductivity,4,0.9062181711196899,False
baseline_80,TG:P0045:n3,ion concentration,TG:P0161:n1,aggregation of ions near the two electrodes,5,0.9057770371437073,False
baseline_80,TG:P0045:n3,ion concentration,TG:P0011:n3,current density,6,0.8916482329368591,False
baseline_80,TG:P0045:n3,ion concentration,TG:P0161:n4,charge storage,7,0.8876894116401672,False
baseline_80,TG:P0045:n3,ion concentration,TG:P0011:n4,power density output,8,0.8860502243041992,False
baseline_80,TG:P0045:n3,ion concentration,TG:P0043:n2,thermodiffusion,9,0.8836661577224731,False
baseline_80,TG:P0045:n3,ion concentration,TG:P0013:n2,electrical performance,10,0.8805974125862122,False
baseline_80,TG:P0051:n3,temperature difference,TG:P0051:n1,PDMS/CuO/Cu electrodes,1,0.9748983979225159,True
baseline_80,TG:P0051:n3,temperature difference,TG:P0051:n2,photothermal conversion,2,0.9743104577064514,True
baseline_80,TG:P0051:n3,temperature difference,TG:P0051:n4,open-circuit voltage,3,0.9703450798988342,True
baseline_80,TG:P0051:n3,temperature difference,TG:P0161:n2,gel structure,4,0.8902347683906555,False
baseline_80,TG:P0051:n3,temperature difference,TG:P0136:n2,photothermal conversion,5,0.8849626183509827,False
baseline_80,TG:P0051:n3,temperature difference,TG:P0136:n3,temperature gradient,6,0.8780323266983032,False
baseline_80,TG:P0051:n3,temperature difference,TG:P0156:n2,thermoelectric hydrogel,7,0.8710331916809082,False
baseline_80,TG:P0051:n3,temperature difference,TG:P0156:n1,cotton/PPy photothermal layer,8,0.8707521557807922,False
baseline_80,TG:P0051:n3,temperature difference,TG:P0161:n3,ion transport and concentration equilibrium,9,0.8697832226753235,False
baseline_80,TG:P0051:n3,temperature difference,TG:P0055:n2,thermal isolation of the electrodes,10,0.867611825466156,False
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0067:n2,thermal barrier,1,0.9816522598266602,True
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0067:n4,Seebeck coefficient,2,0.9794679284095764,True
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0067:n1,polyvinylidene fluoride diaphragm,3,0.9750858545303345,True
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0076:n1,low thermal conductivity,4,0.8853740692138672,False
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0045:n4,thermoelectric performance,5,0.87893146276474,False
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0042:n3,low thermal conductivity,6,0.8779861330986023,False
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0055:n2,thermal isolation of the electrodes,7,0.8746817111968994,False
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0043:n4,thermal current,8,0.8694301247596741,False
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0161:n2,gel structure,9,0.8678464889526367,False
baseline_80,TG:P0067:n3,thermal conductivity,TG:P0216:n2,Seebeck coefficient and sign,10,0.8676549792289734,False
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0069:n3,heat,1,0.9727422595024109,True
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0069:n1,upper photothermal layer,2,0.9682825803756714,True
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0069:n2,absorb light,3,0.9507102370262146,True
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0136:n2,photothermal conversion,4,0.9016832113265991,False
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0136:n3,temperature gradient,5,0.8835207223892212,False
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0136:n1,placing thermoelectric hydrogels on top of a photothermal hydrogel,6,0.8804382681846619,False
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0087:n1,photothermal-thermoelectric coupling,7,0.8743482828140259,False
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0191:n2,photothermal layer,8,0.8645710349082947,False
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0156:n1,cotton/PPy photothermal layer,9,0.8558124899864197,False
baseline_80,TG:P0069:n4,thermovoltage signals,TG:P0156:n2,thermoelectric hydrogel,10,0.8500336408615112,False
baseline_80,TG:P0077:n2,power density,TG:P0077:n1,enhancing (suppressing) heat transfer between the hot (cold) side and ambient air,1,0.9626318216323853,True
baseline_80,TG:P0077:n2,power density,TG:P0189:n4,power density,2,0.9071715474128723,False
baseline_80,TG:P0077:n2,power density,TG:P0199:n3,output power density,3,0.8953721523284912,False
baseline_80,TG:P0077:n2,power density,TG:P0286:n3,maximum power density,4,0.8856938481330872,False
baseline_80,TG:P0077:n2,power density,TG:P0128:n3,power outputs,5,0.8788135647773743,False
baseline_80,TG:P0077:n2,power density,TG:P0317:n2,maximum power density of 1461 mW/m(2),6,0.8773812651634216,False
baseline_80,TG:P0077:n2,power density,TG:P0211:n1,internal resistances of the cell,7,0.8709423542022705,False
baseline_80,TG:P0077:n2,power density,TG:P0229:n4,short circuit current,8,0.8699305057525635,False
baseline_80,TG:P0077:n2,power density,TG:P0296:n2,maximum power output density,9,0.8666452765464783,False
baseline_80,TG:P0077:n2,power density,TG:P0127:n4,cell current,10,0.86627596616745,False
baseline_80,TG:P0081:n1,temperature gradient,TG:P0081:n5,thermopower,1,0.9773749113082886,True
baseline_80,TG:P0081:n1,temperature gradient,TG:P0081:n3,chemical heterogeneity,2,0.9676066637039185,True
baseline_80,TG:P0081:n1,temperature gradient,TG:P0081:n2,localized oxidation of a nickel-bipyridine complex at the hot electrode only,3,0.9618052840232849,True
baseline_80,TG:P0081:n1,temperature gradient,TG:P0283:n2,concentration gradient of redox ion pairs,4,0.9158880114555359,False
baseline_80,TG:P0081:n1,temperature gradient,TG:P0035:n3,redox species concentration gradients near the electrodes,5,0.9009386301040649,False
baseline_80,TG:P0081:n1,temperature gradient,TG:P0009:n2,continuous concentration gradient of redox ions,6,0.8928138017654419,False
baseline_80,TG:P0081:n1,temperature gradient,TG:P0283:n3,performance of the thermo-electrochemical cells,7,0.8912110924720764,False
baseline_80,TG:P0081:n1,temperature gradient,TG:P0021:n3,ion concentration gradients,8,0.8902724981307983,False
baseline_80,TG:P0081:n1,temperature gradient,TG:P0283:n1,temperature-dependent host-guest interaction,9,0.8887465000152588,False
baseline_80,TG:P0081:n1,temperature gradient,TG:P0035:n1,MC,10,0.8869668245315552,False
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0082:n4,thermoelectric current,1,0.9652068614959717,True
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0082:n1,deformation,2,0.9436478018760681,True
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0169:n4,interface charge transfer resistance,3,0.8640584349632263,False
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0012:n1,thermoelectricity,4,0.8573819994926453,False
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0019:n2,tight physical and electrical contact,5,0.8464330434799194,False
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0019:n4,thermogalvanic and piezoresistive effects,6,0.8396044373512268,False
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0019:n1,non -covalent crosslinking,7,0.838051974773407,False
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0019:n3,stable and reliable signal output,8,0.8368488550186157,False
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0035:n4,thermoelectric voltage,9,0.8332889080047607,False
baseline_80,TG:P0082:n2,interfacial resistance gating,TG:P0019:n5,sensing of pressure,10,0.8332282304763794,False
baseline_80,TG:P0086:n3,mass transport,TG:P0086:n2,heat transfer,1,0.9849188327789307,True
baseline_80,TG:P0086:n3,mass transport,TG:P0086:n1,natural convection,2,0.9820370078086853,True
baseline_80,TG:P0086:n3,mass transport,TG:P0086:n4,Delta T,3,0.9770903587341309,True
baseline_80,TG:P0086:n3,mass transport,TG:P0086:n5,effective thermal conductivity,4,0.9750126600265503,True
baseline_80,TG:P0086:n3,mass transport,TG:P0278:n5,x,5,0.8626892566680908,False
baseline_80,TG:P0086:n3,mass transport,TG:P0189:n2,natural convection,6,0.861646294593811,False
baseline_80,TG:P0086:n3,mass transport,TG:P0127:n5,Mass transport,7,0.8549923300743103,False
baseline_80,TG:P0086:n3,mass transport,TG:P0278:n3,thermal convection,8,0.8484958410263062,False
baseline_80,TG:P0086:n3,mass transport,TG:P0077:n1,enhancing (suppressing) heat transfer between the hot (cold) side and ambient air,9,0.8447136878967285,False
baseline_80,TG:P0086:n3,mass transport,TG:P0101:n3,cooling efficiency,10,0.8443531394004822,False
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0088:n1,Split P,1,0.9807930588722229,True
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0088:n3,thermal resistances,2,0.9803552627563477,True
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0088:n2,surface area/volume ratio,3,0.9714148640632629,True
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0051:n3,temperature difference,4,0.848932683467865,False
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0211:n1,internal resistances of the cell,5,0.8483505845069885,False
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0077:n1,enhancing (suppressing) heat transfer between the hot (cold) side and ambient air,6,0.8440489172935486,False
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0127:n4,cell current,7,0.8437334895133972,False
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0331:n1,concentration difference between the two regions separated by the membrane,8,0.8436957001686096,False
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0101:n4,interelectrode temperature difference,9,0.8436616063117981,False
baseline_80,TG:P0088:n4,temperature difference across the cell,TG:P0134:n1,temperature difference,10,0.8420103788375854,False
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0108:n2,kinetic rate constants,1,0.9887082576751709,True
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0129:n4,current-voltage curves,2,0.8721189498901367,False
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0232:n1,thermal diffusion,3,0.8646551370620728,False
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0129:n3,concentration distribution,4,0.863887369632721,False
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0129:n1,diffusion-migration transport,5,0.8622230887413025,False
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0129:n2,diffusion-convection transport,6,0.8616756796836853,False
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0126:n3,thermogalvanic currents,7,0.8457087278366089,False
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0153:n2,thermogalvanic effects,8,0.8422399759292603,False
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0283:n2,concentration gradient of redox ion pairs,9,0.8419105410575867,False
baseline_80,TG:P0108:n3,ion diffusion coefficients,TG:P0232:n2,Dufour energy flux density,10,0.8415216207504272,False
baseline_80,TG:P0110:n2,sensitivity,TG:P0110:n1,Peltier coefficient,1,0.948803186416626,True
baseline_80,TG:P0110:n2,sensitivity,TG:P0110:n4,resolution,2,0.9274452924728394,True
baseline_80,TG:P0110:n2,sensitivity,TG:P0110:n3,thermal noise,3,0.9069280028343201,True
baseline_80,TG:P0110:n2,sensitivity,TG:P0241:n2,higher sensitivity,4,0.8978500962257385,False
baseline_80,TG:P0110:n2,sensitivity,TG:P0229:n1,electrolyte concentration,5,0.8580147624015808,False
baseline_80,TG:P0110:n2,sensitivity,TG:P0104:n2,apparent Seebeck coefficients,6,0.8477283120155334,False
baseline_80,TG:P0110:n2,sensitivity,TG:P0127:n2,power conversion efficiency,7,0.8432954549789429,False
baseline_80,TG:P0110:n2,sensitivity,TG:P0283:n1,temperature-dependent host-guest interaction,8,0.8424440026283264,False
baseline_80,TG:P0110:n2,sensitivity,TG:P0104:n3,temperature difference,9,0.8393087983131409,False
baseline_80,TG:P0110:n2,sensitivity,TG:P0117:n2,open-circuit voltage,10,0.8386780619621277,False
baseline_80,TG:P0124:n2,corrosion rates,TG:P0124:n1,Thermogalvanic corrosion,1,0.9463197588920593,True
baseline_80,TG:P0124:n2,corrosion rates,TG:P0230:n2,galvanic corrosion rates of copper,2,0.9302492141723633,False
baseline_80,TG:P0124:n2,corrosion rates,TG:P0126:n1,temperature gradients between copper electrodes,3,0.9208347201347351,False
