pair_id,iTE_claim,TG_claim,iTE_paper,TG_paper,score,endpoint_similarity,relation_lexical_similarity
X7fbb01ea0896,iTE:P0558:r001,TG:P0013:r002,P0558,P0013,0.795656681060791,0.8697361946105957,0.6228046417236328
X3ff6f28ca39f,iTE:P1614:r006,TG:P0084:r006,P1614,P0084,0.7668548226356506,0.8792327642440796,0.5046396851539612
X90ea2f8e660f,iTE:P1614:r007,TG:P0084:r006,P1614,P0084,0.7648431658744812,0.8603107333183289,0.542085587978363
X185bd36b542a,iTE:P1251:r003,TG:P0043:r003,P1251,P0043,0.7499637603759766,0.8826746940612793,0.4403047561645508
Xf9e42ac4bf9a,iTE:P1614:r006,TG:P0332:r003,P1614,P0332,0.7410972118377686,0.8514665365219116,0.48356884717941284
X70cf14fb7541,iTE:P1614:r006,TG:P0331:r002,P1614,P0331,0.7409599423408508,0.8512704372406006,0.48356884717941284
X20df91090595,iTE:P1614:r007,TG:P0331:r002,P1614,P0331,0.7376195192337036,0.8371933698654175,0.5052804350852966
X33a289c08700,iTE:P1112:r005,TG:P0302:r005,P1112,P0302,0.7373827695846558,0.8598189353942871,0.45169854164123535
X9dd905042bdf,iTE:P1614:r007,TG:P0332:r003,P1614,P0332,0.7373502850532532,0.8368088006973267,0.5052804350852966
X27c94d999e60,iTE:P0434:r009,TG:P0271:r007,P0434,P0271,0.7360408306121826,0.8892465233802795,0.3785609006881714
X595d33f1a601,iTE:P0920:audit_v1_a001,TG:P0306:r009,P0920,P0306,0.7326289415359497,0.8784745931625366,0.39232248067855835
X6b9d88f4add0,iTE:P0659:r008,TG:P0295:r005,P0659,P0295,0.728675365447998,0.8743680715560913,0.38872575759887695
Xd52d0c08876f,iTE:P0334:r004,TG:P0005:r001,P0334,P0005,0.7245926856994629,0.9199509620666504,0.268756628036499
X9c4a2fe2ec7f,iTE:P0440:r004,TG:P0075:r005,P0440,P0075,0.7231435179710388,0.8972216844558716,0.3169611096382141
Xb7def2427224,iTE:P1263:r003,TG:P0270:r003,P1263,P0270,0.7215332984924316,0.8677719831466675,0.3803097605705261
X28d43d89a4f1,iTE:P0423:r004,TG:P0045:r003,P0423,P0045,0.7194549441337585,0.9003841876983643,0.297286719083786
X37e3b09e139d,iTE:P1865:r012,TG:P0317:r004,P1865,P0317,0.719372034072876,0.8463500142097473,0.42308998107910156
X4addf7dfface,iTE:P0938:r004,TG:P0276:r003,P0938,P0276,0.7149680852890015,0.8739389777183533,0.3440360724925995
X470b3a72487b,iTE:P0938:r004,TG:P0276:r002,P0938,P0276,0.7129355072975159,0.8721351027488708,0.34146979451179504
X3565dfd275f9,iTE:P1780:r007,TG:P0166:r008,P1780,P0166,0.7120190858840942,0.8978098630905151,0.2785073518753052
Xf53209af6388,iTE:P0438:r002,TG:P0075:r005,P0438,P0075,0.711418628692627,0.9000852108001709,0.2711966037750244
X9ef563ec3d81,iTE:P0578:r004,TG:P0271:r007,P0578,P0271,0.7109067440032959,0.9100075960159302,0.2463381141424179
X65f3035496c7,iTE:P0520:r004,TG:P0005:r001,P0520,P0005,0.7105233669281006,0.8981847763061523,0.27264684438705444
