scope,group,version,papers,strict_supported,predictions,model_strict_acceptance,covered_reference,confirmed_reference,model_reference_coverage
all,all,initial,12,49,57,0.8596491228070176,49,64,0.765625
all,all,reviewed,12,62,63,0.9841269841269841,62,64,0.96875
all,iTE,initial,6,30,33,0.9090909090909091,30,36,0.8333333333333334
all,iTE,reviewed,6,34,35,0.9714285714285714,34,36,0.9444444444444444
all,TG,initial,6,19,24,0.7916666666666666,19,28,0.6785714285714286
all,TG,reviewed,6,28,28,1.0,28,28,1.0
all,TG_only,initial,4,17,18,0.9444444444444444,17,22,0.7727272727272727
all,TG_only,reviewed,4,22,22,1.0,22,22,1.0
all,shared,initial,2,2,6,0.3333333333333333,2,6,0.3333333333333333
all,shared,reviewed,2,6,6,1.0,6,6,1.0
main,all,initial,12,47,55,0.8545454545454545,47,62,0.7580645161290323
main,all,reviewed,12,60,61,0.9836065573770492,60,62,0.967741935483871
main,iTE,initial,6,30,33,0.9090909090909091,30,36,0.8333333333333334
main,iTE,reviewed,6,34,35,0.9714285714285714,34,36,0.9444444444444444
main,TG,initial,6,17,22,0.7727272727272727,17,26,0.6538461538461539
main,TG,reviewed,6,26,26,1.0,26,26,1.0
main,TG_only,initial,4,16,17,0.9411764705882353,16,21,0.7619047619047619
main,TG_only,reviewed,4,21,21,1.0,21,21,1.0
main,shared,initial,2,1,5,0.2,1,5,0.2
main,shared,reviewed,2,5,5,1.0,5,5,1.0
