concept_id,domain,label,definition,aliases,roles,mention_ids,normalization_status,decision_group,normalization_reason,claim_count,paper_ids,source_document_count
TG:C000c0a9c20e006,TG,Rearrangement of ferricyanide-cation ion pairs,,"[""Rearrangement of ferricyanide-cation ion pairs""]","[""mechanism_process""]","[""TG:P0140:pairs""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0140""]",1
TG:C0013373ff735a8,TG,Self-heating source for sub-zero-temperature energy conversion without an external source,,"[""Self-heating source for sub-zero-temperature energy conversion without an external source""]","[""application""]","[""TG:P0324:n13""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0324""]",1
TG:C00299fc01225ac,TG,Structural and operational parameters,,"[""Structural and operational parameters""]","[""condition""]","[""TG:P0086:q""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0086""]",1
TG:C002eb6b863d887,TG,Cu/Cu2+ redox couple,,"[""Cu/Cu2+ redox couple""]","[""material_entity""]","[""TG:P0051:redox""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0051""]",1
TG:C003be5e6b444e0,TG,Effective working ambient temperature range extended by 6.0 K,,"[""Effective working ambient temperature range extended by 6.0 K""]","[""performance_function""]","[""TG:P0155:range""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0155""]",1
TG:C004085ab317104,TG,[Fe(CN)6]3−/[Fe(CN)6]4− redox pair,,"[""[Fe(CN)6]3−/[Fe(CN)6]4− redox pair""]","[""material_entity""]","[""TG:P0043:redox""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0043""]",1
TG:C0044f8ca339af9,TG,Alignment structures in solid network,,"[""Alignment structures in solid network""]","[""state_structure""]","[""TG:P0096:k""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0096""]",1
TG:C00529436368e43,TG,Thermoelectric coefficient −0.3 mV/K,,"[""Thermoelectric coefficient −0.3 mV/K""]","[""quantity""]","[""TG:P0304:n7""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0304""]",1
TG:C006b6876cf38f1,TG,Redox thermodynamics,,"[""Redox thermodynamics""]","[""quantity""]","[""TG:P0078:redox""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0078""]",1
TG:C0075057655b8ab,TG,Ambient air-temperature changes,,"[""Ambient air-temperature changes""]","[""condition""]","[""TG:P0171:n15""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0171""]",1
TG:C0078aae731347d,TG,Broadband absorption,,"[""Broadband absorption""]","[""performance_function""]","[""TG:P0181:abs""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0181""]",1
TG:C007d4c06fb7a8b,TG,High conductivity,,"[""High conductivity""]","[""quantity""]","[""TG:P0050:conductivity""]",model_uncertain_retained,g0026,"Conductivity type is unspecified; the electrode's electrical, photothermal and heat-storage context does not resolve it.",1,"[""P0050""]",1
TG:C00851cad282de5,TG,Ion diffusion driven by temperature-dependent ion electrophoretic mobility (TDIEM),,"[""Ion diffusion driven by temperature-dependent ion electrophoretic mobility (TDIEM)""]","[""mechanism_process""]","[""TG:P0174:n6""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,3,"[""P0174""]",1
TG:C00921a7745878b,TG,Output power improved over 7 times,,"[""Output power improved over 7 times""]","[""performance_function""]","[""TG:P0278:seven""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0278""]",1
TG:C00a9f306c6c857,TG,"Geometric aspects, particularly active membrane area",,"[""Geometric aspects, particularly active membrane area""]","[""descriptor""]","[""TG:P0265:geo""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0265""]",1
TG:C00bcaa4ee08621,TG,Protection of internal redox couple from ultraviolet damage,,"[""Protection of internal redox couple from ultraviolet damage""]","[""performance_function""]","[""TG:P0191:protect""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0191""]",1
TG:C00d0ce8c633452,TG,Approximately 1.05-fold higher Seebeck coefficient,,"[""Approximately 1.05-fold higher Seebeck coefficient""]","[""quantity""]","[""TG:P0206:seebeck""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0206""]",1
TG:C00d652535087ac,TG,Heat-flux mechanisms,,"[""Heat-flux mechanisms""]","[""mechanism_process""]","[""TG:P0092:n""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0092""]",1
TG:C00e42ee909e9e6,TG,Optimal load ratio 1.2,,"[""Optimal load ratio 1.2""]","[""quantity""]","[""TG:P0077:load""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0077""]",1
TG:C00f07f3647c48b,TG,Cathodic behavior relative to stainless steel,,"[""Cathodic behavior relative to stainless steel""]","[""state_structure""]","[""TG:P0118:n9""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0118""]",1
TG:C00fc24e9c7192c,TG,Inherent (in)stability issues,,"[""Inherent (in)stability issues""]","[""descriptor""]","[""TG:P0097:audit_v1_a001_object""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0097""]",1
TG:C0119b38f8a042e,TG,Specific output power density of 1760 μW m−2 K−2,,"[""Specific output power density of 1760 μW m−2 K−2""]","[""quantity""]","[""TG:P0200:p""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0200""]",1
TG:C011b94772ff90f,TG,Moisture permeability,,"[""Moisture permeability""]","[""performance_function""]","[""TG:P0001:moist""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0001""]",1
TG:C0195e9374d3214,TG,Seebeck coefficient +2.1 mV K−1,,"[""Seebeck coefficient +2.1 mV K−1""]","[""quantity""]","[""TG:P0119:n4""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0119""]",1
TG:C01cf776aa84f42,TG,Mean electrode temperature in simulation,,"[""Mean electrode temperature in simulation""]","[""quantity""]","[""TG:P0088:w""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0088""]",1
TG:C01e1d059cb4f50,TG,Water-soluble Fe2+/3+ redox couple,,"[""Water-soluble Fe2+/3+ redox couple""]","[""material_entity""]","[""TG:P0277:fe""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0277""]",1
TG:C0202de33e8f60b,TG,Deep learning algorithm integration,,"[""Deep learning algorithm integration""]","[""design_strategy""]","[""TG:P0082:learning""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,3,"[""P0082""]",1
TG:C020b522d76ba4f,TG,Potassium-ion accumulation at doped CNT electrodes,,"[""Potassium-ion accumulation at doped CNT electrodes""]","[""state_structure""]","[""TG:P0316:n8""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0316""]",1
TG:C020f536141e5d0,TG,Exploitation of bias-responsive gel-complex characteristics,,"[""Exploitation of bias-responsive gel-complex characteristics""]","[""design_strategy""]","[""TG:P0310:n11""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0310""]",1
TG:C02334b1dcce2b5,TG,Combining aqueous iron(II/III) sulphate with sodium hydrogen sulphate,,"[""Combining aqueous iron(II/III) sulphate with sodium hydrogen sulphate""]","[""design_strategy""]","[""TG:P0105:n4""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0105""]",1
TG:C0245604bb0f2fe,TG,GaSe clathrate intercalated with SmCl3,,"[""GaSe clathrate intercalated with SmCl3""]","[""material_entity""]","[""TG:P0313:n1""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,4,"[""P0313""]",1
TG:C026ac349263486,TG,Tunable ionic conductivity,,"[""Tunable ionic conductivity""]","[""quantity""]","[""TG:P0082:conductivity""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0082""]",1
