concept_id,domain,label,definition,aliases,roles,mention_ids,normalization_status,decision_group,normalization_reason,claim_count,paper_ids,source_document_count
iTE:C000758978aae06,iTE,Low charge concentrations in ZnO,,"[""Low charge concentrations in ZnO""]","[""quantity""]","[""iTE:P1322:lowcharge""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1322""]",1
iTE:C0007a693b5a263,iTE,Joint PEG/Na:DCA/ethanol incorporation into PVDF-HFP/EMIM:DCA ionogel,,"[""Joint PEG/Na:DCA/ethanol incorporation into PVDF-HFP/EMIM:DCA ionogel""]","[""design_strategy""]","[""iTE:P0572:opt""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,4,"[""P0572""]",1
iTE:C000d48d3f59e71,iTE,High refractive index,A high optical refractive index obtained from calculated optical properties.,"[""High refractive index""]","[""quantity""]","[""iTE:P0808:n18"",""iTE:P1536:index""]",model_merged,g0461,"Both denote the same calculated optical quantity with a high magnitude, across different materials.",2,"[""P0808"",""P1536""]",2
iTE:C00101998271882,iTE,Phonon lifetimes approximately 6 ps,,"[""Phonon lifetimes approximately 6 ps""]","[""quantity""]","[""iTE:P1678:life""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1678""]",1
iTE:C0012965b7293fd,iTE,High-temperature thermoelectric materials,The application class of materials for thermoelectric operation at high temperatures.,"[""High-temperature thermoelectric materials""]","[""application""]","[""iTE:P1114:use"",""iTE:P1366:use""]",model_merged,g0683,"Both labels explicitly denote the same proposed application class. Monolayer dimensionality, n-type doping, compositions and temperature-dependent performance remain attached to their respective candidates.",3,"[""P1114"",""P1366""]",2
iTE:C001611a6cd8522,iTE,Maxwell relations,,"[""Maxwell relations""]","[""descriptor""]","[""iTE:P0794:d2""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0794""]",1
iTE:C0017e3a426f2c6,iTE,PEDOT:PSS gelification,,"[""PEDOT:PSS gelification""]","[""mechanism_process""]","[""iTE:P1342:n5""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P1342""]",1
iTE:C00180ca1d55379,iTE,Negative Seebeck coefficient of -20.1 mV K-1,,"[""Negative Seebeck coefficient of -20.1 mV K-1""]","[""quantity""]","[""iTE:P0543:s""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0543""]",1
iTE:C001c43042783a8,iTE,Glass-ceramic electrical properties,,"[""Glass-ceramic electrical properties""]","[""descriptor""]","[""iTE:P1564:electric""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1564""]",1
iTE:C0021bd78b45d7e,iTE,Band gap 2.03 eV,,"[""Band gap 2.03 eV""]","[""quantity""]","[""iTE:P1452:gb""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1452""]",1
iTE:C002421df94dd06,iTE,"[HEA]Ste, [DHEA]Ste and [THEA]Ste ionic-liquid PCMs",,"[""[HEA]Ste, [DHEA]Ste and [THEA]Ste ionic-liquid PCMs""]","[""material_entity""]","[""iTE:P1777:ils""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,4,"[""P1777""]",1
iTE:C0026e913744389,iTE,"(Sr0.95R0.05)3Ti2O7 (R=Er, Y, Dy, Gd, Eu, Sm, Nd, La)",,"[""(Sr0.95R0.05)3Ti2O7 (R=Er, Y, Dy, Gd, Eu, Sm, Nd, La)""]","[""material_entity""]","[""iTE:P1355:n1""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P1355""]",1
iTE:C0029c8540d6ed5,iTE,Low-density CNT/biomolecule thermoelectric module,,"[""Low-density CNT/biomolecule thermoelectric module""]","[""material_entity""]","[""iTE:P1289:dev""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P1289""]",1
iTE:C002a6667f967fc,iTE,Imaginary-dielectric absorption maximum at 5.52 eV,,"[""Imaginary-dielectric absorption maximum at 5.52 eV""]","[""quantity""]","[""iTE:P1646:ar""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1646""]",1
iTE:C002be003bc17cd,iTE,Long-term device operation,,"[""Long-term device operation""]","[""performance_function""]","[""iTE:P0836:long""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0836""]",1
iTE:C0030597f0e76be,iTE,Precipitates in sintered SnSe,,"[""Precipitates in sintered SnSe""]","[""state_structure""]","[""iTE:P1077:precipitates""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1077""]",1
iTE:C0031472c1535d7,iTE,Relative humidity: 15% versus 40%,,"[""Relative humidity: 15% versus 40%""]","[""condition""]","[""iTE:P0391:humidity""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0391""]",1
iTE:C003231e2d94c99,iTE,Energy band gap,,"[""Energy band gap""]","[""quantity""]","[""iTE:P1551:n16""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P1551""]",1
iTE:C003aabd67b6825,iTE,TiO2 reduced in argon–hydrogen mixture,,"[""TiO2 reduced in argon–hydrogen mixture""]","[""material_entity""]","[""iTE:P1622:o""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1622""]",1
iTE:C003bb798f359ca,iTE,Ion-electron hybrid thermoelectric hydrogel fiber,,"[""Ion-electron hybrid thermoelectric hydrogel fiber""]","[""material_entity""]","[""iTE:P1547:n1""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,3,"[""P1547""]",1
iTE:C003bdbb02bbbe1,iTE,Decreasing oxygen partial pressure,A reduction in the partial pressure of oxygen surrounding a material.,"[""Decreasing oxygen partial pressure""]","[""condition""]","[""iTE:P1548:n12"",""iTE:P1747:lower"",""iTE:P1748:pressure""]",model_merged,g0873,All specify the same directional environmental change; different ionic-transport and vacancy responses are its claim-specific consequences.,5,"[""P1548"",""P1747"",""P1748""]",3
iTE:C003f3beb7d5ce4,iTE,Electrical conductivity increase from 3 to 1439 S cm-1,,"[""Electrical conductivity increase from 3 to 1439 S cm-1""]","[""quantity""]","[""iTE:P0932:conductivity""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P0932""]",1
iTE:C003f42170558c5,iTE,Temperature between 293 and 573 K,,"[""Temperature between 293 and 573 K""]","[""condition""]","[""iTE:P1766:temp""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,4,"[""P1766""]",1
iTE:C003f7573c996e7,iTE,Purely ionic guest-cage interaction picture,,"[""Purely ionic guest-cage interaction picture""]","[""descriptor""]","[""iTE:P1286:d2""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1286""]",1
iTE:C00479a93012d5b,iTE,Orthorhombic In2O3,,"[""Orthorhombic In2O3""]","[""material_entity""]","[""iTE:P1600:ort""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,3,"[""P1600""]",1
iTE:C004bbfb2e27b63,iTE,Ion-induced potential in electrodes,,"[""Ion-induced potential in electrodes""]","[""quantity""]","[""iTE:P0713:potential""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0713""]",1
iTE:C0050720d464053,iTE,Enhanced lattice anharmonicity,,"[""Enhanced lattice anharmonicity""]","[""state_structure""]","[""iTE:P1771:anh""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,3,"[""P1771""]",1
iTE:C00510c530a69ee,iTE,"Cubic type-I clathrate structure, source space group 'Pm (3) over barn'",,"[""Cubic type-I clathrate structure, source space group 'Pm (3) over barn'""]","[""state_structure""]","[""iTE:P1873:struct""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1873""]",1
iTE:C0051ec18c3b655,iTE,Field of view up to 135 degrees,,"[""Field of view up to 135 degrees""]","[""performance_function""]","[""iTE:P0706:fov""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0706""]",1
iTE:C005650e5cf0880,iTE,Interfacial Al–C bonding behavior,,"[""Interfacial Al–C bonding behavior""]","[""interaction""]","[""iTE:P1930:ac""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1930""]",1
iTE:C005779bb2bf572,iTE,Small ammonium or phosphonium cations with a triethyl-n-hexylboride anion,,"[""Small ammonium or phosphonium cations with a triethyl-n-hexylboride anion""]","[""material_entity""]","[""iTE:P1210:n4""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1210""]",1
iTE:C00586bfd15dfbb,iTE,Direct bandgap 2.80 eV,,"[""Direct bandgap 2.80 eV""]","[""quantity""]","[""iTE:P1304:gbr""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P1304""]",1
iTE:C006a62146ec2f8,iTE,Nitrogen atomic concentration <1%,,"[""Nitrogen atomic concentration <1%""]","[""quantity""]","[""iTE:P1281:nc""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,2,"[""P1281""]",1
iTE:C006c9e3c030fc6,iTE,Conductivity reaching 5.87 S m−1,,"[""Conductivity reaching 5.87 S m−1""]","[""quantity""]","[""iTE:P0399:n3""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0399""]",1
iTE:C006cb667abceff,iTE,appropriate violations of the Wiedemann–Franz law,,"[""appropriate violations of the Wiedemann–Franz law""]","[""descriptor""]","[""iTE:P0798:d1""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0798""]",1
iTE:C00777d1120d431,iTE,c-axis resistivity,,"[""c-axis resistivity""]","[""quantity""]","[""iTE:P0958:res""]",singleton_not_semantically_reviewed,,No same-name or explicit-definition candidate in this pass.,1,"[""P0958""]",1
