mention_id,key,paper_id,domain,raw_label,raw_role,concept_id,canonical_label,normalization_status,decision_group
TG:P0001:ab,m00001,P0001,TG,Antibacterial performance,performance_function,TG:Cf7e86eeeed16a2,Antibacterial performance,singleton_not_semantically_reviewed,
TG:P0001:bio,m00002,P0001,TG,Biocompatibility,performance_function,TG:Ca33ee8b3c0c7d9,Biocompatibility,model_merged,g0001
TG:P0001:d,m00003,P0001,TG,Thermogalvanic cell (TGC) dressing,material_entity,TG:C9de2f35eae8d14,Thermogalvanic cell (TGC) dressing,singleton_not_semantically_reviewed,
TG:P0001:ef,m00004,P0001,TG,Exogenous electric stimulus/field,quantity,TG:C9b9e389d1466b5,Exogenous electric stimulus/field,singleton_not_semantically_reviewed,
TG:P0001:fe,m00005,P0001,TG,Fe2+/Fe3+ cross-linking,interaction,TG:C6effedd9830c1a,Fe2+/Fe3+ cross-linking,singleton_not_semantically_reviewed,
TG:P0001:h,m00006,P0001,TG,Alginate hydrogel in TGC dressing,material_entity,TG:C625e37d2f16b0d,Alginate hydrogel in TGC dressing,singleton_not_semantically_reviewed,
TG:P0001:heal,m00007,P0001,TG,Accelerated wound healing,performance_function,TG:Cdf0edf32607ebe,Accelerated wound healing,singleton_not_semantically_reviewed,
TG:P0001:moist,m00008,P0001,TG,Moisture permeability,performance_function,TG:C011b94772ff90f,Moisture permeability,singleton_not_semantically_reviewed,
TG:P0001:nf,m00009,P0001,TG,Nanofibre reinforcement,design_strategy,TG:C2a1b6e27fd9107,Nanofibre reinforcement,singleton_not_semantically_reviewed,
TG:P0001:rate,m00010,P0001,TG,Wound healing rate improved by about 20.6%,performance_function,TG:Ceebc4e9bf16997,Wound healing rate improved by about 20.6%,singleton_not_semantically_reviewed,
TG:P0001:resp,m00011,P0001,TG,Respiration-rate monitoring,application,TG:C2e5e15d0c515fb,Respiration-rate monitoring,singleton_not_semantically_reviewed,
TG:P0001:sense,m00012,P0001,TG,Integrated sensing system,material_entity,TG:C49eef0af64f66e,Integrated sensing system,singleton_not_semantically_reviewed,
TG:P0001:shape,m00013,P0001,TG,Easy re-shaping,performance_function,TG:C6cae5b868a070a,Easy re-shaping,singleton_not_semantically_reviewed,
TG:P0002:cool,m00014,P0002,TG,Direct electrolyte cooling of '1.42 K,performance_function,TG:C69247803ed3e50,Direct electrolyte cooling of '1.42 K,singleton_not_semantically_reviewed,
TG:P0002:design,m00015,P0002,TG,Synergistic binary solvent and anion engineering of iron-based electrolyte,design_strategy,TG:C58314d9cc2873d,Synergistic binary solvent and anion engineering of iron-based electrolyte,singleton_not_semantically_reviewed,
TG:P0002:entropy,m00016,P0002,TG,Entropy change available for electrochemical refrigeration,quantity,TG:C32081d0d30114f,Entropy change available for electrochemical refrigeration,singleton_not_semantically_reviewed,
TG:P0002:hc,m00017,P0002,TG,Decreased heat capacity,quantity,TG:C829c5e626f8fc6,Decreased heat capacity,singleton_not_semantically_reviewed,
TG:P0002:opt,m00018,P0002,TG,Optimized electrolyte,material_entity,TG:C2c0b1870b61499,Optimized electrolyte,singleton_not_semantically_reviewed,
TG:P0002:power,m00019,P0002,TG,'70% improvement of cooling power,performance_function,TG:Cdf2fd4ab0bc7bb,'70% improvement of cooling power,singleton_not_semantically_reviewed,
TG:P0002:shell,m00020,P0002,TG,Rearrangement of Fe2+/3+ solvation shell,mechanism_process,TG:C552fe96ec081c6,Rearrangement of Fe2+/3+ solvation shell,singleton_not_semantically_reviewed,
TG:P0002:tc,m00021,P0002,TG,High temperature coefficient of 3.73 mV K-1,quantity,TG:Cd3a7fd3fd772c6,High temperature coefficient of 3.73 mV K-1,singleton_not_semantically_reviewed,
TG:P0002:weak,m00022,P0002,TG,Weak Fe2+/3+-ClO4- interactions,interaction,TG:Cd8d9bd2db39d94,Weak Fe2+/3+-ClO4- interactions,singleton_not_semantically_reviewed,
TG:P0003:balance,m00023,P0003,TG,Balancing thermodiffusion and thermogalvanic effects in Fe2+/3+ hydrogel,design_strategy,TG:Cad29f026e0f419,Balancing thermodiffusion and thermogalvanic effects in Fe2+/3+ hydrogel,singleton_not_semantically_reviewed,
TG:P0003:complex,m00024,P0003,TG,Complexation between Fe2+/3+ and Cl- species,interaction,TG:Cf0d94780d6d611,Complexation between Fe2+/3+ and Cl- species,singleton_not_semantically_reviewed,
TG:P0003:conc,m00025,P0003,TG,Fe2+/3+ concentration in hydrogels,quantity,TG:C83cae1ca7d0603,Fe2+/3+ concentration in hydrogels,singleton_not_semantically_reviewed,
TG:P0003:cycle,m00026,P0003,TG,Relatively good cyclic stability,performance_function,TG:Ce759cde2ed69e6,Relatively good cyclic stability,singleton_not_semantically_reviewed,
TG:P0003:depend,m00027,P0003,TG,Hydrogel thermopower dependence on Fe2+/3+ concentration,descriptor,TG:Ced624a648eac3c,Hydrogel thermopower dependence on Fe2+/3+ concentration,singleton_not_semantically_reviewed,
TG:P0003:dev,m00028,P0003,TG,Gel-Fe24-based i-TEG,material_entity,TG:Ca492af31b91c90,Gel-Fe24-based i-TEG,singleton_not_semantically_reviewed,
