method,comparison_id,domain,selection,review,left_label,right_label,found,left_to_right_top10_rank,right_to_left_top10_rank
bm25_label,N0062,TG,stratified,non_equivalent,sensitivity,sensitivity,True,1,1
bm25_label,N0575,TG,stratified,non_equivalent,short-circuit current density,short-circuit current,True,3,2
bm25_label,N1608,TG,stratified,non_equivalent,stretching-induced crystallization,ioninduced crystallization,True,5,4
bm25_label,N0755,TG,stratified,non_equivalent,ion diffusion coefficients,diffusion coefficient,True,7,5
bm25_label,N1098,TG,stratified,non_equivalent,electrical performance,mechanical performance,False,,
bm25_label,N1520,TG,stratified,non_equivalent,thermal conductivity,ionic electrical conductivity,True,,8
bm25_label,N1223,TG,stratified,equivalent,current density,output current density,True,2,1
bm25_label,N0855,TG,stratified,equivalent,thermodiffusion effect,thermodiffusion,True,5,3
bm25_label,N1588,TG,stratified,equivalent,temperature difference,temperature difference across the cell,True,5,2
bm25_label,N0072,TG,stratified,equivalent,thermal diffusion,thermal diffusion,True,1,1
bm25_label,N0041,TG,stratified,equivalent,ionic conductivity,ionic conductivity,True,2,2
bm25_label,N0058,TG,stratified,equivalent,power density,power density,True,1,1
bm25_label,N1578,TG,stratified,equivalent,thermovoltage,thermovoltage signals,True,1,1
bm25_label,N0067,TG,stratified,uncertain,temperature gradient,temperature gradient,True,1,1
bm25_label,N1385,TG,stratified,non_equivalent,ion concentration gradients,ion concentration,True,2,1
bm25_label,N0757,TG,stratified,non_equivalent,interfacial resistance gating,interfacial resistance,True,1,1
bm25_label,N1592,TG,stratified,non_equivalent,mass transport,ion transport,True,7,8
bm25_label,N1046,TG,stratified,non_equivalent,corrosion rates,corrosion,True,2,3
bm25_label,N1627,iTE,stratified,non_equivalent,concentration,concentration of holes,True,,10
bm25_label,N0871,iTE,stratified,non_equivalent,continuous operation,continuous operation of ITECs,True,1,1
bm25_label,N0895,iTE,stratified,non_equivalent,concentration of electron holes,concentration of electrons,False,,
bm25_label,N1575,iTE,stratified,non_equivalent,Electrical conductivity,optical conductivity,False,,
bm25_label,N0628,iTE,stratified,non_equivalent,n-type characteristics,p-type characteristics,True,2,1
bm25_label,N0696,iTE,stratified,non_equivalent,semiconducting properties,conducting properties,False,,
bm25_label,N0645,iTE,stratified,equivalent,increased PEDOT domain distances,increase in the PEDOT domain distances,True,1,1
bm25_label,N1500,iTE,stratified,equivalent,PEDOT:PSS conductivity,conductivity of PEDOT:PSS,True,1,1
bm25_label,N0656,iTE,stratified,equivalent,half-metallicity character,half-metallic character,True,1,3
bm25_label,N0331,iTE,stratified,equivalent,ionic bonding,ionic bonding,True,3,1
bm25_label,N0202,iTE,stratified,equivalent,carrier concentration,carrier concentration,True,1,1
bm25_label,N0102,iTE,stratified,uncertain,Cr doping,Cr doping,True,1,1
bm25_label,N1127,iTE,stratified,non_equivalent,half-metal,half-metallic gap,True,4,3
bm25_label,N0954,iTE,stratified,non_equivalent,thermoelectric and mechanical performance,mechanical performance,True,1,1
bm25_label,N0422,iTE,stratified,uncertain,p-type,p-type,True,1,1
bm25_label,N1191,iTE,stratified,non_equivalent,Seebeck coefficient S,Seebeck coefficient of the PANI,False,,
bm25_label,N1522,iTE,stratified,non_equivalent,charge carrier concentration,increase of the carrier concentration,False,,
bm25_label,N0730,iTE,stratified,non_equivalent,Fmoc-FF,pi-pi interactions between Fmoc groups,True,1,4
bm25_label,N0838,iTE,known_challenge,non_equivalent,negative Seebeck coefficient,positive Seebeck coefficient,False,,
focused_vector,N0062,TG,stratified,non_equivalent,sensitivity,sensitivity,True,3,
focused_vector,N0575,TG,stratified,non_equivalent,short-circuit current density,short-circuit current,False,,
focused_vector,N1608,TG,stratified,non_equivalent,stretching-induced crystallization,ioninduced crystallization,False,,
focused_vector,N0755,TG,stratified,non_equivalent,ion diffusion coefficients,diffusion coefficient,True,4,4
focused_vector,N1098,TG,stratified,non_equivalent,electrical performance,mechanical performance,False,,
focused_vector,N1520,TG,stratified,non_equivalent,thermal conductivity,ionic electrical conductivity,False,,
focused_vector,N1223,TG,stratified,equivalent,current density,output current density,True,,4
focused_vector,N0855,TG,stratified,equivalent,thermodiffusion effect,thermodiffusion,False,,
focused_vector,N1588,TG,stratified,equivalent,temperature difference,temperature difference across the cell,True,,10
focused_vector,N0072,TG,stratified,equivalent,thermal diffusion,thermal diffusion,True,5,5
focused_vector,N0041,TG,stratified,equivalent,ionic conductivity,ionic conductivity,True,6,5
focused_vector,N0058,TG,stratified,equivalent,power density,power density,True,4,5
focused_vector,N1578,TG,stratified,equivalent,thermovoltage,thermovoltage signals,False,,
focused_vector,N0067,TG,stratified,uncertain,temperature gradient,temperature gradient,True,,10
focused_vector,N1385,TG,stratified,non_equivalent,ion concentration gradients,ion concentration,False,,
focused_vector,N0757,TG,stratified,non_equivalent,interfacial resistance gating,interfacial resistance,False,,
focused_vector,N1592,TG,stratified,non_equivalent,mass transport,ion transport,False,,
focused_vector,N1046,TG,stratified,non_equivalent,corrosion rates,corrosion,True,7,3
focused_vector,N1627,iTE,stratified,non_equivalent,concentration,concentration of holes,False,,
focused_vector,N0871,iTE,stratified,non_equivalent,continuous operation,continuous operation of ITECs,True,,2
focused_vector,N0895,iTE,stratified,non_equivalent,concentration of electron holes,concentration of electrons,True,,3
focused_vector,N1575,iTE,stratified,non_equivalent,Electrical conductivity,optical conductivity,False,,
focused_vector,N0628,iTE,stratified,non_equivalent,n-type characteristics,p-type characteristics,False,,
focused_vector,N0696,iTE,stratified,non_equivalent,semiconducting properties,conducting properties,False,,
focused_vector,N0645,iTE,stratified,equivalent,increased PEDOT domain distances,increase in the PEDOT domain distances,False,,
focused_vector,N1500,iTE,stratified,equivalent,PEDOT:PSS conductivity,conductivity of PEDOT:PSS,False,,
focused_vector,N0656,iTE,stratified,equivalent,half-metallicity character,half-metallic character,True,3,5
focused_vector,N0331,iTE,stratified,equivalent,ionic bonding,ionic bonding,True,3,5
