method,source,source_label,target,target_label,rank,score
bm25_label,TG:P0007:n2,sensitivity,TG:P0110:n2,sensitivity,1,8.146059263580337
bm25_label,TG:P0007:n2,sensitivity,TG:P0241:n2,higher sensitivity,2,7.118577470115868
bm25_label,TG:P0011:n3,current density,TG:P0146:n3,exchange current density,1,8.525899038873693
bm25_label,TG:P0011:n3,current density,TG:P0186:n4,output current density,2,8.525899038873693
bm25_label,TG:P0011:n3,current density,TG:P0025:n4,short-circuit current density,3,7.667141425668113
bm25_label,TG:P0011:n3,current density,TG:P0322:n2,increase in current density,4,7.667141425668113
bm25_label,TG:P0011:n3,current density,TG:P0194:n3,sustainable short-circuit-current density,5,6.965547716391859
bm25_label,TG:P0011:n3,current density,TG:P0094:n5,current,6,5.3282972035872405
bm25_label,TG:P0011:n3,current density,TG:P0175:n3,current,7,5.3282972035872405
bm25_label,TG:P0011:n3,current density,TG:P0077:n2,power density,8,4.945064496877253
bm25_label,TG:P0011:n3,current density,TG:P0189:n4,power density,9,4.945064496877253
bm25_label,TG:P0011:n3,current density,TG:P0043:n4,thermal current,10,4.656226428049168
bm25_label,TG:P0013:n2,electrical performance,TG:P0083:n3,performance,1,5.815523555252321
bm25_label,TG:P0013:n2,electrical performance,TG:P0141:n2,performance,2,5.815523555252321
bm25_label,TG:P0013:n2,electrical performance,TG:P0159:n3,performance,3,5.815523555252321
bm25_label,TG:P0013:n2,electrical performance,TG:P0265:n2,performance,4,5.815523555252321
bm25_label,TG:P0013:n2,electrical performance,TG:P0041:n3,electrical power,5,5.156454421356316
bm25_label,TG:P0013:n2,electrical performance,TG:P0114:n3,electrical energy,6,5.156454421356316
bm25_label,TG:P0013:n2,electrical performance,TG:P0133:n2,electrical power,7,5.156454421356316
bm25_label,TG:P0013:n2,electrical performance,TG:P0207:n2,electrical conductivity,8,5.156454421356316
bm25_label,TG:P0013:n2,electrical performance,TG:P0231:n4,electrical outputs,9,5.156454421356316
bm25_label,TG:P0013:n2,electrical performance,TG:P0032:n3,sensing performance,10,5.081997763315074
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0059:n2,crystallization,1,6.302749906917402
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0075:n3,operates properly under stretching,2,6.024563749574708
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0167:n2,crystallization induced by Gdm(+) with [Fe(CN)(6)](4-),3,5.967393810709424
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0006:n1,thermosensitive-crystallization,4,5.507769098580978
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0027:n2,ioninduced crystallization,5,5.507769098580978
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0193:n3,ice crystallization,6,5.507769098580978
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0324:n1,induced Joule effect,7,5.086787023504344
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0053:n3,crystallization nucleation rates,8,4.890871824539539
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0255:n1,thermosensitive crystallization process,9,4.890871824539539
bm25_label,TG:P0015:n1,stretching-induced crystallization,TG:P0284:n1,Cu-based thermosensitive crystallization,10,4.398246542984381
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0209:n1,concentration gradients,1,10.845303058286122
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0045:n3,ion concentration,2,8.485608128015716
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0035:n3,redox species concentration gradients near the electrodes,3,6.650859542747909
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0118:n1,Temperature gradients,4,6.54663634478299
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0161:n3,ion transport and concentration equilibrium,5,6.15614179181317
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0283:n2,concentration gradient of redox ion pairs,6,5.640041056767323
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0126:n1,temperature gradients between copper electrodes,7,4.749455901087652
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0018:n2,concentration gradient,8,4.298666713503132
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0026:n2,Fe3+ concentration,9,4.298666713503132
bm25_label,TG:P0021:n3,ion concentration gradients,TG:P0116:n3,Concentration difference,10,4.298666713503132
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0194:n3,sustainable short-circuit-current density,1,15.96272067501792
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0229:n4,short circuit current,2,15.147334482074964
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0316:n2,short-circuit current,3,15.147334482074964
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0011:n3,current density,4,9.60129092492642
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0146:n3,exchange current density,5,8.525899038873693
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0186:n4,output current density,6,8.525899038873693
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0325:n2,Seebeck voltages and short-circuit currents,7,8.242894104383835
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0322:n2,increase in current density,8,7.667141425668113
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0094:n5,current,9,5.3282972035872405
bm25_label,TG:P0025:n4,short-circuit current density,TG:P0175:n3,current,10,5.3282972035872405
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0059:n2,crystallization,1,6.302749906917402
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0006:n1,thermosensitive-crystallization,2,5.507769098580978
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0193:n3,ice crystallization,3,5.507769098580978
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0015:n1,stretching-induced crystallization,4,4.890871824539539
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0053:n3,crystallization nucleation rates,5,4.890871824539539
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0255:n1,thermosensitive crystallization process,6,4.890871824539539
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0284:n1,Cu-based thermosensitive crystallization,7,4.398246542984381
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0031:n3,crystallization of [Fe(CN)6]4-,8,3.660791705031884
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0039:n2,[Fe(CN)(6)](4-) ion crystallization,9,3.660791705031884
bm25_label,TG:P0027:n2,ioninduced crystallization,TG:P0167:n2,crystallization induced by Gdm(+) with [Fe(CN)(6)](4-),10,2.9251108600944207
bm25_label,TG:P0030:n4,thermovoltage,TG:P0069:n4,thermovoltage signals,1,7.544348805381772
bm25_label,TG:P0045:n3,ion concentration,TG:P0021:n3,ion concentration gradients,1,7.535178211825972
