id,label,role,supporting_papers
iTE-C868f82b7b3,ionic rotatable bond count,descriptor,1
iTE-C719f9a1c8c,ionic Seebeck coefficient,quantity,7
iTE-C9f244c88c8,ionic octanol-water partition coefficient,descriptor,1
iTE-Ccce0aa221b,multi-ion coupling,interaction,1
iTE-Ca53958fdc7,high-entropy state,state_structure,1
iTE-C751ea2d579,redox reaction entropy change,quantity,1
iTE-Ccd35e9bb8a,exchange current density,quantity,1
iTE-C6bdc3f9249,ionic conductivity,quantity,3
iTE-Ca02da212fd,"redox entropy, exchange current and ionic conductivity improvements",quantity,1
iTE-C95f0cc9af2,ionic thermoelectric performance,performance_function,2
iTE-C0f2a5f6ec2,coordination and hydrophobic interactions,interaction,1
iTE-C28b5d1b78f,negative ionic Seebeck coefficient,quantity,1
iTE-C6fb51a3f97,PVA hydroxyl groups,material_entity,1
iTE-Cb52f16b720,Cu2+ ions,material_entity,1
iTE-C87d5af9d61,PVA hydrophobic backbone,material_entity,1
iTE-Ced8c9e10bc,PMNT,material_entity,1
iTE-C924c18dd0a,pi stacking and backbone hydrophobicity,interaction,1
iTE-C4902a9c376,PMNT interchain hydrophobic association,interaction,1
iTE-C674429500b,anion-cation thermophoretic difference,quantity,1
iTE-C190e030200,alpha-CD/I3- host-guest complexation,interaction,1
iTE-Cfbb44bc711,I3- diffusion,mechanism_process,1
iTE-C6316b06b60,I3- diffusion confinement,mechanism_process,1
iTE-C648bfa7197,I3-/Na+ mobility difference,quantity,1
iTE-Cd49c6ca384,volume phase transition,mechanism_process,1
iTE-Cb8e30e277d,ion entropy difference,quantity,1
iTE-C5156323d67,redox reaction efficiency,quantity,1
iTE-C87a3813b8d,ionic thermodiffusion rate,quantity,1
iTE-Cdea8224d00,PVA crystalline segments,state_structure,1
iTE-Cc8ef7f7b94,nanofillers,material_entity,1
iTE-C01db35aa16,hydrogel thermal diffusion and electrode redox reactions,mechanism_process,1
iTE-C7edfe7f123,high negative thermopower and energy density,performance_function,1
iTE-Ce7dd10eeed,crown ether complexation,interaction,1
iTE-Cbe13064afe,thermal diffusion,mechanism_process,2
iTE-Cf54260be3a,hydrophilic NiCo(CO3)(OH)2 anode,material_entity,1
iTE-C06055214a1,rapid interfacial ion and electron transfer,mechanism_process,1
iTE-C65161e8fff,optimized thermodiffusion and interfacial ion-electron transport,mechanism_process,1
iTE-Cab57f90fe0,sustained output performance,performance_function,1
iTE-C8ef19d513b,thermoelectric conversion efficiency,quantity,1
iTE-C8935b67a4f,porous Portland cement structure,state_structure,1
iTE-C989c2d7a7d,free ion diffusion,mechanism_process,1
iTE-C9f49072bc3,OH- migration to cold region,mechanism_process,1
iTE-C3a0d171798,n-type thermoelectric behavior,state_structure,1
iTE-Ccbd7612348,increasing ion leaching time,condition,1
iTE-C6535964625,thermopower polarity,state_structure,2
iTE-C9788b8b13d,pore structure optimization,design_strategy,1
iTE-C98b8f57065,interconnected porous structure,state_structure,1
