id,label,role,supporting_papers
TG-C8697cf9d13,thermodiffusion and thermogalvanic effects,mechanism_process,5
TG-Cd4bd90983b,high thermopower and energy density,performance_function,1
TG-Cdc8d6bb20b,Fe2+/3+ concentration,condition,1
TG-C719f9a1c8c,ionic Seebeck coefficient,quantity,11
TG-C7652f8226f,Fe2+/3+ concentration increase,condition,1
TG-C500ad6034a,electron transfer resistance,quantity,1
TG-C9d551ecb1c,electron transfer resistance decrease,quantity,1
TG-Cfc5b487137,short-circuit current,quantity,1
TG-Cab428dd999,electron-type and ion-type material hybridization,design_strategy,1
TG-C1ec4d7d356,thermoelectric performance,performance_function,1
TG-Cf3584f87a0,electrode-electrolyte interactions,interaction,1
TG-C9ccc9c6305,device performance,performance_function,1
TG-C7116897acf,temperature-dependent Fe2+/Fe3+ redox reactions,mechanism_process,1
TG-C1dab8d2ab2,voltage generation,mechanism_process,1
TG-C56e963ff18,Fe2+/Fe3+ directional migration,mechanism_process,1
TG-C9817456a61,polymer chain motion,mechanism_process,1
TG-C19dd3ec33d,Fe2+/Fe3+-carboxyl coordination,interaction,1
TG-C9210dada04,thermogalvanic electrolyte function,performance_function,1
TG-C0b9d18fe83,ionic thermoelectric effect,mechanism_process,1
TG-C4bc236de80,applied pressure,condition,1
TG-C5f14d8e2e8,"KCl, NaCl and KNO3 ion providers",material_entity,1
TG-Ce4e614e18b,thermodiffusion,mechanism_process,1
TG-C8e615e8c6a,ferrocyanide/ferricyanide redox couple,material_entity,1
TG-Cfba2024310,thermogalvanic effect,mechanism_process,1
TG-C79aa462a04,multication-anion interactions,interaction,1
TG-C751ea2d579,redox reaction entropy change,quantity,1
TG-Ccd35e9bb8a,exchange current density,quantity,1
TG-C6bdc3f9249,ionic conductivity,quantity,1
TG-Ca02da212fd,"redox entropy, exchange current and ionic conductivity improvements",quantity,1
TG-C95f0cc9af2,ionic thermoelectric performance,performance_function,1
TG-C9472396052,solid-liquid phase transition,mechanism_process,1
TG-Cc17485ccf3,output power,quantity,1
TG-C31b30c465f,figure of merit,quantity,1
TG-C9ec792a203,Soret and temperature-dependent electrophoretic mobility effects,mechanism_process,1
TG-C84bfd2bade,temperature-dependent electrophoretic mobility effect,mechanism_process,1
TG-C28b5d1b78f,negative ionic Seebeck coefficient,quantity,2
TG-C5cd112f879,decreasing electrolyte concentration and increasing temperature difference,condition,1
TG-C10e966a6f6,higher cation mobility and lower ionic heat of transport,quantity,1
TG-Cc0b713f186,thermodiffusion-induced thermal potential,quantity,1
TG-Ce608f8c9c3,reversible redox reaction,mechanism_process,1
TG-Cc3ec4b72b2,continuous output current,quantity,2
TG-C78ff87b02a,alkoxide end groups,material_entity,1
TG-C321058b19e,self-assembled PEG clusters,state_structure,1
TG-Cbea721ea64,output current,quantity,1
TG-C7c7cde31a7,anion/cation cluster structural reconfiguration,design_strategy,1
TG-Cf701569ad5,anionic heat of transport,quantity,1
TG-C06a0cac29c,Gutmann donor-guided anion doping,design_strategy,1
TG-Cd77271af49,"high Seebeck coefficient, high ionic conductivity and low thermal conductivity",quantity,1
TG-C2f8e03bf0c,high ionic power factor,quantity,1
TG-C7bb11717cb,pyrazine functional groups,design_strategy,1
TG-C327dc96ee2,redox entropy change,quantity,1
TG-C9a5b39a2c2,PACS functional groups,material_entity,1
TG-C76ff3a2c10,water in polymer network,state_structure,1
TG-C837d236d4e,water confinement in polymer network,state_structure,1
TG-C849e73db3b,polar corona,state_structure,1
TG-C50f89c13b4,thermally diffused ion volume,quantity,1
TG-C9432630854,rapid lithium ion conduction,mechanism_process,1
TG-Cfae996f71d,3D polar corona formation,design_strategy,1
TG-C05d6c8d027,maximum thermogalvanic power density,quantity,1
TG-C308dd4b065,ionic liquid and redox couple concentrations,condition,1
TG-C3dfc0d45aa,high ionic liquid concentration,condition,1
TG-C80d13dbb01,optimized ionic interactions,interaction,1
TG-Cbe13064afe,thermal diffusion,mechanism_process,1
TG-Cd61eceadb3,MXene addition,design_strategy,1
TG-C94291e7423,ion diffusivity,quantity,1
TG-Cbf8a127ecc,ion diffusivity adjustment,design_strategy,1
TG-Cc061c6f016,Cu/Cu2+ electrode redox reaction,mechanism_process,1
TG-C79c5f98e9f,carbon paper replacing copper electrodes,design_strategy,1
TG-C47fba39a26,signed ionic thermopower,quantity,1
TG-C6c5a2583be,electrolyte infiltration and cation restriction at carbon paper,interaction,1
TG-C458fe6ff5e,anion thermodiffusion,mechanism_process,1
TG-C6535964625,thermopower polarity,state_structure,1
