version,method,k,returned,strict_positives,precision_at_k,precision_among_returned,positive_yield_per_k,partial,nonmatch,paper_pairs,positive_paper_pairs
initial,exact,20,1,1,,1.0,0.05,0,0,1,1
initial,exact,50,1,1,,1.0,0.02,0,0,1,1
initial,semantic,20,20,4,0.2,0.2,0.2,14,2,13,1
initial,semantic,50,50,4,0.08,0.08,0.08,28,18,34,1
initial,relation_constrained,20,20,5,0.25,0.25,0.25,12,3,11,2
initial,relation_constrained,50,50,5,0.1,0.1,0.1,31,14,30,2
initial,neighborhood,20,20,5,0.25,0.25,0.25,14,1,10,2
initial,neighborhood,50,50,5,0.1,0.1,0.1,31,14,28,2
reviewed,exact,20,1,1,,1.0,0.05,0,0,1,1
reviewed,exact,50,1,1,,1.0,0.02,0,0,1,1
reviewed,semantic,20,20,4,0.2,0.2,0.2,14,2,12,1
reviewed,semantic,50,50,4,0.08,0.08,0.08,27,19,32,1
reviewed,relation_constrained,20,20,5,0.25,0.25,0.25,11,4,9,2
reviewed,relation_constrained,50,50,5,0.1,0.1,0.1,32,13,29,2
reviewed,neighborhood,20,20,5,0.25,0.25,0.25,13,2,9,2
reviewed,neighborhood,50,50,5,0.1,0.1,0.1,30,15,26,2
