domain,claim_id,relation_id,paper_id,scope,decision_source,review_status,prior_relation_audit,history,verdict,issues,reason
iTE,iTE:P0391:r003,P0391:r003,P0391,mechanical_environmental_stability,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0431:r002,P0431:r002,P0431,application_sensing,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,[],partial,"[""assertion""]",The abstract presents the enabled mechanism as an author claim and demonstrates a functional device; 'proposes' does not establish hypothesis status.
iTE,iTE:P0435:r011,P0435:r011,P0435,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",partial,"[""conditions""]",The interaction mechanism is supported for the lignin–PVA hydrogel matrix; that material context is missing.
iTE,iTE:P0437:r009,P0437:r009,P0437,thermodynamics,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0452:r003,P0452:r003,P0452,thermodynamics,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,[],supported,[],
iTE,iTE:P0463:r012,P0463:r012,P0463,thermodynamics,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""initial_graph_v1/contacted_papers.json""]",partial,"[""conditions"", ""joint_factors""]","High thermovoltage depends on local voltages accumulating in series within the hierarchical hydrogel, not confined thermodiffusion alone."
iTE,iTE:P0478:r001,P0478:r001,P0478,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0489:r006,P0489:r006,P0489,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,[],partial,"[""endpoint""]",Formamide treatment removes insulating PSS; the stated object instead makes it remove the removal process.
iTE,iTE:P0501:r012,P0501:r012,P0501,mechanical_environmental_stability,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0505:r001,P0505:r001,P0505,mechanical_environmental_stability,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0512:r013,P0512:r013,P0512,application_sensing,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",out_of_scope,"[""scope""]","This is generic prospective application promise, not an application finding."
iTE,iTE:P0531:r016,P0531:r016,P0531,mechanical_environmental_stability,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0533:r001,P0533:r001,P0533,mechanical_environmental_stability,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",partial,"[""assertion""]","The strategy's stated design purpose is an author claim, not an explicitly proposed scientific hypothesis."
iTE,iTE:P0541:r002,P0541:r002,P0541,electrode_interface_kinetics,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0594:r006,P0594:r006,P0594,thermodynamics,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0605:r007,P0605:r007,P0605,ion_mass_transport,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0609:r009,P0609:r009,P0609,device_thermal_management,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,[],supported,[],
iTE,iTE:P0610:r004,P0610:r004,P0610,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",partial,"[""conditions""]",The bonding structure is a result of the PSO/DFT study; the record omits its computational qualification.
iTE,iTE:P0613:r004,P0613:r004,P0613,mechanical_environmental_stability,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0631:r004,P0631:r004,P0631,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0637:r007,P0637:r007,P0637,device_thermal_management,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",partial,"[""conditions""]",The 82 mV result requires the stated temperature difference of 15.8 K; conductivity lowering is specifically achieved via heat treatment.
iTE,iTE:P0656:r002,P0656:r002,P0656,thermodynamics,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0715:r012,P0715:r012,P0715,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0720:r008,P0720:r008,P0720,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0766:r004,P0766:r004,P0766,ion_mass_transport,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",partial,"[""scope"", ""conditions""]","This concerns orbital-order-dependent thermoelectric behavior, not ion/mass transport. The suppression is specifically temperature-induced."
iTE,iTE:P0769:r002,P0769:r002,P0769,ion_mass_transport,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0770:r006,P0770:r006,P0770,device_thermal_management,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""full_audit_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0772:r023,P0772:r023,P0772,application_sensing,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",out_of_scope,"[""scope""]","Generic prospective application, without a demonstrated strain-sensing finding."
iTE,iTE:P0774:r004,P0774:r004,P0774,ion_mass_transport,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0809:r016,P0809:r016,P0809,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,[],supported,[],
iTE,iTE:P0821:r010,P0821:r010,P0821,ion_mass_transport,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0830:r018,P0830:r018,P0830,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json"", ""full_retrieval_rrf_v1/diagnostic_packet.json""]",supported,[],
iTE,iTE:P0834:r006,P0834:r006,P0834,ion_mass_transport,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0836:r003,P0836:r003,P0836,device_thermal_management,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,[],supported,[],
iTE,iTE:P0851:r006,P0851:r006,P0851,ion_mass_transport,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0871:r007,P0871:r007,P0871,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,[],supported,[],
iTE,iTE:P0879:r004,P0879:r004,P0879,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,[],supported,[],
iTE,iTE:P0880:r015,P0880:r015,P0880,mechanical_environmental_stability,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0937:r004,P0937:r004,P0937,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0952:r002,P0952:r002,P0952,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P0970:r015,P0970:r015,P0970,application_sensing,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",out_of_scope,"[""scope""]",The extracted endpoint is generic application promise; the supporting concrete properties are separate findings.
iTE,iTE:P0977:r008,P0977:r008,P0977,mechanical_environmental_stability,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1012:r003,P1012:r003,P1012,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1019:r002,P1019:r002,P1019,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1035:r004,P1035:r004,P1035,ion_mass_transport,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1039:r002,P1039:r002,P1039,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1056:r006,P1056:r006,P1056,device_thermal_management,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/historical_exclusions.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1065:r003,P1065:r003,P1065,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1072:r008,P1072:r008,P1072,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1101:r022,P1101:r022,P1101,thermodynamics,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1104:r013,P1104:r013,P1104,application_sensing,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1152:r006,P1152:r006,P1152,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",partial,"[""conditions""]",Omits the YbMg2Bi2−xSbx solid-solution context and the shift toward Sb-rich compositions.
iTE,iTE:P1182:r009,P1182:r009,P1182,thermodynamics,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1184:r004,P1184:r004,P1184,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1203:r013,P1203:r013,P1203,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1222:r012,P1222:r012,P1222,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""full_audit_v1/contacted_papers.json"", ""initial_graph_v1/contacted_papers.json""]",supported,[],
iTE,iTE:P1238:r007,P1238:r007,P1238,intrinsic_material_mechanism,"{""run"": ""full_extraction_v1"", ""action"": ""unchanged""}",not_targeted_by_full_audit_v1,False,"[""initial_graph_v1/contacted_papers.json""]",supported,[],
