group_id,left_unit_id,right_unit_id,left_eligible_members,right_eligible_members,candidate_channels,legacy_candidate_ids,explicit_candidate_pairs,possible_member_pairs,all_member_pairs_listed,group_status
group:26b544965b1e0fd9d43f,TG:retrieval:005a0ad8678631,TG:retrieval:01516633e25b83,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:081182b1550767265b26,TG:retrieval:005a0ad8678631,TG:retrieval:09fd1f02ad5e1d,1,19,semantic_top10,,1,19,False,retrieval_group_only_no_judgment_propagation
group:0b79b66c241c11019262,TG:retrieval:005a0ad8678631,TG:retrieval:25d2fc370f09b1,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:c2dd792e9d7fdad62162,TG:retrieval:005a0ad8678631,TG:retrieval:4a424136ab97c4,1,1,char_ngram_tfidf,pair:c2dd792e9d7fdad6,1,1,True,retrieval_group_only_no_judgment_propagation
group:973bc44dc623d56b1233,TG:retrieval:005a0ad8678631,TG:retrieval:54fe2b97d8f69a,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:cefd88fcb98a5e184cb5,TG:retrieval:005a0ad8678631,TG:retrieval:6c5e94f1cf7565,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:5bedfc09dc251e249045,TG:retrieval:005a0ad8678631,TG:retrieval:7ac8f452d7676d,1,2,semantic_top10,,1,2,False,retrieval_group_only_no_judgment_propagation
group:7bb62b339dd9a15ac420,TG:retrieval:005a0ad8678631,TG:retrieval:8cea1ff37566a7,1,1,char_ngram_tfidf,pair:7bb62b339dd9a15a,1,1,True,retrieval_group_only_no_judgment_propagation
group:85ecc4b9e88ae649f9ac,TG:retrieval:005a0ad8678631,TG:retrieval:9b6038c8746fbb,1,9,semantic_top10,,1,9,False,retrieval_group_only_no_judgment_propagation
group:c5f8e6ffcc3ba1dcb962,TG:retrieval:005a0ad8678631,TG:retrieval:9c088b59ac0630,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:a1a74a9b9bfbef6fd18a,TG:retrieval:005a0ad8678631,TG:retrieval:e5d27f571f49b8,1,1,char_ngram_tfidf;semantic_top10,pair:a1a74a9b9bfbef6f,1,1,True,retrieval_group_only_no_judgment_propagation
group:49b98db68d028af6f486,TG:retrieval:005a0ad8678631,TG:retrieval:ecbb6ef794f31b,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:508a26fbcfde5b0f133c,TG:retrieval:01112e706d9eaf,TG:retrieval:070b6b3684e9e7,1,3,char_ngram_tfidf;semantic_top10,pair:508a26fbcfde5b0f,1,3,False,retrieval_group_only_no_judgment_propagation
group:fde7ada393871931b60d,TG:retrieval:01112e706d9eaf,TG:retrieval:0c436aab14a212,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:e846d83a0dd7392d1a82,TG:retrieval:01112e706d9eaf,TG:retrieval:17c80fd6e152a2,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:a9b0c11b6b0e05cf349b,TG:retrieval:01112e706d9eaf,TG:retrieval:1ff98cc5a4711c,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:b6c9ee5f1a30e14450ec,TG:retrieval:01112e706d9eaf,TG:retrieval:3435acf01e3fc5,1,2,char_ngram_tfidf,pair:b6c9ee5f1a30e144,1,2,False,retrieval_group_only_no_judgment_propagation
group:0f216e462752a8924c8d,TG:retrieval:01112e706d9eaf,TG:retrieval:344e28dfedf6ba,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:a79b69d732d9be190f2b,TG:retrieval:01112e706d9eaf,TG:retrieval:35713ca02536c7,1,1,char_ngram_tfidf,pair:a79b69d732d9be19,1,1,True,retrieval_group_only_no_judgment_propagation
group:ebf225f2f988a1779da2,TG:retrieval:01112e706d9eaf,TG:retrieval:39e87a5dfaa2d0,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:f5458403fc81d30bd033,TG:retrieval:01112e706d9eaf,TG:retrieval:44ae5087630a06,1,1,char_ngram_tfidf,pair:f5458403fc81d30b,1,1,True,retrieval_group_only_no_judgment_propagation
group:cfe8e1264761f1ec9367,TG:retrieval:01112e706d9eaf,TG:retrieval:49adb7d6d1e7f7,1,1,char_ngram_tfidf,pair:cfe8e1264761f1ec,1,1,True,retrieval_group_only_no_judgment_propagation
group:8dcf742b60dd810bbe1b,TG:retrieval:01112e706d9eaf,TG:retrieval:69a60adb03910f,1,1,char_ngram_tfidf;semantic_top10,pair:8dcf742b60dd810b,1,1,True,retrieval_group_only_no_judgment_propagation
group:f2d40a69fdcd8abd3af8,TG:retrieval:01112e706d9eaf,TG:retrieval:6ce027334b7a20,1,1,char_ngram_tfidf,pair:f2d40a69fdcd8abd,1,1,True,retrieval_group_only_no_judgment_propagation
group:1b4ae2732f5e0b2a6262,TG:retrieval:01112e706d9eaf,TG:retrieval:71a4ad695c4934,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:0cb41bd952da3cca09ad,TG:retrieval:01112e706d9eaf,TG:retrieval:7fbb6502c8b5fa,1,1,char_ngram_tfidf,pair:0cb41bd952da3cca,1,1,True,retrieval_group_only_no_judgment_propagation
group:70bce5b651b5f07e9d82,TG:retrieval:01112e706d9eaf,TG:retrieval:9e094e54595727,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:6fbd656838db5c4ee096,TG:retrieval:01112e706d9eaf,TG:retrieval:c12e2f272042aa,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:589914c1d698d9209d09,TG:retrieval:01112e706d9eaf,TG:retrieval:c42300bc0a56c9,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:9c70ddb3225738c6b731,TG:retrieval:01112e706d9eaf,TG:retrieval:d3ea4118ba3888,1,1,char_ngram_tfidf;semantic_top10,pair:9c70ddb3225738c6,1,1,True,retrieval_group_only_no_judgment_propagation
group:81083901ced90499594b,TG:retrieval:01112e706d9eaf,TG:retrieval:dcf198e150dc49,1,1,char_ngram_tfidf,pair:81083901ced90499,1,1,True,retrieval_group_only_no_judgment_propagation
group:73eaaa6542089565d7fc,TG:retrieval:01112e706d9eaf,TG:retrieval:e024883de305af,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:8740b10f50e44c473aaa,TG:retrieval:01112e706d9eaf,TG:retrieval:e1cce92f2f7a65,1,1,char_ngram_tfidf,pair:8740b10f50e44c47,1,1,True,retrieval_group_only_no_judgment_propagation
group:a71eb1203454938524ae,TG:retrieval:01112e706d9eaf,TG:retrieval:e75ed2124c362e,1,1,char_ngram_tfidf,pair:a71eb12034549385,1,1,True,retrieval_group_only_no_judgment_propagation
group:46d849c0bf44b987b482,TG:retrieval:01112e706d9eaf,TG:retrieval:e7b0a0a8a6726c,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:56aa7ab1c55ece71eece,TG:retrieval:01516633e25b83,TG:retrieval:09fd1f02ad5e1d,1,19,semantic_top10,,2,19,False,retrieval_group_only_no_judgment_propagation
group:4b7c1ec2288d95c0a907,TG:retrieval:01516633e25b83,TG:retrieval:1f2fce3efb93f6,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:5c9155387759af07c9c7,TG:retrieval:01516633e25b83,TG:retrieval:25d2fc370f09b1,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:e4b3eab52e0f51fa42a6,TG:retrieval:01516633e25b83,TG:retrieval:54fe2b97d8f69a,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:b081b5a58d9645e755b9,TG:retrieval:01516633e25b83,TG:retrieval:5c976936565b2d,1,1,char_ngram_tfidf,pair:b081b5a58d9645e7,1,1,True,retrieval_group_only_no_judgment_propagation
group:3c8321206979d61700c1,TG:retrieval:01516633e25b83,TG:retrieval:6309c09c15d3df,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:e85b20d902bf3f3beadd,TG:retrieval:01516633e25b83,TG:retrieval:67671a2f53dd91,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:9a90ebd1834cb0868240,TG:retrieval:01516633e25b83,TG:retrieval:6c5e94f1cf7565,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:2247beb68cc71994c4c4,TG:retrieval:01516633e25b83,TG:retrieval:7ac8f452d7676d,1,2,semantic_top10,,1,2,False,retrieval_group_only_no_judgment_propagation
group:fe2a5eb649227dd8326d,TG:retrieval:01516633e25b83,TG:retrieval:ecbb6ef794f31b,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:3c9801ef7953a287d29e,TG:retrieval:01516633e25b83,TG:retrieval:fcc01428b76697,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:8868684bf611ba9b3bde,TG:retrieval:01837f8a94ec00,TG:retrieval:02feb52ea5f292,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:0e8bcfdcb6159fa33291,TG:retrieval:01837f8a94ec00,TG:retrieval:0537973ab6a7ce,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:3dca996ea269e9c739d4,TG:retrieval:01837f8a94ec00,TG:retrieval:07b7f57f9beff2,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:85200342ec3cd24f4c90,TG:retrieval:01837f8a94ec00,TG:retrieval:0ef47e95beb534,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:38cea9e4889f93088ba4,TG:retrieval:01837f8a94ec00,TG:retrieval:10b98647369e7b,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:01e4ab3c38a3cde91e3c,TG:retrieval:01837f8a94ec00,TG:retrieval:18f7c1a16da335,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:4f926f2d8a31dd80a4cf,TG:retrieval:01837f8a94ec00,TG:retrieval:20f6ac248d1c96,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:3bac0b21ade5e9f94809,TG:retrieval:01837f8a94ec00,TG:retrieval:22e76a01affcad,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:78436a9836b309a6c802,TG:retrieval:01837f8a94ec00,TG:retrieval:2ad4a672107db5,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:647ac5b18c1ecf2a1400,TG:retrieval:01837f8a94ec00,TG:retrieval:2de2f061513355,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:00ea2445459222a8d45c,TG:retrieval:01837f8a94ec00,TG:retrieval:478cc3efeba803,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:6de429187851c499b56d,TG:retrieval:01837f8a94ec00,TG:retrieval:4ae99f9560b451,1,2,semantic_top10,,1,2,False,retrieval_group_only_no_judgment_propagation
group:f5685cff48c23c3afc09,TG:retrieval:01837f8a94ec00,TG:retrieval:4f207cc6aca2b4,1,3,semantic_top10,,1,3,False,retrieval_group_only_no_judgment_propagation
group:4c3fb98d7171959f238e,TG:retrieval:01837f8a94ec00,TG:retrieval:5158ccfb155c76,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:ff9eec7079c6a0654dd1,TG:retrieval:01837f8a94ec00,TG:retrieval:521028e56e2f46,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:5eb10c2dcf20870bc436,TG:retrieval:01837f8a94ec00,TG:retrieval:640a8cd5a16675,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:a074b64bb9123c397b3d,TG:retrieval:01837f8a94ec00,TG:retrieval:652adb9e19b7aa,1,1,char_ngram_tfidf,pair:a074b64bb9123c39,1,1,True,retrieval_group_only_no_judgment_propagation
group:3d183aefef3986484489,TG:retrieval:01837f8a94ec00,TG:retrieval:7f8b5d84236da1,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:9029545021d842134473,TG:retrieval:01837f8a94ec00,TG:retrieval:86a9131b212336,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:0d888d2edc25b4ed1411,TG:retrieval:01837f8a94ec00,TG:retrieval:877f7861e6a4a2,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:ae3d7df22937aa809554,TG:retrieval:01837f8a94ec00,TG:retrieval:9b6038c8746fbb,1,9,semantic_top10,,1,9,False,retrieval_group_only_no_judgment_propagation
group:0242e40d70ee0ddc59e0,TG:retrieval:01837f8a94ec00,TG:retrieval:a4fbcf50883db2,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:b556c56bb3699959cf3e,TG:retrieval:01837f8a94ec00,TG:retrieval:bac68ba3ca4912,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:2e8b566e34e5ef062930,TG:retrieval:01837f8a94ec00,TG:retrieval:c2353cae1e8c1a,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:f8a8b2e46ac606c1511d,TG:retrieval:01837f8a94ec00,TG:retrieval:d0073d658a0495,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:68e3abfa1af7c8463ee6,TG:retrieval:01837f8a94ec00,TG:retrieval:d60e82122207ae,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:f44e4f8560e1ea5657ba,TG:retrieval:01837f8a94ec00,TG:retrieval:d79e59b1b9284b,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:dec85d996ee869d7e863,TG:retrieval:01837f8a94ec00,TG:retrieval:e8be49e897ccaf,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:d27bf4dbddf19a2d4652,TG:retrieval:01a768d72cb6fb,TG:retrieval:065401565157a6,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:c7dc436b6f8e42eb726e,TG:retrieval:01a768d72cb6fb,TG:retrieval:07b7f57f9beff2,1,1,char_ngram_tfidf,pair:c7dc436b6f8e42eb,1,1,True,retrieval_group_only_no_judgment_propagation
group:87d0237ed2645b8d8e6f,TG:retrieval:01a768d72cb6fb,TG:retrieval:10b98647369e7b,1,1,char_ngram_tfidf,pair:87d0237ed2645b8d,1,1,True,retrieval_group_only_no_judgment_propagation
group:a0fabcebc00411ce1173,TG:retrieval:01a768d72cb6fb,TG:retrieval:2036190c6ac043,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:dddd4946a7b9395e7c7b,TG:retrieval:01a768d72cb6fb,TG:retrieval:22e76a01affcad,1,1,char_ngram_tfidf;semantic_top10,pair:dddd4946a7b9395e,1,1,True,retrieval_group_only_no_judgment_propagation
group:0e8aee4942afcc30fd87,TG:retrieval:01a768d72cb6fb,TG:retrieval:2ad4a672107db5,1,1,char_ngram_tfidf,pair:0e8aee4942afcc30,1,1,True,retrieval_group_only_no_judgment_propagation
group:3e6991e1fdee8a998ad2,TG:retrieval:01a768d72cb6fb,TG:retrieval:39210caf2a6f29,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:8ae31a1562aeb1464df9,TG:retrieval:01a768d72cb6fb,TG:retrieval:4f207cc6aca2b4,1,3,semantic_top10,,1,3,False,retrieval_group_only_no_judgment_propagation
group:f43e819c80eb8347f291,TG:retrieval:01a768d72cb6fb,TG:retrieval:50c6297b967ffb,1,1,char_ngram_tfidf,pair:f43e819c80eb8347,1,1,True,retrieval_group_only_no_judgment_propagation
group:6b5b6b21661fb3e3f3c9,TG:retrieval:01a768d72cb6fb,TG:retrieval:521028e56e2f46,1,1,char_ngram_tfidf,pair:6b5b6b21661fb3e3,1,1,True,retrieval_group_only_no_judgment_propagation
group:2f1f60b2a924398040d0,TG:retrieval:01a768d72cb6fb,TG:retrieval:5c71ae49d58fa2,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:7340f74f91c3c07ed684,TG:retrieval:01a768d72cb6fb,TG:retrieval:61aa736ef45d5a,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:29ddf985cd49372e5c22,TG:retrieval:01a768d72cb6fb,TG:retrieval:86a9131b212336,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:ff38cb3a48af44d21985,TG:retrieval:01a768d72cb6fb,TG:retrieval:877f7861e6a4a2,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:18e9d114b7c3294242d2,TG:retrieval:01a768d72cb6fb,TG:retrieval:8c1cb1ff71a6f7,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:9818a9769b00bf6c5364,TG:retrieval:01a768d72cb6fb,TG:retrieval:93c3d43afd769f,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:6578f133177907d910a4,TG:retrieval:01a768d72cb6fb,TG:retrieval:9b40f8fb5a372d,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:60afb36dd2bb3de1e203,TG:retrieval:01a768d72cb6fb,TG:retrieval:9b852b6e7f77e3,1,1,char_ngram_tfidf,pair:60afb36dd2bb3de1,1,1,True,retrieval_group_only_no_judgment_propagation
group:b2985edd8f7164e14e72,TG:retrieval:01a768d72cb6fb,TG:retrieval:b40aca4c49d3a0,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:3896651b0df21106b732,TG:retrieval:01a768d72cb6fb,TG:retrieval:c2353cae1e8c1a,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:f48635a43f7eec226a9e,TG:retrieval:01a768d72cb6fb,TG:retrieval:c9c9b8fc2a5cd4,1,1,char_ngram_tfidf,pair:f48635a43f7eec22,1,1,True,retrieval_group_only_no_judgment_propagation
group:c033ae3fcaf5fc94d3e7,TG:retrieval:01a768d72cb6fb,TG:retrieval:d23db2040ca085,1,1,char_ngram_tfidf,pair:c033ae3fcaf5fc94,1,1,True,retrieval_group_only_no_judgment_propagation
group:cad2aeaa4b33823577f4,TG:retrieval:01a768d72cb6fb,TG:retrieval:d4bf78aec09cbb,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:2fc549d08b01f80cd82e,TG:retrieval:01a768d72cb6fb,TG:retrieval:fbfc4f0e0f55f9,1,1,char_ngram_tfidf,pair:2fc549d08b01f80c,1,1,True,retrieval_group_only_no_judgment_propagation
group:8ab39c83b408429b8f70,TG:retrieval:01ac579de05493,TG:retrieval:09fd1f02ad5e1d,1,19,semantic_top10,,1,19,False,retrieval_group_only_no_judgment_propagation
group:0b6cea3a7a77c47e3fac,TG:retrieval:01ac579de05493,TG:retrieval:16628738fad5d7,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:9572cef1685f3b8c3f43,TG:retrieval:01ac579de05493,TG:retrieval:36d756a4edf59f,1,1,char_ngram_tfidf;semantic_top10,pair:9572cef1685f3b8c,1,1,True,retrieval_group_only_no_judgment_propagation
group:59e760458d1d8e483901,TG:retrieval:01ac579de05493,TG:retrieval:4efa025fa7c1ed,1,1,char_ngram_tfidf,pair:59e760458d1d8e48,1,1,True,retrieval_group_only_no_judgment_propagation
group:f12bd831b6e6b2aea620,TG:retrieval:01ac579de05493,TG:retrieval:559f8bdbda9320,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:9e7dda9469e5a368c6cb,TG:retrieval:01ac579de05493,TG:retrieval:5883b3ea854c33,1,1,char_ngram_tfidf,pair:9e7dda9469e5a368,1,1,True,retrieval_group_only_no_judgment_propagation
group:5e54e71c60c62888218d,TG:retrieval:01ac579de05493,TG:retrieval:69a60adb03910f,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:ad847892c89ff55f5050,TG:retrieval:01ac579de05493,TG:retrieval:6c11edd7870173,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:c26b3a12afc8135b8031,TG:retrieval:01ac579de05493,TG:retrieval:97b0560280ed60,1,2,semantic_top10,,1,2,False,retrieval_group_only_no_judgment_propagation
group:dc24eea2df0c2d077a2c,TG:retrieval:01ac579de05493,TG:retrieval:b062a13117d0a6,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
group:ef80d38c1a99b2681044,TG:retrieval:01ac579de05493,TG:retrieval:ca34ab5c748c66,1,1,semantic_top10,,1,1,True,retrieval_group_only_no_judgment_propagation
