candidate_id,domain,left_concept_id,right_concept_id,left_mention_id,right_mention_id,left_label,right_label,left_role,right_role,group_id,candidate_channels,cosine_similarity,left_to_right_rank,right_to_left_rank,legacy_candidate_ids,historical_comparison_id,historical_original_left,historical_original_right,historical_original_relation,historical_relation_aligned,historical_original_reason,historical_evidence_scope,review_status,human_decision,human_reason,merge_applied
candidate:1190966248fe2dd49319,TG,TG:P0001:initial_n2,TG:P0001:initial_n3,TG:P0001:n2,TG:P0001:n3,exogenous electric field,wound healing,quantity,performance_function,group:6875d89c153b95578c99,semantic_top10,0.9762687087059021,1,1,,,,,,,,,needs_review_new_candidate,,,False
candidate:ae74438688e6c197f17d,TG,TG:P0001:initial_n2,TG:P0064:initial_n2,TG:P0001:n2,TG:P0064:n2,exogenous electric field,responsivity on strain,quantity,performance_function,group:900187bd0671a0ed3034,semantic_top10,0.802821695804596,8,8,,,,,,,,,needs_review_new_candidate,,,False
candidate:651a1a6731e8068808ce,TG,TG:P0001:initial_n2,TG:P0064:initial_n3,TG:P0001:n2,TG:P0064:n3,exogenous electric field,recognize the pulse beat,quantity,performance_function,group:fd6762e8e7f8ab633ea1,semantic_top10,0.7780903577804565,,9,,,,,,,,,needs_review_new_candidate,,,False
candidate:d4c59a8b48b3c00021ea,TG,TG:P0001:initial_n2,TG:P0073:initial_n3,TG:P0001:n2,TG:P0073:n3,exogenous electric field,thermoelectric voltage output,quantity,performance_function,group:960aa46f23faa65199b2,semantic_top10,0.8223047852516174,2,,,,,,,,,,needs_review_new_candidate,,,False
candidate:f301e28b7f3a4ab15150,TG,TG:P0001:initial_n2,TG:P0075:initial_n1,TG:P0001:n2,TG:P0075:n1,exogenous electric field,thermogalvanic effect,quantity,mechanism_process,group:d5437caa01e6f5391da5,semantic_top10,0.8089334964752197,6,,,,,,,,,,needs_review_new_candidate,,,False
candidate:205f3e109994111b3d53,TG,TG:P0001:initial_n2,TG:P0087:initial_n1,TG:P0001:n2,TG:P0087:n1,exogenous electric field,photothermal-thermoelectric coupling,quantity,mechanism_process,group:46b38848fdfb84f48623,semantic_top10,0.810178279876709,5,,,,,,,,,,needs_review_new_candidate,,,False
candidate:421c23412ee031759ff1,TG,TG:P0001:initial_n2,TG:P0087:initial_n2,TG:P0001:n2,TG:P0087:n2,exogenous electric field,transdermal extraction of the biomarker (8-OH-dG),quantity,performance_function,group:da11ce7e0e1e6f90692b,semantic_top10,0.8026262521743774,9,,,,,,,,,,needs_review_new_candidate,,,False
candidate:2250cc0d384edb7c0778,TG,TG:P0001:initial_n2,TG:P0113:initial_n2,TG:P0001:n2,TG:P0113:n2,exogenous electric field,power,quantity,performance_function,group:356ceee2a540e26146e0,semantic_top10,0.8068602681159973,7,,,,,,,,,,needs_review_new_candidate,,,False
candidate:dd6a2dfd924214da46d8,TG,TG:P0001:initial_n2,TG:P0142:initial_n3,TG:P0001:n2,TG:P0142:n3,exogenous electric field,voltage generation,quantity,performance_function,group:d75f9fe832918dd00624,semantic_top10,0.8115885257720947,4,,,,,,,,,,needs_review_new_candidate,,,False
candidate:d708368aae4c7145c9c7,TG,TG:P0001:initial_n2,TG:P0156:initial_n3,TG:P0001:n2,TG:P0156:n3,exogenous electric field,voltage output,quantity,performance_function,group:c3de2769c38de6ae18a0,semantic_top10,0.8024916648864746,10,,,,,,,,,,needs_review_new_candidate,,,False
