mention_id,initial_concept_id,domain,paper_id,label,current_role,retrieval_unit_id,concept_status,quote,context,context_start,context_end,context_method,embedding_text
TG:P0001:n2,TG:P0001:initial_n2,TG,P0001,exogenous electric field,quantity,TG:retrieval:b83b6cd7791534,unmerged_initialization,"Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing.","Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing.",0,122,phrase_anchored,"clustering: exogenous electric field. Context: Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing."
TG:P0001:n3,TG:P0001:initial_n3,TG,P0001,wound healing,performance_function,TG:retrieval:66c00cea0203d4,unmerged_initialization,"Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing.","Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing.",0,122,phrase_anchored,"clustering: wound healing. Context: Moreover, the TGC dressing generates an exogenous electric field, promoting the spontaneous acceleration of wound healing."
TG:P0002:n1,TG:P0002:initial_n1,TG,P0002,weak Fe2+/3+-ClO4- interactions,interaction,TG:retrieval:d6451a51476f23,unmerged_initialization,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.","The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",0,225,phrase_anchored,"clustering: weak Fe2+/3+-ClO4- interactions. Context: The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration."
TG:P0002:n2,TG:P0002:initial_n2,TG,P0002,selective association between Fe2+ and nitrile solvents,interaction,TG:retrieval:70851418f6b562,unmerged_initialization,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.","The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",0,225,phrase_anchored,"clustering: selective association between Fe2+ and nitrile solvents. Context: The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration."
TG:P0002:n3,TG:P0002:initial_n3,TG,P0002,entropy change available for electrochemical refrigeration,quantity,TG:retrieval:d51c20bd6f84e7,unmerged_initialization,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.","The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",0,225,phrase_anchored,"clustering: entropy change available for electrochemical refrigeration. Context: The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration."
TG:P0003:n1,TG:P0003:initial_n1,TG,P0003,increase in Fe2+/3+ concentration,condition,TG:retrieval:36d756a4edf59f,unmerged_initialization,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.","On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",0,172,phrase_anchored,"clustering: increase in Fe2+/3+ concentration. Context: On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device."
TG:P0003:n2,TG:P0003:initial_n2,TG,P0003,decrease in electron transfer resistance,quantity,TG:retrieval:559f8bdbda9320,unmerged_initialization,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.","On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",0,172,phrase_anchored,"clustering: decrease in electron transfer resistance. Context: On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device."
TG:P0003:n3,TG:P0003:initial_n3,TG,P0003,ISC value increase,performance_function,TG:retrieval:01ac579de05493,unmerged_initialization,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.","On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",0,172,phrase_anchored,"clustering: ISC value increase. Context: On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device."
TG:P0004:n1,TG:P0004:initial_n1,TG,P0004,formation of Li+(H2O)n hydration structure,mechanism_process,TG:retrieval:d2e584f0075836,unmerged_initialization,"Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.","Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.",0,125,phrase_anchored,"clustering: formation of Li+(H2O)n hydration structure. Context: Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance."
TG:P0004:n2,TG:P0004:initial_n2,TG,P0004,anti-freezing,performance_function,TG:retrieval:4ae99f9560b451,unmerged_initialization,"Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.","Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.",0,125,phrase_anchored,"clustering: anti-freezing. Context: Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance."
TG:P0004:n3,TG:P0004:initial_n3,TG,P0004,non-drying performance,performance_function,TG:retrieval:3c84c6ccf7f4be,unmerged_initialization,"Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.","Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.",0,125,phrase_anchored,"clustering: non-drying performance. Context: Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance."
TG:P0005:n2,TG:P0005:initial_n2,TG,P0005,Seebeck coefficient,performance_function,TG:retrieval:09fd1f02ad5e1d,unmerged_initialization,"Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.","Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.",0,216,phrase_anchored,"clustering: Seebeck coefficient. Context: Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation."
TG:P0005:n3,TG:P0005:initial_n3,TG,P0005,radiative cooling structure,state_structure,TG:retrieval:9c8797925220ae,unmerged_initialization,"Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.","Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.",0,216,phrase_anchored,"clustering: radiative cooling structure. Context: Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation."
TG:P0005:n4,TG:P0005:initial_n4,TG,P0005,self-supplying temperature difference,quantity,TG:retrieval:bb8908e550f607,unmerged_initialization,"Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.","Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation.",0,216,phrase_anchored,"clustering: self-supplying temperature difference. Context: Advanced characterization shows that the chaotropic effect enhances the Seebeck coefficient, while the self-supplying temperature difference given the radiative cooling structure enables all-weather power generation."
