candidate_id,domain,left_unit_id,right_unit_id,left_label,right_label,left_paper_support,right_paper_support,candidate_channels,char_ngram_cosine,structural_jaccard,literal_key_equal,decision_status,concept_relation,human_reason,defer_reason
pair:7b4b05edaf361518,TG,TG:retrieval:66144d36b9c1d6,TG:retrieval:9339be66084b0a,concentration gradient,concentration gradient effects,2,1,char_ngram_tfidf,0.764247,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:f271c771a28f57e0,TG,TG:retrieval:9339be66084b0a,TG:retrieval:daac3d953b48b7,concentration gradient effects,concentration gradients,1,1,char_ngram_tfidf,0.758497,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:ea023d4c2e02568c,TG,TG:retrieval:9339be66084b0a,TG:retrieval:9c13b05cadad1b,concentration gradient effects,ion concentration gradients,1,1,char_ngram_tfidf,0.668013,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:a7926cc6847b56bd,TG,TG:retrieval:b264adde8ca5df,TG:retrieval:bf16c5b081de0c,chaotropic effect,synergistic chaotropic effect,1,1,char_ngram_tfidf,0.662032,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:1b7fd6548010fada,TG,TG:retrieval:c667aaabb4d8c5,TG:retrieval:d7e5b3feacf98c,thermodynamic and kinetic characteristics,thermodynamic and kinetic properties,1,1,char_ngram_tfidf,0.632953,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:2c9f601d4bb1cb04,TG,TG:retrieval:01cb523d2855e9,TG:retrieval:464afa0930063c,maximum power density of 660 mW m(-1),maximum power density,1,1,char_ngram_tfidf,0.624166,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:321af5ebcc6d0a68,TG,TG:retrieval:02a4b85354ccdd,TG:retrieval:03b9dc6eed5cec,thermogalvanic cell,thermogalvanic cells (TGCs),1,1,char_ngram_tfidf,0.615651,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:d94baaeeaa75e59a,TG,TG:retrieval:02a4b85354ccdd,TG:retrieval:87ccc8be0e0b76,thermogalvanic cell,thermogalvanic currents,1,2,char_ngram_tfidf,0.606771,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:73b77a226db3b8e4,TG,TG:retrieval:12336f13d7cf72,TG:retrieval:aec74c96d338ff,ionic kinetics,redox kinetics,1,1,char_ngram_tfidf,0.599909,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:7bfcfca38275b480,TG,TG:retrieval:0f9bdfc89ff537,TG:retrieval:c2cf0276eeb973,Thermogalvanic corrosion,thermogalvanic (TG) corrosion intensity,1,1,char_ngram_tfidf,0.597965,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:6cd869fbd34ccf7c,TG,TG:retrieval:02a4b85354ccdd,TG:retrieval:e27095093d22d5,thermogalvanic cell,thermogalvanic conversion,1,1,char_ngram_tfidf,0.596624,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:24f2ba0080db843e,TG,TG:retrieval:02a4b85354ccdd,TG:retrieval:9b6038c8746fbb,thermogalvanic cell,thermogalvanic effect,1,9,char_ngram_tfidf,0.593532,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:dabb598bc5142fd3,TG,TG:retrieval:02a4b85354ccdd,TG:retrieval:d79e59b1b9284b,thermogalvanic cell,thermogalvanic reaction,1,1,char_ngram_tfidf,0.583582,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:64c69a09edccc02b,TG,TG:retrieval:02a4b85354ccdd,TG:retrieval:0f9bdfc89ff537,thermogalvanic cell,Thermogalvanic corrosion,1,1,char_ngram_tfidf,0.580894,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:3941384fedd16b47,TG,TG:retrieval:02a4b85354ccdd,TG:retrieval:70ca2912d4b104,thermogalvanic cell,thermogalvanic redox,1,1,char_ngram_tfidf,0.575618,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:65f7a5b3a7f8444e,TG,TG:retrieval:12336f13d7cf72,TG:retrieval:3da072c2200bc3,ionic kinetics,reaction kinetics,1,1,char_ngram_tfidf,0.569165,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:38976b143f56deac,TG,TG:retrieval:aec74c96d338ff,TG:retrieval:d9155b0b25ea71,redox kinetics,electrode kinetics,1,1,char_ngram_tfidf,0.566778,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:e9b2d9b98d60852b,TG,TG:retrieval:710d643c565ed2,TG:retrieval:bcbbc70c329462,thermal barrier,resistance barrier,1,1,char_ngram_tfidf,0.560186,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:07afcf3215d1fe2f,TG,TG:retrieval:12336f13d7cf72,TG:retrieval:d9155b0b25ea71,ionic kinetics,electrode kinetics,1,1,char_ngram_tfidf,0.558059,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:e7ad8bc818348e43,TG,TG:retrieval:02a4b85354ccdd,TG:retrieval:c63eb3b24487a0,thermogalvanic cell,thermogalvanic effects,1,2,char_ngram_tfidf,0.557337,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:95c764365e4a2379,TG,TG:retrieval:6713c4647786e5,TG:retrieval:f37775a904fb2d,thermogalvanic and piezoresistive effects,active piezoresistivity,2,1,char_ngram_tfidf,0.551929,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:8c6e597d9a1c170d,TG,TG:retrieval:9339be66084b0a,TG:retrieval:aba77aeae1e828,concentration gradient effects,concentration gradient of redox ion pairs,1,1,char_ngram_tfidf,0.540626,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:559f4a6674eab5c4,TG,TG:retrieval:3da072c2200bc3,TG:retrieval:d9155b0b25ea71,reaction kinetics,electrode kinetics,1,1,char_ngram_tfidf,0.537732,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:79eec6802d87dca9,TG,TG:retrieval:19a228690b06e0,TG:retrieval:b8e1c822fc506b,asymmetric solvation structures,asymmetric cells,1,1,char_ngram_tfidf,0.532908,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:9ebb91fc400df656,TG,TG:retrieval:59d4170d459cc9,TG:retrieval:99dbda0c4e526f,structural disorder and interfacial entropy,structural disorder in the solvation shell,1,1,char_ngram_tfidf,0.518353,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:dbcbaa33c06aa937,TG,TG:retrieval:525f9bbd18b8a0,TG:retrieval:9339be66084b0a,concentration gradient of the free I-3(-),concentration gradient effects,1,1,char_ngram_tfidf,0.504111,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:184183ea4e3f97f1,TG,TG:retrieval:142a667fa51f88,TG:retrieval:9339be66084b0a,continuous concentration gradient of redox ions,concentration gradient effects,1,1,char_ngram_tfidf,0.498756,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:28607e45e147d073,TG,TG:retrieval:c2cf0276eeb973,TG:retrieval:c5511a256a5e96,thermogalvanic (TG) corrosion intensity,thermogalvanic corrosion of iron,1,1,char_ngram_tfidf,0.496427,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:fe5a007b2c81efb1,TG,TG:retrieval:0a77fb0ceef3eb,TG:retrieval:db1bc343f0107a,cation exchange membrane,thermocell with hydrogen gas electrodes and a proton exchange membrane,1,1,char_ngram_tfidf,0.494427,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:7fb2bd8e13adb4e1,TG,TG:retrieval:200003a8334827,TG:retrieval:9339be66084b0a,small salt concentration gradient,concentration gradient effects,1,1,char_ngram_tfidf,0.494097,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:9af83ded060e25c6,TG,TG:retrieval:01cb523d2855e9,TG:retrieval:33b5ca3a89bbbd,maximum power density of 660 mW m(-1),maximum power output density,1,1,char_ngram_tfidf,0.491827,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
pair:bb6e8e9695f942a5,TG,TG:retrieval:50c6297b967ffb,TG:retrieval:d7e5b3feacf98c,thermoelectric properties,thermodynamic and kinetic properties,1,1,char_ngram_tfidf,0.490153,0.0,False,unreviewed_candidate,,,no_role_eligible_member_on_at_least_one_side
