initial_concept_id,domain,label,source_mention_id,legacy_role,semantic_role,normalization_status,semantic_review_status
iTE:P0334:initial_n1,iTE,number of rotatable bonds,iTE:P0334:n1,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0334:initial_n2,iTE,octanol-water partition coefficient of ions,iTE:P0334:n2,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0334:initial_n3,iTE,Seebeck coefficients,iTE:P0334:n3,performance,,unmerged_initialization,not_reviewed
iTE:P0335:initial_n1,iTE,multi-ion coupling,iTE:P0335:n1,mechanism,,unmerged_initialization,not_reviewed
iTE:P0335:initial_n2,iTE,redox reaction entropy change,iTE:P0335:n2,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0335:initial_n3,iTE,exchange current density,iTE:P0335:n3,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0335:initial_n4,iTE,ionic conductivity,iTE:P0335:n4,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0336:initial_n1,iTE,dual-interaction strategy,iTE:P0336:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0336:initial_n2,iTE,thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations,iTE:P0336:n2,mechanism,,unmerged_initialization,not_reviewed
iTE:P0336:initial_n3,iTE,ionic thermopower,iTE:P0336:n3,performance,,unmerged_initialization,not_reviewed
iTE:P0337:initial_n1,iTE,host-guest complexation between alpha-CD and I3-,iTE:P0337:n1,interaction,,unmerged_initialization,not_reviewed
iTE:P0337:initial_n2,iTE,confines the diffusion of I3-,iTE:P0337:n2,mechanism,,unmerged_initialization,not_reviewed
iTE:P0337:initial_n3,iTE,ion mobility difference between I3- and sodium ions,iTE:P0337:n3,physical_consequence,,unmerged_initialization,not_reviewed
iTE:P0337:initial_n4,iTE,ionic thermopower,iTE:P0337:n4,performance,,unmerged_initialization,not_reviewed
iTE:P0338:initial_n1,iTE,enriching oxygen-containing functional groups,iTE:P0338:n1,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0338:initial_n2,iTE,constructing oriented ionic transport nanochannels,iTE:P0338:n2,material_strategy,,unmerged_initialization,not_reviewed
iTE:P0338:initial_n3,iTE,long-term service and reusability,iTE:P0338:n3,performance,,unmerged_initialization,not_reviewed
iTE:P0339:initial_n1,iTE,volume phase transition (VPT),iTE:P0339:n1,mechanism,,unmerged_initialization,not_reviewed
iTE:P0339:initial_n2,iTE,ion entropy difference,iTE:P0339:n2,physical_consequence,,unmerged_initialization,not_reviewed
