mention_id,domain,paper_id,raw_phrase,status
TG:P0170:n1,TG,P0170,hybrid ionic-electronic designs,not_yet_annotated
TG:P0170:n2,TG,P0170,continuous power output,not_yet_annotated
TG:P0096:n1,TG,P0096,directional freeze-thawing method,not_yet_annotated
TG:P0096:n2,TG,P0096,hierarchically anisotropic networks,not_yet_annotated
TG:P0096:n3,TG,P0096,decoupling of thermopower and ionic conductivity,not_yet_annotated
TG:P0297:n1,TG,P0297,RH is raised,not_yet_annotated
TG:P0297:n2,TG,P0297,ionic electrical conductivity,not_yet_annotated
TG:P0297:n3,TG,P0297,ionic thermopower,not_yet_annotated
TG:P0215:n1,TG,P0215,inclusion of magnetic nanoparticles,not_yet_annotated
TG:P0215:n2,TG,P0215,initial Seebeck coefficient,not_yet_annotated
TG:P0150:n1,TG,P0150,fractal microstructure of the hydrogel,not_yet_annotated
TG:P0150:n2,TG,P0150,ionic conductivity,not_yet_annotated
TG:P0305:n1,TG,P0305,ionic liquids (ILs),not_yet_annotated
TG:P0305:n2,TG,P0305,generate electrical energy from low-grade heat,not_yet_annotated
TG:P0136:n1,TG,P0136,placing thermoelectric hydrogels on top of a photothermal hydrogel,not_yet_annotated
TG:P0136:n2,TG,P0136,photothermal conversion,not_yet_annotated
TG:P0136:n3,TG,P0136,temperature gradient,not_yet_annotated
TG:P0062:n1,TG,P0062,hybrid structure formed between PEDOT: PSS and SO42-/SO32-ion-promoted crosslinking PVA network,not_yet_annotated
TG:P0062:n2,TG,P0062,tensile/compressive stress and deformation at break,not_yet_annotated
TG:P0080:n1,TG,P0080,ion thermodiffusion (Bmim+/H2PO4- ),not_yet_annotated
TG:P0080:n2,TG,P0080,thermogalvanic effect (Fe2+/Fe3+),not_yet_annotated
TG:P0080:n3,TG,P0080,Seebeck coefficient,not_yet_annotated
TG:P0137:n1,TG,P0137,Grafting guanidinium salt ions,not_yet_annotated
TG:P0137:n2,TG,P0137,selective separation of positive and negative ions,not_yet_annotated
TG:P0137:n3,TG,P0137,thermodiffusion effect,not_yet_annotated
TG:P0137:n4,TG,P0137,introduction of melamine,not_yet_annotated
TG:P0137:n5,TG,P0137,selective complexation/desorption of Fe3+ at cold and hot ends,not_yet_annotated
TG:P0137:n6,TG,P0137,concentration and entropy difference of redox pairs,not_yet_annotated
TG:P0304:n1,TG,P0304,convective flows,not_yet_annotated
TG:P0304:n2,TG,P0304,charging,not_yet_annotated
TG:P0304:n3,TG,P0304,exchanging electrons between ions and electrodes,not_yet_annotated
TG:P0261:n1,TG,P0261,kappa-carrageenan,not_yet_annotated
TG:P0261:n2,TG,P0261,viscoelasticity of the precursor,not_yet_annotated
TG:P0261:n3,TG,P0261,double-network porous structure,not_yet_annotated
TG:P0261:n4,TG,P0261,mechanical robustness,not_yet_annotated
TG:P0261:n5,TG,P0261,ion transport,not_yet_annotated
TG:P0254:n1,TG,P0254,addition of NaClO4 instead of Fe(ClO4)2/Fe(ClO4)3,not_yet_annotated
TG:P0254:n2,TG,P0254,Rs,not_yet_annotated
TG:P0254:n3,TG,P0254,Rct,not_yet_annotated
TG:P0254:n4,TG,P0254,Rdif,not_yet_annotated
TG:P0253:n1,TG,P0253,angular velocity w increased,not_yet_annotated
TG:P0253:n2,TG,P0253,Rdif,not_yet_annotated
TG:P0253:n3,TG,P0253,Rs,not_yet_annotated
TG:P0253:n4,TG,P0253,Rct,not_yet_annotated
TG:P0253:n5,TG,P0253,convective mass transfer,not_yet_annotated
TG:P0253:n6,TG,P0253,diffusive mass transfer,not_yet_annotated
TG:P0220:n1,TG,P0220,different diffusivity of individual ions,not_yet_annotated
TG:P0220:n2,TG,P0220,asymmetry in the interfaces of the electrical double layer,not_yet_annotated
TG:P0220:n3,TG,P0220,performance difference,not_yet_annotated
TG:P0224:n1,TG,P0224,thermodiffusion term,not_yet_annotated
TG:P0224:n2,TG,P0224,diffusion coefficient,not_yet_annotated
TG:P0224:n3,TG,P0224,Eastman entropy of transfer,not_yet_annotated
TG:P0224:n4,TG,P0224,electrophoretic charge number of colloidal particles,not_yet_annotated
TG:P0224:n5,TG,P0224,particle concentration and the applied magnetic field strength and direction,not_yet_annotated
TG:P0023:n1,TG,P0023,sodium pyrrolidone carboxylate,not_yet_annotated
TG:P0023:n2,TG,P0023,water retention,not_yet_annotated
TG:P0023:n3,TG,P0023,mechanical properties,not_yet_annotated
TG:P0251:n1,TG,P0251,antisolvent,not_yet_annotated
TG:P0251:n2,TG,P0251,agglomeration of Fe(CN)(6)(4-) ions,not_yet_annotated
